ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,138.17,138.67,138.125,138.17,6215
2025-03-03 09:35:00-05:00,138.21,138.62,138.15,138.335,6404
2025-03-03 09:40:00-05:00,138.51,139.055,138.47,138.81,6801
2025-03-03 09:45:00-05:00,138.77,139.095,138.77,139.0,3344
2025-03-03 09:50:00-05:00,138.995,139.48,138.87,139.43,6490
2025-03-03 09:55:00-05:00,139.43,139.74,139.285,139.465,9493
2025-03-03 10:00:00-05:00,139.39,139.47,138.91,138.985,13497
2025-03-03 10:05:00-05:00,138.96,139.29,138.83,139.2,7029
2025-03-03 10:10:00-05:00,139.19,139.31,139.025,139.285,7928
2025-03-03 10:15:00-05:00,139.28,139.57,139.195,139.56,10704
2025-03-03 10:20:00-05:00,139.56,139.6,139.38,139.53,9107
2025-03-03 10:25:00-05:00,139.54,139.64,139.48,139.58,8833
2025-03-03 10:30:00-05:00,139.6,139.62,139.29,139.36,9928
2025-03-03 10:35:00-05:00,139.33,139.44,139.27,139.42,5680
2025-03-03 10:40:00-05:00,139.4,139.49,139.35,139.425,5970
2025-03-03 10:45:00-05:00,139.41,139.42,139.17,139.18,8862
2025-03-03 10:50:00-05:00,139.19,139.25,139.02,139.21,13752
2025-03-03 10:55:00-05:00,139.24,139.34,139.15,139.29,7786
2025-03-03 11:00:00-05:00,139.3,139.365,139.11,139.34,13872
2025-03-03 11:05:00-05:00,139.36,139.38,139.19,139.26,6450
2025-03-03 11:10:00-05:00,139.27,139.43,139.27,139.3,12506
2025-03-03 11:15:00-05:00,139.29,139.58,139.29,139.58,9514
2025-03-03 11:20:00-05:00,139.58,139.97,139.57,139.965,7106
2025-03-03 11:25:00-05:00,139.965,139.97,139.63,139.66,12340
2025-03-03 11:30:00-05:00,139.67,139.78,139.65,139.72,23951
2025-03-03 11:35:00-05:00,139.72,139.87,139.6,139.73,16800
2025-03-03 11:40:00-05:00,139.74,139.95,139.65,139.83,15013
2025-03-03 11:45:00-05:00,139.82,140.05,139.81,140.04,19996
2025-03-03 11:50:00-05:00,140.04,140.06,139.92,139.99,11753
2025-03-03 11:55:00-05:00,140.0,140.15,139.99,139.99,10096
2025-03-03 12:00:00-05:00,140.0,140.14,139.89,140.03,11476
2025-03-03 12:05:00-05:00,140.03,140.12,139.96,140.0,8305
2025-03-03 12:10:00-05:00,140.02,140.38,140.0,140.23,16191
2025-03-03 12:15:00-05:00,140.22,140.43,140.14,140.41,13761
2025-03-03 12:20:00-05:00,140.42,140.59,140.39,140.47,16554
2025-03-03 12:25:00-05:00,140.475,140.62,140.39,140.61,15794
2025-03-03 12:30:00-05:00,140.61,140.66,140.41,140.41,7967
2025-03-03 12:35:00-05:00,140.43,140.6,140.36,140.36,11777
2025-03-03 12:40:00-05:00,140.36,140.485,140.32,140.48,5529
2025-03-03 12:45:00-05:00,140.495,140.74,140.47,140.69,10151
2025-03-03 12:50:00-05:00,140.71,140.83,140.69,140.765,13755
2025-03-03 12:55:00-05:00,140.76,140.79,140.56,140.6,17979
2025-03-03 13:00:00-05:00,140.59,140.68,140.52,140.6,15290
2025-03-03 13:05:00-05:00,140.59,140.64,140.47,140.64,9140
2025-03-03 13:10:00-05:00,140.61,140.8,140.5,140.53,18147
2025-03-03 13:15:00-05:00,140.56,140.64,140.5,140.64,13648
2025-03-03 13:20:00-05:00,140.64,140.66,140.4,140.46,16981
2025-03-03 13:25:00-05:00,140.45,140.54,140.38,140.45,11849
2025-03-03 13:30:00-05:00,140.44,140.5,140.09,140.17,21247
2025-03-03 13:35:00-05:00,140.19,140.28,140.17,140.25,7723
2025-03-03 13:40:00-05:00,140.25,140.37,140.23,140.35,8791
2025-03-03 13:45:00-05:00,140.34,140.35,140.13,140.21,13105
2025-03-03 13:50:00-05:00,140.2,140.28,140.14,140.22,7709
2025-03-03 13:55:00-05:00,140.21,140.21,139.99,140.11,8178
2025-03-03 14:00:00-05:00,140.1,140.36,140.1,140.33,11372
2025-03-03 14:05:00-05:00,140.33,140.33,140.12,140.165,11651
2025-03-03 14:10:00-05:00,140.15,140.28,140.14,140.22,7633
2025-03-03 14:15:00-05:00,140.2,140.21,139.94,139.95,25543
2025-03-03 14:20:00-05:00,139.91,140.065,139.9,139.94,8036
2025-03-03 14:25:00-05:00,139.95,140.09,139.95,140.02,12589
2025-03-03 14:30:00-05:00,140.025,140.18,139.99,140.075,8388
2025-03-03 14:35:00-05:00,140.075,140.195,140.07,140.18,9356
2025-03-03 14:40:00-05:00,140.19,140.37,140.19,140.33,9869
2025-03-03 14:45:00-05:00,140.33,140.33,140.12,140.12,8596
2025-03-03 14:50:00-05:00,140.12,140.18,139.78,139.88,23617
2025-03-03 14:55:00-05:00,139.87,139.97,139.8,139.84,12686
2025-03-03 15:00:00-05:00,139.84,139.88,139.52,139.7,15563
2025-03-03 15:05:00-05:00,139.71,139.79,139.605,139.76,20256
2025-03-03 15:10:00-05:00,139.755,139.77,139.57,139.72,21483
2025-03-03 15:15:00-05:00,139.74,139.81,139.62,139.69,18959
2025-03-03 15:20:00-05:00,139.68,140.1,139.645,140.06,22381
2025-03-03 15:25:00-05:00,140.06,140.14,139.89,139.91,23319
2025-03-03 15:30:00-05:00,139.91,139.98,139.77,139.84,20551
2025-03-03 15:35:00-05:00,139.84,139.875,139.65,139.77,23282
2025-03-03 15:40:00-05:00,139.77,140.12,139.72,140.08,27113
2025-03-03 15:45:00-05:00,140.07,140.29,140.06,140.12,29819
2025-03-03 15:50:00-05:00,140.12,140.17,139.885,140.1,31752
2025-03-03 15:55:00-05:00,140.12,140.27,140.05,140.24,77776
2025-03-04 09:30:00-05:00,141.0,141.22,139.99,140.58,24311
2025-03-04 09:35:00-05:00,140.73,140.73,140.2,140.55,19996
2025-03-04 09:40:00-05:00,140.56,140.84,140.2,140.2,42250
2025-03-04 09:45:00-05:00,140.34,140.57,140.22,140.345,10678
2025-03-04 09:50:00-05:00,140.31,140.58,140.19,140.48,31074
2025-03-04 09:55:00-05:00,140.475,140.53,140.06,140.23,23031
2025-03-04 10:00:00-05:00,140.2,140.57,140.18,140.45,21020
2025-03-04 10:05:00-05:00,140.47,140.75,140.37,140.43,17907
2025-03-04 10:10:00-05:00,140.34,140.38,139.905,139.93,21976
2025-03-04 10:15:00-05:00,139.95,140.28,139.95,140.23,16782
2025-03-04 10:20:00-05:00,140.23,140.69,140.15,140.58,11969
2025-03-04 10:25:00-05:00,140.575,140.88,140.42,140.82,24140
2025-03-04 10:30:00-05:00,140.85,140.93,140.52,140.55,16885
2025-03-04 10:35:00-05:00,140.54,140.56,140.24,140.47,21556
2025-03-04 10:40:00-05:00,140.41,140.48,140.18,140.28,12789
2025-03-04 10:45:00-05:00,140.255,140.27,139.72,139.98,12336
2025-03-04 10:50:00-05:00,139.99,140.03,139.68,139.78,10632
2025-03-04 10:55:00-05:00,139.76,139.86,139.45,139.62,7363
2025-03-04 11:00:00-05:00,139.64,140.0,139.58,139.93,10230
2025-03-04 11:05:00-05:00,139.93,140.02,139.78,139.78,7394
2025-03-04 11:10:00-05:00,139.74,140.01,139.66,139.88,7813
2025-03-04 11:15:00-05:00,139.86,139.88,139.64,139.64,8705
2025-03-04 11:20:00-05:00,139.67,139.79,139.54,139.59,8650
2025-03-04 11:25:00-05:00,139.595,139.82,139.48,139.75,7185
2025-03-04 11:30:00-05:00,139.78,139.85,139.51,139.64,8219
2025-03-04 11:35:00-05:00,139.615,139.91,139.33,139.38,5421
2025-03-04 11:40:00-05:00,139.385,139.64,139.36,139.57,4342
2025-03-04 11:45:00-05:00,139.55,139.64,139.47,139.5,4149
2025-03-04 11:50:00-05:00,139.54,139.62,139.34,139.49,5878
2025-03-04 11:55:00-05:00,139.5,139.52,139.25,139.4,5130
2025-03-04 12:00:00-05:00,139.43,139.45,139.11,139.11,9603
2025-03-04 12:05:00-05:00,139.13,139.23,139.0,139.0,3191
2025-03-04 12:10:00-05:00,139.005,139.12,138.93,139.06,5604
2025-03-04 12:15:00-05:00,139.06,139.12,138.91,139.05,7430
2025-03-04 12:20:00-05:00,139.03,139.03,138.76,138.9,8172
2025-03-04 12:25:00-05:00,138.89,138.99,138.825,138.95,5793
2025-03-04 12:30:00-05:00,138.95,139.1,138.83,139.025,11653
2025-03-04 12:35:00-05:00,139.0,139.06,138.85,138.97,8158
2025-03-04 12:40:00-05:00,138.98,139.02,138.78,138.88,6813
2025-03-04 12:45:00-05:00,138.89,138.9,138.75,138.77,3816
2025-03-04 12:50:00-05:00,138.76,138.78,138.56,138.65,5452
2025-03-04 12:55:00-05:00,138.665,138.67,138.15,138.22,20148
2025-03-04 13:00:00-05:00,138.2,138.27,138.07,138.19,14023
2025-03-04 13:05:00-05:00,138.18,138.31,138.03,138.23,9284
