ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,232.76,233.31,231.0,231.15,49408
2025-03-03 09:35:00-05:00,231.23,232.47,230.75,231.38,11715
2025-03-03 09:40:00-05:00,231.31,231.41,229.75,230.2,16422
2025-03-03 09:45:00-05:00,230.045,230.76,229.62,230.16,6342
2025-03-03 09:50:00-05:00,230.21,231.18,230.13,230.945,7460
2025-03-03 09:55:00-05:00,230.97,231.31,230.41,230.78,13244
2025-03-03 10:00:00-05:00,230.66,232.3,229.67,232.3,16784
2025-03-03 10:05:00-05:00,232.26,232.72,231.22,231.285,9817
2025-03-03 10:10:00-05:00,231.26,231.65,230.74,230.83,11129
2025-03-03 10:15:00-05:00,230.73,230.83,230.15,230.38,5690
2025-03-03 10:20:00-05:00,230.52,231.8,230.51,231.54,5100
2025-03-03 10:25:00-05:00,231.61,233.27,231.53,233.27,6832
2025-03-03 10:30:00-05:00,233.28,233.825,232.59,232.91,11325
2025-03-03 10:35:00-05:00,232.85,232.88,232.07,232.88,9234
2025-03-03 10:40:00-05:00,232.86,233.43,232.64,233.43,5521
2025-03-03 10:45:00-05:00,233.36,233.4,232.31,232.68,4277
2025-03-03 10:50:00-05:00,232.68,233.12,232.41,232.98,4214
2025-03-03 10:55:00-05:00,233.05,233.05,232.54,232.89,9204
2025-03-03 11:00:00-05:00,232.9,233.49,232.89,233.05,7349
2025-03-03 11:05:00-05:00,233.15,233.33,232.54,232.58,5020
2025-03-03 11:10:00-05:00,232.63,232.86,231.81,232.08,9770
2025-03-03 11:15:00-05:00,232.1,232.24,231.65,232.14,8566
2025-03-03 11:20:00-05:00,232.13,232.7,232.06,232.425,14113
2025-03-03 11:25:00-05:00,232.37,232.55,231.33,231.49,11001
2025-03-03 11:30:00-05:00,231.59,231.82,231.3,231.41,8943
2025-03-03 11:35:00-05:00,231.41,231.55,231.05,231.1,4974
2025-03-03 11:40:00-05:00,231.05,231.35,230.88,231.12,8832
2025-03-03 11:45:00-05:00,231.12,231.72,231.12,231.68,5403
2025-03-03 11:50:00-05:00,231.665,232.18,231.665,231.95,8365
2025-03-03 11:55:00-05:00,232.0,232.39,231.73,232.175,10559
2025-03-03 12:00:00-05:00,232.09,232.2,231.9,232.03,5835
2025-03-03 12:05:00-05:00,232.0,232.62,231.97,232.47,5166
2025-03-03 12:10:00-05:00,232.5,232.89,232.49,232.89,4756
2025-03-03 12:15:00-05:00,232.855,233.02,232.67,232.91,3771
2025-03-03 12:20:00-05:00,232.94,233.62,232.93,233.62,9714
2025-03-03 12:25:00-05:00,233.62,233.75,233.24,233.49,8173
2025-03-03 12:30:00-05:00,233.46,233.47,233.06,233.06,10227
2025-03-03 12:35:00-05:00,233.14,233.22,232.79,233.0,4303
2025-03-03 12:40:00-05:00,233.01,233.11,232.68,232.79,4306
2025-03-03 12:45:00-05:00,232.7,232.72,232.35,232.41,5342
2025-03-03 12:50:00-05:00,232.43,232.45,232.03,232.06,4999
2025-03-03 12:55:00-05:00,232.04,232.16,231.43,231.64,4283
2025-03-03 13:00:00-05:00,231.59,231.66,230.97,230.99,6463
2025-03-03 13:05:00-05:00,230.99,231.13,230.46,230.51,6633
2025-03-03 13:10:00-05:00,230.51,230.51,229.95,230.13,8102
2025-03-03 13:15:00-05:00,230.1,230.79,230.09,230.69,4766
2025-03-03 13:20:00-05:00,230.72,230.98,230.35,230.86,7126
2025-03-03 13:25:00-05:00,230.84,230.84,230.2,230.38,6740
2025-03-03 13:30:00-05:00,230.39,230.71,230.09,230.28,7047
2025-03-03 13:35:00-05:00,230.275,230.6,230.14,230.16,5279
2025-03-03 13:40:00-05:00,230.15,230.77,230.14,230.71,7805
2025-03-03 13:45:00-05:00,230.72,232.29,230.64,231.5,24169
2025-03-03 13:50:00-05:00,231.55,231.8,231.46,231.49,8001
2025-03-03 13:55:00-05:00,231.54,231.88,231.34,231.835,7162
2025-03-03 14:00:00-05:00,231.77,232.2,231.7,232.03,8898
2025-03-03 14:05:00-05:00,232.03,232.12,231.77,232.03,7231
2025-03-03 14:10:00-05:00,232.03,232.17,231.7,231.73,9314
2025-03-03 14:15:00-05:00,231.8,231.86,231.18,231.42,14752
2025-03-03 14:20:00-05:00,231.44,231.79,231.4,231.76,5352
2025-03-03 14:25:00-05:00,231.74,231.74,231.21,231.475,8639
2025-03-03 14:30:00-05:00,231.56,232.0,231.56,231.79,8278
2025-03-03 14:35:00-05:00,231.73,231.82,231.38,231.81,4059
2025-03-03 14:40:00-05:00,231.81,232.51,231.81,232.245,13221
2025-03-03 14:45:00-05:00,232.21,232.28,231.17,231.22,3820
2025-03-03 14:50:00-05:00,231.27,231.37,230.1,230.395,14755
2025-03-03 14:55:00-05:00,230.47,230.7,229.67,229.75,14918
2025-03-03 15:00:00-05:00,229.78,229.78,228.6,228.77,16279
2025-03-03 15:05:00-05:00,228.81,228.96,228.3,228.37,15537
2025-03-03 15:10:00-05:00,228.38,228.55,227.36,227.83,17539
2025-03-03 15:15:00-05:00,227.84,228.15,227.23,227.33,17279
2025-03-03 15:20:00-05:00,227.335,227.4,226.12,226.12,14303
2025-03-03 15:25:00-05:00,226.23,226.55,225.99,226.2,16292
2025-03-03 15:30:00-05:00,226.18,226.83,226.18,226.59,14471
2025-03-03 15:35:00-05:00,226.61,226.79,225.93,225.97,14640
2025-03-03 15:40:00-05:00,225.91,226.21,225.7,226.08,17041
2025-03-03 15:45:00-05:00,226.165,227.41,226.16,227.11,19938
2025-03-03 15:50:00-05:00,227.03,227.45,226.89,227.3,42211
2025-03-03 15:55:00-05:00,227.23,228.6,227.02,228.57,198607
2025-03-04 09:30:00-05:00,230.28,230.56,227.21,227.62,56161
2025-03-04 09:35:00-05:00,227.83,229.68,227.62,227.67,14161
2025-03-04 09:40:00-05:00,227.62,228.27,226.16,226.85,16889
2025-03-04 09:45:00-05:00,226.87,228.5,226.4,226.83,17325
2025-03-04 09:50:00-05:00,226.95,227.48,226.585,227.08,12507
2025-03-04 09:55:00-05:00,227.37,227.7,225.8,225.8,14223
2025-03-04 10:00:00-05:00,225.89,225.89,224.88,224.9,22119
2025-03-04 10:05:00-05:00,224.9,225.24,224.01,224.29,20194
2025-03-04 10:10:00-05:00,224.25,225.34,223.89,224.47,9236
2025-03-04 10:15:00-05:00,224.54,225.35,224.4,224.95,11041
2025-03-04 10:20:00-05:00,225.03,225.68,224.66,225.46,17663
2025-03-04 10:25:00-05:00,225.28,226.15,224.98,225.82,11745
