ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,159.6,160.31,158.24,158.295,93179
2025-03-03 09:35:00-05:00,158.295,158.51,156.2,156.94,31350
2025-03-03 09:40:00-05:00,156.94,157.03,155.45,155.685,42268
2025-03-03 09:45:00-05:00,155.64,156.5,155.5,155.9,31058
2025-03-03 09:50:00-05:00,155.96,156.73,155.88,156.215,35584
2025-03-03 09:55:00-05:00,156.28,156.5,155.71,156.03,31728
2025-03-03 10:00:00-05:00,156.03,156.6,155.15,156.375,47739
2025-03-03 10:05:00-05:00,156.45,156.5,155.48,155.56,30346
2025-03-03 10:10:00-05:00,155.46,156.2,155.08,156.14,36445
2025-03-03 10:15:00-05:00,156.1,157.0,155.49,157.0,34860
2025-03-03 10:20:00-05:00,156.99,158.35,156.99,157.82,24381
2025-03-03 10:25:00-05:00,157.85,159.5,157.69,159.42,31732
2025-03-03 10:30:00-05:00,159.46,160.02,158.84,159.33,34939
2025-03-03 10:35:00-05:00,159.25,159.36,158.4,159.12,53441
2025-03-03 10:40:00-05:00,159.21,159.65,158.92,159.55,21999
2025-03-03 10:45:00-05:00,159.54,159.61,158.675,158.865,22770
2025-03-03 10:50:00-05:00,158.845,159.17,158.56,158.99,17025
2025-03-03 10:55:00-05:00,159.05,159.05,158.34,158.5,14900
2025-03-03 11:00:00-05:00,158.5,159.03,158.17,158.44,18483
2025-03-03 11:05:00-05:00,158.44,158.54,157.56,157.71,22145
2025-03-03 11:10:00-05:00,157.76,157.91,157.13,157.25,13689
2025-03-03 11:15:00-05:00,157.255,157.32,156.85,157.16,23832
2025-03-03 11:20:00-05:00,157.11,157.91,157.1,157.85,11329
2025-03-03 11:25:00-05:00,157.81,157.81,156.98,157.38,21538
2025-03-03 11:30:00-05:00,157.47,157.59,156.9,157.0,20395
2025-03-03 11:35:00-05:00,156.98,157.06,156.46,156.57,13081
2025-03-03 11:40:00-05:00,156.58,156.84,156.21,156.44,13473
2025-03-03 11:45:00-05:00,156.41,157.1,156.36,157.02,11449
2025-03-03 11:50:00-05:00,157.01,157.6,156.99,157.19,15896
2025-03-03 11:55:00-05:00,157.255,157.42,157.05,157.2,27911
2025-03-03 12:00:00-05:00,157.2,157.275,157.01,157.15,12078
2025-03-03 12:05:00-05:00,157.13,157.44,157.06,157.26,12099
2025-03-03 12:10:00-05:00,157.27,157.33,157.11,157.23,8080
2025-03-03 12:15:00-05:00,157.25,157.35,157.04,157.28,12286
2025-03-03 12:20:00-05:00,157.28,157.31,157.11,157.25,8191
2025-03-03 12:25:00-05:00,157.26,157.36,157.0,157.28,9502
2025-03-03 12:30:00-05:00,157.24,157.27,156.85,156.88,7125
2025-03-03 12:35:00-05:00,156.89,156.96,156.58,156.82,10313
2025-03-03 12:40:00-05:00,156.84,156.99,156.72,156.75,11282
2025-03-03 12:45:00-05:00,156.7,156.7,156.15,156.49,8100
2025-03-03 12:50:00-05:00,156.49,156.67,156.29,156.29,6121
