ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,101.51,102.33,101.02,101.91,599164
2025-03-03 09:35:00-05:00,101.93,102.18,101.1,101.19,204340
2025-03-03 09:40:00-05:00,101.16,101.31,100.21,100.26,160052
2025-03-03 09:45:00-05:00,100.24,100.91,100.06,100.16,157177
2025-03-03 09:50:00-05:00,100.17,100.66,100.17,100.44,117600
2025-03-03 09:55:00-05:00,100.46,100.55,99.67,99.83,173551
2025-03-03 10:00:00-05:00,99.82,100.13,99.27,100.02,169628
2025-03-03 10:05:00-05:00,100.05,100.41,99.79,99.9,101790
2025-03-03 10:10:00-05:00,99.89,100.37,99.8,99.95,90378
2025-03-03 10:15:00-05:00,99.93,100.15,99.73,100.07,90771
2025-03-03 10:20:00-05:00,100.11,100.89,100.07,100.69,79896
2025-03-03 10:25:00-05:00,100.69,101.285,100.53,101.27,96212
2025-03-03 10:30:00-05:00,101.26,101.5,101.08,101.29,99345
2025-03-03 10:35:00-05:00,101.29,101.3,100.76,101.08,84057
2025-03-03 10:40:00-05:00,101.07,101.34,100.88,101.33,41791
2025-03-03 10:45:00-05:00,101.32,101.35,100.82,100.97,46485
2025-03-03 10:50:00-05:00,100.97,101.28,100.91,101.14,39483
2025-03-03 10:55:00-05:00,101.17,101.21,100.82,100.83,37775
2025-03-03 11:00:00-05:00,100.85,101.28,100.85,101.21,40277
2025-03-03 11:05:00-05:00,101.185,101.41,100.97,101.065,31342
2025-03-03 11:10:00-05:00,101.09,101.33,100.92,101.22,37443
2025-03-03 11:15:00-05:00,101.22,101.25,100.98,101.21,30735
2025-03-03 11:20:00-05:00,101.2,101.59,101.16,101.56,31270
2025-03-03 11:25:00-05:00,101.55,101.55,101.01,101.05,42143
2025-03-03 11:30:00-05:00,101.07,101.14,100.8,100.89,73941
2025-03-03 11:35:00-05:00,100.86,101.02,100.66,100.8,59715
2025-03-03 11:40:00-05:00,100.8,100.96,100.59,100.7,53738
2025-03-03 11:45:00-05:00,100.7,101.135,100.69,101.13,39826
2025-03-03 11:50:00-05:00,101.11,101.5,101.1,101.46,38418
2025-03-03 11:55:00-05:00,101.46,101.58,101.39,101.51,37730
2025-03-03 12:00:00-05:00,101.5,101.56,101.35,101.46,30549
2025-03-03 12:05:00-05:00,101.45,101.72,101.39,101.5,47760
2025-03-03 12:10:00-05:00,101.51,101.63,101.44,101.54,40160
2025-03-03 12:15:00-05:00,101.55,101.66,101.39,101.58,25379
2025-03-03 12:20:00-05:00,101.59,101.69,101.56,101.61,26782
2025-03-03 12:25:00-05:00,101.6,101.68,101.42,101.56,40040
2025-03-03 12:30:00-05:00,101.57,101.585,101.18,101.23,27522
2025-03-03 12:35:00-05:00,101.21,101.27,101.09,101.25,20475
2025-03-03 12:40:00-05:00,101.25,101.56,101.23,101.33,28417
2025-03-03 12:45:00-05:00,101.34,101.34,100.93,101.16,39070
2025-03-03 12:50:00-05:00,101.14,101.19,100.81,100.82,30899
2025-03-03 12:55:00-05:00,100.81,100.89,100.51,100.62,42945
2025-03-03 13:00:00-05:00,100.61,100.705,100.29,100.3,75168
2025-03-03 13:05:00-05:00,100.29,100.3,99.82,99.86,98185
2025-03-03 13:10:00-05:00,99.84,99.845,99.44,99.555,97887
2025-03-03 13:15:00-05:00,99.55,100.03,99.55,99.835,78311
2025-03-03 13:20:00-05:00,99.84,100.02,99.66,99.87,45899
2025-03-03 13:25:00-05:00,99.88,99.88,99.32,99.42,63320
2025-03-03 13:30:00-05:00,99.42,99.63,99.21,99.43,70995
2025-03-03 13:35:00-05:00,99.43,99.53,99.23,99.32,56390
2025-03-03 13:40:00-05:00,99.31,99.85,99.31,99.59,61711
2025-03-03 13:45:00-05:00,99.6,100.44,99.48,99.93,93230
2025-03-03 13:50:00-05:00,99.93,100.09,99.83,99.915,41410
2025-03-03 13:55:00-05:00,99.91,100.2,99.68,100.12,71510
2025-03-03 14:00:00-05:00,100.11,100.43,100.04,100.2,103115
2025-03-03 14:05:00-05:00,100.24,100.3,100.1,100.2,48341
2025-03-03 14:10:00-05:00,100.19,100.23,99.89,99.93,50239
2025-03-03 14:15:00-05:00,99.94,99.97,99.59,99.68,54931
2025-03-03 14:20:00-05:00,99.67,99.94,99.67,99.91,30223
2025-03-03 14:25:00-05:00,99.9,99.9,99.59,99.63,37219
