ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,213.17,214.01,212.17,213.64,950512
2025-03-03 09:35:00-05:00,213.63,213.8,211.31,211.44,227484
2025-03-03 09:40:00-05:00,211.47,211.76,210.82,211.395,205324
2025-03-03 09:45:00-05:00,211.37,212.19,211.0,211.08,140575
2025-03-03 09:50:00-05:00,211.08,211.5,210.66,210.78,116300
2025-03-03 09:55:00-05:00,210.81,210.9,209.44,209.91,231338
2025-03-03 10:00:00-05:00,209.92,210.48,208.99,210.365,209064
2025-03-03 10:05:00-05:00,210.365,210.55,209.37,209.58,104153
2025-03-03 10:10:00-05:00,209.585,210.63,209.48,209.82,80104
2025-03-03 10:15:00-05:00,209.81,210.34,209.62,209.7,73787
2025-03-03 10:20:00-05:00,209.68,210.97,209.65,210.45,78208
2025-03-03 10:25:00-05:00,210.44,210.77,210.27,210.68,68264
2025-03-03 10:30:00-05:00,210.68,210.9,210.01,210.29,108734
2025-03-03 10:35:00-05:00,210.28,210.53,209.77,210.37,91554
2025-03-03 10:40:00-05:00,210.33,210.82,210.08,210.79,63608
2025-03-03 10:45:00-05:00,210.715,210.72,209.83,210.04,77002
2025-03-03 10:50:00-05:00,210.04,210.49,209.88,210.03,65585
2025-03-03 10:55:00-05:00,210.02,210.08,208.88,209.07,91409
2025-03-03 11:00:00-05:00,209.07,209.735,209.07,209.46,75375
2025-03-03 11:05:00-05:00,209.43,209.66,209.22,209.39,53736
2025-03-03 11:10:00-05:00,209.39,209.6,209.05,209.47,73510
2025-03-03 11:15:00-05:00,209.45,209.55,209.12,209.38,60823
2025-03-03 11:20:00-05:00,209.38,209.99,209.31,209.88,64273
2025-03-03 11:25:00-05:00,209.87,209.87,208.63,208.675,80918
2025-03-03 11:30:00-05:00,208.66,208.86,208.27,208.34,127626
2025-03-03 11:35:00-05:00,208.34,208.71,207.97,208.15,97829
2025-03-03 11:40:00-05:00,208.15,208.2,207.79,208.03,121969
2025-03-03 11:45:00-05:00,208.01,208.87,207.91,208.87,79156
2025-03-03 11:50:00-05:00,208.85,209.05,208.66,208.7,53617
2025-03-03 11:55:00-05:00,208.7,208.99,208.61,208.86,60818
2025-03-03 12:00:00-05:00,208.83,209.0,208.64,208.91,48721
2025-03-03 12:05:00-05:00,208.89,209.03,208.645,208.7,44757
2025-03-03 12:10:00-05:00,208.7,208.87,208.57,208.8,39538
2025-03-03 12:15:00-05:00,208.79,209.18,208.675,209.03,47404
2025-03-03 12:20:00-05:00,209.03,209.39,208.93,209.02,47115
2025-03-03 12:25:00-05:00,209.02,209.3,208.83,209.24,51763
2025-03-03 12:30:00-05:00,209.24,209.39,209.1,209.21,45774
2025-03-03 12:35:00-05:00,209.21,209.5,208.96,209.38,35342
2025-03-03 12:40:00-05:00,209.38,209.54,209.3,209.4,47351
2025-03-03 12:45:00-05:00,209.39,209.42,208.99,209.37,63922
2025-03-03 12:50:00-05:00,209.35,209.39,209.05,209.06,50609
2025-03-03 12:55:00-05:00,209.05,209.18,208.73,209.13,63680
2025-03-03 13:00:00-05:00,209.11,209.23,208.69,208.86,69153
2025-03-03 13:05:00-05:00,208.87,208.88,208.03,208.125,61511
2025-03-03 13:10:00-05:00,208.11,208.26,207.65,207.69,88080
2025-03-03 13:15:00-05:00,207.69,208.03,207.57,207.85,87089
2025-03-03 13:20:00-05:00,207.85,208.46,207.72,208.28,70685
2025-03-03 13:25:00-05:00,208.29,208.29,207.29,207.44,87514
2025-03-03 13:30:00-05:00,207.44,207.71,207.15,207.36,84126
2025-03-03 13:35:00-05:00,207.37,207.53,206.65,206.91,123164
2025-03-03 13:40:00-05:00,206.89,207.6,206.83,207.37,76057
2025-03-03 13:45:00-05:00,207.36,208.21,207.07,207.49,128970
2025-03-03 13:50:00-05:00,207.49,207.97,207.35,207.6,55461
2025-03-03 13:55:00-05:00,207.59,208.03,207.48,207.87,63104
2025-03-03 14:00:00-05:00,207.86,208.31,207.78,208.12,57003
2025-03-03 14:05:00-05:00,208.1,208.21,207.87,207.95,61134
2025-03-03 14:10:00-05:00,207.94,207.94,207.4,207.54,80900
2025-03-03 14:15:00-05:00,207.55,207.63,207.09,207.13,104348
2025-03-03 14:20:00-05:00,207.11,207.62,207.1,207.4,84528
2025-03-03 14:25:00-05:00,207.38,207.4,207.13,207.24,74198
2025-03-03 14:30:00-05:00,207.25,207.9,207.22,207.76,79034
2025-03-03 14:35:00-05:00,207.74,207.9,207.29,207.83,88550
2025-03-03 14:40:00-05:00,207.83,208.17,207.78,208.06,90818
2025-03-03 14:45:00-05:00,208.04,208.04,207.3,207.35,68848
2025-03-03 14:50:00-05:00,207.34,207.56,206.09,206.4,183743
2025-03-03 14:55:00-05:00,206.41,206.8,206.09,206.17,134244
2025-03-03 15:00:00-05:00,206.15,206.16,205.02,205.28,167601
2025-03-03 15:05:00-05:00,205.29,205.57,204.59,204.7,219145
2025-03-03 15:10:00-05:00,204.72,204.81,203.83,204.22,284273
2025-03-03 15:15:00-05:00,204.22,205.295,204.2,204.63,174341
2025-03-03 15:20:00-05:00,204.63,204.86,204.16,204.21,156894
2025-03-03 15:25:00-05:00,204.22,204.52,203.98,204.24,150145
2025-03-03 15:30:00-05:00,204.24,204.96,203.93,204.07,191936
2025-03-03 15:35:00-05:00,204.05,204.21,203.32,203.39,240294
2025-03-03 15:40:00-05:00,203.38,203.54,202.54,202.87,320988
2025-03-03 15:45:00-05:00,202.84,203.93,202.79,203.58,289818
2025-03-03 15:50:00-05:00,203.57,204.06,203.23,203.985,442777
2025-03-03 15:55:00-05:00,204.0,205.08,203.98,205.05,1092029
2025-03-04 09:30:00-05:00,200.0,202.1,199.02,200.42,2611111
2025-03-04 09:35:00-05:00,200.46,201.56,200.14,200.26,375969
2025-03-04 09:40:00-05:00,200.265,201.08,199.07,200.17,302734
2025-03-04 09:45:00-05:00,200.17,201.36,199.75,200.52,241083
2025-03-04 09:50:00-05:00,200.54,200.73,199.5,200.23,188349
2025-03-04 09:55:00-05:00,200.28,201.14,199.87,199.91,178578
2025-03-04 10:00:00-05:00,199.87,199.87,198.69,199.36,295140
2025-03-04 10:05:00-05:00,199.36,199.66,198.56,198.93,216772
2025-03-04 10:10:00-05:00,198.92,199.97,198.55,199.45,236998
2025-03-04 10:15:00-05:00,199.44,199.46,197.77,198.16,328052
2025-03-04 10:20:00-05:00,198.15,198.43,197.43,197.96,292570
2025-03-04 10:25:00-05:00,197.95,198.68,197.78,198.33,211165
2025-03-04 10:30:00-05:00,198.33,199.65,197.93,199.16,258917
2025-03-04 10:35:00-05:00,199.14,199.89,199.1,199.45,168536
2025-03-04 10:40:00-05:00,199.47,199.97,198.89,199.5,166710
2025-03-04 10:45:00-05:00,199.45,199.99,199.08,199.72,191388
2025-03-04 10:50:00-05:00,199.71,199.84,199.07,199.15,145084
2025-03-04 10:55:00-05:00,199.17,199.58,198.77,199.36,166298
2025-03-04 11:00:00-05:00,199.33,199.66,198.57,198.97,133038
2025-03-04 11:05:00-05:00,198.96,199.42,198.55,198.76,120398
2025-03-04 11:10:00-05:00,198.78,199.68,198.62,199.58,108855
2025-03-04 11:15:00-05:00,199.56,199.97,199.36,199.45,90234
2025-03-04 11:20:00-05:00,199.44,199.79,199.41,199.66,122887
2025-03-04 11:25:00-05:00,199.64,199.93,198.84,199.42,142671
2025-03-04 11:30:00-05:00,199.39,200.42,199.35,200.19,169399
2025-03-04 11:35:00-05:00,200.18,200.51,199.96,200.01,99059
2025-03-04 11:40:00-05:00,200.0,201.15,199.91,201.04,108350
2025-03-04 11:45:00-05:00,201.04,201.63,200.8,201.57,114784
2025-03-04 11:50:00-05:00,201.55,201.95,200.98,201.77,129094
2025-03-04 11:55:00-05:00,201.775,202.16,201.26,201.44,153040
2025-03-04 12:00:00-05:00,201.46,201.7,201.16,201.45,84785
2025-03-04 12:05:00-05:00,201.45,201.57,201.08,201.22,60086
2025-03-04 12:10:00-05:00,201.24,201.95,201.19,201.91,90410
2025-03-04 12:15:00-05:00,201.91,202.24,201.74,202.04,83366
2025-03-04 12:20:00-05:00,202.01,202.88,201.98,202.4,168247
2025-03-04 12:25:00-05:00,202.42,203.46,202.4,203.055,145443
2025-03-04 12:30:00-05:00,203.05,203.05,202.22,202.65,85720
2025-03-04 12:35:00-05:00,202.64,203.02,202.56,202.95,61534
2025-03-04 12:40:00-05:00,202.94,203.0,201.91,202.13,127564
2025-03-04 12:45:00-05:00,202.12,202.84,202.1,202.64,73214
2025-03-04 12:50:00-05:00,202.65,202.65,201.99,202.47,63569
2025-03-04 12:55:00-05:00,202.47,202.47,202.15,202.35,58772
2025-03-04 13:00:00-05:00,202.35,202.59,202.03,202.42,66651
2025-03-04 13:05:00-05:00,202.42,203.27,202.33,203.2,65538
2025-03-04 13:10:00-05:00,203.17,203.76,203.11,203.51,113652
2025-03-04 13:15:00-05:00,203.5,203.51,203.04,203.23,74621
2025-03-04 13:20:00-05:00,203.26,203.32,202.66,202.84,64932
