ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,46.21,46.41,46.14,46.31,112448
2025-03-03 09:35:00-05:00,46.31,46.59,46.285,46.49,94971
2025-03-03 09:40:00-05:00,46.5,46.595,46.44,46.45,75083
2025-03-03 09:45:00-05:00,46.45,46.67,46.41,46.59,83873
2025-03-03 09:50:00-05:00,46.58,46.67,46.53,46.65,70044
2025-03-03 09:55:00-05:00,46.66,46.66,46.49,46.53,64130
2025-03-03 10:00:00-05:00,46.52,46.665,46.33,46.645,134723
2025-03-03 10:05:00-05:00,46.65,46.67,46.535,46.535,78625
2025-03-03 10:10:00-05:00,46.53,46.635,46.49,46.59,65954
2025-03-03 10:15:00-05:00,46.595,46.635,46.52,46.55,51411
2025-03-03 10:20:00-05:00,46.55,46.71,46.52,46.695,61364
2025-03-03 10:25:00-05:00,46.69,46.7,46.585,46.7,41504
2025-03-03 10:30:00-05:00,46.7,46.91,46.655,46.785,128844
2025-03-03 10:35:00-05:00,46.785,46.845,46.735,46.76,53333
2025-03-03 10:40:00-05:00,46.755,46.945,46.74,46.945,53548
2025-03-03 10:45:00-05:00,46.945,46.945,46.77,46.815,72853
2025-03-03 10:50:00-05:00,46.815,46.865,46.805,46.835,56981
2025-03-03 10:55:00-05:00,46.84,46.85,46.69,46.695,60797
2025-03-03 11:00:00-05:00,46.7,46.8,46.695,46.715,49840
2025-03-03 11:05:00-05:00,46.72,46.73,46.545,46.585,50090
2025-03-03 11:10:00-05:00,46.59,46.61,46.49,46.59,72103
2025-03-03 11:15:00-05:00,46.595,46.6,46.55,46.55,29737
2025-03-03 11:20:00-05:00,46.55,46.57,46.49,46.495,31340
2025-03-03 11:25:00-05:00,46.49,46.51,46.405,46.44,29608
2025-03-03 11:30:00-05:00,46.44,46.46,46.375,46.375,37359
2025-03-03 11:35:00-05:00,46.37,46.42,46.335,46.34,30630
2025-03-03 11:40:00-05:00,46.33,46.33,46.23,46.25,42398
2025-03-03 11:45:00-05:00,46.25,46.365,46.24,46.355,35343
2025-03-03 11:50:00-05:00,46.35,46.37,46.265,46.28,39697
2025-03-03 11:55:00-05:00,46.285,46.365,46.275,46.365,43503
2025-03-03 12:00:00-05:00,46.36,46.435,46.34,46.435,19143
2025-03-03 12:05:00-05:00,46.44,46.485,46.415,46.415,23568
2025-03-03 12:10:00-05:00,46.42,46.505,46.42,46.475,18583
2025-03-03 12:15:00-05:00,46.475,46.48,46.445,46.465,13925
2025-03-03 12:20:00-05:00,46.465,46.485,46.45,46.475,24592
2025-03-03 12:25:00-05:00,46.48,46.505,46.455,46.46,12933
2025-03-03 12:30:00-05:00,46.46,46.515,46.455,46.485,18881
2025-03-03 12:35:00-05:00,46.485,46.505,46.47,46.485,18067
2025-03-03 12:40:00-05:00,46.49,46.55,46.49,46.51,24123
2025-03-03 12:45:00-05:00,46.515,46.535,46.49,46.52,17767
2025-03-03 12:50:00-05:00,46.51,46.515,46.45,46.45,18266
2025-03-03 12:55:00-05:00,46.45,46.45,46.395,46.43,17942
2025-03-03 13:00:00-05:00,46.42,46.435,46.345,46.37,35571
2025-03-03 13:05:00-05:00,46.375,46.375,46.27,46.3,24550
2025-03-03 13:10:00-05:00,46.3,46.3,46.25,46.28,36240
2025-03-03 13:15:00-05:00,46.27,46.315,46.215,46.22,21832
2025-03-03 13:20:00-05:00,46.23,46.25,46.15,46.19,45148
2025-03-03 13:25:00-05:00,46.19,46.19,45.99,46.01,31152
2025-03-03 13:30:00-05:00,46.01,46.05,45.925,45.985,39092
2025-03-03 13:35:00-05:00,45.99,46.09,45.94,45.965,43558
2025-03-03 13:40:00-05:00,45.96,46.07,45.96,46.015,31592
2025-03-03 13:45:00-05:00,46.01,46.16,45.955,46.03,91000
2025-03-03 13:50:00-05:00,46.035,46.07,45.92,45.97,52613
2025-03-03 13:55:00-05:00,45.965,46.015,45.935,45.98,33919
2025-03-03 14:00:00-05:00,45.97,45.99,45.945,45.98,27535
2025-03-03 14:05:00-05:00,45.975,46.075,45.95,46.06,47395
2025-03-03 14:10:00-05:00,46.05,46.105,46.05,46.08,30262
2025-03-03 14:15:00-05:00,46.08,46.085,45.98,45.98,36348
2025-03-03 14:20:00-05:00,45.97,46.095,45.97,46.07,19767
2025-03-03 14:25:00-05:00,46.06,46.07,46.025,46.055,18657
2025-03-03 14:30:00-05:00,46.05,46.13,46.04,46.055,44984
2025-03-03 14:35:00-05:00,46.05,46.05,45.985,46.035,22622
2025-03-03 14:40:00-05:00,46.04,46.105,46.04,46.075,29363
2025-03-03 14:45:00-05:00,46.07,46.07,45.985,45.985,15772
