ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,176.99,178.11,176.5,177.6,17579
2025-03-03 09:35:00-05:00,177.61,178.4,176.49,176.585,12246
2025-03-03 09:40:00-05:00,176.71,177.0,176.19,176.83,7747
2025-03-03 09:45:00-05:00,176.82,177.34,176.47,176.47,4455
2025-03-03 09:50:00-05:00,176.52,176.56,176.06,176.35,4222
2025-03-03 09:55:00-05:00,176.28,176.28,175.72,175.92,4264
2025-03-03 10:00:00-05:00,175.66,176.34,175.25,176.135,6344
2025-03-03 10:05:00-05:00,176.05,177.08,175.92,176.81,5942
2025-03-03 10:10:00-05:00,176.78,177.1,176.33,176.33,5511
2025-03-03 10:15:00-05:00,176.35,176.48,176.01,176.18,3491
2025-03-03 10:20:00-05:00,176.16,176.55,176.11,176.22,2053
2025-03-03 10:25:00-05:00,176.315,176.44,175.81,175.95,2932
2025-03-03 10:30:00-05:00,176.0,176.0,175.24,175.56,8267
2025-03-03 10:35:00-05:00,175.56,175.64,175.24,175.48,4301
2025-03-03 10:40:00-05:00,175.43,176.01,175.43,175.91,3179
2025-03-03 10:45:00-05:00,175.89,175.89,174.92,175.0,4866
2025-03-03 10:50:00-05:00,175.03,175.45,175.03,175.13,2894
2025-03-03 10:55:00-05:00,175.06,175.1,174.62,174.655,3714
2025-03-03 11:00:00-05:00,174.7,175.09,174.53,174.64,3961
2025-03-03 11:05:00-05:00,174.66,174.97,174.54,174.68,3482
2025-03-03 11:10:00-05:00,174.68,174.84,174.54,174.66,5107
2025-03-03 11:15:00-05:00,174.6,174.72,173.95,174.33,10529
2025-03-03 11:20:00-05:00,174.29,174.315,174.0,174.13,4144
2025-03-03 11:25:00-05:00,174.0,174.0,173.62,173.78,6488
2025-03-03 11:30:00-05:00,173.86,174.25,173.77,173.97,6861
2025-03-03 11:35:00-05:00,173.9,174.13,173.81,173.88,3365
2025-03-03 11:40:00-05:00,173.86,173.89,173.7,173.87,2748
2025-03-03 11:45:00-05:00,173.89,174.29,173.89,174.29,2034
2025-03-03 11:50:00-05:00,174.32,174.55,174.32,174.46,4996
2025-03-03 11:55:00-05:00,174.49,174.65,174.47,174.51,1508
2025-03-03 12:00:00-05:00,174.48,174.6,174.34,174.4,2411
2025-03-03 12:05:00-05:00,174.47,174.85,174.47,174.81,1776
2025-03-03 12:10:00-05:00,174.83,175.19,174.83,175.11,1932
2025-03-03 12:15:00-05:00,175.14,175.14,174.99,175.13,1704
2025-03-03 12:20:00-05:00,175.14,175.32,175.06,175.19,1616
