ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,347.58,347.78,344.54,344.915,2849
2025-03-03 09:35:00-05:00,344.82,344.82,342.7,344.2,4618
2025-03-03 09:40:00-05:00,344.25,344.8,342.54,342.54,3677
2025-03-03 09:45:00-05:00,342.605,343.59,342.21,342.215,2734
2025-03-03 09:50:00-05:00,342.42,343.68,341.965,343.18,2281
2025-03-03 09:55:00-05:00,343.29,343.29,342.0,342.0,1581
2025-03-03 10:00:00-05:00,341.87,341.87,340.29,340.96,3957
2025-03-03 10:05:00-05:00,340.63,341.06,339.79,340.16,5821
2025-03-03 10:10:00-05:00,340.02,340.93,339.93,340.42,3543
2025-03-03 10:15:00-05:00,340.12,340.75,339.99,340.75,2198
2025-03-03 10:20:00-05:00,340.75,341.7,340.75,341.07,2779
2025-03-03 10:25:00-05:00,341.19,341.78,341.16,341.52,2180
2025-03-03 10:30:00-05:00,341.56,341.78,341.13,341.54,1773
2025-03-03 10:35:00-05:00,341.55,341.55,340.76,341.17,2055
2025-03-03 10:40:00-05:00,341.13,342.51,341.04,342.51,1926
2025-03-03 10:45:00-05:00,342.52,342.52,341.405,341.57,1096
2025-03-03 10:50:00-05:00,341.46,342.16,341.46,342.04,593
2025-03-03 10:55:00-05:00,342.14,342.14,340.7,340.7,915
2025-03-03 11:00:00-05:00,340.99,341.58,340.63,340.875,1627
2025-03-03 11:05:00-05:00,341.0,341.1,340.13,340.31,2081
2025-03-03 11:10:00-05:00,340.46,340.65,339.52,340.27,834
2025-03-03 11:15:00-05:00,340.28,340.39,340.05,340.3,906
2025-03-03 11:20:00-05:00,340.29,341.14,340.26,340.89,1788
2025-03-03 11:25:00-05:00,340.89,340.89,340.15,340.15,1966
2025-03-03 11:30:00-05:00,340.15,340.41,339.74,339.74,2858
2025-03-03 11:35:00-05:00,339.57,339.96,339.34,339.56,1275
2025-03-03 11:40:00-05:00,339.63,339.63,339.3,339.44,883
2025-03-03 11:45:00-05:00,339.45,339.95,339.42,339.95,1939
2025-03-03 11:50:00-05:00,340.04,340.32,339.88,340.27,900
2025-03-03 11:55:00-05:00,340.24,340.55,340.1,340.29,1089
2025-03-03 12:00:00-05:00,340.26,340.4,339.95,340.25,1448
2025-03-03 12:05:00-05:00,340.26,340.76,340.16,340.41,904
2025-03-03 12:10:00-05:00,340.47,340.58,339.98,340.47,1766
2025-03-03 12:15:00-05:00,340.51,340.64,340.32,340.48,1555
2025-03-03 12:20:00-05:00,340.61,340.65,340.34,340.34,528
2025-03-03 12:25:00-05:00,340.36,340.36,340.04,340.04,1475
2025-03-03 12:30:00-05:00,340.14,340.14,339.61,339.83,2279
2025-03-03 12:35:00-05:00,339.85,340.25,339.63,340.25,1666
