ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,91.05,91.62,91.0,91.23,7592
2025-03-03 09:35:00-05:00,91.21,92.055,91.12,92.01,6699
2025-03-03 09:40:00-05:00,92.06,92.08,91.73,91.95,9188
2025-03-03 09:45:00-05:00,91.97,92.12,91.82,92.02,3463
2025-03-03 09:50:00-05:00,92.02,92.26,91.9,92.24,2612
2025-03-03 09:55:00-05:00,92.22,92.45,92.18,92.36,10953
2025-03-03 10:00:00-05:00,92.24,92.36,92.045,92.045,9109
2025-03-03 10:05:00-05:00,92.02,92.26,92.01,92.18,6226
2025-03-03 10:10:00-05:00,92.17,92.21,91.88,91.98,10685
2025-03-03 10:15:00-05:00,91.99,92.24,91.95,92.15,10325
2025-03-03 10:20:00-05:00,92.11,92.11,91.765,91.77,4970
2025-03-03 10:25:00-05:00,91.79,91.96,91.765,91.86,7274
2025-03-03 10:30:00-05:00,91.82,91.91,91.65,91.89,2339
2025-03-03 10:35:00-05:00,91.87,92.04,91.82,92.03,3373
2025-03-03 10:40:00-05:00,92.01,92.01,91.9,91.96,2554
2025-03-03 10:45:00-05:00,91.94,92.03,91.93,91.995,1971
2025-03-03 10:50:00-05:00,92.0,92.08,91.91,91.99,3209
2025-03-03 10:55:00-05:00,91.98,92.05,91.94,92.0,3329
2025-03-03 11:00:00-05:00,92.0,92.0,91.8,91.91,2411
2025-03-03 11:05:00-05:00,91.92,91.97,91.88,91.93,3101
2025-03-03 11:10:00-05:00,91.925,92.04,91.925,91.98,3024
2025-03-03 11:15:00-05:00,91.97,92.05,91.965,92.045,3597
2025-03-03 11:20:00-05:00,92.04,92.19,91.97,92.17,6610
2025-03-03 11:25:00-05:00,92.16,92.16,91.88,91.88,2664
2025-03-03 11:30:00-05:00,91.89,91.96,91.83,91.96,4116
2025-03-03 11:35:00-05:00,91.95,91.99,91.88,91.89,3473
2025-03-03 11:40:00-05:00,91.9,92.01,91.88,91.88,2359
2025-03-03 11:45:00-05:00,91.875,91.98,91.85,91.94,2875
2025-03-03 11:50:00-05:00,91.955,92.0,91.91,92.0,4263
2025-03-03 11:55:00-05:00,92.0,92.09,92.0,92.06,1657
2025-03-03 12:00:00-05:00,92.07,92.18,92.035,92.13,4541
2025-03-03 12:05:00-05:00,92.13,92.14,92.04,92.09,2158
2025-03-03 12:10:00-05:00,92.09,92.11,92.02,92.08,3624
2025-03-03 12:15:00-05:00,92.08,92.14,92.06,92.11,2167
2025-03-03 12:20:00-05:00,92.14,92.17,92.09,92.1,2282
2025-03-03 12:25:00-05:00,92.09,92.125,92.025,92.085,1952
2025-03-03 12:30:00-05:00,92.09,92.11,92.055,92.055,2208
2025-03-03 12:35:00-05:00,92.06,92.08,92.03,92.04,2216
2025-03-03 12:40:00-05:00,92.03,92.035,92.0,92.02,952
2025-03-03 12:45:00-05:00,92.015,92.13,92.015,92.07,2757
2025-03-03 12:50:00-05:00,92.065,92.1,92.065,92.08,1796
2025-03-03 12:55:00-05:00,92.07,92.14,92.03,92.12,3220
2025-03-03 13:00:00-05:00,92.14,92.23,92.09,92.23,2838
2025-03-03 13:05:00-05:00,92.235,92.29,92.19,92.29,3524
2025-03-03 13:10:00-05:00,92.3,92.46,92.3,92.35,5441
2025-03-03 13:15:00-05:00,92.36,92.38,92.27,92.32,2696
2025-03-03 13:20:00-05:00,92.33,92.39,92.23,92.245,3786
2025-03-03 13:25:00-05:00,92.24,92.33,92.24,92.3,3896
2025-03-03 13:30:00-05:00,92.29,92.32,92.2,92.2,4661
2025-03-03 13:35:00-05:00,92.17,92.3,92.15,92.265,3264
2025-03-03 13:40:00-05:00,92.27,92.34,92.21,92.325,4833
2025-03-03 13:45:00-05:00,92.32,92.36,92.18,92.23,8973
2025-03-03 13:50:00-05:00,92.24,92.28,92.185,92.2,5196
2025-03-03 13:55:00-05:00,92.2,92.2,92.125,92.125,3633
2025-03-03 14:00:00-05:00,92.125,92.17,92.065,92.12,2373
2025-03-03 14:05:00-05:00,92.13,92.135,92.03,92.06,4097
2025-03-03 14:10:00-05:00,92.07,92.15,92.07,92.1,4030
2025-03-03 14:15:00-05:00,92.11,92.19,92.1,92.13,3335
2025-03-03 14:20:00-05:00,92.09,92.11,91.96,91.96,3807
2025-03-03 14:25:00-05:00,91.965,92.04,91.965,92.03,6065
2025-03-03 14:30:00-05:00,92.03,92.15,92.03,92.11,5570
2025-03-03 14:35:00-05:00,92.13,92.18,92.11,92.18,3024
2025-03-03 14:40:00-05:00,92.18,92.23,92.17,92.22,3243
2025-03-03 14:45:00-05:00,92.21,92.245,92.17,92.195,4857
2025-03-03 14:50:00-05:00,92.19,92.2,92.14,92.18,5793
2025-03-03 14:55:00-05:00,92.17,92.265,92.14,92.21,8260
2025-03-03 15:00:00-05:00,92.22,92.37,92.12,92.32,9560
2025-03-03 15:05:00-05:00,92.33,92.34,92.21,92.34,9981
2025-03-03 15:10:00-05:00,92.33,92.43,92.295,92.37,9083
2025-03-03 15:15:00-05:00,92.36,92.36,92.23,92.28,16080
2025-03-03 15:20:00-05:00,92.29,92.48,92.25,92.445,14114
2025-03-03 15:25:00-05:00,92.43,92.45,92.245,92.295,11812
2025-03-03 15:30:00-05:00,92.295,92.38,92.23,92.34,10147
2025-03-03 15:35:00-05:00,92.34,92.36,92.12,92.15,9879
2025-03-03 15:40:00-05:00,92.14,92.5,92.1,92.5,10171
2025-03-03 15:45:00-05:00,92.49,92.72,92.45,92.56,16981
2025-03-03 15:50:00-05:00,92.55,92.66,92.52,92.62,22817
2025-03-03 15:55:00-05:00,92.63,92.81,92.62,92.8,36872
2025-03-04 09:30:00-05:00,93.11,94.09,93.1,94.09,7173
2025-03-04 09:35:00-05:00,94.09,94.24,93.42,93.45,9538
2025-03-04 09:40:00-05:00,93.42,94.41,93.42,94.12,5748
2025-03-04 09:45:00-05:00,94.085,94.14,93.74,94.0,6106
2025-03-04 09:50:00-05:00,93.96,94.02,93.75,93.96,8695
2025-03-04 09:55:00-05:00,93.92,94.1,93.68,94.08,4196
2025-03-04 10:00:00-05:00,94.075,94.57,94.04,94.44,13166
2025-03-04 10:05:00-05:00,94.41,94.6,94.37,94.4,5372
2025-03-04 10:10:00-05:00,94.42,94.46,94.16,94.325,7451
2025-03-04 10:15:00-05:00,94.33,94.87,94.33,94.84,9897
2025-03-04 10:20:00-05:00,94.835,95.21,94.72,95.07,18324
2025-03-04 10:25:00-05:00,95.1,95.18,94.78,94.85,13644
2025-03-04 10:30:00-05:00,94.88,94.94,94.48,94.66,11656
2025-03-04 10:35:00-05:00,94.66,94.85,94.48,94.8,19363
2025-03-04 10:40:00-05:00,94.79,94.8,94.57,94.62,3781
2025-03-04 10:45:00-05:00,94.64,94.68,94.1,94.21,4515
2025-03-04 10:50:00-05:00,94.21,94.44,94.11,94.44,5771
2025-03-04 10:55:00-05:00,94.43,94.51,94.26,94.32,5375
2025-03-04 11:00:00-05:00,94.35,94.52,94.23,94.4,5900
2025-03-04 11:05:00-05:00,94.41,94.54,94.26,94.49,4242
2025-03-04 11:10:00-05:00,94.47,94.6,94.36,94.36,4888
2025-03-04 11:15:00-05:00,94.3,94.35,94.17,94.27,3474
2025-03-04 11:20:00-05:00,94.24,94.32,94.15,94.2,5304
2025-03-04 11:25:00-05:00,94.175,94.31,94.07,94.28,3465
