ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,254.39,255.17,253.77,255.08,27741
2025-03-03 09:35:00-05:00,255.2,255.89,255.07,255.65,7396
2025-03-03 09:40:00-05:00,255.67,256.45,255.67,256.3,2711
2025-03-03 09:45:00-05:00,256.25,256.51,255.98,256.51,5829
2025-03-03 09:50:00-05:00,256.465,256.5,255.74,256.0,5600
2025-03-03 09:55:00-05:00,256.1,256.515,255.84,255.93,7388
2025-03-03 10:00:00-05:00,255.77,255.77,254.74,255.39,7637
2025-03-03 10:05:00-05:00,255.35,255.47,255.06,255.31,3747
2025-03-03 10:10:00-05:00,255.46,255.53,255.13,255.17,3202
2025-03-03 10:15:00-05:00,255.32,255.61,255.32,255.37,2004
2025-03-03 10:20:00-05:00,255.52,255.87,255.04,255.125,3379
2025-03-03 10:25:00-05:00,255.115,255.36,255.05,255.36,4555
2025-03-03 10:30:00-05:00,255.28,256.16,255.28,256.16,2686
2025-03-03 10:35:00-05:00,256.21,256.61,256.21,256.475,2015
2025-03-03 10:40:00-05:00,256.47,256.96,256.45,256.885,3070
2025-03-03 10:45:00-05:00,256.81,256.81,256.08,256.16,3625
2025-03-03 10:50:00-05:00,256.175,256.175,255.45,255.77,7876
2025-03-03 10:55:00-05:00,255.87,255.915,255.54,255.54,4868
2025-03-03 11:00:00-05:00,255.61,256.33,255.61,256.33,4936
2025-03-03 11:05:00-05:00,256.27,256.35,256.09,256.35,1365
2025-03-03 11:10:00-05:00,256.39,256.76,256.36,256.76,3826
2025-03-03 11:15:00-05:00,256.76,256.95,256.72,256.78,2740
2025-03-03 11:20:00-05:00,256.86,257.25,256.76,257.24,3383
2025-03-03 11:25:00-05:00,257.24,257.25,256.69,256.81,4497
2025-03-03 11:30:00-05:00,256.76,256.76,256.4,256.68,3735
2025-03-03 11:35:00-05:00,256.59,256.63,256.26,256.26,4257
2025-03-03 11:40:00-05:00,256.31,256.4,256.035,256.24,3979
2025-03-03 11:45:00-05:00,256.26,256.54,256.26,256.52,4827
2025-03-03 11:50:00-05:00,256.525,256.63,256.27,256.52,5232
2025-03-03 11:55:00-05:00,256.58,256.76,256.54,256.68,2817
2025-03-03 12:00:00-05:00,256.67,256.74,256.31,256.34,4393
2025-03-03 12:05:00-05:00,256.39,256.39,256.13,256.15,2314
2025-03-03 12:10:00-05:00,256.21,256.76,256.16,256.74,2923
2025-03-03 12:15:00-05:00,256.66,256.88,256.65,256.88,1612
2025-03-03 12:20:00-05:00,256.88,257.09,256.75,257.09,2747
2025-03-03 12:25:00-05:00,257.06,257.17,256.98,257.11,2538
2025-03-03 12:30:00-05:00,257.07,257.19,257.03,257.17,3444
2025-03-03 12:35:00-05:00,257.17,257.19,257.04,257.04,3276
2025-03-03 12:40:00-05:00,257.04,257.085,256.81,256.86,3779
2025-03-03 12:45:00-05:00,256.9,256.91,256.875,256.88,1722
2025-03-03 12:50:00-05:00,256.91,257.25,256.86,257.09,3806
2025-03-03 12:55:00-05:00,257.14,257.26,256.9,257.26,6124
2025-03-03 13:00:00-05:00,257.29,257.39,257.11,257.39,4804
2025-03-03 13:05:00-05:00,257.4,257.4,257.19,257.32,4184
2025-03-03 13:10:00-05:00,257.36,257.69,257.36,257.68,5589
2025-03-03 13:15:00-05:00,257.69,257.78,257.62,257.72,3953
2025-03-03 13:20:00-05:00,257.68,257.68,257.39,257.59,4129
2025-03-03 13:25:00-05:00,257.55,257.555,257.17,257.28,3417
2025-03-03 13:30:00-05:00,257.28,257.41,257.09,257.1,3672
2025-03-03 13:35:00-05:00,257.15,257.31,256.74,256.74,3900
2025-03-03 13:40:00-05:00,256.82,257.09,256.82,256.935,4826
2025-03-03 13:45:00-05:00,256.87,257.0,256.68,256.92,5279
2025-03-03 13:50:00-05:00,256.865,257.0,256.41,256.41,2015
2025-03-03 13:55:00-05:00,256.42,256.6,256.22,256.6,2899
2025-03-03 14:00:00-05:00,256.56,256.9,256.56,256.9,4715
2025-03-03 14:05:00-05:00,256.885,257.09,256.76,257.025,5066
2025-03-03 14:10:00-05:00,257.04,257.13,256.88,257.06,4102
2025-03-03 14:15:00-05:00,257.06,257.06,256.72,256.72,2622
2025-03-03 14:20:00-05:00,256.71,256.76,256.45,256.45,2295
2025-03-03 14:25:00-05:00,256.42,256.43,256.2,256.2,3407
2025-03-03 14:30:00-05:00,256.15,256.57,256.1,256.53,4695
2025-03-03 14:35:00-05:00,256.49,256.58,256.29,256.58,2769
2025-03-03 14:40:00-05:00,256.58,256.82,256.54,256.82,3110
2025-03-03 14:45:00-05:00,256.82,256.82,256.63,256.67,1384
2025-03-03 14:50:00-05:00,256.67,256.86,255.915,256.06,7709
2025-03-03 14:55:00-05:00,256.01,256.25,255.92,255.92,3507
2025-03-03 15:00:00-05:00,255.9,255.93,255.36,255.59,4438
2025-03-03 15:05:00-05:00,255.62,255.63,255.34,255.54,4976
2025-03-03 15:10:00-05:00,255.56,255.75,255.35,255.73,3252
2025-03-03 15:15:00-05:00,255.67,255.84,255.47,255.63,5733
2025-03-03 15:20:00-05:00,255.62,256.33,255.48,256.33,12240
2025-03-03 15:25:00-05:00,256.37,256.39,255.57,255.57,6800
2025-03-03 15:30:00-05:00,255.72,255.88,255.57,255.69,4884
2025-03-03 15:35:00-05:00,255.6,255.62,255.25,255.37,6241
2025-03-03 15:40:00-05:00,255.38,256.17,255.36,256.17,7312
2025-03-03 15:45:00-05:00,256.12,256.54,256.05,256.44,10632
2025-03-03 15:50:00-05:00,256.44,256.72,256.11,256.11,17942
2025-03-03 15:55:00-05:00,256.17,257.05,256.17,256.88,61441
2025-03-04 09:30:00-05:00,257.73,258.26,256.665,257.17,32442
2025-03-04 09:35:00-05:00,257.16,258.69,256.78,257.2,14984
2025-03-04 09:40:00-05:00,257.08,258.6,257.01,258.085,5202
2025-03-04 09:45:00-05:00,258.22,258.35,256.83,257.17,9332
2025-03-04 09:50:00-05:00,257.17,257.71,256.92,256.96,4759
2025-03-04 09:55:00-05:00,256.89,256.99,255.82,256.92,13732
2025-03-04 10:00:00-05:00,256.82,257.56,256.61,257.48,8249
2025-03-04 10:05:00-05:00,257.4,257.8,257.27,257.38,12587
2025-03-04 10:10:00-05:00,257.46,257.58,256.73,256.78,5680
2025-03-04 10:15:00-05:00,256.87,257.22,256.82,256.88,7213
2025-03-04 10:20:00-05:00,256.92,257.325,256.77,257.05,23807
2025-03-04 10:25:00-05:00,256.97,257.2,256.71,257.12,5491
2025-03-04 10:30:00-05:00,257.17,257.23,256.62,256.77,8097
2025-03-04 10:35:00-05:00,256.8,257.21,256.71,257.2,10236
2025-03-04 10:40:00-05:00,257.135,257.21,256.92,257.07,10220
2025-03-04 10:45:00-05:00,257.07,257.14,256.68,256.69,10866
2025-03-04 10:50:00-05:00,256.62,256.62,255.43,255.98,6629
2025-03-04 10:55:00-05:00,256.03,256.26,255.57,255.66,5180
2025-03-04 11:00:00-05:00,255.66,256.59,255.66,256.33,4941
2025-03-04 11:05:00-05:00,256.46,256.89,256.46,256.76,3239
2025-03-04 11:10:00-05:00,256.89,257.27,256.745,257.17,6022
2025-03-04 11:15:00-05:00,257.07,257.56,257.0,257.13,6424
2025-03-04 11:20:00-05:00,257.26,257.27,256.7,256.75,4087
2025-03-04 11:25:00-05:00,256.7,256.71,256.29,256.67,3821
2025-03-04 11:30:00-05:00,256.77,256.83,256.23,256.23,3181
2025-03-04 11:35:00-05:00,256.32,256.53,255.98,256.01,3520
2025-03-04 11:40:00-05:00,255.99,256.37,255.99,256.09,2919
2025-03-04 11:45:00-05:00,256.07,256.36,255.9,255.95,4406
2025-03-04 11:50:00-05:00,256.04,256.23,256.04,256.075,1899
2025-03-04 11:55:00-05:00,256.105,256.11,255.82,255.82,3766
2025-03-04 12:00:00-05:00,255.915,256.23,255.87,256.12,4031
2025-03-04 12:05:00-05:00,256.09,256.11,255.75,255.96,1362
2025-03-04 12:10:00-05:00,255.98,256.16,255.86,256.08,4205
2025-03-04 12:15:00-05:00,256.08,256.08,255.5,255.66,2205
2025-03-04 12:20:00-05:00,255.62,255.76,255.39,255.67,5667
2025-03-04 12:25:00-05:00,255.62,255.69,255.27,255.47,1586
2025-03-04 12:30:00-05:00,255.44,255.61,255.33,255.46,1717
2025-03-04 12:35:00-05:00,255.39,255.55,255.02,255.31,7213
2025-03-04 12:40:00-05:00,255.4,255.4,254.96,255.02,1581
2025-03-04 12:45:00-05:00,254.99,255.11,254.78,254.84,4954
2025-03-04 12:50:00-05:00,254.82,255.05,254.71,255.05,3125
2025-03-04 12:55:00-05:00,255.02,255.36,255.02,255.03,4635
