ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,99.82,99.82,98.56,98.74,18309
2025-03-03 09:35:00-05:00,98.72,99.215,98.49,99.0,8451
2025-03-03 09:40:00-05:00,98.89,99.01,98.61,98.66,9953
2025-03-03 09:45:00-05:00,98.62,98.72,98.33,98.35,9460
2025-03-03 09:50:00-05:00,98.28,98.49,98.23,98.45,6101
2025-03-03 09:55:00-05:00,98.44,98.62,98.18,98.2,12030
2025-03-03 10:00:00-05:00,98.2,98.2,97.87,98.06,13091
2025-03-03 10:05:00-05:00,98.035,98.095,97.84,98.015,6694
2025-03-03 10:10:00-05:00,98.01,98.06,97.75,97.855,12108
2025-03-03 10:15:00-05:00,97.835,97.95,97.56,97.92,10376
2025-03-03 10:20:00-05:00,97.855,97.96,97.6,97.65,4931
2025-03-03 10:25:00-05:00,97.66,97.73,97.385,97.41,5347
2025-03-03 10:30:00-05:00,97.45,97.5,97.29,97.5,5320
2025-03-03 10:35:00-05:00,97.45,97.47,97.165,97.255,8136
2025-03-03 10:40:00-05:00,97.255,97.54,97.2,97.53,5853
2025-03-03 10:45:00-05:00,97.5,97.7,97.405,97.45,5449
2025-03-03 10:50:00-05:00,97.48,98.07,97.48,98.01,10021
2025-03-03 10:55:00-05:00,98.02,98.09,97.88,97.9,2292
2025-03-03 11:00:00-05:00,97.92,98.19,97.92,98.14,6409
2025-03-03 11:05:00-05:00,98.11,98.16,97.85,97.88,4077
2025-03-03 11:10:00-05:00,97.875,97.97,97.67,97.955,6950
2025-03-03 11:15:00-05:00,97.99,98.07,97.83,97.95,9050
2025-03-03 11:20:00-05:00,97.93,97.93,97.71,97.785,3914
2025-03-03 11:25:00-05:00,97.81,97.86,97.74,97.85,3335
2025-03-03 11:30:00-05:00,97.8,97.8,97.565,97.62,8079
2025-03-03 11:35:00-05:00,97.59,97.69,97.545,97.6,21696
2025-03-03 11:40:00-05:00,97.58,97.66,97.43,97.6,10767
2025-03-03 11:45:00-05:00,97.63,97.89,97.63,97.87,2974
2025-03-03 11:50:00-05:00,97.89,97.9,97.69,97.77,1870
2025-03-03 11:55:00-05:00,97.8,97.99,97.77,97.91,2813
2025-03-03 12:00:00-05:00,97.91,98.05,97.84,98.04,2103
2025-03-03 12:05:00-05:00,98.04,98.09,97.98,97.99,3249
2025-03-03 12:10:00-05:00,98.0,98.08,97.97,98.05,6707
2025-03-03 12:15:00-05:00,98.05,98.21,98.05,98.2,2724
2025-03-03 12:20:00-05:00,98.22,98.27,98.14,98.15,5360
2025-03-03 12:25:00-05:00,98.12,98.2,98.07,98.095,15120
2025-03-03 12:30:00-05:00,98.11,98.17,98.08,98.12,7711
2025-03-03 12:35:00-05:00,98.11,98.13,97.965,97.97,16690
2025-03-03 12:40:00-05:00,97.97,98.11,97.95,98.07,8345
2025-03-03 12:45:00-05:00,98.08,98.11,98.01,98.09,5198
2025-03-03 12:50:00-05:00,98.07,98.08,97.78,97.78,2932
2025-03-03 12:55:00-05:00,97.77,97.79,97.71,97.77,4564
2025-03-03 13:00:00-05:00,97.77,97.77,97.5,97.51,7760
2025-03-03 13:05:00-05:00,97.49,97.49,97.25,97.35,8776
2025-03-03 13:10:00-05:00,97.34,97.34,95.86,95.88,71035
2025-03-03 13:15:00-05:00,95.885,96.08,95.25,95.51,86640
2025-03-03 13:20:00-05:00,95.46,95.68,95.16,95.6,27276
2025-03-03 13:25:00-05:00,95.58,95.58,94.5,94.74,42893
2025-03-03 13:30:00-05:00,94.72,95.02,94.53,94.74,26260
2025-03-03 13:35:00-05:00,94.76,94.78,94.37,94.41,26972
2025-03-03 13:40:00-05:00,94.425,94.75,94.18,94.515,20752
2025-03-03 13:45:00-05:00,94.48,94.75,94.27,94.58,27755
2025-03-03 13:50:00-05:00,94.57,94.67,94.18,94.18,8071
2025-03-03 13:55:00-05:00,94.13,94.35,94.02,94.35,18072
