ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,300.55,303.01,300.045,301.1,14499
2025-03-03 09:35:00-05:00,301.105,301.8,299.23,299.99,10796
2025-03-03 09:40:00-05:00,300.27,300.38,299.29,299.65,7817
2025-03-03 09:45:00-05:00,299.8,301.21,299.57,300.27,12174
2025-03-03 09:50:00-05:00,300.18,300.4,298.53,298.63,6056
2025-03-03 09:55:00-05:00,298.73,298.74,296.9,297.76,16418
2025-03-03 10:00:00-05:00,297.58,298.0,296.05,298.0,13138
2025-03-03 10:05:00-05:00,298.0,298.56,297.01,297.18,4702
2025-03-03 10:10:00-05:00,297.18,298.46,296.99,297.39,7492
2025-03-03 10:15:00-05:00,297.28,297.81,297.03,297.64,6032
2025-03-03 10:20:00-05:00,297.635,299.12,297.635,298.47,7588
2025-03-03 10:25:00-05:00,298.39,300.28,298.26,300.25,11108
2025-03-03 10:30:00-05:00,300.29,300.72,298.52,298.7,10342
2025-03-03 10:35:00-05:00,298.73,298.89,298.12,298.55,8995
2025-03-03 10:40:00-05:00,298.49,299.71,298.32,299.71,2915
2025-03-03 10:45:00-05:00,299.58,299.59,298.22,298.25,5550
2025-03-03 10:50:00-05:00,298.395,298.69,298.22,298.53,2623
2025-03-03 10:55:00-05:00,298.51,298.51,297.52,297.73,5727
2025-03-03 11:00:00-05:00,297.92,298.48,297.28,297.5,4657
2025-03-03 11:05:00-05:00,297.64,298.14,297.57,297.93,4145
2025-03-03 11:10:00-05:00,298.1,298.53,297.91,298.47,3816
2025-03-03 11:15:00-05:00,298.5,298.69,298.1,298.55,4375
2025-03-03 11:20:00-05:00,298.55,299.54,298.44,299.17,8361
2025-03-03 11:25:00-05:00,299.09,299.25,297.99,298.13,5502
2025-03-03 11:30:00-05:00,298.22,298.55,298.01,298.11,5725
2025-03-03 11:35:00-05:00,298.09,298.36,297.68,297.99,7613
2025-03-03 11:40:00-05:00,298.03,298.14,297.745,297.86,3637
2025-03-03 11:45:00-05:00,297.81,298.2,297.81,298.175,7320
2025-03-03 11:50:00-05:00,298.13,298.76,298.11,298.65,3304
2025-03-03 11:55:00-05:00,298.74,299.03,298.54,298.54,4086
2025-03-03 12:00:00-05:00,298.53,298.85,298.44,298.77,2432
2025-03-03 12:05:00-05:00,298.77,299.06,298.77,298.85,3747
2025-03-03 12:10:00-05:00,298.875,299.16,298.75,298.82,8153
2025-03-03 12:15:00-05:00,298.81,299.3,298.63,299.18,3745
2025-03-03 12:20:00-05:00,299.205,299.37,299.12,299.28,3091
2025-03-03 12:25:00-05:00,299.14,299.16,298.84,299.16,2345
2025-03-03 12:30:00-05:00,299.22,299.45,299.04,299.41,2184
2025-03-03 12:35:00-05:00,299.43,299.56,299.15,299.21,5457
2025-03-03 12:40:00-05:00,299.11,299.27,298.99,299.07,4658
2025-03-03 12:45:00-05:00,299.0,299.0,298.48,298.67,3395
2025-03-03 12:50:00-05:00,298.67,298.81,298.225,298.285,2422
2025-03-03 12:55:00-05:00,298.23,298.39,297.81,298.29,3523
2025-03-03 13:00:00-05:00,298.15,298.47,298.07,298.22,3773
2025-03-03 13:05:00-05:00,298.1,298.1,297.21,297.22,4282
2025-03-03 13:10:00-05:00,297.21,297.24,296.78,296.98,4199
2025-03-03 13:15:00-05:00,296.92,297.35,296.92,297.09,5017
2025-03-03 13:20:00-05:00,297.05,297.52,296.72,297.35,5629
2025-03-03 13:25:00-05:00,297.34,297.34,296.3,296.51,4492
2025-03-03 13:30:00-05:00,296.42,296.77,296.0,296.22,4012
2025-03-03 13:35:00-05:00,296.28,296.29,295.67,295.95,4502
2025-03-03 13:40:00-05:00,295.85,296.57,295.84,296.25,2795
2025-03-03 13:45:00-05:00,296.18,297.64,296.17,296.81,11302
2025-03-03 13:50:00-05:00,296.66,297.23,296.58,296.92,8046
2025-03-03 13:55:00-05:00,296.87,297.14,296.505,296.94,6233
2025-03-03 14:00:00-05:00,296.9,297.795,296.88,297.58,3209
2025-03-03 14:05:00-05:00,297.59,297.625,297.1,297.1,3961
2025-03-03 14:10:00-05:00,297.1,297.24,296.87,297.08,3549
2025-03-03 14:15:00-05:00,297.09,297.15,296.47,296.47,5419
2025-03-03 14:20:00-05:00,296.62,297.05,296.56,296.68,2734
2025-03-03 14:25:00-05:00,296.66,296.67,296.35,296.435,2430
2025-03-03 14:30:00-05:00,296.34,297.09,296.3,296.99,4061
2025-03-03 14:35:00-05:00,297.05,297.24,296.74,297.2,3096
2025-03-03 14:40:00-05:00,297.25,297.67,297.11,297.39,3977
2025-03-03 14:45:00-05:00,297.35,297.35,296.51,296.51,4626
2025-03-03 14:50:00-05:00,296.58,296.74,295.02,295.51,11533
2025-03-03 14:55:00-05:00,295.44,295.74,294.84,295.065,9010
2025-03-03 15:00:00-05:00,294.89,295.0,293.56,294.11,7109
2025-03-03 15:05:00-05:00,294.01,294.32,293.17,293.26,8296
2025-03-03 15:10:00-05:00,293.33,293.46,292.3,292.71,12619
2025-03-03 15:15:00-05:00,292.845,293.36,292.2,292.26,11360
2025-03-03 15:20:00-05:00,292.26,292.54,291.62,291.64,18656
2025-03-03 15:25:00-05:00,291.77,292.06,291.1,291.46,11488
2025-03-03 15:30:00-05:00,291.43,292.63,291.43,292.31,8840
2025-03-03 15:35:00-05:00,292.35,292.47,291.49,291.54,13668
2025-03-03 15:40:00-05:00,291.55,291.78,291.09,291.43,10452
2025-03-03 15:45:00-05:00,291.2,292.24,291.14,291.85,16016
2025-03-03 15:50:00-05:00,291.74,292.54,291.62,292.45,18318
2025-03-03 15:55:00-05:00,292.54,293.13,292.25,293.13,33470
2025-03-04 09:30:00-05:00,290.1,291.65,288.585,289.62,31569
2025-03-04 09:35:00-05:00,289.46,291.345,289.19,290.76,24628
2025-03-04 09:40:00-05:00,290.63,291.09,289.225,290.41,11655
2025-03-04 09:45:00-05:00,290.19,291.35,289.32,289.425,12497
2025-03-04 09:50:00-05:00,289.485,289.75,287.89,288.42,13331
2025-03-04 09:55:00-05:00,288.61,288.91,286.63,286.71,10142
2025-03-04 10:00:00-05:00,286.7,287.49,286.07,286.85,22667
2025-03-04 10:05:00-05:00,286.81,287.23,285.55,285.66,14253
2025-03-04 10:10:00-05:00,285.65,286.73,285.62,285.77,9888
2025-03-04 10:15:00-05:00,285.74,285.76,283.77,284.21,14879
2025-03-04 10:20:00-05:00,284.38,284.45,282.88,283.775,18791
2025-03-04 10:25:00-05:00,283.65,284.79,283.32,284.3,22996
2025-03-04 10:30:00-05:00,284.17,286.09,283.92,285.72,15120
2025-03-04 10:35:00-05:00,285.88,286.82,285.68,286.05,11625
2025-03-04 10:40:00-05:00,285.94,286.78,285.81,286.5,6910
2025-03-04 10:45:00-05:00,286.26,286.85,285.58,286.44,6600
2025-03-04 10:50:00-05:00,286.33,286.43,284.64,284.81,7269
2025-03-04 10:55:00-05:00,284.42,285.33,284.37,284.93,12311
2025-03-04 11:00:00-05:00,284.96,285.19,284.04,284.06,7350
2025-03-04 11:05:00-05:00,284.17,284.72,283.7,283.81,7974
2025-03-04 11:10:00-05:00,283.96,284.51,283.73,284.5,14681
2025-03-04 11:15:00-05:00,284.42,284.71,283.24,283.28,15864
2025-03-04 11:20:00-05:00,283.25,283.76,282.73,282.87,22420
2025-03-04 11:25:00-05:00,282.82,283.18,282.23,282.57,18260
2025-03-04 11:30:00-05:00,282.67,283.07,282.61,282.9,19063
2025-03-04 11:35:00-05:00,282.93,283.12,282.39,282.39,13616
2025-03-04 11:40:00-05:00,282.36,283.8,282.31,283.71,19863
2025-03-04 11:45:00-05:00,283.75,283.94,282.99,283.62,19514
2025-03-04 11:50:00-05:00,283.54,284.04,282.98,283.72,21996
2025-03-04 11:55:00-05:00,283.83,283.89,283.29,283.44,14055
2025-03-04 12:00:00-05:00,283.55,283.85,283.33,283.52,8448
2025-03-04 12:05:00-05:00,283.52,283.52,282.42,282.53,7507
2025-03-04 12:10:00-05:00,282.53,283.34,282.41,283.305,12847
2025-03-04 12:15:00-05:00,283.305,283.73,283.16,283.7,9751
2025-03-04 12:20:00-05:00,283.75,284.77,283.73,284.39,8633
2025-03-04 12:25:00-05:00,284.44,285.59,284.38,285.39,5917
2025-03-04 12:30:00-05:00,285.36,285.53,284.59,285.355,6151
2025-03-04 12:35:00-05:00,285.21,285.83,285.16,285.35,1790
2025-03-04 12:40:00-05:00,285.32,285.57,284.61,284.81,3356
2025-03-04 12:45:00-05:00,284.64,285.06,284.5,284.8,6282
2025-03-04 12:50:00-05:00,284.91,284.91,283.82,284.405,3176
2025-03-04 12:55:00-05:00,284.34,284.37,283.91,284.25,2642
2025-03-04 13:00:00-05:00,284.12,284.79,283.43,284.55,16668
2025-03-04 13:05:00-05:00,284.55,285.62,284.48,285.62,4252
2025-03-04 13:10:00-05:00,285.44,286.585,285.44,286.44,4989
2025-03-04 13:15:00-05:00,286.45,286.51,285.26,285.56,4471
2025-03-04 13:20:00-05:00,285.49,285.67,284.43,284.63,4750
2025-03-04 13:25:00-05:00,284.59,284.98,284.27,284.56,4554
2025-03-04 13:30:00-05:00,284.41,285.74,284.29,285.665,4475
2025-03-04 13:35:00-05:00,285.56,286.0,285.2,286.0,3205
2025-03-04 13:40:00-05:00,286.0,286.5,285.77,286.11,5327
2025-03-04 13:45:00-05:00,286.28,287.125,286.18,286.39,5946
2025-03-04 13:50:00-05:00,286.34,286.99,286.28,286.98,4944
2025-03-04 13:55:00-05:00,286.94,287.92,286.94,287.5,3481
2025-03-04 14:00:00-05:00,287.56,288.44,287.56,288.135,3751
2025-03-04 14:05:00-05:00,287.99,288.72,287.98,288.32,5231
2025-03-04 14:10:00-05:00,288.3,288.5,287.98,288.41,6992
2025-03-04 14:15:00-05:00,288.5,288.72,288.3,288.68,2378
2025-03-04 14:20:00-05:00,288.72,289.74,288.54,289.55,3715
2025-03-04 14:25:00-05:00,289.62,289.78,288.81,288.95,6542
2025-03-04 14:30:00-05:00,288.84,288.88,288.36,288.42,8416
2025-03-04 14:35:00-05:00,288.44,289.16,288.09,289.02,7254
2025-03-04 14:40:00-05:00,289.04,289.48,288.84,289.305,6438
2025-03-04 14:45:00-05:00,289.3,289.69,289.03,289.28,4618
2025-03-04 14:50:00-05:00,289.25,289.66,289.09,289.34,5648
2025-03-04 14:55:00-05:00,289.43,289.82,289.22,289.7,8219
2025-03-04 15:00:00-05:00,289.63,290.02,289.04,289.38,8881
2025-03-04 15:05:00-05:00,289.31,289.8,289.22,289.65,6387
2025-03-04 15:10:00-05:00,289.59,290.31,289.56,289.845,14369
2025-03-04 15:15:00-05:00,289.85,290.22,289.62,290.22,11080
2025-03-04 15:20:00-05:00,290.19,291.03,290.14,291.03,14538
2025-03-04 15:25:00-05:00,291.03,291.335,290.66,290.72,14150
2025-03-04 15:30:00-05:00,290.68,290.75,288.76,289.015,10278
2025-03-04 15:35:00-05:00,289.015,289.54,288.61,288.62,11853
2025-03-04 15:40:00-05:00,288.64,288.82,288.09,288.54,40575
2025-03-04 15:45:00-05:00,288.74,289.05,287.44,287.44,24307
2025-03-04 15:50:00-05:00,287.44,287.56,286.43,287.39,15192
2025-03-04 15:55:00-05:00,287.47,287.53,286.93,287.31,44177
2025-03-05 09:30:00-05:00,287.64,289.2,286.71,289.18,12427
2025-03-05 09:35:00-05:00,289.14,289.14,287.15,288.48,13553
2025-03-05 09:40:00-05:00,288.71,289.67,288.31,288.42,10672
2025-03-05 09:45:00-05:00,288.33,288.76,287.49,287.49,8302
2025-03-05 09:50:00-05:00,287.46,288.24,287.1,287.22,10649
2025-03-05 09:55:00-05:00,287.33,287.8,286.01,286.28,13478
2025-03-05 10:00:00-05:00,286.52,289.02,286.52,288.54,15228
2025-03-05 10:05:00-05:00,288.74,289.26,288.04,289.21,9748
2025-03-05 10:10:00-05:00,289.35,289.62,288.59,289.26,14576
2025-03-05 10:15:00-05:00,289.35,289.46,287.88,288.1,10695
2025-03-05 10:20:00-05:00,288.31,288.84,287.47,287.48,7876
2025-03-05 10:25:00-05:00,287.64,288.44,287.52,287.615,17802
2025-03-05 10:30:00-05:00,287.79,289.3,287.66,288.74,6622
2025-03-05 10:35:00-05:00,288.69,289.68,288.69,289.45,4681
2025-03-05 10:40:00-05:00,289.44,289.56,288.65,288.77,5228
2025-03-05 10:45:00-05:00,288.835,289.155,288.14,288.33,9661
2025-03-05 10:50:00-05:00,288.29,288.99,287.66,288.81,4402
2025-03-05 10:55:00-05:00,288.64,289.0,288.22,288.44,4485
2025-03-05 11:00:00-05:00,288.26,288.29,287.3,287.54,3624
2025-03-05 11:05:00-05:00,287.66,288.06,287.5,287.66,4954
2025-03-05 11:10:00-05:00,287.67,287.67,286.65,287.145,5641
