ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,64.38,64.76,64.37,64.62,370083
2025-03-03 09:35:00-05:00,64.63,64.88,64.55,64.64,101841
2025-03-03 09:40:00-05:00,64.65,64.74,64.59,64.61,59608
2025-03-03 09:45:00-05:00,64.6,64.6,64.31,64.335,56731
2025-03-03 09:50:00-05:00,64.33,64.365,64.28,64.34,43863
2025-03-03 09:55:00-05:00,64.34,64.35,64.23,64.31,78232
2025-03-03 10:00:00-05:00,64.3,64.31,64.06,64.165,95936
2025-03-03 10:05:00-05:00,64.17,64.27,64.13,64.23,45841
2025-03-03 10:10:00-05:00,64.22,64.36,64.18,64.22,37643
2025-03-03 10:15:00-05:00,64.225,64.23,64.12,64.18,24027
2025-03-03 10:20:00-05:00,64.17,64.35,64.17,64.32,32103
2025-03-03 10:25:00-05:00,64.32,64.4,64.305,64.39,28575
2025-03-03 10:30:00-05:00,64.385,64.44,64.325,64.44,36940
2025-03-03 10:35:00-05:00,64.43,64.44,64.325,64.395,30042
2025-03-03 10:40:00-05:00,64.395,64.54,64.38,64.535,28966
2025-03-03 10:45:00-05:00,64.53,64.53,64.39,64.395,21062
2025-03-03 10:50:00-05:00,64.4,64.495,64.4,64.475,25421
2025-03-03 10:55:00-05:00,64.48,64.485,64.345,64.365,19686
2025-03-03 11:00:00-05:00,64.37,64.44,64.36,64.4,35343
2025-03-03 11:05:00-05:00,64.405,64.41,64.24,64.25,25347
2025-03-03 11:10:00-05:00,64.26,64.34,64.21,64.33,16308
2025-03-03 11:15:00-05:00,64.33,64.37,64.31,64.37,16379
2025-03-03 11:20:00-05:00,64.37,64.485,64.34,64.48,21926
2025-03-03 11:25:00-05:00,64.48,64.48,64.31,64.32,34569
2025-03-03 11:30:00-05:00,64.33,64.34,64.29,64.29,20929
2025-03-03 11:35:00-05:00,64.29,64.34,64.13,64.17,18073
2025-03-03 11:40:00-05:00,64.165,64.21,64.1,64.21,30284
2025-03-03 11:45:00-05:00,64.215,64.33,64.215,64.33,25564
2025-03-03 11:50:00-05:00,64.33,64.4,64.33,64.39,19218
2025-03-03 11:55:00-05:00,64.39,64.415,64.35,64.405,16900
2025-03-03 12:00:00-05:00,64.4,64.405,64.335,64.39,14589
2025-03-03 12:05:00-05:00,64.4,64.43,64.39,64.4,20435
2025-03-03 12:10:00-05:00,64.4,64.465,64.4,64.4,22244
2025-03-03 12:15:00-05:00,64.39,64.42,64.33,64.36,40700
2025-03-03 12:20:00-05:00,64.355,64.375,64.355,64.36,8718
2025-03-03 12:25:00-05:00,64.36,64.4,64.335,64.4,15770
2025-03-03 12:30:00-05:00,64.395,64.435,64.375,64.415,24145
2025-03-03 12:35:00-05:00,64.415,64.475,64.395,64.455,16727
2025-03-03 12:40:00-05:00,64.455,64.48,64.44,64.455,13775
2025-03-03 12:45:00-05:00,64.455,64.455,64.355,64.445,17500
2025-03-03 12:50:00-05:00,64.445,64.495,64.4,64.4,22912
2025-03-03 12:55:00-05:00,64.4,64.41,64.33,64.365,15209
2025-03-03 13:00:00-05:00,64.365,64.385,64.3,64.305,21256
2025-03-03 13:05:00-05:00,64.3,64.3,64.18,64.195,24888
2025-03-03 13:10:00-05:00,64.19,64.195,64.105,64.115,25321
2025-03-03 13:15:00-05:00,64.11,64.165,64.11,64.15,14960
2025-03-03 13:20:00-05:00,64.16,64.215,64.12,64.185,16716
2025-03-03 13:25:00-05:00,64.18,64.18,64.02,64.04,15740
2025-03-03 13:30:00-05:00,64.04,64.065,63.96,63.97,34450
2025-03-03 13:35:00-05:00,63.97,64.005,63.93,63.95,25504
2025-03-03 13:40:00-05:00,63.95,64.035,63.95,64.025,14667
2025-03-03 13:45:00-05:00,64.02,64.08,63.91,63.96,60135
2025-03-03 13:50:00-05:00,63.96,64.06,63.94,64.03,24795
2025-03-03 13:55:00-05:00,64.02,64.07,63.99,64.04,32215
2025-03-03 14:00:00-05:00,64.04,64.135,64.03,64.09,22155
2025-03-03 14:05:00-05:00,64.095,64.11,64.065,64.1,16333
2025-03-03 14:10:00-05:00,64.1,64.1,64.045,64.065,11214
2025-03-03 14:15:00-05:00,64.065,64.07,63.975,63.985,13340
2025-03-03 14:20:00-05:00,63.985,64.06,63.985,64.04,18588
2025-03-03 14:25:00-05:00,64.03,64.03,63.985,64.0,14842
2025-03-03 14:30:00-05:00,63.99,64.12,63.985,64.095,22111
2025-03-03 14:35:00-05:00,64.095,64.115,64.025,64.08,18097
2025-03-03 14:40:00-05:00,64.09,64.17,64.09,64.15,27738
2025-03-03 14:45:00-05:00,64.14,64.14,63.995,63.995,18144
2025-03-03 14:50:00-05:00,64.0,64.03,63.75,63.82,50610
2025-03-03 14:55:00-05:00,63.825,63.905,63.755,63.79,58102
2025-03-03 15:00:00-05:00,63.79,63.79,63.56,63.62,43987
2025-03-03 15:05:00-05:00,63.62,63.63,63.485,63.525,41458
2025-03-03 15:10:00-05:00,63.52,63.545,63.315,63.405,52504
2025-03-03 15:15:00-05:00,63.405,63.485,63.4,63.415,47095
2025-03-03 15:20:00-05:00,63.42,63.44,63.295,63.295,55116
2025-03-03 15:25:00-05:00,63.3,63.33,63.205,63.225,47862
2025-03-03 15:30:00-05:00,63.22,63.38,63.22,63.27,52069
2025-03-03 15:35:00-05:00,63.28,63.305,63.2,63.215,34344
2025-03-03 15:40:00-05:00,63.225,63.27,63.195,63.235,61057
2025-03-03 15:45:00-05:00,63.23,63.39,63.225,63.35,61450
2025-03-03 15:50:00-05:00,63.34,63.42,63.27,63.42,139332
2025-03-03 15:55:00-05:00,63.415,63.54,63.29,63.51,720661
2025-03-04 09:30:00-05:00,63.72,63.83,62.95,63.05,688485
2025-03-04 09:35:00-05:00,63.05,63.25,63.0,63.07,89777
2025-03-04 09:40:00-05:00,63.06,63.29,62.93,63.29,136844
2025-03-04 09:45:00-05:00,63.29,63.29,63.1,63.1,60777
2025-03-04 09:50:00-05:00,63.1,63.13,63.03,63.13,69067
2025-03-04 09:55:00-05:00,63.14,63.21,63.1,63.12,72696
2025-03-04 10:00:00-05:00,63.08,63.08,62.94,63.0,109654
2025-03-04 10:05:00-05:00,63.0,63.045,62.89,62.985,90131
2025-03-04 10:10:00-05:00,62.97,63.22,62.945,63.08,75679
2025-03-04 10:15:00-05:00,63.07,63.1,62.93,63.0,114395
2025-03-04 10:20:00-05:00,63.0,63.08,62.96,63.07,108013
2025-03-04 10:25:00-05:00,63.07,63.225,63.05,63.17,60841
2025-03-04 10:30:00-05:00,63.16,63.39,63.14,63.37,63945
2025-03-04 10:35:00-05:00,63.37,63.39,63.19,63.265,38801
2025-03-04 10:40:00-05:00,63.26,63.265,63.13,63.23,53260
2025-03-04 10:45:00-05:00,63.225,63.28,63.075,63.085,80557
2025-03-04 10:50:00-05:00,63.09,63.11,62.91,62.93,50640
2025-03-04 10:55:00-05:00,62.93,62.99,62.88,62.96,36140
2025-03-04 11:00:00-05:00,62.95,62.995,62.84,62.91,47768
2025-03-04 11:05:00-05:00,62.91,62.91,62.745,62.79,54728
2025-03-04 11:10:00-05:00,62.795,62.97,62.79,62.97,43077
2025-03-04 11:15:00-05:00,62.96,63.04,62.85,62.85,54651
2025-03-04 11:20:00-05:00,62.85,62.885,62.755,62.79,44818
2025-03-04 11:25:00-05:00,62.79,62.79,62.675,62.75,50020
2025-03-04 11:30:00-05:00,62.74,62.865,62.74,62.77,55452
2025-03-04 11:35:00-05:00,62.765,62.77,62.62,62.66,43983
2025-03-04 11:40:00-05:00,62.66,62.81,62.66,62.74,35093
2025-03-04 11:45:00-05:00,62.74,62.83,62.68,62.75,35976
2025-03-04 11:50:00-05:00,62.74,62.96,62.735,62.88,31710
2025-03-04 11:55:00-05:00,62.88,62.95,62.785,62.795,33878
2025-03-04 12:00:00-05:00,62.795,62.925,62.785,62.895,28874
2025-03-04 12:05:00-05:00,62.895,62.895,62.82,62.875,26323
2025-03-04 12:10:00-05:00,62.875,62.985,62.875,62.92,30633
2025-03-04 12:15:00-05:00,62.93,62.995,62.925,62.99,14532
2025-03-04 12:20:00-05:00,62.98,63.03,62.94,62.955,20866
2025-03-04 12:25:00-05:00,62.955,63.14,62.945,63.075,26873
2025-03-04 12:30:00-05:00,63.07,63.13,62.965,63.13,17134
2025-03-04 12:35:00-05:00,63.14,63.145,63.06,63.09,16838
2025-03-04 12:40:00-05:00,63.08,63.185,63.03,63.17,33463
2025-03-04 12:45:00-05:00,63.165,63.24,63.145,63.16,24283
2025-03-04 12:50:00-05:00,63.15,63.17,62.93,63.04,55218
2025-03-04 12:55:00-05:00,63.04,63.165,63.0,63.14,42693
2025-03-04 13:00:00-05:00,63.145,63.235,63.125,63.17,38965
2025-03-04 13:05:00-05:00,63.16,63.35,63.13,63.32,31130
2025-03-04 13:10:00-05:00,63.32,63.41,63.3,63.365,24109
2025-03-04 13:15:00-05:00,63.36,63.37,63.255,63.31,28954
2025-03-04 13:20:00-05:00,63.32,63.325,63.255,63.27,19973
2025-03-04 13:25:00-05:00,63.275,63.305,63.235,63.295,20977
2025-03-04 13:30:00-05:00,63.29,63.315,63.265,63.29,52108
2025-03-04 13:35:00-05:00,63.29,63.295,63.235,63.29,26108
2025-03-04 13:40:00-05:00,63.29,63.35,63.235,63.295,137608
2025-03-04 13:45:00-05:00,63.29,63.325,63.235,63.31,21249
2025-03-04 13:50:00-05:00,63.31,63.43,63.29,63.35,26909
2025-03-04 13:55:00-05:00,63.345,63.41,63.32,63.36,29946
2025-03-04 14:00:00-05:00,63.36,63.465,63.345,63.43,40760
2025-03-04 14:05:00-05:00,63.44,63.53,63.42,63.48,32129
2025-03-04 14:10:00-05:00,63.475,63.54,63.43,63.54,30279
2025-03-04 14:15:00-05:00,63.54,63.565,63.51,63.51,20295
2025-03-04 14:20:00-05:00,63.51,63.67,63.5,63.61,21248
2025-03-04 14:25:00-05:00,63.62,63.65,63.5,63.515,27871
2025-03-04 14:30:00-05:00,63.515,63.555,63.465,63.52,27051
2025-03-04 14:35:00-05:00,63.52,63.625,63.52,63.605,23276
2025-03-04 14:40:00-05:00,63.6,63.64,63.55,63.585,18246
2025-03-04 14:45:00-05:00,63.59,63.645,63.57,63.595,28935
2025-03-04 14:50:00-05:00,63.6,63.64,63.58,63.585,21060
2025-03-04 14:55:00-05:00,63.585,63.675,63.585,63.665,24500
2025-03-04 15:00:00-05:00,63.665,63.715,63.55,63.6,39129
2025-03-04 15:05:00-05:00,63.6,63.63,63.58,63.58,28562
2025-03-04 15:10:00-05:00,63.585,63.685,63.585,63.665,47273
2025-03-04 15:15:00-05:00,63.665,63.76,63.65,63.755,48578
2025-03-04 15:20:00-05:00,63.76,63.905,63.76,63.905,75914
2025-03-04 15:25:00-05:00,63.905,63.905,63.715,63.74,64658
2025-03-04 15:30:00-05:00,63.735,63.75,63.505,63.59,87591
2025-03-04 15:35:00-05:00,63.6,63.635,63.48,63.48,82975
2025-03-04 15:40:00-05:00,63.47,63.52,63.36,63.48,75711
2025-03-04 15:45:00-05:00,63.48,63.535,63.3,63.32,47635
2025-03-04 15:50:00-05:00,63.31,63.31,63.005,63.26,211875
2025-03-04 15:55:00-05:00,63.27,63.29,63.175,63.25,446371
2025-03-05 09:30:00-05:00,63.14,63.39,63.08,63.12,275954
2025-03-05 09:35:00-05:00,63.12,63.27,62.88,63.26,61774
2025-03-05 09:40:00-05:00,63.28,63.4,63.21,63.26,75644
2025-03-05 09:45:00-05:00,63.25,63.33,63.15,63.16,54578
2025-03-05 09:50:00-05:00,63.16,63.235,63.06,63.07,37610
2025-03-05 09:55:00-05:00,63.08,63.14,62.98,63.04,28609
2025-03-05 10:00:00-05:00,63.04,63.36,63.04,63.21,69381
2025-03-05 10:05:00-05:00,63.2,63.38,63.17,63.26,35181
