ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,65.76,65.97,65.52,65.66,5760
2025-03-03 09:35:00-05:00,65.63,66.03,65.45,65.925,7763
2025-03-03 09:40:00-05:00,65.995,66.185,65.86,65.86,8831
2025-03-03 09:45:00-05:00,65.88,66.03,65.86,65.92,7478
2025-03-03 09:50:00-05:00,65.92,66.235,65.92,66.23,5357
2025-03-03 09:55:00-05:00,66.21,66.36,66.1,66.18,6698
2025-03-03 10:00:00-05:00,66.15,66.15,65.9,65.94,13966
2025-03-03 10:05:00-05:00,65.94,66.2,65.9,66.19,11976
2025-03-03 10:10:00-05:00,66.19,66.26,65.865,65.88,7952
2025-03-03 10:15:00-05:00,65.86,66.07,65.78,66.03,7840
2025-03-03 10:20:00-05:00,66.02,66.04,65.79,65.83,5213
2025-03-03 10:25:00-05:00,65.81,65.91,65.72,65.76,15024
2025-03-03 10:30:00-05:00,65.77,65.77,65.5,65.645,5977
2025-03-03 10:35:00-05:00,65.63,65.66,65.53,65.66,8558
2025-03-03 10:40:00-05:00,65.68,65.87,65.68,65.78,6206
2025-03-03 10:45:00-05:00,65.77,65.77,65.34,65.5,16688
2025-03-03 10:50:00-05:00,65.49,65.67,65.47,65.67,4355
2025-03-03 10:55:00-05:00,65.67,65.7,65.585,65.64,4994
2025-03-03 11:00:00-05:00,65.63,65.69,65.61,65.67,5333
2025-03-03 11:05:00-05:00,65.67,65.69,65.63,65.63,5026
2025-03-03 11:10:00-05:00,65.64,65.73,65.56,65.58,7455
2025-03-03 11:15:00-05:00,65.57,65.57,65.45,65.47,7650
2025-03-03 11:20:00-05:00,65.48,65.57,65.47,65.53,5878
2025-03-03 11:25:00-05:00,65.52,65.53,65.43,65.485,6330
2025-03-03 11:30:00-05:00,65.49,65.51,65.4,65.41,6369
2025-03-03 11:35:00-05:00,65.41,65.48,65.31,65.365,8740
2025-03-03 11:40:00-05:00,65.37,65.41,65.31,65.35,8909
2025-03-03 11:45:00-05:00,65.35,65.46,65.34,65.46,4123
2025-03-03 11:50:00-05:00,65.46,65.47,65.41,65.42,4155
2025-03-03 11:55:00-05:00,65.43,65.48,65.42,65.42,3673
2025-03-03 12:00:00-05:00,65.42,65.42,65.34,65.4,4423
2025-03-03 12:05:00-05:00,65.395,65.46,65.395,65.44,3946
2025-03-03 12:10:00-05:00,65.44,65.45,65.38,65.39,4467
2025-03-03 12:15:00-05:00,65.36,65.41,65.33,65.4,4802
2025-03-03 12:20:00-05:00,65.41,65.51,65.4,65.485,3512
2025-03-03 12:25:00-05:00,65.485,65.5,65.36,65.42,4553
2025-03-03 12:30:00-05:00,65.43,65.58,65.43,65.5,5545
2025-03-03 12:35:00-05:00,65.52,65.58,65.495,65.565,4156
2025-03-03 12:40:00-05:00,65.56,65.57,65.54,65.57,3604
2025-03-03 12:45:00-05:00,65.58,65.67,65.57,65.655,4082
2025-03-03 12:50:00-05:00,65.66,65.665,65.525,65.525,7824
2025-03-03 12:55:00-05:00,65.525,65.58,65.46,65.49,6778
2025-03-03 13:00:00-05:00,65.49,65.63,65.46,65.62,9303
2025-03-03 13:05:00-05:00,65.62,65.73,65.57,65.73,8258
2025-03-03 13:10:00-05:00,65.76,65.78,65.695,65.73,12274
2025-03-03 13:15:00-05:00,65.73,65.8,65.7,65.74,7816
2025-03-03 13:20:00-05:00,65.75,65.8,65.73,65.78,7429
2025-03-03 13:25:00-05:00,65.78,65.78,65.57,65.64,10201
2025-03-03 13:30:00-05:00,65.65,65.66,65.41,65.44,16115
2025-03-03 13:35:00-05:00,65.44,65.54,65.23,65.33,15671
2025-03-03 13:40:00-05:00,65.34,65.47,65.31,65.44,7913
