ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,158.8,160.1,158.8,159.59,29868
2025-03-03 09:35:00-05:00,159.725,159.8,159.22,159.48,10293
2025-03-03 09:40:00-05:00,159.39,159.39,158.97,158.97,9391
2025-03-03 09:45:00-05:00,158.94,159.02,158.525,158.53,8262
2025-03-03 09:50:00-05:00,158.52,158.94,158.3,158.82,8635
2025-03-03 09:55:00-05:00,158.875,159.0,158.52,158.64,10580
2025-03-03 10:00:00-05:00,158.59,158.59,158.0,158.31,12343
2025-03-03 10:05:00-05:00,158.37,158.37,158.06,158.19,6506
2025-03-03 10:10:00-05:00,158.17,158.25,157.8,157.94,9170
2025-03-03 10:15:00-05:00,157.92,158.23,157.77,158.23,7067
2025-03-03 10:20:00-05:00,158.2,158.3,157.77,157.85,8276
2025-03-03 10:25:00-05:00,157.88,157.94,157.52,157.62,10443
2025-03-03 10:30:00-05:00,157.57,157.7,157.35,157.69,9833
2025-03-03 10:35:00-05:00,157.68,157.7,157.23,157.44,6794
2025-03-03 10:40:00-05:00,157.46,157.85,157.39,157.775,6961
2025-03-03 10:45:00-05:00,157.765,157.87,157.57,157.63,8358
2025-03-03 10:50:00-05:00,157.66,158.24,157.65,158.09,10090
2025-03-03 10:55:00-05:00,158.11,158.24,158.01,158.04,11613
2025-03-03 11:00:00-05:00,158.05,158.31,158.0,158.09,7066
2025-03-03 11:05:00-05:00,158.15,158.15,157.67,157.67,6811
2025-03-03 11:10:00-05:00,157.67,157.78,157.38,157.77,11771
2025-03-03 11:15:00-05:00,157.78,157.83,157.28,157.36,12275
2025-03-03 11:20:00-05:00,157.34,157.63,157.31,157.63,15245
2025-03-03 11:25:00-05:00,157.62,157.66,157.38,157.41,8361
2025-03-03 11:30:00-05:00,157.38,157.48,157.23,157.4,5836
2025-03-03 11:35:00-05:00,157.37,157.52,157.25,157.31,7232
2025-03-03 11:40:00-05:00,157.325,157.36,157.12,157.255,9166
2025-03-03 11:45:00-05:00,157.255,157.54,157.255,157.54,8447
2025-03-03 11:50:00-05:00,157.53,157.67,157.43,157.54,4487
2025-03-03 11:55:00-05:00,157.52,157.62,157.45,157.56,5403
2025-03-03 12:00:00-05:00,157.53,157.78,157.38,157.77,6546
2025-03-03 12:05:00-05:00,157.75,157.83,157.65,157.735,7522
2025-03-03 12:10:00-05:00,157.735,157.84,157.68,157.78,5327
2025-03-03 12:15:00-05:00,157.795,157.88,157.73,157.88,4615
2025-03-03 12:20:00-05:00,157.89,158.09,157.82,158.01,5566
2025-03-03 12:25:00-05:00,158.0,158.04,157.86,157.98,3899
2025-03-03 12:30:00-05:00,157.98,158.01,157.875,157.875,5725
2025-03-03 12:35:00-05:00,157.87,158.02,157.85,157.95,7997
2025-03-03 12:40:00-05:00,157.95,157.99,157.9,157.95,12536
2025-03-03 12:45:00-05:00,157.97,157.97,157.84,157.91,17156
2025-03-03 12:50:00-05:00,157.92,157.93,157.64,157.695,7375
2025-03-03 12:55:00-05:00,157.68,157.68,157.56,157.63,6000
2025-03-03 13:00:00-05:00,157.61,157.65,157.46,157.47,5081
2025-03-03 13:05:00-05:00,157.45,157.45,157.03,157.16,6414
2025-03-03 13:10:00-05:00,157.16,157.16,155.39,155.39,37734
2025-03-03 13:15:00-05:00,155.415,155.79,154.54,154.87,42349
2025-03-03 13:20:00-05:00,154.875,155.39,154.53,155.3,24093
2025-03-03 13:25:00-05:00,155.28,155.28,153.67,153.8,36838
2025-03-03 13:30:00-05:00,153.79,154.48,153.6,154.125,17283
2025-03-03 13:35:00-05:00,154.16,154.2,153.77,153.83,23828
2025-03-03 13:40:00-05:00,153.87,154.07,153.66,153.93,16990
2025-03-03 13:45:00-05:00,153.91,154.46,153.69,153.99,18173
2025-03-03 13:50:00-05:00,153.94,154.0,153.65,153.7,7178
2025-03-03 13:55:00-05:00,153.7,154.05,153.51,154.04,14959
2025-03-03 14:00:00-05:00,153.99,154.24,153.82,154.08,9102
2025-03-03 14:05:00-05:00,154.03,154.22,153.69,154.18,17223
2025-03-03 14:10:00-05:00,154.16,154.41,154.03,154.23,29954
2025-03-03 14:15:00-05:00,154.25,154.48,154.18,154.35,17659
2025-03-03 14:20:00-05:00,154.35,154.39,153.945,153.945,26988
2025-03-03 14:25:00-05:00,153.93,154.15,153.81,153.985,14511
2025-03-03 14:30:00-05:00,153.985,154.19,153.93,153.98,12794
2025-03-03 14:35:00-05:00,153.97,154.02,153.84,153.92,14094
2025-03-03 14:40:00-05:00,153.94,153.99,153.59,153.71,14320
2025-03-03 14:45:00-05:00,153.69,153.77,153.48,153.5,15517
2025-03-03 14:50:00-05:00,153.51,153.51,153.12,153.51,17890
2025-03-03 14:55:00-05:00,153.53,153.55,152.68,152.86,26071
2025-03-03 15:00:00-05:00,152.835,152.835,152.31,152.68,15039
2025-03-03 15:05:00-05:00,152.69,153.03,152.49,152.94,25614
2025-03-03 15:10:00-05:00,152.96,152.96,152.41,152.44,21223
2025-03-03 15:15:00-05:00,152.44,152.79,152.43,152.73,24679
2025-03-03 15:20:00-05:00,152.74,152.88,152.52,152.83,30770
2025-03-03 15:25:00-05:00,152.83,152.83,152.35,152.36,25627
2025-03-03 15:30:00-05:00,152.35,152.56,152.2,152.32,24717
2025-03-03 15:35:00-05:00,152.35,152.375,152.02,152.14,54422
2025-03-03 15:40:00-05:00,152.13,152.135,151.77,152.03,52690
2025-03-03 15:45:00-05:00,152.01,152.53,151.93,152.51,48375
2025-03-03 15:50:00-05:00,152.51,153.06,152.37,153.005,64768
2025-03-03 15:55:00-05:00,152.99,153.36,152.95,153.11,81265
2025-03-04 09:30:00-05:00,151.1,151.9,150.115,151.28,31037
2025-03-04 09:35:00-05:00,151.27,151.43,150.46,151.25,15478
2025-03-04 09:40:00-05:00,151.09,151.82,150.715,150.8,21000
2025-03-04 09:45:00-05:00,150.79,151.62,150.79,151.05,14164
2025-03-04 09:50:00-05:00,150.99,151.3,150.57,150.74,10772
2025-03-04 09:55:00-05:00,150.74,150.925,150.44,150.52,8901
2025-03-04 10:00:00-05:00,150.55,150.94,150.16,150.32,30914
2025-03-04 10:05:00-05:00,150.29,150.79,150.24,150.65,13469
2025-03-04 10:10:00-05:00,150.61,150.88,150.54,150.84,14898
2025-03-04 10:15:00-05:00,150.91,150.98,150.48,150.59,12152
2025-03-04 10:20:00-05:00,150.575,150.92,150.5,150.84,15337
2025-03-04 10:25:00-05:00,150.81,151.2,150.67,151.14,22839
2025-03-04 10:30:00-05:00,151.14,151.93,151.11,151.54,25985
2025-03-04 10:35:00-05:00,151.54,151.84,151.11,151.14,10707
2025-03-04 10:40:00-05:00,151.18,151.545,150.99,151.33,16657
2025-03-04 10:45:00-05:00,151.32,151.5,151.16,151.3,11102
2025-03-04 10:50:00-05:00,151.37,151.51,151.08,151.19,9676
2025-03-04 10:55:00-05:00,151.23,151.38,151.07,151.19,12815
2025-03-04 11:00:00-05:00,151.2,151.48,151.11,151.23,19659
2025-03-04 11:05:00-05:00,151.24,151.34,150.94,151.17,10815
2025-03-04 11:10:00-05:00,151.13,151.91,151.1,151.71,16017
2025-03-04 11:15:00-05:00,151.71,152.03,151.64,151.76,11554
2025-03-04 11:20:00-05:00,151.78,152.18,151.7,151.88,11230
2025-03-04 11:25:00-05:00,151.88,152.09,151.69,152.0,16946
2025-03-04 11:30:00-05:00,152.01,152.47,151.9,152.02,24958
2025-03-04 11:35:00-05:00,152.03,152.33,151.92,152.31,13497
2025-03-04 11:40:00-05:00,152.28,152.47,151.98,152.33,20283
2025-03-04 11:45:00-05:00,152.32,152.32,152.08,152.23,9047
2025-03-04 11:50:00-05:00,152.21,152.36,151.97,152.26,6537
2025-03-04 11:55:00-05:00,152.24,152.6,152.24,152.54,11480
2025-03-04 12:00:00-05:00,152.55,152.95,152.36,152.88,13039
2025-03-04 12:05:00-05:00,152.87,152.88,152.64,152.73,7347
2025-03-04 12:10:00-05:00,152.74,152.95,152.7,152.74,8753
2025-03-04 12:15:00-05:00,152.76,152.89,152.67,152.7,10699
2025-03-04 12:20:00-05:00,152.68,152.9,152.47,152.57,16465
2025-03-04 12:25:00-05:00,152.565,153.01,152.53,152.82,11005
2025-03-04 12:30:00-05:00,152.81,152.85,152.41,152.66,10093
2025-03-04 12:35:00-05:00,152.66,152.98,152.645,152.98,7547
2025-03-04 12:40:00-05:00,152.95,152.97,152.67,152.73,7897
2025-03-04 12:45:00-05:00,152.72,153.11,152.72,152.94,10000
2025-03-04 12:50:00-05:00,152.94,152.94,152.355,152.82,12339
2025-03-04 12:55:00-05:00,152.82,152.87,152.6,152.64,6694
2025-03-04 13:00:00-05:00,152.63,152.84,152.63,152.78,9318
2025-03-04 13:05:00-05:00,152.76,153.05,152.68,152.85,12040
2025-03-04 13:10:00-05:00,152.83,153.03,152.76,152.9,10600
2025-03-04 13:15:00-05:00,152.86,152.92,152.62,152.87,9261
2025-03-04 13:20:00-05:00,152.9,152.92,152.355,152.47,15855
2025-03-04 13:25:00-05:00,152.5,152.52,152.18,152.42,12835
2025-03-04 13:30:00-05:00,152.39,152.47,152.18,152.42,11511
2025-03-04 13:35:00-05:00,152.39,152.39,152.11,152.305,8467
