ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,80.0,80.3,79.82,80.23,43344
2025-03-03 09:35:00-05:00,80.23,80.43,80.08,80.2,16782
2025-03-03 09:40:00-05:00,80.22,80.33,79.75,79.85,17247
2025-03-03 09:45:00-05:00,79.83,80.105,79.69,79.86,18331
2025-03-03 09:50:00-05:00,79.86,80.065,79.84,79.925,14942
2025-03-03 09:55:00-05:00,79.92,79.97,79.51,79.63,87050
2025-03-03 10:00:00-05:00,79.6,79.86,79.24,79.82,51547
2025-03-03 10:05:00-05:00,79.8,79.84,79.42,79.42,29219
2025-03-03 10:10:00-05:00,79.41,79.72,79.285,79.47,58031
2025-03-03 10:15:00-05:00,79.48,79.63,79.405,79.5,20535
2025-03-03 10:20:00-05:00,79.5,79.75,79.48,79.69,17020
2025-03-03 10:25:00-05:00,79.68,79.83,79.52,79.82,24888
2025-03-03 10:30:00-05:00,79.82,79.92,79.72,79.87,29877
2025-03-03 10:35:00-05:00,79.86,79.86,79.56,79.71,11457
2025-03-03 10:40:00-05:00,79.71,80.05,79.63,80.03,10989
2025-03-03 10:45:00-05:00,80.03,80.03,79.7,79.76,13565
2025-03-03 10:50:00-05:00,79.77,79.82,79.65,79.755,19184
2025-03-03 10:55:00-05:00,79.755,79.79,79.53,79.59,18499
2025-03-03 11:00:00-05:00,79.6,79.78,79.55,79.62,17323
2025-03-03 11:05:00-05:00,79.62,79.67,79.46,79.545,14457
2025-03-03 11:10:00-05:00,79.54,79.6,79.315,79.45,31224
2025-03-03 11:15:00-05:00,79.45,79.52,79.39,79.45,9932
2025-03-03 11:20:00-05:00,79.45,79.54,79.36,79.39,11225
2025-03-03 11:25:00-05:00,79.4,79.4,79.14,79.22,15923
2025-03-03 11:30:00-05:00,79.22,79.28,79.12,79.12,13080
2025-03-03 11:35:00-05:00,79.12,79.18,78.93,78.99,17101
2025-03-03 11:40:00-05:00,79.0,79.0,78.76,78.81,23721
2025-03-03 11:45:00-05:00,78.8,79.01,78.79,78.99,14588
2025-03-03 11:50:00-05:00,78.98,79.045,78.89,78.92,17828
2025-03-03 11:55:00-05:00,78.92,79.065,78.87,79.02,19956
2025-03-03 12:00:00-05:00,79.01,79.16,78.95,79.14,10377
2025-03-03 12:05:00-05:00,79.145,79.23,79.06,79.1,12043
2025-03-03 12:10:00-05:00,79.1,79.29,79.09,79.185,14840
2025-03-03 12:15:00-05:00,79.18,79.21,79.095,79.115,13868
2025-03-03 12:20:00-05:00,79.115,79.2,79.06,79.15,15640
2025-03-03 12:25:00-05:00,79.15,79.19,79.105,79.17,8464
2025-03-03 12:30:00-05:00,79.18,79.235,79.15,79.155,18456
2025-03-03 12:35:00-05:00,79.16,79.17,79.08,79.1,15543
2025-03-03 12:40:00-05:00,79.105,79.16,79.025,79.1,14349
2025-03-03 12:45:00-05:00,79.11,79.15,79.0,79.05,9305
2025-03-03 12:50:00-05:00,79.05,79.05,78.785,78.79,13360
2025-03-03 12:55:00-05:00,78.78,78.8,78.66,78.69,15938
2025-03-03 13:00:00-05:00,78.68,78.72,78.535,78.55,30463
2025-03-03 13:05:00-05:00,78.54,78.54,78.34,78.37,36316
2025-03-03 13:10:00-05:00,78.37,78.41,78.115,78.14,69755
2025-03-03 13:15:00-05:00,78.14,78.44,78.14,78.23,30399
2025-03-03 13:20:00-05:00,78.23,78.32,78.07,78.27,21788
2025-03-03 13:25:00-05:00,78.27,78.27,77.76,77.78,29255
2025-03-03 13:30:00-05:00,77.78,77.89,77.62,77.76,37196
2025-03-03 13:35:00-05:00,77.76,77.92,77.64,77.66,16346
2025-03-03 13:40:00-05:00,77.65,77.93,77.63,77.82,33285
2025-03-03 13:45:00-05:00,77.82,78.16,77.735,77.91,53215
2025-03-03 13:50:00-05:00,77.91,77.99,77.81,77.83,36996
2025-03-03 13:55:00-05:00,77.82,77.91,77.75,77.89,29628
2025-03-03 14:00:00-05:00,77.89,78.08,77.84,78.05,34411
