ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,209.11,209.28,206.45,206.45,11342
2025-03-03 09:35:00-05:00,206.29,207.11,205.815,206.96,4992
2025-03-03 09:40:00-05:00,206.965,207.67,206.84,207.14,6054
2025-03-03 09:45:00-05:00,207.345,207.475,206.89,207.31,3137
2025-03-03 09:50:00-05:00,207.25,208.42,207.17,208.3,4993
2025-03-03 09:55:00-05:00,208.35,208.74,208.12,208.51,3979
2025-03-03 10:00:00-05:00,208.29,208.3,207.31,207.42,5100
2025-03-03 10:05:00-05:00,207.52,207.95,206.95,207.57,8795
2025-03-03 10:10:00-05:00,207.54,207.82,207.26,207.26,3344
2025-03-03 10:15:00-05:00,207.22,207.28,206.53,207.2,6509
2025-03-03 10:20:00-05:00,207.17,207.39,207.02,207.26,2639
2025-03-03 10:25:00-05:00,207.335,207.76,207.26,207.53,4069
2025-03-03 10:30:00-05:00,207.48,207.48,207.1,207.21,3433
2025-03-03 10:35:00-05:00,207.25,207.37,206.83,207.24,6968
2025-03-03 10:40:00-05:00,207.19,207.9,207.17,207.78,1793
2025-03-03 10:45:00-05:00,207.71,207.71,207.06,207.24,2492
2025-03-03 10:50:00-05:00,207.34,207.48,207.25,207.48,1380
2025-03-03 10:55:00-05:00,207.54,207.67,207.27,207.27,2217
2025-03-03 11:00:00-05:00,207.37,208.04,207.37,208.04,3162
2025-03-03 11:05:00-05:00,207.85,207.9,207.37,207.46,1483
2025-03-03 11:10:00-05:00,207.31,207.35,207.01,207.135,2076
2025-03-03 11:15:00-05:00,207.04,207.335,206.96,207.255,1282
2025-03-03 11:20:00-05:00,207.2,207.58,207.2,207.415,2706
2025-03-03 11:25:00-05:00,207.5,207.5,207.07,207.16,3159
2025-03-03 11:30:00-05:00,207.19,207.19,206.99,207.06,2964
2025-03-03 11:35:00-05:00,207.06,207.15,206.68,206.91,2684
2025-03-03 11:40:00-05:00,206.9,207.15,206.89,207.04,1279
2025-03-03 11:45:00-05:00,207.02,207.34,206.94,207.325,1153
2025-03-03 11:50:00-05:00,207.36,207.47,207.26,207.28,2464
2025-03-03 11:55:00-05:00,207.32,207.63,207.32,207.59,2033
2025-03-03 12:00:00-05:00,207.58,207.59,207.39,207.45,2131
2025-03-03 12:05:00-05:00,207.39,207.55,207.23,207.45,4055
2025-03-03 12:10:00-05:00,207.48,207.66,207.45,207.59,1318
2025-03-03 12:15:00-05:00,207.55,207.63,207.47,207.565,1221
2025-03-03 12:20:00-05:00,207.66,207.93,207.66,207.74,2234
2025-03-03 12:25:00-05:00,207.79,207.87,207.55,207.7,676
2025-03-03 12:30:00-05:00,207.72,207.81,207.37,207.42,3455
2025-03-03 12:35:00-05:00,207.37,207.42,207.29,207.29,624
2025-03-03 12:40:00-05:00,207.33,207.46,207.31,207.37,1400
2025-03-03 12:45:00-05:00,207.4,207.63,207.3,207.63,2551
2025-03-03 12:50:00-05:00,207.56,207.69,207.38,207.38,567
2025-03-03 12:55:00-05:00,207.38,207.38,207.06,207.21,1977
2025-03-03 13:00:00-05:00,207.28,207.33,207.07,207.17,975
2025-03-03 13:05:00-05:00,207.07,207.07,206.63,207.0,2234
2025-03-03 13:10:00-05:00,207.03,207.2,206.95,207.12,1683
2025-03-03 13:15:00-05:00,207.105,207.34,207.1,207.24,2373
2025-03-03 13:20:00-05:00,207.23,207.25,206.87,207.0,3072
2025-03-03 13:25:00-05:00,206.9,207.06,206.76,207.06,783
2025-03-03 13:30:00-05:00,206.96,207.09,206.52,206.565,3979
2025-03-03 13:35:00-05:00,206.565,206.66,206.37,206.56,1028
2025-03-03 13:40:00-05:00,206.64,206.78,206.64,206.74,1075
2025-03-03 13:45:00-05:00,206.74,206.91,206.55,206.67,4117
2025-03-03 13:50:00-05:00,206.75,206.82,206.52,206.52,2280
2025-03-03 13:55:00-05:00,206.51,206.55,206.33,206.51,2264
2025-03-03 14:00:00-05:00,206.49,206.815,206.49,206.685,2337
2025-03-03 14:05:00-05:00,206.7,206.72,206.44,206.45,2029
2025-03-03 14:10:00-05:00,206.43,206.55,206.39,206.55,1855
2025-03-03 14:15:00-05:00,206.53,206.53,206.15,206.15,1986
2025-03-03 14:20:00-05:00,206.19,206.42,206.19,206.305,2344
2025-03-03 14:25:00-05:00,206.24,206.24,205.93,206.13,2250
2025-03-03 14:30:00-05:00,206.11,206.34,206.06,206.12,6365
2025-03-03 14:35:00-05:00,206.12,206.32,206.09,206.3,2566
