ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,117.25,117.35,116.88,117.1,7095
2025-03-03 09:35:00-05:00,117.14,117.56,117.06,117.235,36939
2025-03-03 09:40:00-05:00,117.2,117.54,117.2,117.28,26081
2025-03-03 09:45:00-05:00,117.27,117.33,117.1,117.26,10676
2025-03-03 09:50:00-05:00,117.26,117.46,117.15,117.46,15389
2025-03-03 09:55:00-05:00,117.42,117.79,117.42,117.6,14450
2025-03-03 10:00:00-05:00,117.58,117.77,117.4,117.76,15256
2025-03-03 10:05:00-05:00,117.77,117.94,117.67,117.81,6275
2025-03-03 10:10:00-05:00,117.835,117.91,117.75,117.87,6578
2025-03-03 10:15:00-05:00,117.88,118.05,117.87,117.95,11026
2025-03-03 10:20:00-05:00,117.945,117.95,117.58,117.705,5861
2025-03-03 10:25:00-05:00,117.71,117.75,117.49,117.535,8547
2025-03-03 10:30:00-05:00,117.53,117.71,117.43,117.71,6237
2025-03-03 10:35:00-05:00,117.71,117.88,117.67,117.82,7649
2025-03-03 10:40:00-05:00,117.86,117.98,117.82,117.92,5429
2025-03-03 10:45:00-05:00,117.91,117.99,117.87,117.905,4065
2025-03-03 10:50:00-05:00,117.88,117.88,117.68,117.72,4523
2025-03-03 10:55:00-05:00,117.72,117.83,117.69,117.74,6299
2025-03-03 11:00:00-05:00,117.73,117.77,117.64,117.74,6455
2025-03-03 11:05:00-05:00,117.74,117.83,117.72,117.785,5739
2025-03-03 11:10:00-05:00,117.78,117.92,117.77,117.84,5483
2025-03-03 11:15:00-05:00,117.84,117.94,117.82,117.89,5738
2025-03-03 11:20:00-05:00,117.88,117.88,117.79,117.86,3843
2025-03-03 11:25:00-05:00,117.86,117.92,117.63,117.69,4372
2025-03-03 11:30:00-05:00,117.7,117.94,117.66,117.94,3749
2025-03-03 11:35:00-05:00,117.92,118.03,117.87,117.93,4693
2025-03-03 11:40:00-05:00,117.94,117.98,117.92,117.95,2391
2025-03-03 11:45:00-05:00,117.93,117.99,117.91,117.96,2846
2025-03-03 11:50:00-05:00,117.97,118.0,117.88,117.98,2221
2025-03-03 11:55:00-05:00,117.97,117.97,117.85,117.85,3461
2025-03-03 12:00:00-05:00,117.86,117.94,117.81,117.91,3092
2025-03-03 12:05:00-05:00,117.905,117.93,117.86,117.91,1206
2025-03-03 12:10:00-05:00,117.93,118.0,117.91,117.94,3080
2025-03-03 12:15:00-05:00,117.94,117.96,117.87,117.95,4319
2025-03-03 12:20:00-05:00,117.96,117.97,117.855,117.855,2702
2025-03-03 12:25:00-05:00,117.85,117.92,117.79,117.81,3349
2025-03-03 12:30:00-05:00,117.83,117.885,117.8,117.81,2079
2025-03-03 12:35:00-05:00,117.82,117.92,117.76,117.91,2367
2025-03-03 12:40:00-05:00,117.92,117.94,117.85,117.925,1853
2025-03-03 12:45:00-05:00,117.94,118.02,117.93,118.0,1760
2025-03-03 12:50:00-05:00,117.99,118.055,117.98,118.05,2001
2025-03-03 12:55:00-05:00,118.04,118.1,117.98,118.03,6816
2025-03-03 13:00:00-05:00,118.02,118.04,117.94,117.96,9657
2025-03-03 13:05:00-05:00,117.955,117.97,117.87,117.97,8204
2025-03-03 13:10:00-05:00,117.97,118.08,117.95,118.03,5558
2025-03-03 13:15:00-05:00,118.03,118.03,117.91,117.98,5242
2025-03-03 13:20:00-05:00,117.99,118.0,117.9,117.97,7214
2025-03-03 13:25:00-05:00,117.97,117.98,117.84,117.87,4427
2025-03-03 13:30:00-05:00,117.87,117.99,117.84,117.84,5364
2025-03-03 13:35:00-05:00,117.85,117.97,117.83,117.97,3932
2025-03-03 13:40:00-05:00,117.955,118.02,117.91,118.02,6455
2025-03-03 13:45:00-05:00,118.01,118.02,117.82,117.86,8942
2025-03-03 13:50:00-05:00,117.85,118.01,117.83,117.99,3939
2025-03-03 13:55:00-05:00,117.995,117.995,117.87,117.9,3860
2025-03-03 14:00:00-05:00,117.89,117.94,117.82,117.92,3485
2025-03-03 14:05:00-05:00,117.93,117.94,117.85,117.94,3067
2025-03-03 14:10:00-05:00,117.95,118.0,117.93,117.95,3516
2025-03-03 14:15:00-05:00,117.96,118.05,117.96,117.985,1630
2025-03-03 14:20:00-05:00,117.97,117.97,117.86,117.93,4970
2025-03-03 14:25:00-05:00,117.93,118.01,117.93,118.0,2359
2025-03-03 14:30:00-05:00,118.01,118.03,117.96,118.0,2875
2025-03-03 14:35:00-05:00,118.0,118.06,117.93,118.04,2847
2025-03-03 14:40:00-05:00,118.04,118.14,118.04,118.11,3482
2025-03-03 14:45:00-05:00,118.1,118.13,118.05,118.105,4356
2025-03-03 14:50:00-05:00,118.09,118.1,118.0,118.06,5382
2025-03-03 14:55:00-05:00,118.06,118.09,117.94,117.94,6771
2025-03-03 15:00:00-05:00,117.93,117.94,117.775,117.92,8460
2025-03-03 15:05:00-05:00,117.9,117.97,117.86,117.97,7447
2025-03-03 15:10:00-05:00,117.95,117.95,117.805,117.9,10281
2025-03-03 15:15:00-05:00,117.9,118.0,117.82,118.0,9175
2025-03-03 15:20:00-05:00,118.01,118.24,117.97,118.23,9621
2025-03-03 15:25:00-05:00,118.22,118.24,118.0,118.04,10599
2025-03-03 15:30:00-05:00,118.04,118.22,117.94,118.215,6751
2025-03-03 15:35:00-05:00,118.2,118.2,118.07,118.15,7757
2025-03-03 15:40:00-05:00,118.15,118.29,118.03,118.27,9098
2025-03-03 15:45:00-05:00,118.26,118.49,118.22,118.49,19169
2025-03-03 15:50:00-05:00,118.5,118.63,118.46,118.57,20211
2025-03-03 15:55:00-05:00,118.59,118.72,118.56,118.66,31879
2025-03-04 09:30:00-05:00,119.16,119.53,118.9,119.26,5112
2025-03-04 09:35:00-05:00,119.32,119.37,118.53,118.645,3841
2025-03-04 09:40:00-05:00,118.7,119.55,118.7,119.38,9081
2025-03-04 09:45:00-05:00,119.43,119.47,119.0,119.13,4919
2025-03-04 09:50:00-05:00,119.06,119.57,119.05,119.33,6201
2025-03-04 09:55:00-05:00,119.31,119.35,119.0,119.29,6843
2025-03-04 10:00:00-05:00,119.22,119.67,119.22,119.29,9767
2025-03-04 10:05:00-05:00,119.27,119.5,119.14,119.42,4819
2025-03-04 10:10:00-05:00,119.44,119.46,119.02,119.08,6019
2025-03-04 10:15:00-05:00,119.12,119.6,119.12,119.6,4829
2025-03-04 10:20:00-05:00,119.61,119.67,119.37,119.38,11077
2025-03-04 10:25:00-05:00,119.44,119.64,119.38,119.58,4650
2025-03-04 10:30:00-05:00,119.56,119.65,119.21,119.28,18301
2025-03-04 10:35:00-05:00,119.245,119.32,118.98,119.17,9373
2025-03-04 10:40:00-05:00,119.21,119.32,119.03,119.25,4838
2025-03-04 10:45:00-05:00,119.21,119.27,118.97,119.03,5998
2025-03-04 10:50:00-05:00,118.985,119.08,118.78,119.08,7116
2025-03-04 10:55:00-05:00,119.08,119.21,119.01,119.08,8281
2025-03-04 11:00:00-05:00,119.11,119.3,119.08,119.24,3841
2025-03-04 11:05:00-05:00,119.25,119.25,118.98,119.05,6050
2025-03-04 11:10:00-05:00,119.02,119.25,118.98,119.12,5581
2025-03-04 11:15:00-05:00,119.08,119.08,118.85,118.9,6857
2025-03-04 11:20:00-05:00,118.89,118.89,118.57,118.61,4440
2025-03-04 11:25:00-05:00,118.59,118.7,118.45,118.64,6449
2025-03-04 11:30:00-05:00,118.61,118.72,118.54,118.62,8226
2025-03-04 11:35:00-05:00,118.63,118.63,118.29,118.32,2801
2025-03-04 11:40:00-05:00,118.32,118.36,117.95,118.11,4502
2025-03-04 11:45:00-05:00,118.15,118.43,118.15,118.22,4113
2025-03-04 11:50:00-05:00,118.25,118.31,118.075,118.12,4696
2025-03-04 11:55:00-05:00,118.12,118.2,118.03,118.2,3210
2025-03-04 12:00:00-05:00,118.18,118.205,118.03,118.08,3138
2025-03-04 12:05:00-05:00,118.11,118.16,118.0,118.06,2481
2025-03-04 12:10:00-05:00,118.08,118.19,118.05,118.135,4006
2025-03-04 12:15:00-05:00,118.14,118.14,117.97,118.01,3654
2025-03-04 12:20:00-05:00,118.0,118.05,117.87,117.95,5325
2025-03-04 12:25:00-05:00,117.95,117.95,117.74,117.785,3939
2025-03-04 12:30:00-05:00,117.81,118.03,117.75,118.0,3359
2025-03-04 12:35:00-05:00,118.005,118.005,117.7,117.745,3281
2025-03-04 12:40:00-05:00,117.74,117.79,117.61,117.61,4713
2025-03-04 12:45:00-05:00,117.58,117.59,117.4,117.47,2643
2025-03-04 12:50:00-05:00,117.47,117.48,117.38,117.46,2160
2025-03-04 12:55:00-05:00,117.49,117.5,117.32,117.35,2765
2025-03-04 13:00:00-05:00,117.38,117.38,117.27,117.31,1876
2025-03-04 13:05:00-05:00,117.31,117.33,117.22,117.25,2059
2025-03-04 13:10:00-05:00,117.255,117.3,117.2,117.23,1794
2025-03-04 13:15:00-05:00,117.23,117.47,117.22,117.45,3400
2025-03-04 13:20:00-05:00,117.445,117.45,117.36,117.41,2060
2025-03-04 13:25:00-05:00,117.4,117.46,117.26,117.455,3531
2025-03-04 13:30:00-05:00,117.47,117.74,117.47,117.73,6143
2025-03-04 13:35:00-05:00,117.74,117.83,117.69,117.77,4710
2025-03-04 13:40:00-05:00,117.79,117.83,117.67,117.67,4181
2025-03-04 13:45:00-05:00,117.65,117.7,117.59,117.65,2576
2025-03-04 13:50:00-05:00,117.63,117.74,117.58,117.65,5771
2025-03-04 13:55:00-05:00,117.64,117.66,117.315,117.315,5977
2025-03-04 14:00:00-05:00,117.3,117.75,117.28,117.75,3912
2025-03-04 14:05:00-05:00,117.76,117.86,117.5,117.7,8177
2025-03-04 14:10:00-05:00,117.695,117.72,117.34,117.34,4778
2025-03-04 14:15:00-05:00,117.38,117.53,117.38,117.48,2685
2025-03-04 14:20:00-05:00,117.52,117.61,117.52,117.58,4231
2025-03-04 14:25:00-05:00,117.58,117.58,117.27,117.395,5165
2025-03-04 14:30:00-05:00,117.42,117.57,117.41,117.5,9457
2025-03-04 14:35:00-05:00,117.51,117.66,117.51,117.59,2817
2025-03-04 14:40:00-05:00,117.56,117.6,117.49,117.495,2134
2025-03-04 14:45:00-05:00,117.52,117.67,117.52,117.59,5625
2025-03-04 14:50:00-05:00,117.63,117.66,117.42,117.42,15898
2025-03-04 14:55:00-05:00,117.39,117.77,117.39,117.66,10678
2025-03-04 15:00:00-05:00,117.7,117.7,117.47,117.49,5839
2025-03-04 15:05:00-05:00,117.49,117.53,117.44,117.47,3579
2025-03-04 15:10:00-05:00,117.44,117.48,117.28,117.28,7406
2025-03-04 15:15:00-05:00,117.27,117.48,117.27,117.39,5096
2025-03-04 15:20:00-05:00,117.41,117.55,117.41,117.52,7447
2025-03-04 15:25:00-05:00,117.55,117.55,117.345,117.4,8612
2025-03-04 15:30:00-05:00,117.41,117.46,117.05,117.16,9969
2025-03-04 15:35:00-05:00,117.15,117.18,116.98,117.085,8828
2025-03-04 15:40:00-05:00,117.1,117.11,116.88,117.0,6821
2025-03-04 15:45:00-05:00,117.01,117.05,116.91,116.97,7509
2025-03-04 15:50:00-05:00,116.98,117.03,116.43,116.7,32723
2025-03-04 15:55:00-05:00,116.705,116.715,116.36,116.43,50688
2025-03-05 09:30:00-05:00,115.805,116.11,115.61,116.07,3012
2025-03-05 09:35:00-05:00,116.07,116.91,115.895,116.54,8863
2025-03-05 09:40:00-05:00,116.42,116.435,115.81,115.98,5305
2025-03-05 09:45:00-05:00,116.06,116.22,115.95,115.95,2668
2025-03-05 09:50:00-05:00,115.92,115.93,115.61,115.93,5769
2025-03-05 09:55:00-05:00,115.85,116.03,115.79,115.88,3503
2025-03-05 10:00:00-05:00,115.85,116.01,115.57,115.665,6143
2025-03-05 10:05:00-05:00,115.61,115.76,115.525,115.76,6606
2025-03-05 10:10:00-05:00,115.73,116.0,115.71,115.94,6922
2025-03-05 10:15:00-05:00,115.9,115.9,115.62,115.66,3595
2025-03-05 10:20:00-05:00,115.69,115.84,115.34,115.38,5255
2025-03-05 10:25:00-05:00,115.38,115.4,115.22,115.29,6608
2025-03-05 10:30:00-05:00,115.32,115.5,115.26,115.33,8519
2025-03-05 10:35:00-05:00,115.32,115.41,115.26,115.31,3030
2025-03-05 10:40:00-05:00,115.28,115.5,115.28,115.31,4740
2025-03-05 10:45:00-05:00,115.32,115.46,115.32,115.42,4160
2025-03-05 10:50:00-05:00,115.4,115.46,115.24,115.27,4293
2025-03-05 10:55:00-05:00,115.25,115.37,115.17,115.37,2695
2025-03-05 11:00:00-05:00,115.35,115.4,115.22,115.33,3833
2025-03-05 11:05:00-05:00,115.36,115.45,115.31,115.37,3389
2025-03-05 11:10:00-05:00,115.38,115.58,115.31,115.58,2399
2025-03-05 11:15:00-05:00,115.55,115.59,115.45,115.53,3596
2025-03-05 11:20:00-05:00,115.52,115.63,115.52,115.63,2998
2025-03-05 11:25:00-05:00,115.62,115.62,115.44,115.5,4414
2025-03-05 11:30:00-05:00,115.48,115.48,115.18,115.3,4916
2025-03-05 11:35:00-05:00,115.31,115.41,115.31,115.32,2488
2025-03-05 11:40:00-05:00,115.31,115.37,115.28,115.28,2969
2025-03-05 11:45:00-05:00,115.29,115.31,115.2,115.21,2344
2025-03-05 11:50:00-05:00,115.22,115.25,115.16,115.16,2151
2025-03-05 11:55:00-05:00,115.17,115.27,115.11,115.17,5396
2025-03-05 12:00:00-05:00,115.21,115.48,115.21,115.43,1931
2025-03-05 12:05:00-05:00,115.43,115.43,115.31,115.33,1138
2025-03-05 12:10:00-05:00,115.33,115.36,115.21,115.23,1856
2025-03-05 12:15:00-05:00,115.22,115.4,115.21,115.35,1173
2025-03-05 12:20:00-05:00,115.37,115.46,115.35,115.405,2115
2025-03-05 12:25:00-05:00,115.4,115.52,115.38,115.4,1580
2025-03-05 12:30:00-05:00,115.43,115.52,115.43,115.49,582
2025-03-05 12:35:00-05:00,115.52,115.53,115.43,115.43,1948
2025-03-05 12:40:00-05:00,115.44,115.45,115.36,115.38,1928
2025-03-05 12:45:00-05:00,115.4,115.41,115.29,115.37,3184
2025-03-05 12:50:00-05:00,115.38,115.44,115.32,115.34,3302
2025-03-05 12:55:00-05:00,115.36,115.45,115.36,115.45,1163
2025-03-05 13:00:00-05:00,115.46,115.51,115.43,115.5,2499
2025-03-05 13:05:00-05:00,115.49,115.54,115.26,115.31,4798
2025-03-05 13:10:00-05:00,115.31,115.32,115.18,115.24,1790
2025-03-05 13:15:00-05:00,115.23,115.37,115.23,115.3,3355
2025-03-05 13:20:00-05:00,115.31,115.33,115.25,115.33,1112
2025-03-05 13:25:00-05:00,115.35,115.45,115.35,115.44,1846
2025-03-05 13:30:00-05:00,115.43,115.43,115.27,115.33,1914
2025-03-05 13:35:00-05:00,115.32,115.42,115.32,115.35,1665
2025-03-05 13:40:00-05:00,115.37,115.42,115.3,115.345,2772
2025-03-05 13:45:00-05:00,115.36,115.56,115.36,115.485,2008
