ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,263.0,263.9,262.56,262.85,1956
2025-03-03 09:35:00-05:00,263.345,264.48,263.29,264.48,3532
2025-03-03 09:40:00-05:00,264.4,264.85,264.21,264.38,2433
2025-03-03 09:45:00-05:00,264.13,264.96,264.06,264.72,748
2025-03-03 09:50:00-05:00,264.7,264.79,263.9,263.9,1284
2025-03-03 09:55:00-05:00,263.88,263.88,262.95,262.95,798
2025-03-03 10:00:00-05:00,262.95,263.0,261.93,262.18,1225
2025-03-03 10:05:00-05:00,262.185,262.77,262.1,262.74,1438
2025-03-03 10:10:00-05:00,262.56,263.01,262.03,262.03,1672
2025-03-03 10:15:00-05:00,262.04,262.38,261.84,262.0,1411
2025-03-03 10:20:00-05:00,262.03,262.07,261.69,261.71,522
2025-03-03 10:25:00-05:00,261.69,261.99,261.69,261.99,1269
2025-03-03 10:30:00-05:00,262.06,262.23,261.78,262.15,1830
2025-03-03 10:35:00-05:00,262.04,262.16,261.72,261.72,1723
2025-03-03 10:40:00-05:00,261.805,262.97,261.805,262.935,1521
2025-03-03 10:45:00-05:00,262.935,262.945,262.16,262.26,1294
2025-03-03 10:50:00-05:00,262.21,262.47,261.97,262.07,2673
2025-03-03 10:55:00-05:00,262.25,262.25,261.72,261.93,1471
2025-03-03 11:00:00-05:00,262.01,262.2,261.92,262.1,1694
2025-03-03 11:05:00-05:00,262.1,262.3,261.83,261.84,808
2025-03-03 11:10:00-05:00,262.005,262.005,261.49,261.72,1941
2025-03-03 11:15:00-05:00,261.72,261.72,261.2,261.23,684
2025-03-03 11:20:00-05:00,261.335,261.51,260.79,260.79,1037
2025-03-03 11:25:00-05:00,260.74,260.85,260.35,260.35,1275
2025-03-03 11:30:00-05:00,260.25,260.39,259.85,260.21,3423
2025-03-03 11:35:00-05:00,260.21,260.36,259.95,260.175,1946
2025-03-03 11:40:00-05:00,260.22,260.31,259.9,259.97,362
2025-03-03 11:45:00-05:00,260.12,260.65,260.05,260.65,959
2025-03-03 11:50:00-05:00,260.69,261.07,260.69,261.07,344
2025-03-03 11:55:00-05:00,260.97,261.12,260.91,260.98,307
2025-03-03 12:00:00-05:00,260.95,261.0,260.6,260.95,1727
2025-03-03 12:05:00-05:00,260.95,261.14,260.83,261.035,334
2025-03-03 12:10:00-05:00,261.14,261.28,260.99,261.28,1487
2025-03-03 12:15:00-05:00,261.205,261.62,261.14,261.62,576
2025-03-03 12:20:00-05:00,261.62,261.81,261.48,261.8,433
2025-03-03 12:25:00-05:00,261.71,261.71,261.23,261.3,1964
2025-03-03 12:30:00-05:00,261.5,261.66,261.19,261.19,1521
2025-03-03 12:35:00-05:00,261.31,261.31,260.9,261.26,1769
2025-03-03 12:40:00-05:00,261.16,261.55,261.13,261.55,604
2025-03-03 12:45:00-05:00,261.37,261.37,261.01,261.13,1375
2025-03-03 12:50:00-05:00,261.07,261.07,260.62,260.62,728
2025-03-03 12:55:00-05:00,260.69,260.74,260.47,260.47,346
2025-03-03 13:00:00-05:00,260.45,260.47,260.15,260.39,1077
2025-03-03 13:05:00-05:00,260.35,260.35,260.02,260.29,624
2025-03-03 13:10:00-05:00,260.25,260.37,259.99,260.055,1180
2025-03-03 13:15:00-05:00,260.08,260.27,259.99,260.18,1178
2025-03-03 13:20:00-05:00,260.28,260.29,259.9,260.07,1675
2025-03-03 13:25:00-05:00,259.94,259.94,259.28,259.29,1089
2025-03-03 13:30:00-05:00,259.1,259.55,258.64,258.64,2221
2025-03-03 13:35:00-05:00,258.785,259.0,258.38,258.39,1963
2025-03-03 13:40:00-05:00,258.45,258.81,258.26,258.68,3570
2025-03-03 13:45:00-05:00,258.81,259.69,258.81,259.48,1873
2025-03-03 13:50:00-05:00,259.56,259.775,259.24,259.24,873
2025-03-03 13:55:00-05:00,259.04,259.28,258.9,259.04,287
2025-03-03 14:00:00-05:00,259.075,259.39,259.07,259.16,924
2025-03-03 14:05:00-05:00,259.155,259.155,258.94,258.95,146
2025-03-03 14:10:00-05:00,258.99,259.47,258.95,259.335,579
2025-03-03 14:15:00-05:00,259.47,259.47,259.23,259.35,1295
2025-03-03 14:20:00-05:00,259.32,259.44,259.15,259.37,1338
2025-03-03 14:25:00-05:00,259.28,259.36,259.06,259.33,502
2025-03-03 14:30:00-05:00,259.24,259.89,259.24,259.57,2919
2025-03-03 14:35:00-05:00,259.64,259.93,259.335,259.93,1659
2025-03-03 14:40:00-05:00,259.93,260.15,259.71,259.88,1335
2025-03-03 14:45:00-05:00,259.99,259.99,259.47,259.47,361
2025-03-03 14:50:00-05:00,259.47,259.6,258.82,258.82,2316
2025-03-03 14:55:00-05:00,258.905,259.15,258.6,258.6,2225
2025-03-03 15:00:00-05:00,258.79,258.82,258.41,258.49,1198
2025-03-03 15:05:00-05:00,258.59,258.64,258.25,258.44,2264
2025-03-03 15:10:00-05:00,258.4,258.73,258.15,258.36,1747
2025-03-03 15:15:00-05:00,258.34,258.85,258.3,258.44,1859
2025-03-03 15:20:00-05:00,258.4,258.59,258.13,258.45,4111
2025-03-03 15:25:00-05:00,258.35,258.35,257.57,257.73,4225
2025-03-03 15:30:00-05:00,257.89,258.11,257.68,258.02,2859
2025-03-03 15:35:00-05:00,258.08,258.2,257.37,257.37,7868
2025-03-03 15:40:00-05:00,257.53,257.66,257.16,257.61,2777
2025-03-03 15:45:00-05:00,257.62,258.52,257.46,258.41,3853
2025-03-03 15:50:00-05:00,258.42,258.56,257.93,258.18,8129
2025-03-03 15:55:00-05:00,258.18,258.83,258.08,258.83,8958
2025-03-04 09:30:00-05:00,256.46,256.46,253.0,254.59,1408
2025-03-04 09:35:00-05:00,254.95,255.4,253.91,254.645,2277
2025-03-04 09:40:00-05:00,254.665,255.76,254.27,254.4,2750
2025-03-04 09:45:00-05:00,254.27,254.68,253.93,254.37,2515
2025-03-04 09:50:00-05:00,254.0,254.31,253.88,254.26,1116
2025-03-04 09:55:00-05:00,254.07,254.38,253.74,254.2,1834
2025-03-04 10:00:00-05:00,254.08,254.46,253.43,254.14,3370
2025-03-04 10:05:00-05:00,254.1,254.19,253.15,253.15,2071
2025-03-04 10:10:00-05:00,253.12,253.13,252.1,252.14,2493
2025-03-04 10:15:00-05:00,252.225,252.64,251.67,251.82,3970
2025-03-04 10:20:00-05:00,251.87,251.99,250.51,250.78,14559
2025-03-04 10:25:00-05:00,250.82,250.88,249.67,250.36,20053
2025-03-04 10:30:00-05:00,250.28,251.12,250.28,250.98,7403
2025-03-04 10:35:00-05:00,250.94,250.94,249.43,250.26,7282
2025-03-04 10:40:00-05:00,250.28,250.51,249.88,249.96,4708
2025-03-04 10:45:00-05:00,249.78,249.95,249.1,249.5,1756
2025-03-04 10:50:00-05:00,249.5,250.1,249.18,249.48,2040
2025-03-04 10:55:00-05:00,249.615,250.0,249.35,249.55,2312
2025-03-04 11:00:00-05:00,249.65,249.88,249.11,249.38,20270
2025-03-04 11:05:00-05:00,249.39,249.4,248.54,249.0,6742
2025-03-04 11:10:00-05:00,249.0,250.22,248.75,250.15,1872
2025-03-04 11:15:00-05:00,250.07,250.31,249.73,250.13,2729
2025-03-04 11:20:00-05:00,250.27,250.325,249.61,249.61,1986
2025-03-04 11:25:00-05:00,249.61,249.9,249.18,249.82,5347
2025-03-04 11:30:00-05:00,249.86,249.86,249.01,249.18,4145
2025-03-04 11:35:00-05:00,249.18,249.27,249.0,249.03,4149
2025-03-04 11:40:00-05:00,249.03,249.76,249.03,249.38,12691
2025-03-04 11:45:00-05:00,249.42,249.8,249.25,249.79,5415
2025-03-04 11:50:00-05:00,249.57,249.74,249.24,249.59,1489
2025-03-04 11:55:00-05:00,249.67,249.98,249.44,249.52,848
2025-03-04 12:00:00-05:00,249.78,250.0,249.69,250.0,520
2025-03-04 12:05:00-05:00,249.94,250.14,249.76,250.0,1939
2025-03-04 12:10:00-05:00,250.0,250.06,249.83,249.86,2267
2025-03-04 12:15:00-05:00,249.92,250.79,249.92,250.79,2268
2025-03-04 12:20:00-05:00,250.8,250.8,250.29,250.29,907
2025-03-04 12:25:00-05:00,250.29,250.96,250.29,250.77,1578
2025-03-04 12:30:00-05:00,250.87,250.96,250.64,250.82,1648
2025-03-04 12:35:00-05:00,250.875,250.875,250.55,250.725,654
2025-03-04 12:40:00-05:00,250.725,250.88,250.27,250.575,2403
2025-03-04 12:45:00-05:00,250.55,250.96,250.55,250.775,2073
2025-03-04 12:50:00-05:00,250.67,250.67,250.18,250.27,2439
2025-03-04 12:55:00-05:00,250.365,250.37,249.72,250.03,1565
2025-03-04 13:00:00-05:00,250.16,250.31,250.02,250.02,969
2025-03-04 13:05:00-05:00,250.02,250.54,249.92,250.51,6269
2025-03-04 13:10:00-05:00,250.58,250.65,250.39,250.575,3440
2025-03-04 13:15:00-05:00,250.575,250.575,249.93,250.37,1356
2025-03-04 13:20:00-05:00,250.3,250.3,249.91,249.98,1654
2025-03-04 13:25:00-05:00,249.88,249.93,249.44,249.44,7502
2025-03-04 13:30:00-05:00,249.565,249.62,249.13,249.13,3286
2025-03-04 13:35:00-05:00,249.28,249.46,248.86,249.26,5338
2025-03-04 13:40:00-05:00,249.39,249.43,249.14,249.36,1836
2025-03-04 13:45:00-05:00,249.36,249.5,248.8,249.17,3597
2025-03-04 13:50:00-05:00,249.19,249.5,249.1,249.37,1299
2025-03-04 13:55:00-05:00,249.39,249.58,249.3,249.46,4824
2025-03-04 14:00:00-05:00,249.43,250.29,249.4,250.265,2269
2025-03-04 14:05:00-05:00,250.24,250.5,250.14,250.35,2581
2025-03-04 14:10:00-05:00,250.34,250.4,250.06,250.15,1512
2025-03-04 14:15:00-05:00,250.25,250.42,250.06,250.16,1893
