ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,622.4,624.64,620.24,624.31,8354
2025-03-03 09:35:00-05:00,624.62,626.45,624.33,626.1,4554
2025-03-03 09:40:00-05:00,625.96,627.52,624.48,625.08,5549
2025-03-03 09:45:00-05:00,624.88,628.76,624.0,627.77,4336
2025-03-03 09:50:00-05:00,627.21,628.15,626.11,626.82,5712
2025-03-03 09:55:00-05:00,626.955,626.955,623.61,623.61,5948
2025-03-03 10:00:00-05:00,623.57,624.71,621.05,624.62,6687
2025-03-03 10:05:00-05:00,624.6,625.35,623.83,624.01,4212
2025-03-03 10:10:00-05:00,623.73,625.91,623.21,624.105,4032
2025-03-03 10:15:00-05:00,623.81,625.37,622.95,623.87,4166
2025-03-03 10:20:00-05:00,623.71,627.11,623.38,626.26,5091
2025-03-03 10:25:00-05:00,626.47,627.2,625.46,627.2,4694
2025-03-03 10:30:00-05:00,627.21,627.36,625.82,627.09,4227
2025-03-03 10:35:00-05:00,626.83,627.02,624.58,625.995,3210
2025-03-03 10:40:00-05:00,625.18,628.61,625.06,628.44,2376
2025-03-03 10:45:00-05:00,628.27,628.28,625.69,626.165,3774
2025-03-03 10:50:00-05:00,626.38,627.7,625.75,627.41,2419
2025-03-03 10:55:00-05:00,627.12,627.31,625.25,625.85,2912
2025-03-03 11:00:00-05:00,625.92,627.605,625.28,625.66,3657
2025-03-03 11:05:00-05:00,626.08,626.28,625.11,625.61,2954
2025-03-03 11:10:00-05:00,625.84,626.46,624.3,625.84,3044
2025-03-03 11:15:00-05:00,625.87,626.3,625.12,625.8,2992
2025-03-03 11:20:00-05:00,625.82,626.21,625.18,625.44,1315
2025-03-03 11:25:00-05:00,625.25,625.25,623.2,623.52,4710
2025-03-03 11:30:00-05:00,623.68,624.64,622.91,623.39,4137
2025-03-03 11:35:00-05:00,623.28,623.62,621.0,621.34,3498
2025-03-03 11:40:00-05:00,621.06,621.54,620.35,620.88,3995
2025-03-03 11:45:00-05:00,620.66,622.59,620.66,622.59,3649
2025-03-03 11:50:00-05:00,622.34,622.62,621.55,622.16,2014
2025-03-03 11:55:00-05:00,622.295,622.98,622.04,622.83,1132
2025-03-03 12:00:00-05:00,622.83,624.12,622.5,624.12,1178
2025-03-03 12:05:00-05:00,624.12,624.89,623.775,623.775,1913
2025-03-03 12:10:00-05:00,623.91,624.95,623.91,624.56,1967
2025-03-03 12:15:00-05:00,624.56,625.04,624.35,624.95,1461
2025-03-03 12:20:00-05:00,625.07,625.11,623.98,624.18,2421
2025-03-03 12:25:00-05:00,624.24,624.62,623.6,623.7,5946
2025-03-03 12:30:00-05:00,623.91,624.37,623.51,623.74,4323
2025-03-03 12:35:00-05:00,623.75,624.27,623.29,624.27,1108
2025-03-03 12:40:00-05:00,624.39,624.58,623.33,623.33,1876
2025-03-03 12:45:00-05:00,623.27,623.29,622.2,622.85,1331
2025-03-03 12:50:00-05:00,622.84,622.99,621.44,621.47,2012
2025-03-03 12:55:00-05:00,621.59,621.69,620.3,621.04,1753
2025-03-03 13:00:00-05:00,620.75,620.75,619.51,619.745,3268
2025-03-03 13:05:00-05:00,619.55,619.55,617.33,617.82,3403
2025-03-03 13:10:00-05:00,617.59,617.67,616.64,616.76,4327
2025-03-03 13:15:00-05:00,616.64,617.77,616.61,616.85,2171
2025-03-03 13:20:00-05:00,617.18,617.43,615.67,617.43,2675
2025-03-03 13:25:00-05:00,616.91,616.91,613.85,614.05,1976
2025-03-03 13:30:00-05:00,614.61,615.04,612.38,612.52,3493
2025-03-03 13:35:00-05:00,612.685,613.9,611.74,612.27,4621
2025-03-03 13:40:00-05:00,612.11,614.26,612.01,613.755,3243
2025-03-03 13:45:00-05:00,613.64,616.4,613.35,614.35,8634
2025-03-03 13:50:00-05:00,614.4,615.31,613.8,614.38,3964
2025-03-03 13:55:00-05:00,614.245,615.16,613.69,614.87,5147
2025-03-03 14:00:00-05:00,614.56,616.13,614.13,615.16,3716
2025-03-03 14:05:00-05:00,615.09,616.01,614.73,615.135,3183
2025-03-03 14:10:00-05:00,615.17,615.81,614.64,615.15,3386
2025-03-03 14:15:00-05:00,615.31,615.31,614.18,614.56,3734
2025-03-03 14:20:00-05:00,614.39,615.67,614.39,615.0,2339
2025-03-03 14:25:00-05:00,615.01,615.01,614.07,614.28,1789
2025-03-03 14:30:00-05:00,614.27,615.94,614.15,615.12,2112
2025-03-03 14:35:00-05:00,614.85,615.19,613.84,614.63,1840
2025-03-03 14:40:00-05:00,615.03,615.03,612.83,613.76,7392
2025-03-03 14:45:00-05:00,613.59,613.64,612.57,612.92,3730
2025-03-03 14:50:00-05:00,613.015,613.39,608.89,610.11,4705
2025-03-03 14:55:00-05:00,609.5,611.02,608.33,608.6,5552
2025-03-03 15:00:00-05:00,608.29,608.32,604.74,606.03,4014
2025-03-03 15:05:00-05:00,606.025,606.2,604.21,604.65,4365
2025-03-03 15:10:00-05:00,604.43,604.84,602.63,604.01,7044
2025-03-03 15:15:00-05:00,604.17,605.47,603.34,603.34,4646
2025-03-03 15:20:00-05:00,603.14,603.28,601.13,601.92,3681
2025-03-03 15:25:00-05:00,601.92,602.3,599.8,600.37,7005
2025-03-03 15:30:00-05:00,600.785,602.25,599.79,600.58,7314
2025-03-03 15:35:00-05:00,600.75,601.17,599.43,599.5,10433
2025-03-03 15:40:00-05:00,599.95,600.04,598.33,599.45,10499
2025-03-03 15:45:00-05:00,599.32,602.1,599.17,601.2,7990
2025-03-03 15:50:00-05:00,601.09,602.76,600.7,602.17,12069
2025-03-03 15:55:00-05:00,602.34,605.49,602.34,605.27,19370
2025-03-04 09:30:00-05:00,595.5,597.5,582.75,583.16,14579
2025-03-04 09:35:00-05:00,583.32,585.29,581.4,583.14,13874
2025-03-04 09:40:00-05:00,583.14,583.91,577.4,579.55,14786
2025-03-04 09:45:00-05:00,579.71,579.97,576.76,578.81,12481
2025-03-04 09:50:00-05:00,578.165,579.58,577.15,577.42,9925
2025-03-04 09:55:00-05:00,577.61,578.79,574.64,576.055,14283
2025-03-04 10:00:00-05:00,576.01,577.42,572.88,574.44,22641
2025-03-04 10:05:00-05:00,574.07,575.34,570.68,571.73,16486
2025-03-04 10:10:00-05:00,571.26,574.74,570.77,574.44,9876
2025-03-04 10:15:00-05:00,574.15,574.15,570.0,570.62,10261
2025-03-04 10:20:00-05:00,570.81,572.55,567.755,571.81,9409
2025-03-04 10:25:00-05:00,571.62,575.0,571.32,574.65,5756
2025-03-04 10:30:00-05:00,574.22,576.65,574.03,574.885,6719
2025-03-04 10:35:00-05:00,575.0,575.86,573.56,574.19,7300
2025-03-04 10:40:00-05:00,574.01,575.17,573.2,574.455,8294
2025-03-04 10:45:00-05:00,574.46,576.2,573.45,574.04,10381
2025-03-04 10:50:00-05:00,574.02,574.41,570.77,571.3,9438
2025-03-04 10:55:00-05:00,571.32,571.32,569.1,570.47,6650
2025-03-04 11:00:00-05:00,570.29,570.69,568.75,569.615,4782
2025-03-04 11:05:00-05:00,569.42,570.84,568.51,568.83,5177
2025-03-04 11:10:00-05:00,569.03,572.43,569.03,572.0,7604
2025-03-04 11:15:00-05:00,571.83,574.15,570.5,570.675,3880
2025-03-04 11:20:00-05:00,570.94,572.25,568.57,569.26,6818
2025-03-04 11:25:00-05:00,569.235,569.74,567.75,569.33,8394
2025-03-04 11:30:00-05:00,569.0,570.9,568.1,570.05,6518
2025-03-04 11:35:00-05:00,569.93,571.83,569.86,571.0,3240
2025-03-04 11:40:00-05:00,571.36,573.77,571.36,573.095,9763
2025-03-04 11:45:00-05:00,573.1,573.12,571.44,572.6,8678
2025-03-04 11:50:00-05:00,572.56,573.28,571.4,572.135,6840
2025-03-04 11:55:00-05:00,572.1,573.49,572.02,572.99,5625
2025-03-04 12:00:00-05:00,573.35,575.35,572.46,575.35,5388
2025-03-04 12:05:00-05:00,575.41,575.85,573.66,575.49,8491
2025-03-04 12:10:00-05:00,575.49,577.73,575.49,576.86,4238
2025-03-04 12:15:00-05:00,576.99,577.28,575.62,575.83,4477
2025-03-04 12:20:00-05:00,575.83,578.63,575.23,578.34,5592
2025-03-04 12:25:00-05:00,578.44,579.56,577.94,578.2,5251
2025-03-04 12:30:00-05:00,578.07,578.3,576.65,577.97,2727
2025-03-04 12:35:00-05:00,577.7,579.17,577.7,578.85,4193
2025-03-04 12:40:00-05:00,578.67,579.26,577.85,578.54,6289
2025-03-04 12:45:00-05:00,578.32,580.18,578.1,579.42,6133
2025-03-04 12:50:00-05:00,579.33,579.38,577.04,579.29,6088
2025-03-04 12:55:00-05:00,579.565,579.62,578.06,578.54,6186
2025-03-04 13:00:00-05:00,578.15,581.32,578.14,580.48,5336
2025-03-04 13:05:00-05:00,580.48,584.14,580.36,583.575,4007
2025-03-04 13:10:00-05:00,583.4,584.71,583.4,584.39,4189
2025-03-04 13:15:00-05:00,584.22,584.73,582.34,583.12,5022
2025-03-04 13:20:00-05:00,583.11,583.71,581.62,582.58,2819
2025-03-04 13:25:00-05:00,582.64,583.01,581.81,582.48,4169
2025-03-04 13:30:00-05:00,582.02,583.38,581.33,583.19,4041
2025-03-04 13:35:00-05:00,583.07,584.26,582.755,584.26,4187
2025-03-04 13:40:00-05:00,584.115,585.13,583.72,584.93,3361
2025-03-04 13:45:00-05:00,585.0,585.66,584.21,584.36,3500
2025-03-04 13:50:00-05:00,584.0,585.13,583.61,584.77,4171
2025-03-04 13:55:00-05:00,584.755,586.73,584.755,585.97,5219
2025-03-04 14:00:00-05:00,586.065,587.79,585.49,587.53,5144
2025-03-04 14:05:00-05:00,587.46,589.68,587.245,588.53,4356
2025-03-04 14:10:00-05:00,588.55,588.83,587.84,588.77,2623
2025-03-04 14:15:00-05:00,588.74,589.395,587.9,588.91,4478
2025-03-04 14:20:00-05:00,589.14,590.31,588.78,589.99,5356
2025-03-04 14:25:00-05:00,590.16,590.22,587.535,587.83,3574
2025-03-04 14:30:00-05:00,588.17,588.28,586.3,586.97,3370
2025-03-04 14:35:00-05:00,587.4,588.81,587.11,588.41,4139
2025-03-04 14:40:00-05:00,588.46,589.215,587.6,588.47,2284
2025-03-04 14:45:00-05:00,588.27,589.24,587.68,588.58,3066
2025-03-04 14:50:00-05:00,588.49,589.98,588.41,589.24,3086
2025-03-04 14:55:00-05:00,589.24,590.385,589.24,589.82,1305
2025-03-04 15:00:00-05:00,589.58,590.19,587.91,587.91,3800
2025-03-04 15:05:00-05:00,588.04,589.385,587.4,589.16,3934
2025-03-04 15:10:00-05:00,589.215,591.09,589.215,590.85,5105
2025-03-04 15:15:00-05:00,590.71,591.9,590.37,591.665,6147
2025-03-04 15:20:00-05:00,591.855,594.37,591.855,594.37,5155
2025-03-04 15:25:00-05:00,594.215,594.215,591.05,591.21,7816
2025-03-04 15:30:00-05:00,591.02,591.02,584.63,585.75,7789
2025-03-04 15:35:00-05:00,585.73,586.5,584.51,584.72,8122
