ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,396.15,396.6,394.5,395.73,4373
2025-03-03 09:35:00-05:00,395.48,395.77,394.95,395.49,2497
2025-03-03 09:40:00-05:00,395.82,396.595,395.26,395.26,2450
2025-03-03 09:45:00-05:00,395.21,396.36,394.96,395.57,2576
2025-03-03 09:50:00-05:00,395.78,396.55,395.57,396.41,1216
2025-03-03 09:55:00-05:00,396.68,397.16,396.07,396.33,3321
2025-03-03 10:00:00-05:00,396.19,396.19,395.08,395.79,3817
2025-03-03 10:05:00-05:00,395.55,395.84,394.47,394.47,5696
2025-03-03 10:10:00-05:00,394.41,394.95,394.25,394.53,2543
2025-03-03 10:15:00-05:00,394.35,394.86,393.85,394.68,4758
2025-03-03 10:20:00-05:00,394.68,395.09,394.5,394.51,1944
2025-03-03 10:25:00-05:00,394.5,395.24,394.33,395.225,3538
2025-03-03 10:30:00-05:00,395.22,395.46,394.83,395.015,2038
2025-03-03 10:35:00-05:00,394.8,395.13,394.54,394.71,1965
2025-03-03 10:40:00-05:00,394.76,395.85,394.76,395.85,2029
2025-03-03 10:45:00-05:00,395.655,395.81,394.57,394.75,1514
2025-03-03 10:50:00-05:00,394.77,394.795,394.42,394.67,2332
2025-03-03 10:55:00-05:00,394.72,394.72,393.47,393.47,2067
2025-03-03 11:00:00-05:00,393.55,393.78,393.2,393.325,1970
2025-03-03 11:05:00-05:00,393.48,393.58,392.77,393.05,1629
2025-03-03 11:10:00-05:00,393.16,393.54,392.83,393.1,1741
2025-03-03 11:15:00-05:00,393.16,393.31,393.045,393.18,1463
2025-03-03 11:20:00-05:00,393.135,393.7,393.09,393.575,2317
2025-03-03 11:25:00-05:00,393.71,393.77,392.81,392.88,1897
2025-03-03 11:30:00-05:00,392.86,393.22,392.7,393.1,2177
2025-03-03 11:35:00-05:00,393.02,393.55,392.06,392.41,3337
2025-03-03 11:40:00-05:00,392.54,392.86,392.32,392.495,1971
2025-03-03 11:45:00-05:00,392.6,393.06,392.39,392.95,1741
2025-03-03 11:50:00-05:00,393.13,393.405,392.91,393.18,2449
2025-03-03 11:55:00-05:00,393.27,393.53,393.15,393.4,1600
2025-03-03 12:00:00-05:00,393.35,393.57,393.28,393.42,1783
2025-03-03 12:05:00-05:00,393.62,394.19,393.62,393.72,1812
2025-03-03 12:10:00-05:00,393.79,394.23,393.68,394.23,1517
2025-03-03 12:15:00-05:00,394.175,394.42,393.91,394.42,1304
2025-03-03 12:20:00-05:00,394.41,394.43,393.93,394.06,735
2025-03-03 12:25:00-05:00,394.14,394.185,393.87,393.95,1031
2025-03-03 12:30:00-05:00,394.02,394.21,393.81,393.88,1481
2025-03-03 12:35:00-05:00,394.0,394.12,393.87,394.06,516
2025-03-03 12:40:00-05:00,394.09,394.11,393.83,393.92,981
2025-03-03 12:45:00-05:00,393.94,394.25,393.73,394.06,1900
2025-03-03 12:50:00-05:00,394.1,394.1,393.45,393.53,1752
2025-03-03 12:55:00-05:00,393.46,393.46,392.86,393.19,1214
2025-03-03 13:00:00-05:00,393.17,393.42,392.95,393.23,1987
2025-03-03 13:05:00-05:00,393.08,393.08,392.22,392.525,1518
2025-03-03 13:10:00-05:00,392.33,392.75,392.26,392.28,1990
2025-03-03 13:15:00-05:00,392.3,392.6,391.7,391.9,5502
2025-03-03 13:20:00-05:00,391.9,391.94,391.53,391.57,2578
2025-03-03 13:25:00-05:00,391.54,391.54,390.44,390.71,2853
2025-03-03 13:30:00-05:00,390.74,391.11,390.4,390.4,2878
2025-03-03 13:35:00-05:00,390.49,390.77,390.36,390.445,3345
2025-03-03 13:40:00-05:00,390.55,391.39,390.55,391.39,2149
2025-03-03 13:45:00-05:00,391.26,392.29,391.19,391.73,4513
2025-03-03 13:50:00-05:00,391.85,392.29,391.72,391.75,1515
2025-03-03 13:55:00-05:00,391.62,391.7,391.12,391.685,1470
2025-03-03 14:00:00-05:00,391.68,392.11,391.6,391.61,1765
2025-03-03 14:05:00-05:00,391.64,391.97,391.58,391.8,1945
2025-03-03 14:10:00-05:00,391.755,392.11,391.64,391.64,2255
2025-03-03 14:15:00-05:00,391.7,391.82,391.45,391.47,1816
2025-03-03 14:20:00-05:00,391.41,391.59,391.12,391.21,1573
2025-03-03 14:25:00-05:00,391.21,391.31,391.08,391.245,1506
2025-03-03 14:30:00-05:00,391.29,392.16,391.29,392.03,2612
2025-03-03 14:35:00-05:00,392.01,392.28,391.86,392.28,1151
2025-03-03 14:40:00-05:00,392.37,392.95,392.37,392.59,1987
2025-03-03 14:45:00-05:00,392.56,392.56,391.68,391.68,1385
2025-03-03 14:50:00-05:00,391.75,391.88,390.31,390.58,4790
2025-03-03 14:55:00-05:00,390.67,391.06,389.92,389.965,4967
2025-03-03 15:00:00-05:00,389.89,389.89,388.78,388.96,4303
2025-03-03 15:05:00-05:00,389.0,389.22,388.29,388.44,4388
2025-03-03 15:10:00-05:00,388.51,388.75,388.06,388.6,3482
2025-03-03 15:15:00-05:00,388.58,388.94,388.26,388.49,3408
2025-03-03 15:20:00-05:00,388.44,388.89,388.07,388.15,5472
2025-03-03 15:25:00-05:00,388.11,388.31,387.45,387.66,5598
2025-03-03 15:30:00-05:00,387.81,388.27,387.58,387.58,6238
2025-03-03 15:35:00-05:00,387.71,387.79,386.76,386.9,4166
2025-03-03 15:40:00-05:00,386.9,387.17,386.52,386.8,6292
2025-03-03 15:45:00-05:00,386.83,387.97,386.8,387.58,5879
2025-03-03 15:50:00-05:00,387.41,388.46,387.09,388.08,8738
2025-03-03 15:55:00-05:00,388.28,389.69,388.0,389.615,18049
2025-03-04 09:30:00-05:00,386.55,387.77,382.0,382.78,13074
2025-03-04 09:35:00-05:00,382.99,383.45,381.75,383.23,8577
2025-03-04 09:40:00-05:00,383.05,384.4,382.01,382.49,18107
2025-03-04 09:45:00-05:00,382.62,383.43,382.23,382.74,11857
2025-03-04 09:50:00-05:00,382.74,383.08,382.19,382.69,4422
2025-03-04 09:55:00-05:00,382.47,382.95,381.85,382.94,4188
2025-03-04 10:00:00-05:00,382.855,384.23,382.44,383.92,13234
2025-03-04 10:05:00-05:00,383.965,384.1,382.63,382.63,5897
2025-03-04 10:10:00-05:00,382.38,382.42,381.29,381.58,6113
2025-03-04 10:15:00-05:00,381.4,382.43,381.38,382.43,7254
2025-03-04 10:20:00-05:00,382.44,383.15,380.96,381.3,13386
2025-03-04 10:25:00-05:00,381.365,382.35,380.1,381.95,7670
2025-03-04 10:30:00-05:00,382.005,382.83,381.77,382.62,5613
2025-03-04 10:35:00-05:00,382.69,382.87,381.15,381.15,3594
2025-03-04 10:40:00-05:00,380.96,381.85,380.96,381.34,3812
2025-03-04 10:45:00-05:00,381.42,381.59,380.4,380.94,4009
2025-03-04 10:50:00-05:00,380.92,380.92,379.86,380.62,5801
2025-03-04 10:55:00-05:00,380.55,380.74,380.25,380.68,1710
2025-03-04 11:00:00-05:00,380.56,380.81,380.2,380.2,2355
2025-03-04 11:05:00-05:00,380.19,380.19,379.44,379.55,2293
2025-03-04 11:10:00-05:00,379.82,380.39,379.58,379.735,3881
2025-03-04 11:15:00-05:00,379.5,380.15,379.1,379.32,2126
2025-03-04 11:20:00-05:00,379.32,380.0,378.97,379.26,3969
2025-03-04 11:25:00-05:00,379.1,379.83,378.9,379.48,5140
2025-03-04 11:30:00-05:00,379.7,380.09,379.37,379.6,4724
2025-03-04 11:35:00-05:00,379.6,379.84,378.9,379.1,7575
2025-03-04 11:40:00-05:00,378.93,380.66,378.92,380.66,5281
2025-03-04 11:45:00-05:00,380.52,380.52,379.65,380.17,2476
2025-03-04 11:50:00-05:00,379.97,380.26,379.47,379.9,2377
2025-03-04 11:55:00-05:00,379.94,380.27,379.5,380.27,2747
2025-03-04 12:00:00-05:00,380.28,380.58,379.88,379.89,2843
2025-03-04 12:05:00-05:00,379.81,380.2,379.13,379.92,2898
2025-03-04 12:10:00-05:00,380.01,380.63,380.01,380.51,2639
2025-03-04 12:15:00-05:00,380.57,381.23,380.515,381.15,1528
2025-03-04 12:20:00-05:00,380.98,381.54,380.88,381.05,3273
2025-03-04 12:25:00-05:00,380.98,381.52,380.88,381.23,4244
2025-03-04 12:30:00-05:00,381.2,381.75,380.88,381.75,3262
2025-03-04 12:35:00-05:00,381.69,382.15,381.67,381.89,2754
2025-03-04 12:40:00-05:00,381.76,382.08,381.3,381.72,4009
2025-03-04 12:45:00-05:00,381.71,382.01,381.54,381.645,2132
2025-03-04 12:50:00-05:00,381.6,381.63,380.88,381.41,2293
2025-03-04 12:55:00-05:00,381.32,381.58,380.88,381.58,1593
2025-03-04 13:00:00-05:00,381.6,381.84,381.35,381.76,2166
2025-03-04 13:05:00-05:00,381.53,382.69,381.41,382.61,2006
2025-03-04 13:10:00-05:00,382.65,384.19,382.65,383.79,2245
2025-03-04 13:15:00-05:00,383.83,383.83,382.91,383.47,1895
2025-03-04 13:20:00-05:00,383.46,383.505,382.32,383.1,2267
2025-03-04 13:25:00-05:00,382.99,383.16,382.65,382.99,1716
2025-03-04 13:30:00-05:00,382.65,383.37,382.25,383.31,1581
2025-03-04 13:35:00-05:00,383.3,383.66,383.1,383.64,2846
2025-03-04 13:40:00-05:00,383.6,383.79,383.27,383.69,2003
2025-03-04 13:45:00-05:00,383.75,385.0,383.7,384.34,2774
2025-03-04 13:50:00-05:00,384.45,384.53,384.29,384.29,331
2025-03-04 13:55:00-05:00,384.39,385.17,384.39,384.97,1780
2025-03-04 14:00:00-05:00,384.89,385.58,384.59,385.3,2140
2025-03-04 14:05:00-05:00,385.17,385.84,384.97,385.59,3144
2025-03-04 14:10:00-05:00,385.67,385.86,384.87,385.25,3273
2025-03-04 14:15:00-05:00,385.055,385.055,384.66,384.78,3371
2025-03-04 14:20:00-05:00,384.83,384.9,384.5,384.55,1251
2025-03-04 14:25:00-05:00,384.64,384.74,384.18,384.28,4075
2025-03-04 14:30:00-05:00,384.26,384.26,383.71,383.83,1716
2025-03-04 14:35:00-05:00,383.77,384.12,383.68,383.88,2374
2025-03-04 14:40:00-05:00,383.95,384.58,383.65,384.2,2654
2025-03-04 14:45:00-05:00,384.36,384.98,384.29,384.61,3554
2025-03-04 14:50:00-05:00,384.67,385.18,384.64,385.0,3004
2025-03-04 14:55:00-05:00,385.01,385.41,384.89,385.31,3107
2025-03-04 15:00:00-05:00,385.2,385.61,384.51,385.0,2910
2025-03-04 15:05:00-05:00,384.91,385.07,384.69,384.7,1361
2025-03-04 15:10:00-05:00,384.57,385.29,384.57,385.13,2273
2025-03-04 15:15:00-05:00,385.09,385.77,384.86,385.74,3562
2025-03-04 15:20:00-05:00,385.57,386.21,385.56,385.98,2659
2025-03-04 15:25:00-05:00,385.92,385.96,385.05,385.19,2001
2025-03-04 15:30:00-05:00,385.27,385.34,383.62,384.045,4822
2025-03-04 15:35:00-05:00,384.19,384.27,383.52,383.98,4661
2025-03-04 15:40:00-05:00,383.75,383.88,382.77,383.1,4967
2025-03-04 15:45:00-05:00,383.2,383.66,382.05,382.25,7737
2025-03-04 15:50:00-05:00,382.07,382.32,380.61,381.67,13390
2025-03-04 15:55:00-05:00,381.83,382.18,381.3,381.72,20406
2025-03-05 09:30:00-05:00,379.0,381.1,378.15,381.1,12344
2025-03-05 09:35:00-05:00,381.0,381.27,379.835,380.93,4903
2025-03-05 09:40:00-05:00,380.82,381.35,380.37,381.315,6430
2025-03-05 09:45:00-05:00,381.1,382.61,381.04,382.33,3308
2025-03-05 09:50:00-05:00,382.16,382.43,381.26,381.26,1452
2025-03-05 09:55:00-05:00,381.42,382.02,381.17,381.58,1242
2025-03-05 10:00:00-05:00,382.07,384.0,381.78,382.59,10374
2025-03-05 10:05:00-05:00,382.49,383.95,382.49,383.54,3554
2025-03-05 10:10:00-05:00,383.55,383.55,382.3,382.33,3359
2025-03-05 10:15:00-05:00,382.53,382.65,381.9,382.12,3781
2025-03-05 10:20:00-05:00,382.07,382.8,382.07,382.47,2226
2025-03-05 10:25:00-05:00,382.57,382.83,382.29,382.63,2714
2025-03-05 10:30:00-05:00,382.48,383.55,382.37,383.23,1921
2025-03-05 10:35:00-05:00,383.335,383.91,383.06,383.53,2197
2025-03-05 10:40:00-05:00,383.51,383.59,383.09,383.3,1747
2025-03-05 10:45:00-05:00,383.43,384.04,383.14,383.14,4742
2025-03-05 10:50:00-05:00,383.29,383.43,382.76,383.15,881
2025-03-05 10:55:00-05:00,383.01,383.62,382.96,383.12,2497
2025-03-05 11:00:00-05:00,382.98,383.0,382.41,382.54,1043
2025-03-05 11:05:00-05:00,382.615,382.695,381.91,382.08,1582
2025-03-05 11:10:00-05:00,381.95,382.01,381.12,381.625,2184
2025-03-05 11:15:00-05:00,381.48,381.75,381.25,381.25,1586
2025-03-05 11:20:00-05:00,381.15,381.59,381.14,381.59,1625
2025-03-05 11:25:00-05:00,381.6,381.78,380.94,381.72,2496
2025-03-05 11:30:00-05:00,381.56,381.76,381.41,381.57,4211
2025-03-05 11:35:00-05:00,381.55,381.98,381.4,381.91,3987
2025-03-05 11:40:00-05:00,381.95,381.95,381.41,381.66,3065
2025-03-05 11:45:00-05:00,381.67,381.88,381.45,381.88,2398
2025-03-05 11:50:00-05:00,381.68,382.07,381.58,382.05,1376
2025-03-05 11:55:00-05:00,382.17,383.61,382.09,383.36,6645
2025-03-05 12:00:00-05:00,383.23,384.23,383.23,383.585,2697
2025-03-05 12:05:00-05:00,383.71,383.8,383.22,383.75,1850
2025-03-05 12:10:00-05:00,383.75,384.07,383.5,383.71,1836
2025-03-05 12:15:00-05:00,383.85,384.22,383.76,383.97,2185
2025-03-05 12:20:00-05:00,384.04,384.68,384.04,384.18,1823
2025-03-05 12:25:00-05:00,384.32,384.61,384.16,384.59,1101
2025-03-05 12:30:00-05:00,384.59,384.74,384.36,384.62,786
2025-03-05 12:35:00-05:00,384.665,384.83,384.56,384.6,618
2025-03-05 12:40:00-05:00,384.67,384.81,384.285,384.45,2623
2025-03-05 12:45:00-05:00,384.355,384.55,383.9,384.38,1956
2025-03-05 12:50:00-05:00,384.5,384.78,384.47,384.48,1009
2025-03-05 12:55:00-05:00,384.55,385.13,384.55,385.13,897
2025-03-05 13:00:00-05:00,384.98,385.25,384.78,384.96,1783
2025-03-05 13:05:00-05:00,385.07,385.48,383.33,383.45,2704
2025-03-05 13:10:00-05:00,383.6,384.24,383.4,384.24,1051
2025-03-05 13:15:00-05:00,384.0,384.5,383.975,384.35,1169
2025-03-05 13:20:00-05:00,384.48,384.48,383.99,384.22,1184
2025-03-05 13:25:00-05:00,384.3,384.44,383.96,384.25,1659
2025-03-05 13:30:00-05:00,384.2,384.34,383.5,383.91,2034
2025-03-05 13:35:00-05:00,383.8,383.96,383.37,383.49,2112
2025-03-05 13:40:00-05:00,383.42,383.42,382.99,383.09,9603
2025-03-05 13:45:00-05:00,383.17,384.36,383.17,384.36,1572
2025-03-05 13:50:00-05:00,384.285,384.64,384.26,384.3,2322
2025-03-05 13:55:00-05:00,384.365,385.0,384.365,385.0,1041
2025-03-05 14:00:00-05:00,384.99,385.92,384.85,385.6,1173
2025-03-05 14:05:00-05:00,385.59,386.4,385.47,386.275,1673
2025-03-05 14:10:00-05:00,386.4,386.54,386.21,386.485,1454
2025-03-05 14:15:00-05:00,386.59,386.6,386.02,386.25,2423
2025-03-05 14:20:00-05:00,386.25,386.74,385.81,386.48,3309
2025-03-05 14:25:00-05:00,386.48,386.6,385.93,385.93,2203
2025-03-05 14:30:00-05:00,385.95,386.39,385.95,386.12,1357
2025-03-05 14:35:00-05:00,386.24,386.44,385.665,386.02,2252
2025-03-05 14:40:00-05:00,386.08,386.27,385.88,386.06,706
2025-03-05 14:45:00-05:00,386.05,386.31,385.97,386.16,893
2025-03-05 14:50:00-05:00,386.28,386.52,386.26,386.345,870
2025-03-05 14:55:00-05:00,386.24,386.33,385.77,385.78,2482
2025-03-05 15:00:00-05:00,385.95,386.84,385.76,386.74,2415
2025-03-05 15:05:00-05:00,386.71,386.84,386.57,386.75,1582
2025-03-05 15:10:00-05:00,386.65,386.88,386.5,386.5,2339
2025-03-05 15:15:00-05:00,386.57,386.61,385.19,385.72,4025
2025-03-05 15:20:00-05:00,385.8,386.06,385.7,386.02,2271
2025-03-05 15:25:00-05:00,386.1,386.46,386.1,386.28,762
2025-03-05 15:30:00-05:00,386.26,386.26,385.63,385.83,10255
2025-03-05 15:35:00-05:00,385.74,385.94,385.65,385.84,2647
2025-03-05 15:40:00-05:00,385.86,386.37,385.71,386.15,4036
2025-03-05 15:45:00-05:00,386.22,386.34,385.92,386.09,5046
2025-03-05 15:50:00-05:00,385.97,386.38,385.08,386.04,14520
2025-03-05 15:55:00-05:00,386.07,387.1,385.98,386.27,18197
2025-03-06 09:30:00-05:00,383.53,383.53,380.91,381.83,6383
2025-03-06 09:35:00-05:00,381.8,385.28,381.61,385.02,4154
2025-03-06 09:40:00-05:00,384.81,385.11,383.22,383.63,4646
2025-03-06 09:45:00-05:00,383.59,384.26,383.14,383.785,1844
2025-03-06 09:50:00-05:00,383.81,384.86,383.39,383.48,2846
2025-03-06 09:55:00-05:00,383.52,383.52,382.45,382.61,2537
2025-03-06 10:00:00-05:00,382.65,383.81,382.56,383.81,2547
2025-03-06 10:05:00-05:00,383.715,385.1,383.715,384.91,1778
2025-03-06 10:10:00-05:00,384.79,384.94,384.41,384.76,1057
2025-03-06 10:15:00-05:00,384.58,385.34,384.58,385.18,2137
2025-03-06 10:20:00-05:00,385.24,385.35,384.51,384.71,1570
2025-03-06 10:25:00-05:00,384.63,385.41,384.0,385.41,8302
2025-03-06 10:30:00-05:00,385.48,386.22,385.05,385.82,3867
2025-03-06 10:35:00-05:00,385.85,386.51,385.74,386.51,2772
2025-03-06 10:40:00-05:00,386.36,387.32,386.34,387.32,2399
2025-03-06 10:45:00-05:00,387.25,387.76,387.17,387.55,2572
2025-03-06 10:50:00-05:00,387.31,387.43,386.37,386.43,3157
2025-03-06 10:55:00-05:00,386.43,386.93,386.22,386.86,979
2025-03-06 11:00:00-05:00,386.9,387.55,386.85,387.02,1527
2025-03-06 11:05:00-05:00,387.015,387.31,386.84,387.3,1265
2025-03-06 11:10:00-05:00,387.28,387.48,386.885,386.98,1903
2025-03-06 11:15:00-05:00,386.98,386.99,386.29,386.29,1308
2025-03-06 11:20:00-05:00,386.35,386.51,385.87,386.27,2276
2025-03-06 11:25:00-05:00,386.34,387.27,386.0,386.87,4601
2025-03-06 11:30:00-05:00,387.05,387.95,386.55,386.82,1228
2025-03-06 11:35:00-05:00,386.92,387.04,385.88,385.88,1878
2025-03-06 11:40:00-05:00,386.02,386.43,385.82,386.43,3661
2025-03-06 11:45:00-05:00,386.62,386.62,385.9,386.03,1722
2025-03-06 11:50:00-05:00,385.88,385.96,385.17,385.33,2222
2025-03-06 11:55:00-05:00,385.22,385.22,384.76,384.76,1187
2025-03-06 12:00:00-05:00,384.92,384.96,384.5,384.68,1371
2025-03-06 12:05:00-05:00,384.52,384.64,384.04,384.47,2157
2025-03-06 12:10:00-05:00,384.585,384.595,384.19,384.5,909
2025-03-06 12:15:00-05:00,384.22,384.83,384.21,384.83,1305
2025-03-06 12:20:00-05:00,384.87,385.39,384.64,384.74,2920
2025-03-06 12:25:00-05:00,384.61,384.81,384.32,384.5,2379
2025-03-06 12:30:00-05:00,384.5,384.76,384.35,384.65,1192
2025-03-06 12:35:00-05:00,384.555,384.585,384.15,384.33,1333
2025-03-06 12:40:00-05:00,384.36,384.96,384.33,384.37,757
2025-03-06 12:45:00-05:00,384.4,384.4,383.38,383.42,1832
2025-03-06 12:50:00-05:00,383.49,384.1,383.49,384.1,1945
2025-03-06 12:55:00-05:00,384.13,384.93,384.1,384.72,1340
2025-03-06 13:00:00-05:00,384.72,384.9,384.45,384.45,1914
2025-03-06 13:05:00-05:00,384.58,385.01,384.52,384.93,791
2025-03-06 13:10:00-05:00,385.03,385.36,384.78,385.305,1144
2025-03-06 13:15:00-05:00,385.46,386.24,385.43,386.05,3467
2025-03-06 13:20:00-05:00,386.04,386.44,385.95,386.36,1168
2025-03-06 13:25:00-05:00,386.35,386.35,385.355,385.61,3284
2025-03-06 13:30:00-05:00,385.515,385.76,385.41,385.41,2212
2025-03-06 13:35:00-05:00,385.4,385.49,384.8,384.81,972
2025-03-06 13:40:00-05:00,384.74,384.74,384.25,384.45,1475
2025-03-06 13:45:00-05:00,384.47,385.13,384.35,384.82,2618
2025-03-06 13:50:00-05:00,384.91,385.17,384.66,384.76,3057
2025-03-06 13:55:00-05:00,384.85,384.91,384.37,384.47,6679
2025-03-06 14:00:00-05:00,384.57,384.75,384.21,384.32,1990
2025-03-06 14:05:00-05:00,384.41,384.53,384.16,384.53,1441
2025-03-06 14:10:00-05:00,384.61,384.81,384.45,384.71,2284
2025-03-06 14:15:00-05:00,384.78,385.0,384.325,384.325,3571
2025-03-06 14:20:00-05:00,384.21,384.27,383.71,384.27,2391
2025-03-06 14:25:00-05:00,384.03,384.1,383.425,383.62,3316
2025-03-06 14:30:00-05:00,383.6,384.02,383.36,383.73,2788
2025-03-06 14:35:00-05:00,383.58,383.995,383.42,383.74,2539
2025-03-06 14:40:00-05:00,383.69,384.29,383.68,383.96,11193
2025-03-06 14:45:00-05:00,384.1,385.11,384.04,384.45,12345
2025-03-06 14:50:00-05:00,384.575,384.88,384.15,384.15,29966
2025-03-06 14:55:00-05:00,384.13,384.13,382.39,382.39,4750
2025-03-06 15:00:00-05:00,382.38,383.32,382.26,383.09,4939
2025-03-06 15:05:00-05:00,383.06,383.4,382.87,383.23,1867
2025-03-06 15:10:00-05:00,383.21,383.67,383.17,383.61,5045
2025-03-06 15:15:00-05:00,383.62,383.82,382.92,383.5,3684
2025-03-06 15:20:00-05:00,383.66,383.82,382.75,382.78,2605
2025-03-06 15:25:00-05:00,383.0,383.63,382.94,383.54,5143
2025-03-06 15:30:00-05:00,383.52,384.1,383.21,383.315,5544
2025-03-06 15:35:00-05:00,383.3,383.41,382.62,382.68,4431
2025-03-06 15:40:00-05:00,382.76,382.89,382.17,382.285,5244
2025-03-06 15:45:00-05:00,382.28,382.74,382.26,382.74,9440
2025-03-06 15:50:00-05:00,382.79,383.02,381.51,382.02,21460
2025-03-06 15:55:00-05:00,382.07,382.07,380.99,381.6,39889
2025-03-07 09:30:00-05:00,379.625,380.37,378.01,378.04,3111
2025-03-07 09:35:00-05:00,377.65,377.65,374.5,374.5,7079
2025-03-07 09:40:00-05:00,374.73,376.005,374.38,375.23,7786
2025-03-07 09:45:00-05:00,375.44,377.0,375.44,376.7,5447
2025-03-07 09:50:00-05:00,376.66,376.97,375.19,375.19,4358
2025-03-07 09:55:00-05:00,375.4,375.76,374.06,374.1,6204
2025-03-07 10:00:00-05:00,374.375,375.18,374.16,375.18,5402
2025-03-07 10:05:00-05:00,374.95,375.35,374.7,375.0,4072
2025-03-07 10:10:00-05:00,375.12,375.19,374.56,374.88,2984
2025-03-07 10:15:00-05:00,374.7,375.02,373.1,373.33,6495
2025-03-07 10:20:00-05:00,373.37,373.77,372.95,373.47,8728
2025-03-07 10:25:00-05:00,373.35,374.0,373.34,373.52,5226
2025-03-07 10:30:00-05:00,373.42,373.53,371.8,371.93,7010
2025-03-07 10:35:00-05:00,371.76,371.8,370.1,370.72,7484
