ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,255.36,255.7,254.04,254.11,4041
2025-03-03 09:35:00-05:00,254.4,254.71,253.68,253.79,7146
2025-03-03 09:40:00-05:00,253.85,254.26,253.16,253.18,2765
2025-03-03 09:45:00-05:00,253.21,253.75,252.87,253.09,8499
2025-03-03 09:50:00-05:00,253.08,253.43,252.59,253.03,2609
2025-03-03 09:55:00-05:00,253.14,253.31,252.42,252.87,4878
2025-03-03 10:00:00-05:00,252.55,253.1,252.0,253.1,5245
2025-03-03 10:05:00-05:00,253.04,253.78,252.985,253.44,2945
2025-03-03 10:10:00-05:00,253.34,254.015,253.05,253.09,4468
2025-03-03 10:15:00-05:00,253.04,253.15,252.67,252.93,3147
2025-03-03 10:20:00-05:00,252.99,253.28,252.59,252.59,2398
2025-03-03 10:25:00-05:00,252.75,253.08,252.62,253.08,4969
2025-03-03 10:30:00-05:00,253.15,253.4,253.02,253.4,4966
2025-03-03 10:35:00-05:00,253.395,253.575,252.95,253.46,3599
2025-03-03 10:40:00-05:00,253.37,254.06,253.2,254.06,3487
2025-03-03 10:45:00-05:00,253.91,253.91,253.34,253.465,3121
2025-03-03 10:50:00-05:00,253.395,253.58,253.32,253.55,3569
2025-03-03 10:55:00-05:00,253.48,253.48,252.66,252.85,4912
2025-03-03 11:00:00-05:00,252.85,253.25,252.54,252.635,6548
2025-03-03 11:05:00-05:00,252.72,252.9,252.44,252.63,2750
2025-03-03 11:10:00-05:00,252.71,253.13,252.53,253.11,3650
2025-03-03 11:15:00-05:00,253.05,253.475,252.93,253.195,2801
2025-03-03 11:20:00-05:00,253.285,253.67,253.2,253.55,2233
2025-03-03 11:25:00-05:00,253.49,253.64,252.61,252.61,2209
2025-03-03 11:30:00-05:00,252.72,252.75,252.41,252.52,2551
2025-03-03 11:35:00-05:00,252.51,252.65,252.1,252.125,560
2025-03-03 11:40:00-05:00,252.13,252.13,251.66,251.7,1689
2025-03-03 11:45:00-05:00,251.85,252.28,251.78,252.28,3227
2025-03-03 11:50:00-05:00,252.31,252.65,252.21,252.45,5817
2025-03-03 11:55:00-05:00,252.41,252.47,252.22,252.47,1211
2025-03-03 12:00:00-05:00,252.39,252.66,252.36,252.65,2720
2025-03-03 12:05:00-05:00,252.57,252.725,252.54,252.67,535
2025-03-03 12:10:00-05:00,252.67,252.8,252.67,252.79,698
2025-03-03 12:15:00-05:00,252.64,252.96,252.58,252.96,1259
2025-03-03 12:20:00-05:00,252.96,253.14,252.96,253.06,536
2025-03-03 12:25:00-05:00,253.05,253.1,252.87,253.07,1009
2025-03-03 12:30:00-05:00,252.99,253.07,252.97,252.995,391
2025-03-03 12:35:00-05:00,253.04,253.25,252.95,253.25,1396
2025-03-03 12:40:00-05:00,253.27,253.39,253.21,253.21,788
2025-03-03 12:45:00-05:00,253.2,253.24,252.94,253.24,1073
2025-03-03 12:50:00-05:00,253.15,253.16,252.81,252.85,2838
2025-03-03 12:55:00-05:00,252.78,252.85,252.48,252.85,4472
2025-03-03 13:00:00-05:00,252.75,252.89,252.61,252.84,2618
2025-03-03 13:05:00-05:00,252.76,252.76,252.34,252.34,6902
2025-03-03 13:10:00-05:00,252.33,252.47,252.04,252.07,3519
2025-03-03 13:15:00-05:00,252.085,252.5,252.085,252.465,1495
2025-03-03 13:20:00-05:00,252.36,252.36,251.93,252.29,1665
2025-03-03 13:25:00-05:00,252.29,252.29,251.44,251.505,1122
2025-03-03 13:30:00-05:00,251.545,251.72,251.17,251.17,1608
2025-03-03 13:35:00-05:00,251.18,251.45,251.04,251.2,4353
2025-03-03 13:40:00-05:00,251.26,251.68,251.26,251.4,1625
2025-03-03 13:45:00-05:00,251.38,251.86,251.08,251.43,8431
2025-03-03 13:50:00-05:00,251.32,251.6,251.07,251.155,2530
2025-03-03 13:55:00-05:00,251.2,251.52,251.02,251.37,4721
2025-03-03 14:00:00-05:00,251.34,252.13,251.29,251.92,6824
2025-03-03 14:05:00-05:00,251.96,252.21,251.82,252.195,1137
2025-03-03 14:10:00-05:00,252.185,252.31,251.9,251.94,8196
2025-03-03 14:15:00-05:00,252.06,252.11,251.61,251.68,1332
2025-03-03 14:20:00-05:00,251.69,251.96,251.65,251.84,877
2025-03-03 14:25:00-05:00,251.78,251.78,251.48,251.565,540
2025-03-03 14:30:00-05:00,251.62,252.1,251.62,251.77,2353
2025-03-03 14:35:00-05:00,251.77,252.02,251.67,251.99,2310
2025-03-03 14:40:00-05:00,252.11,252.27,251.94,252.08,2677
2025-03-03 14:45:00-05:00,252.045,252.15,251.73,251.75,3418
2025-03-03 14:50:00-05:00,251.81,251.99,250.76,251.13,6534
2025-03-03 14:55:00-05:00,251.13,251.4,250.77,250.89,7555
2025-03-03 15:00:00-05:00,250.79,250.79,249.87,250.16,7207
2025-03-03 15:05:00-05:00,250.095,250.24,249.9,250.08,6304
2025-03-03 15:10:00-05:00,250.1,250.14,249.46,249.85,7676
2025-03-03 15:15:00-05:00,249.84,250.1,249.72,249.74,8388
2025-03-03 15:20:00-05:00,249.75,250.04,249.4,249.55,6398
2025-03-03 15:25:00-05:00,249.505,249.6,248.73,248.85,5207
2025-03-03 15:30:00-05:00,248.99,249.38,248.87,248.94,5638
2025-03-03 15:35:00-05:00,248.98,249.09,248.47,248.47,3132
2025-03-03 15:40:00-05:00,248.52,248.74,248.23,248.58,8045
2025-03-03 15:45:00-05:00,248.49,249.36,248.47,249.18,8423
2025-03-03 15:50:00-05:00,249.11,249.72,249.08,249.72,9399
2025-03-03 15:55:00-05:00,249.72,250.34,249.65,250.27,24757
2025-03-04 09:30:00-05:00,248.32,249.87,248.32,249.78,13663
2025-03-04 09:35:00-05:00,249.89,252.37,249.745,251.62,14564
2025-03-04 09:40:00-05:00,251.61,252.17,250.99,251.14,7287
2025-03-04 09:45:00-05:00,251.05,251.31,250.31,250.37,15206
2025-03-04 09:50:00-05:00,250.38,250.77,249.97,250.14,5979
