ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,25.0,25.04,24.495,24.665,2344784
2025-03-03 09:35:00-05:00,24.665,24.84,24.42,24.49,560330
2025-03-03 09:40:00-05:00,24.49,24.59,24.31,24.355,336370
2025-03-03 09:45:00-05:00,24.35,24.59,24.335,24.43,408426
2025-03-03 09:50:00-05:00,24.43,24.54,24.33,24.35,185613
2025-03-03 09:55:00-05:00,24.36,24.5,24.125,24.2,491559
2025-03-03 10:00:00-05:00,24.2,24.35,24.01,24.23,338820
2025-03-03 10:05:00-05:00,24.23,24.34,24.135,24.245,214016
2025-03-03 10:10:00-05:00,24.245,24.5,23.78,23.94,889947
2025-03-03 10:15:00-05:00,23.93,24.28,23.81,24.21,611907
2025-03-03 10:20:00-05:00,24.205,24.42,24.16,24.225,575903
2025-03-03 10:25:00-05:00,24.23,24.665,24.2,24.65,554580
2025-03-03 10:30:00-05:00,24.65,24.815,24.535,24.6,382831
2025-03-03 10:35:00-05:00,24.595,24.635,24.435,24.545,216287
2025-03-03 10:40:00-05:00,24.545,24.765,24.46,24.71,438228
2025-03-03 10:45:00-05:00,24.71,24.765,24.48,24.545,154477
2025-03-03 10:50:00-05:00,24.545,24.7,24.545,24.68,194265
2025-03-03 10:55:00-05:00,24.68,24.68,24.45,24.49,134555
2025-03-03 11:00:00-05:00,24.49,24.72,24.49,24.655,166449
2025-03-03 11:05:00-05:00,24.66,24.72,24.52,24.56,117934
2025-03-03 11:10:00-05:00,24.555,24.625,24.47,24.58,259563
2025-03-03 11:15:00-05:00,24.59,24.615,24.555,24.58,95811
2025-03-03 11:20:00-05:00,24.57,24.69,24.56,24.655,100655
2025-03-03 11:25:00-05:00,24.655,24.655,24.495,24.525,191718
2025-03-03 11:30:00-05:00,24.53,24.54,24.365,24.39,128680
2025-03-03 11:35:00-05:00,24.385,24.565,24.37,24.505,202469
2025-03-03 11:40:00-05:00,24.505,24.505,24.38,24.415,65448
2025-03-03 11:45:00-05:00,24.415,24.55,24.385,24.545,108444
2025-03-03 11:50:00-05:00,24.545,24.665,24.54,24.59,121282
2025-03-03 11:55:00-05:00,24.585,24.63,24.51,24.54,121440
2025-03-03 12:00:00-05:00,24.53,24.53,24.385,24.395,84310
2025-03-03 12:05:00-05:00,24.395,24.425,24.37,24.37,141617
2025-03-03 12:10:00-05:00,24.37,24.425,24.36,24.385,97501
2025-03-03 12:15:00-05:00,24.38,24.47,24.36,24.405,92809
2025-03-03 12:20:00-05:00,24.405,24.45,24.38,24.42,73857
2025-03-03 12:25:00-05:00,24.42,24.435,24.355,24.41,45188
2025-03-03 12:30:00-05:00,24.41,24.42,24.3,24.32,69976
2025-03-03 12:35:00-05:00,24.32,24.395,24.3,24.375,50811
2025-03-03 12:40:00-05:00,24.375,24.43,24.36,24.4,94114
2025-03-03 12:45:00-05:00,24.395,24.395,24.32,24.355,50220
2025-03-03 12:50:00-05:00,24.35,24.36,24.185,24.185,140776
2025-03-03 12:55:00-05:00,24.18,24.19,24.055,24.135,132063
2025-03-03 13:00:00-05:00,24.135,24.145,24.02,24.02,87332
2025-03-03 13:05:00-05:00,24.015,24.035,23.87,23.88,175074
2025-03-03 13:10:00-05:00,23.88,23.88,23.725,23.79,276011
2025-03-03 13:15:00-05:00,23.79,23.925,23.79,23.915,75043
2025-03-03 13:20:00-05:00,23.915,23.96,23.83,23.92,81167
2025-03-03 13:25:00-05:00,23.91,23.91,23.7,23.7,191192
2025-03-03 13:30:00-05:00,23.71,23.765,23.67,23.69,91400
2025-03-03 13:35:00-05:00,23.69,23.79,23.68,23.69,91352
2025-03-03 13:40:00-05:00,23.68,23.865,23.68,23.83,101111
2025-03-03 13:45:00-05:00,23.835,24.05,23.79,23.955,314354
2025-03-03 13:50:00-05:00,23.95,24.065,23.92,23.92,130255
2025-03-03 13:55:00-05:00,23.925,24.015,23.91,23.96,102999
2025-03-03 14:00:00-05:00,23.95,24.065,23.94,24.0,196598
2025-03-03 14:05:00-05:00,24.01,24.015,23.885,23.93,82424
2025-03-03 14:10:00-05:00,23.93,23.94,23.885,23.895,62069
2025-03-03 14:15:00-05:00,23.895,23.92,23.83,23.86,153010
2025-03-03 14:20:00-05:00,23.86,23.925,23.855,23.915,61727
2025-03-03 14:25:00-05:00,23.915,23.915,23.855,23.88,45489
2025-03-03 14:30:00-05:00,23.88,23.98,23.88,23.935,70022
2025-03-03 14:35:00-05:00,23.93,23.94,23.86,23.91,48369
2025-03-03 14:40:00-05:00,23.92,24.085,23.92,23.975,208149
2025-03-03 14:45:00-05:00,23.97,23.99,23.35,23.54,493561
2025-03-03 14:50:00-05:00,23.53,23.56,23.34,23.41,494013
2025-03-03 14:55:00-05:00,23.415,23.45,23.285,23.36,213861
2025-03-03 15:00:00-05:00,23.35,23.35,23.145,23.18,272793
2025-03-03 15:05:00-05:00,23.17,23.215,23.065,23.095,295318
2025-03-03 15:10:00-05:00,23.095,23.12,22.905,22.98,556991
2025-03-03 15:15:00-05:00,22.98,23.12,22.91,22.935,256242
2025-03-03 15:20:00-05:00,22.94,22.94,22.785,22.81,258501
2025-03-03 15:25:00-05:00,22.82,22.84,22.71,22.755,246048
2025-03-03 15:30:00-05:00,22.755,22.815,22.68,22.705,321748
2025-03-03 15:35:00-05:00,22.71,22.755,22.58,22.595,314554
2025-03-03 15:40:00-05:00,22.595,22.625,22.525,22.56,417958
2025-03-03 15:45:00-05:00,22.56,22.685,22.555,22.63,386558
2025-03-03 15:50:00-05:00,22.62,22.68,22.555,22.675,915644
2025-03-03 15:55:00-05:00,22.68,22.79,22.575,22.77,1941134
2025-03-04 09:30:00-05:00,22.55,22.63,21.93,22.05,2647575
2025-03-04 09:35:00-05:00,22.06,22.575,22.045,22.315,868243
2025-03-04 09:40:00-05:00,22.31,22.34,21.93,22.1,465289
2025-03-04 09:45:00-05:00,22.095,22.19,21.97,21.98,239247
2025-03-04 09:50:00-05:00,21.99,22.03,21.82,21.88,370247
2025-03-04 09:55:00-05:00,21.89,22.01,21.605,21.605,603730
2025-03-04 10:00:00-05:00,21.6,21.6,21.265,21.35,1244647
2025-03-04 10:05:00-05:00,21.36,21.45,21.27,21.275,380468
2025-03-04 10:10:00-05:00,21.275,21.375,21.2,21.275,477070
2025-03-04 10:15:00-05:00,21.26,21.26,20.985,21.005,647214
2025-03-04 10:20:00-05:00,21.01,21.075,20.87,20.93,504395
2025-03-04 10:25:00-05:00,20.925,21.22,20.855,21.1,459540
2025-03-04 10:30:00-05:00,21.1,21.18,21.02,21.08,264207
2025-03-04 10:35:00-05:00,21.08,21.135,20.91,20.96,630072
2025-03-04 10:40:00-05:00,20.955,21.005,20.835,20.92,420124
2025-03-04 10:45:00-05:00,20.92,21.03,20.86,20.98,380420
2025-03-04 10:50:00-05:00,20.98,21.0,20.85,20.86,285480
2025-03-04 10:55:00-05:00,20.855,20.925,20.82,20.89,257069
2025-03-04 11:00:00-05:00,20.89,20.91,20.765,20.83,264036
2025-03-04 11:05:00-05:00,20.83,20.98,20.83,20.85,312472
2025-03-04 11:10:00-05:00,20.86,21.0,20.815,20.99,233600
2025-03-04 11:15:00-05:00,20.98,21.09,20.89,20.89,230918
2025-03-04 11:20:00-05:00,20.9,21.02,20.85,20.87,267988
2025-03-04 11:25:00-05:00,20.86,20.895,20.795,20.825,220997
2025-03-04 11:30:00-05:00,20.825,21.05,20.825,20.98,320503
2025-03-04 11:35:00-05:00,20.98,21.02,20.93,20.955,180720
2025-03-04 11:40:00-05:00,20.955,21.1,20.945,21.08,405359
2025-03-04 11:45:00-05:00,21.085,21.155,21.02,21.14,132625
2025-03-04 11:50:00-05:00,21.13,21.145,21.05,21.1,189378
2025-03-04 11:55:00-05:00,21.1,21.165,21.065,21.09,139316
2025-03-04 12:00:00-05:00,21.09,21.105,20.98,21.05,131714
2025-03-04 12:05:00-05:00,21.04,21.045,20.975,20.995,150203
2025-03-04 12:10:00-05:00,20.995,21.04,20.985,21.04,151787
2025-03-04 12:15:00-05:00,21.04,21.04,20.94,20.99,158439
2025-03-04 12:20:00-05:00,20.97,21.015,20.935,20.97,142479
2025-03-04 12:25:00-05:00,20.97,21.135,20.97,21.06,232211
2025-03-04 12:30:00-05:00,21.06,21.165,20.99,21.15,157185
2025-03-04 12:35:00-05:00,21.145,21.325,21.14,21.3,249784
2025-03-04 12:40:00-05:00,21.3,21.315,21.135,21.215,295751
2025-03-04 12:45:00-05:00,21.21,21.31,21.2,21.24,104911
2025-03-04 12:50:00-05:00,21.235,21.245,21.13,21.21,127395
2025-03-04 12:55:00-05:00,21.21,21.245,21.14,21.19,80735
2025-03-04 13:00:00-05:00,21.185,21.225,21.16,21.18,61869
2025-03-04 13:05:00-05:00,21.17,21.375,21.17,21.35,165087
2025-03-04 13:10:00-05:00,21.34,21.495,21.34,21.47,207781
2025-03-04 13:15:00-05:00,21.465,21.48,21.295,21.36,179928
2025-03-04 13:20:00-05:00,21.36,21.405,21.3,21.33,132320
2025-03-04 13:25:00-05:00,21.34,21.36,21.22,21.22,130562
2025-03-04 13:30:00-05:00,21.215,21.285,21.14,21.27,95474
2025-03-04 13:35:00-05:00,21.27,21.31,21.245,21.29,67476
2025-03-04 13:40:00-05:00,21.29,21.375,21.28,21.33,109313
2025-03-04 13:45:00-05:00,21.335,21.365,21.285,21.295,104097
2025-03-04 13:50:00-05:00,21.295,21.33,21.265,21.31,73273
2025-03-04 13:55:00-05:00,21.305,21.42,21.305,21.33,68158
2025-03-04 14:00:00-05:00,21.33,21.435,21.315,21.39,105203
2025-03-04 14:05:00-05:00,21.39,21.475,21.38,21.46,151078
2025-03-04 14:10:00-05:00,21.465,21.465,21.34,21.435,162199
2025-03-04 14:15:00-05:00,21.435,21.465,21.405,21.445,131366
2025-03-04 14:20:00-05:00,21.44,21.605,21.43,21.585,221349
2025-03-04 14:25:00-05:00,21.585,21.68,21.52,21.615,247022
2025-03-04 14:30:00-05:00,21.615,21.63,21.505,21.6,180909
2025-03-04 14:35:00-05:00,21.6,21.625,21.515,21.61,114625
2025-03-04 14:40:00-05:00,21.605,21.74,21.59,21.72,166596
2025-03-04 14:45:00-05:00,21.72,21.8,21.7,21.75,157123
2025-03-04 14:50:00-05:00,21.76,21.81,21.715,21.725,149677
2025-03-04 14:55:00-05:00,21.725,21.85,21.715,21.815,111221
2025-03-04 15:00:00-05:00,21.815,21.925,21.81,21.82,182954
2025-03-04 15:05:00-05:00,21.825,21.92,21.79,21.875,101999
2025-03-04 15:10:00-05:00,21.87,21.93,21.855,21.91,69624
2025-03-04 15:15:00-05:00,21.905,21.925,21.82,21.915,93444
2025-03-04 15:20:00-05:00,21.915,22.1,21.91,22.09,252238
2025-03-04 15:25:00-05:00,22.09,22.09,21.94,21.955,172844
2025-03-04 15:30:00-05:00,21.955,21.955,21.7,21.73,267071
2025-03-04 15:35:00-05:00,21.74,21.77,21.595,21.595,188926
2025-03-04 15:40:00-05:00,21.59,21.64,21.54,21.61,284194
2025-03-04 15:45:00-05:00,21.61,21.645,21.465,21.48,279831
2025-03-04 15:50:00-05:00,21.47,21.47,21.235,21.275,582081
2025-03-04 15:55:00-05:00,21.28,21.375,21.28,21.355,1526855
2025-03-05 09:30:00-05:00,21.33,21.36,20.865,20.97,1441976
2025-03-05 09:35:00-05:00,20.97,21.06,20.875,21.045,403845
2025-03-05 09:40:00-05:00,21.05,21.195,21.015,21.03,237738
2025-03-05 09:45:00-05:00,21.04,21.05,20.765,20.825,408831
2025-03-05 09:50:00-05:00,20.82,20.89,20.71,20.72,262708
2025-03-05 09:55:00-05:00,20.725,20.845,20.685,20.695,275608
2025-03-05 10:00:00-05:00,20.695,21.085,20.695,21.01,397071
2025-03-05 10:05:00-05:00,21.02,21.055,20.905,20.92,204041
2025-03-05 10:10:00-05:00,20.91,20.97,20.755,20.785,238065
2025-03-05 10:15:00-05:00,20.79,20.8,20.6,20.67,378688
2025-03-05 10:20:00-05:00,20.67,20.695,20.555,20.57,350228
2025-03-05 10:25:00-05:00,20.57,20.6,20.49,20.505,353135
2025-03-05 10:30:00-05:00,20.505,20.645,20.505,20.61,248766
2025-03-05 10:35:00-05:00,20.61,20.725,20.61,20.715,160578
2025-03-05 10:40:00-05:00,20.72,20.725,20.64,20.71,178258
2025-03-05 10:45:00-05:00,20.715,20.765,20.605,20.62,149098
2025-03-05 10:50:00-05:00,20.61,20.715,20.545,20.705,127719
2025-03-05 10:55:00-05:00,20.705,20.715,20.64,20.66,95082
2025-03-05 11:00:00-05:00,20.665,20.67,20.59,20.64,112590
2025-03-05 11:05:00-05:00,20.645,20.65,20.535,20.545,156996
2025-03-05 11:10:00-05:00,20.55,20.56,20.46,20.54,292867
2025-03-05 11:15:00-05:00,20.545,20.585,20.435,20.435,228689
2025-03-05 11:20:00-05:00,20.435,20.48,20.41,20.455,217068
2025-03-05 11:25:00-05:00,20.46,20.475,20.39,20.405,236941
2025-03-05 11:30:00-05:00,20.405,20.46,20.32,20.36,344200
2025-03-05 11:35:00-05:00,20.365,20.475,20.335,20.41,145095
2025-03-05 11:40:00-05:00,20.405,20.41,20.32,20.33,156367
2025-03-05 11:45:00-05:00,20.335,20.395,20.31,20.355,104401
2025-03-05 11:50:00-05:00,20.355,20.355,20.3,20.305,161278
2025-03-05 11:55:00-05:00,20.31,20.455,20.285,20.37,382863
2025-03-05 12:00:00-05:00,20.365,20.495,20.365,20.365,248752
2025-03-05 12:05:00-05:00,20.37,20.43,20.355,20.43,97299
2025-03-05 12:10:00-05:00,20.435,20.49,20.4,20.405,166953
2025-03-05 12:15:00-05:00,20.41,20.43,20.34,20.34,197926
2025-03-05 12:20:00-05:00,20.345,20.475,20.335,20.45,260376
2025-03-05 12:25:00-05:00,20.455,20.455,20.335,20.36,163746
2025-03-05 12:30:00-05:00,20.365,20.39,20.35,20.355,123492
2025-03-05 12:35:00-05:00,20.355,20.365,20.33,20.34,102757
2025-03-05 12:40:00-05:00,20.34,20.395,20.33,20.35,143532
2025-03-05 12:45:00-05:00,20.345,20.345,20.25,20.305,215817
2025-03-05 12:50:00-05:00,20.31,20.395,20.305,20.335,244323
