ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,616.91,621.0,615.01,615.075,30461
2025-03-03 09:35:00-05:00,615.19,617.94,614.45,617.36,6390
2025-03-03 09:40:00-05:00,617.68,619.41,617.19,619.08,5612
2025-03-03 09:45:00-05:00,618.835,618.835,614.2,614.38,8112
2025-03-03 09:50:00-05:00,614.78,615.27,612.67,613.48,4941
2025-03-03 09:55:00-05:00,613.26,613.53,611.97,612.42,5519
2025-03-03 10:00:00-05:00,612.33,612.63,609.29,612.105,6490
2025-03-03 10:05:00-05:00,612.5,612.81,611.35,611.76,2783
2025-03-03 10:10:00-05:00,611.63,613.16,611.22,611.4,3471
2025-03-03 10:15:00-05:00,611.03,612.67,610.9,612.42,2432
2025-03-03 10:20:00-05:00,612.42,613.3,612.145,612.145,1074
2025-03-03 10:25:00-05:00,612.5,613.21,611.94,613.01,2982
2025-03-03 10:30:00-05:00,613.01,613.55,612.05,613.05,1645
2025-03-03 10:35:00-05:00,613.07,613.15,610.98,612.65,1972
2025-03-03 10:40:00-05:00,612.26,613.15,612.26,612.83,876
2025-03-03 10:45:00-05:00,613.25,613.28,611.38,611.64,1092
2025-03-03 10:50:00-05:00,611.545,613.12,611.545,612.54,1911
2025-03-03 10:55:00-05:00,612.845,612.845,611.09,611.37,2181
2025-03-03 11:00:00-05:00,611.56,612.44,611.56,611.91,1306
2025-03-03 11:05:00-05:00,612.25,612.45,611.57,612.41,2436
2025-03-03 11:10:00-05:00,612.4,613.31,612.32,612.85,1953
2025-03-03 11:15:00-05:00,612.93,613.77,612.42,613.05,2028
2025-03-03 11:20:00-05:00,613.24,614.76,612.91,614.76,4071
2025-03-03 11:25:00-05:00,614.38,614.435,612.72,612.72,1480
2025-03-03 11:30:00-05:00,613.01,613.32,611.18,611.18,1719
2025-03-03 11:35:00-05:00,611.06,612.04,610.52,610.875,1874
2025-03-03 11:40:00-05:00,610.94,612.09,610.69,611.66,2802
2025-03-03 11:45:00-05:00,611.82,613.17,611.82,612.88,3796
2025-03-03 11:50:00-05:00,613.22,614.74,613.22,614.53,2087
2025-03-03 11:55:00-05:00,614.42,615.04,613.85,613.85,538
2025-03-03 12:00:00-05:00,613.74,614.11,613.56,613.76,1419
2025-03-03 12:05:00-05:00,613.76,614.25,613.41,613.61,1642
2025-03-03 12:10:00-05:00,613.64,614.83,613.57,614.42,3889
2025-03-03 12:15:00-05:00,614.29,614.91,614.05,614.59,1217
2025-03-03 12:20:00-05:00,614.94,614.94,614.09,614.225,722
2025-03-03 12:25:00-05:00,614.225,614.23,613.34,614.0,1403
2025-03-03 12:30:00-05:00,614.0,614.405,613.73,613.93,1424
2025-03-03 12:35:00-05:00,613.97,614.02,613.1,613.21,3377
2025-03-03 12:40:00-05:00,613.37,613.77,613.04,613.28,2892
2025-03-03 12:45:00-05:00,613.17,613.43,612.22,613.255,3243
2025-03-03 12:50:00-05:00,613.1,613.1,612.22,612.22,582
2025-03-03 12:55:00-05:00,612.17,612.255,611.1,611.595,2744
