ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,575.33,582.03,573.42,581.375,42008
2025-03-03 09:35:00-05:00,582.02,585.0,577.89,579.6,6241
2025-03-03 09:40:00-05:00,579.61,579.69,575.68,576.105,5361
2025-03-03 09:45:00-05:00,576.105,577.33,575.79,576.685,2977
2025-03-03 09:50:00-05:00,576.755,578.06,575.705,577.92,3647
2025-03-03 09:55:00-05:00,578.25,578.25,576.98,577.15,2676
2025-03-03 10:00:00-05:00,576.88,577.37,575.0,576.3,6262
2025-03-03 10:05:00-05:00,576.3,577.3,574.87,576.125,2921
2025-03-03 10:10:00-05:00,576.78,577.715,575.71,575.71,2879
2025-03-03 10:15:00-05:00,575.62,577.15,575.27,576.71,3002
2025-03-03 10:20:00-05:00,576.715,578.94,576.63,577.64,4920
2025-03-03 10:25:00-05:00,577.845,579.29,577.63,579.22,2295
2025-03-03 10:30:00-05:00,579.22,579.85,578.17,578.56,2896
2025-03-03 10:35:00-05:00,578.475,578.65,577.3,578.52,4131
2025-03-03 10:40:00-05:00,578.3,579.14,577.7,578.31,3594
2025-03-03 10:45:00-05:00,578.24,578.28,575.88,576.135,1698
2025-03-03 10:50:00-05:00,576.12,577.2,575.79,576.47,3449
2025-03-03 10:55:00-05:00,576.39,576.54,575.32,575.55,1612
2025-03-03 11:00:00-05:00,575.55,576.66,575.35,576.16,2839
2025-03-03 11:05:00-05:00,576.0,577.03,575.76,576.11,1292
2025-03-03 11:10:00-05:00,576.525,577.94,576.21,577.81,1929
2025-03-03 11:15:00-05:00,577.73,578.73,577.25,578.445,1557
2025-03-03 11:20:00-05:00,578.74,580.73,578.74,580.49,5047
2025-03-03 11:25:00-05:00,580.52,580.59,578.275,578.275,2076
2025-03-03 11:30:00-05:00,578.75,579.37,578.5,578.82,5010
2025-03-03 11:35:00-05:00,579.15,579.92,578.67,578.9,3696
2025-03-03 11:40:00-05:00,578.86,579.9,578.65,579.38,1740
2025-03-03 11:45:00-05:00,579.38,581.16,579.38,581.16,1930
2025-03-03 11:50:00-05:00,581.21,582.19,581.21,581.48,2604
2025-03-03 11:55:00-05:00,581.64,582.01,581.39,581.695,1008
