ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,165.0,166.34,164.84,165.835,11765
2025-03-03 09:35:00-05:00,165.835,166.5,165.71,166.5,10335
2025-03-03 09:40:00-05:00,166.5,166.89,166.36,166.685,18812
2025-03-03 09:45:00-05:00,166.63,166.66,166.17,166.51,16156
2025-03-03 09:50:00-05:00,166.54,166.93,166.35,166.93,11690
2025-03-03 09:55:00-05:00,166.89,167.17,166.76,166.97,27087
2025-03-03 10:00:00-05:00,166.97,167.04,166.45,166.5,23610
2025-03-03 10:05:00-05:00,166.53,166.9,166.43,166.8,11750
2025-03-03 10:10:00-05:00,166.79,166.87,166.235,166.32,8517
2025-03-03 10:15:00-05:00,166.31,166.64,166.16,166.53,6839
2025-03-03 10:20:00-05:00,166.51,166.51,166.07,166.31,7662
2025-03-03 10:25:00-05:00,166.29,166.61,166.28,166.48,6422
2025-03-03 10:30:00-05:00,166.45,166.59,166.32,166.45,11545
2025-03-03 10:35:00-05:00,166.44,166.71,166.31,166.63,9357
2025-03-03 10:40:00-05:00,166.63,166.71,166.47,166.54,12685
2025-03-03 10:45:00-05:00,166.55,166.59,166.32,166.48,14538
2025-03-03 10:50:00-05:00,166.465,166.48,166.2,166.35,8074
2025-03-03 10:55:00-05:00,166.38,166.43,166.255,166.39,8432
2025-03-03 11:00:00-05:00,166.4,166.475,166.24,166.46,9508
2025-03-03 11:05:00-05:00,166.46,166.51,166.24,166.24,8814
2025-03-03 11:10:00-05:00,166.25,166.43,166.18,166.265,11090
2025-03-03 11:15:00-05:00,166.26,166.69,166.21,166.665,7758
2025-03-03 11:20:00-05:00,166.665,166.77,166.55,166.76,30312
2025-03-03 11:25:00-05:00,166.75,166.75,166.48,166.59,8990
2025-03-03 11:30:00-05:00,166.56,166.69,166.48,166.67,8682
2025-03-03 11:35:00-05:00,166.68,166.81,166.51,166.53,7509
2025-03-03 11:40:00-05:00,166.52,166.66,166.43,166.61,4301
2025-03-03 11:45:00-05:00,166.59,166.75,166.57,166.72,4855
2025-03-03 11:50:00-05:00,166.74,166.79,166.65,166.73,4719
2025-03-03 11:55:00-05:00,166.74,166.76,166.69,166.7,3356
2025-03-03 12:00:00-05:00,166.71,166.79,166.59,166.59,6672
2025-03-03 12:05:00-05:00,166.6,166.81,166.55,166.74,4391
2025-03-03 12:10:00-05:00,166.76,166.77,166.65,166.65,4679
2025-03-03 12:15:00-05:00,166.64,166.71,166.55,166.59,5002
2025-03-03 12:20:00-05:00,166.61,166.75,166.61,166.66,3428
2025-03-03 12:25:00-05:00,166.66,166.66,166.56,166.6,3114
2025-03-03 12:30:00-05:00,166.6,166.64,166.51,166.54,3038
2025-03-03 12:35:00-05:00,166.54,166.55,166.42,166.42,3953
2025-03-03 12:40:00-05:00,166.425,166.48,166.36,166.48,4272
2025-03-03 12:45:00-05:00,166.5,166.62,166.48,166.6,4575
2025-03-03 12:50:00-05:00,166.6,166.6,166.47,166.5,5894
2025-03-03 12:55:00-05:00,166.46,166.52,166.34,166.46,6483
