ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,264.1,265.88,263.87,265.8,17073
2025-03-03 09:35:00-05:00,265.74,266.32,265.41,265.68,14650
2025-03-03 09:40:00-05:00,265.68,266.165,264.985,265.195,9090
2025-03-03 09:45:00-05:00,265.22,265.78,264.95,265.17,11237
2025-03-03 09:50:00-05:00,265.24,265.55,264.94,265.37,7601
2025-03-03 09:55:00-05:00,265.38,265.38,264.5,264.79,11134
2025-03-03 10:00:00-05:00,264.57,265.02,263.52,264.985,6931
2025-03-03 10:05:00-05:00,264.99,265.28,264.38,264.425,7189
2025-03-03 10:10:00-05:00,264.34,265.04,264.2,264.62,6000
2025-03-03 10:15:00-05:00,264.54,265.1,264.34,264.68,7887
2025-03-03 10:20:00-05:00,264.595,265.27,264.46,265.12,15950
2025-03-03 10:25:00-05:00,265.26,265.38,264.795,265.25,4097
2025-03-03 10:30:00-05:00,265.2,265.55,265.05,265.37,8899
2025-03-03 10:35:00-05:00,265.355,265.55,264.88,265.14,5958
2025-03-03 10:40:00-05:00,265.07,266.16,264.99,266.16,6517
2025-03-03 10:45:00-05:00,266.1,266.1,265.3,265.42,7354
2025-03-03 10:50:00-05:00,265.4,266.045,265.26,265.94,7543
2025-03-03 10:55:00-05:00,266.005,266.04,265.21,265.32,9119
2025-03-03 11:00:00-05:00,265.32,265.96,265.32,265.67,8431
2025-03-03 11:05:00-05:00,265.64,265.72,265.26,265.34,5911
2025-03-03 11:10:00-05:00,265.38,265.59,264.9,265.5,8253
2025-03-03 11:15:00-05:00,265.61,265.64,265.06,265.16,6118
2025-03-03 11:20:00-05:00,265.16,265.22,264.89,264.89,6737
2025-03-03 11:25:00-05:00,264.91,265.01,264.24,264.28,4259
2025-03-03 11:30:00-05:00,264.39,264.54,264.03,264.03,8310
2025-03-03 11:35:00-05:00,263.99,264.12,263.75,263.84,6412
2025-03-03 11:40:00-05:00,263.84,263.84,263.15,263.22,2758
2025-03-03 11:45:00-05:00,263.24,264.02,263.2,264.02,6565
2025-03-03 11:50:00-05:00,263.92,264.1,263.75,263.8,12182
2025-03-03 11:55:00-05:00,263.81,264.0,263.745,263.83,9642
2025-03-03 12:00:00-05:00,263.81,264.44,263.72,264.42,7763
2025-03-03 12:05:00-05:00,264.41,264.68,264.15,264.18,2475
2025-03-03 12:10:00-05:00,264.21,264.47,264.19,264.3,5028
2025-03-03 12:15:00-05:00,264.25,264.49,264.17,264.27,4772
2025-03-03 12:20:00-05:00,264.34,264.42,264.22,264.25,7918
2025-03-03 12:25:00-05:00,264.28,264.39,264.12,264.15,6028
2025-03-03 12:30:00-05:00,264.2,264.61,264.1,264.28,12863
2025-03-03 12:35:00-05:00,264.28,264.41,264.07,264.36,6632
2025-03-03 12:40:00-05:00,264.4,264.49,264.02,264.23,8151
2025-03-03 12:45:00-05:00,264.235,264.53,264.1,264.37,5828
2025-03-03 12:50:00-05:00,264.34,264.45,263.8,263.8,7377
2025-03-03 12:55:00-05:00,263.81,263.85,263.32,263.46,7670
2025-03-03 13:00:00-05:00,263.42,263.56,263.28,263.36,8606
2025-03-03 13:05:00-05:00,263.32,263.32,262.77,262.94,8690
2025-03-03 13:10:00-05:00,262.93,262.93,262.54,262.64,11845
2025-03-03 13:15:00-05:00,262.7,263.04,262.61,262.61,5645
2025-03-03 13:20:00-05:00,262.62,262.72,262.07,262.455,11960
2025-03-03 13:25:00-05:00,262.43,262.43,261.28,261.36,5652
2025-03-03 13:30:00-05:00,261.34,261.71,261.13,261.47,9223
2025-03-03 13:35:00-05:00,261.5,261.97,261.235,261.32,10962
2025-03-03 13:40:00-05:00,261.34,262.05,261.34,261.965,6368
2025-03-03 13:45:00-05:00,261.9,262.69,261.62,262.11,9630
2025-03-03 13:50:00-05:00,261.98,262.24,261.755,261.86,2768
2025-03-03 13:55:00-05:00,261.8,262.09,261.72,261.95,6130
2025-03-03 14:00:00-05:00,261.86,262.23,261.86,262.23,6935
2025-03-03 14:05:00-05:00,262.23,262.66,262.17,262.55,3602
2025-03-03 14:10:00-05:00,262.58,262.93,262.58,262.68,4792
2025-03-03 14:15:00-05:00,262.68,262.71,262.26,262.4,5402
2025-03-03 14:20:00-05:00,262.34,262.76,262.34,262.61,7167
2025-03-03 14:25:00-05:00,262.62,262.64,262.29,262.36,6419
2025-03-03 14:30:00-05:00,262.33,262.97,262.33,262.52,6520
2025-03-03 14:35:00-05:00,262.44,262.45,262.01,262.29,7877
2025-03-03 14:40:00-05:00,262.32,262.76,262.32,262.76,4747
2025-03-03 14:45:00-05:00,262.73,262.73,262.24,262.24,6083
2025-03-03 14:50:00-05:00,262.25,262.33,260.86,261.35,14184
2025-03-03 14:55:00-05:00,261.33,261.66,260.82,260.92,12653
2025-03-03 15:00:00-05:00,260.91,260.91,259.695,260.07,16801
2025-03-03 15:05:00-05:00,260.135,260.24,259.68,259.77,15463
2025-03-03 15:10:00-05:00,259.82,259.82,258.925,259.45,13838
2025-03-03 15:15:00-05:00,259.4,260.06,259.38,259.44,19910
2025-03-03 15:20:00-05:00,259.46,259.46,258.82,258.93,13797
