ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,70.23,70.49,69.74,70.48,176778
2025-03-03 09:35:00-05:00,70.43,70.95,70.22,70.74,108009
2025-03-03 09:40:00-05:00,70.75,70.865,70.65,70.655,75814
2025-03-03 09:45:00-05:00,70.66,70.77,70.545,70.72,50237
2025-03-03 09:50:00-05:00,70.72,70.75,70.62,70.71,38073
2025-03-03 09:55:00-05:00,70.715,70.895,70.685,70.835,61056
2025-03-03 10:00:00-05:00,70.83,70.85,70.7,70.78,65696
2025-03-03 10:05:00-05:00,70.78,70.925,70.745,70.89,57642
2025-03-03 10:10:00-05:00,70.89,70.93,70.76,70.885,43370
2025-03-03 10:15:00-05:00,70.88,71.045,70.855,70.955,35933
2025-03-03 10:20:00-05:00,70.955,70.98,70.725,70.785,39093
2025-03-03 10:25:00-05:00,70.79,70.96,70.79,70.84,30736
2025-03-03 10:30:00-05:00,70.835,70.91,70.735,70.87,28561
2025-03-03 10:35:00-05:00,70.87,71.06,70.87,71.02,25293
2025-03-03 10:40:00-05:00,71.015,71.09,70.985,71.07,21648
2025-03-03 10:45:00-05:00,71.07,71.115,71.015,71.08,29696
2025-03-03 10:50:00-05:00,71.085,71.195,71.065,71.145,23712
2025-03-03 10:55:00-05:00,71.15,71.24,71.13,71.21,21057
2025-03-03 11:00:00-05:00,71.215,71.335,71.155,71.32,27494
2025-03-03 11:05:00-05:00,71.31,71.335,71.215,71.32,22984
2025-03-03 11:10:00-05:00,71.33,71.47,71.315,71.45,23734
2025-03-03 11:15:00-05:00,71.46,71.49,71.41,71.485,24731
2025-03-03 11:20:00-05:00,71.48,71.59,71.475,71.57,33315
2025-03-03 11:25:00-05:00,71.575,71.585,71.45,71.475,22662
2025-03-03 11:30:00-05:00,71.48,71.6,71.47,71.6,21149
2025-03-03 11:35:00-05:00,71.595,71.65,71.515,71.525,20442
2025-03-03 11:40:00-05:00,71.525,71.62,71.525,71.57,17688
2025-03-03 11:45:00-05:00,71.565,71.57,71.495,71.545,16953
2025-03-03 11:50:00-05:00,71.55,71.66,71.53,71.65,15137
2025-03-03 11:55:00-05:00,71.655,71.86,71.645,71.85,32972
