ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,469.31,471.23,468.67,468.93,36973
2025-03-03 09:35:00-05:00,468.89,471.47,468.8,470.73,8951
2025-03-03 09:40:00-05:00,471.29,472.21,471.01,471.27,6312
2025-03-03 09:45:00-05:00,471.19,471.19,470.32,471.17,4274
2025-03-03 09:50:00-05:00,470.99,471.59,470.81,471.37,5253
2025-03-03 09:55:00-05:00,471.37,471.56,470.525,471.09,7769
2025-03-03 10:00:00-05:00,470.66,470.79,470.18,470.79,5155
2025-03-03 10:05:00-05:00,470.44,470.44,469.57,469.81,4144
2025-03-03 10:10:00-05:00,469.83,469.96,469.47,469.59,3679
2025-03-03 10:15:00-05:00,469.5,469.74,468.85,469.74,4080
2025-03-03 10:20:00-05:00,469.5,469.5,468.61,469.04,2423
2025-03-03 10:25:00-05:00,469.09,469.59,469.03,469.1,3591
2025-03-03 10:30:00-05:00,469.4,469.49,468.86,469.49,1242
2025-03-03 10:35:00-05:00,469.43,469.92,468.99,469.89,2830
2025-03-03 10:40:00-05:00,469.75,470.41,469.58,470.41,1603
2025-03-03 10:45:00-05:00,470.41,470.41,469.28,469.33,2419
2025-03-03 10:50:00-05:00,469.37,469.72,469.34,469.37,1807
2025-03-03 10:55:00-05:00,469.54,469.61,468.93,469.09,3631
2025-03-03 11:00:00-05:00,469.055,469.18,468.64,468.93,4185
2025-03-03 11:05:00-05:00,468.93,469.29,468.92,469.09,2910
2025-03-03 11:10:00-05:00,469.22,469.55,468.55,468.89,3139
2025-03-03 11:15:00-05:00,468.93,468.93,467.74,468.14,2923
2025-03-03 11:20:00-05:00,468.2,468.41,467.76,468.14,3000
2025-03-03 11:25:00-05:00,467.73,467.9,467.26,467.26,2277
2025-03-03 11:30:00-05:00,467.26,467.37,466.84,466.96,3846
2025-03-03 11:35:00-05:00,466.93,467.41,466.39,466.55,4450
2025-03-03 11:40:00-05:00,466.38,466.5,466.0,466.04,2649
2025-03-03 11:45:00-05:00,466.04,466.71,465.85,466.71,1949
2025-03-03 11:50:00-05:00,466.89,467.2,466.69,467.08,3394
2025-03-03 11:55:00-05:00,467.12,467.23,466.91,467.23,975
2025-03-03 12:00:00-05:00,467.23,467.45,466.83,467.07,3854
2025-03-03 12:05:00-05:00,467.06,467.4,466.95,467.19,3113
2025-03-03 12:10:00-05:00,467.38,467.68,467.27,467.49,1827
2025-03-03 12:15:00-05:00,467.66,468.15,467.52,467.98,1627
2025-03-03 12:20:00-05:00,468.11,468.7,468.07,468.53,3954
