ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,451.06,454.38,451.06,451.53,2148
2025-03-03 09:35:00-05:00,451.54,454.38,450.8,451.99,9416
2025-03-03 09:40:00-05:00,452.175,453.08,452.0,452.32,1172
2025-03-03 09:45:00-05:00,452.88,452.89,450.04,450.27,1079
2025-03-03 09:50:00-05:00,450.23,452.43,450.23,452.36,1188
2025-03-03 09:55:00-05:00,452.21,453.0,452.02,452.02,670
2025-03-03 10:00:00-05:00,451.62,451.77,449.69,449.79,2573
2025-03-03 10:05:00-05:00,449.6,450.7,449.48,450.28,916
2025-03-03 10:10:00-05:00,450.42,450.52,448.77,449.6,808
2025-03-03 10:15:00-05:00,449.69,450.46,449.69,450.46,731
2025-03-03 10:20:00-05:00,450.42,450.42,449.41,449.66,2146
2025-03-03 10:25:00-05:00,449.92,450.38,449.5,449.6,1190
2025-03-03 10:30:00-05:00,449.62,451.29,449.46,451.29,1672
2025-03-03 10:35:00-05:00,451.46,452.01,451.21,451.62,1348
2025-03-03 10:40:00-05:00,451.59,453.27,451.49,453.27,1455
2025-03-03 10:45:00-05:00,453.24,453.31,452.14,452.47,2141
2025-03-03 10:50:00-05:00,452.47,453.29,452.47,453.18,583
2025-03-03 10:55:00-05:00,453.23,453.51,452.86,453.31,1114
2025-03-03 11:00:00-05:00,453.26,453.26,452.28,452.28,964
2025-03-03 11:05:00-05:00,452.67,453.26,452.55,452.55,683
2025-03-03 11:10:00-05:00,452.87,453.03,452.56,452.87,352
2025-03-03 11:15:00-05:00,452.725,452.87,452.13,452.13,586
2025-03-03 11:20:00-05:00,452.46,452.46,451.48,451.53,528
2025-03-03 11:25:00-05:00,451.53,451.53,450.93,450.94,708
2025-03-03 11:30:00-05:00,450.92,451.91,450.92,451.75,2539
2025-03-03 11:35:00-05:00,451.59,451.92,451.12,451.22,351
2025-03-03 11:40:00-05:00,451.03,451.15,450.28,451.0,3213
2025-03-03 11:45:00-05:00,451.0,451.48,450.94,451.48,387
2025-03-03 11:50:00-05:00,451.27,451.76,451.2,451.62,624
2025-03-03 11:55:00-05:00,451.76,452.12,451.75,451.81,497
2025-03-03 12:00:00-05:00,451.98,452.16,451.63,451.99,425
2025-03-03 12:05:00-05:00,451.905,452.68,451.905,452.36,1018
2025-03-03 12:10:00-05:00,452.47,453.14,452.47,453.14,282
2025-03-03 12:15:00-05:00,453.045,453.42,452.99,453.2,882
2025-03-03 12:20:00-05:00,453.33,453.67,453.03,453.11,707
2025-03-03 12:25:00-05:00,453.03,453.17,452.83,453.03,262
2025-03-03 12:30:00-05:00,452.915,453.18,452.73,453.18,331
2025-03-03 12:35:00-05:00,453.0,453.22,453.0,453.07,68
2025-03-03 12:40:00-05:00,453.04,453.16,452.34,452.34,392
2025-03-03 12:45:00-05:00,452.18,452.38,452.02,452.31,1237
2025-03-03 12:50:00-05:00,452.3,452.335,451.7,451.7,732
2025-03-03 12:55:00-05:00,451.68,451.73,451.35,451.63,1311
2025-03-03 13:00:00-05:00,451.37,451.37,450.8,451.21,3056
2025-03-03 13:05:00-05:00,451.06,451.06,450.43,450.9,1118
2025-03-03 13:10:00-05:00,450.9,451.13,450.21,450.35,1839
2025-03-03 13:15:00-05:00,450.27,450.94,450.22,450.49,1563
2025-03-03 13:20:00-05:00,450.74,450.92,450.14,450.47,328
