ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,577.26,580.4,577.215,579.3,11056
2025-03-03 09:35:00-05:00,579.11,582.23,578.91,580.425,13031
2025-03-03 09:40:00-05:00,580.6,581.45,580.54,580.955,7352
2025-03-03 09:45:00-05:00,580.95,581.56,579.47,579.47,6468
2025-03-03 09:50:00-05:00,579.39,579.68,577.77,578.34,3796
2025-03-03 09:55:00-05:00,578.55,579.0,577.07,577.12,5921
2025-03-03 10:00:00-05:00,577.03,577.66,576.0,577.66,3867
2025-03-03 10:05:00-05:00,577.56,577.73,576.88,577.36,2084
2025-03-03 10:10:00-05:00,577.27,579.0,577.19,577.535,1464
2025-03-03 10:15:00-05:00,577.21,578.545,577.19,577.98,1662
2025-03-03 10:20:00-05:00,577.9,578.43,577.3,577.46,689
2025-03-03 10:25:00-05:00,577.67,577.93,576.53,577.93,1613
2025-03-03 10:30:00-05:00,578.15,578.45,577.29,577.9,4269
2025-03-03 10:35:00-05:00,577.61,578.71,577.05,577.57,2579
2025-03-03 10:40:00-05:00,577.14,579.3,577.14,579.2,1250
2025-03-03 10:45:00-05:00,579.08,579.18,577.99,578.2,1679
2025-03-03 10:50:00-05:00,578.03,578.37,577.98,578.22,996
2025-03-03 10:55:00-05:00,578.215,578.5,577.27,577.27,2022
2025-03-03 11:00:00-05:00,577.34,577.53,576.94,577.095,1027
2025-03-03 11:05:00-05:00,577.16,577.5,577.1,577.41,1090
2025-03-03 11:10:00-05:00,577.54,577.68,576.7,577.48,1894
2025-03-03 11:15:00-05:00,577.5,577.59,576.85,577.49,917
2025-03-03 11:20:00-05:00,577.49,578.26,577.13,578.0,613
2025-03-03 11:25:00-05:00,577.93,578.25,577.155,577.155,1082
2025-03-03 11:30:00-05:00,577.14,577.82,577.1,577.56,3225
2025-03-03 11:35:00-05:00,577.7,577.87,576.96,577.03,5204
2025-03-03 11:40:00-05:00,577.05,577.05,576.17,576.22,622
2025-03-03 11:45:00-05:00,576.37,577.42,576.31,577.42,1906
2025-03-03 11:50:00-05:00,577.36,577.74,577.35,577.42,1005
2025-03-03 11:55:00-05:00,577.57,578.0,577.55,577.79,1435
2025-03-03 12:00:00-05:00,577.795,577.795,576.98,577.45,1141
2025-03-03 12:05:00-05:00,577.45,578.38,577.45,578.38,1899
