ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,307.45,308.38,306.6,308.21,14417
2025-03-03 09:35:00-05:00,308.18,308.84,307.51,308.08,7565
2025-03-03 09:40:00-05:00,308.38,309.43,308.19,308.58,3645
2025-03-03 09:45:00-05:00,308.63,308.74,307.49,307.76,4297
2025-03-03 09:50:00-05:00,307.7,307.78,307.02,307.02,10566
2025-03-03 09:55:00-05:00,306.92,307.17,306.52,306.76,12919
2025-03-03 10:00:00-05:00,306.77,306.97,306.03,306.315,12189
2025-03-03 10:05:00-05:00,306.47,307.49,306.47,307.25,9756
2025-03-03 10:10:00-05:00,307.22,307.29,306.28,306.32,10869
2025-03-03 10:15:00-05:00,306.34,306.42,305.89,306.0,5867
2025-03-03 10:20:00-05:00,306.08,306.14,305.6,305.7,5399
2025-03-03 10:25:00-05:00,305.77,306.415,305.73,306.02,3356
2025-03-03 10:30:00-05:00,305.98,305.98,305.37,305.81,1847
2025-03-03 10:35:00-05:00,305.78,306.14,305.78,306.1,2127
2025-03-03 10:40:00-05:00,306.02,306.695,305.93,306.56,1140
2025-03-03 10:45:00-05:00,306.41,306.48,305.73,306.03,1228
2025-03-03 10:50:00-05:00,305.99,306.15,305.86,306.04,1880
2025-03-03 10:55:00-05:00,305.995,306.25,305.57,306.25,5351
2025-03-03 11:00:00-05:00,305.99,306.02,305.7,305.79,2267
2025-03-03 11:05:00-05:00,305.65,305.71,305.33,305.33,1943
2025-03-03 11:10:00-05:00,305.45,305.6,304.88,305.21,5094
2025-03-03 11:15:00-05:00,305.26,305.68,305.23,305.63,4439
2025-03-03 11:20:00-05:00,305.65,306.03,305.5,305.89,2121
2025-03-03 11:25:00-05:00,305.94,305.94,305.03,305.03,1295
2025-03-03 11:30:00-05:00,305.0,305.11,304.81,304.86,1908
2025-03-03 11:35:00-05:00,304.84,304.88,304.09,304.09,2570
2025-03-03 11:40:00-05:00,304.2,304.48,304.1,304.4,4180
2025-03-03 11:45:00-05:00,304.4,304.4,304.18,304.3,1825
2025-03-03 11:50:00-05:00,304.41,304.75,304.37,304.64,2095
2025-03-03 11:55:00-05:00,304.56,304.67,304.5,304.51,2215
2025-03-03 12:00:00-05:00,304.54,304.79,304.27,304.575,7267
2025-03-03 12:05:00-05:00,304.54,304.65,304.43,304.43,2271
2025-03-03 12:10:00-05:00,304.55,304.83,304.54,304.695,5909
2025-03-03 12:15:00-05:00,304.6,304.69,304.33,304.36,2557
2025-03-03 12:20:00-05:00,304.45,304.58,304.27,304.4,4292
2025-03-03 12:25:00-05:00,304.35,304.47,304.26,304.29,1735
2025-03-03 12:30:00-05:00,304.365,304.54,304.365,304.46,2329
2025-03-03 12:35:00-05:00,304.51,304.77,304.45,304.67,3379
2025-03-03 12:40:00-05:00,304.64,304.67,304.39,304.65,2046
2025-03-03 12:45:00-05:00,304.69,304.89,304.66,304.89,1667
2025-03-03 12:50:00-05:00,304.85,304.89,304.57,304.57,3160
2025-03-03 12:55:00-05:00,304.63,304.73,304.32,304.42,1643
2025-03-03 13:00:00-05:00,304.34,304.41,304.22,304.33,4219
2025-03-03 13:05:00-05:00,304.28,304.38,304.04,304.355,3856
2025-03-03 13:10:00-05:00,304.41,304.85,304.41,304.51,6721
2025-03-03 13:15:00-05:00,304.58,304.62,304.38,304.48,1196
2025-03-03 13:20:00-05:00,304.52,304.53,304.315,304.32,1299
2025-03-03 13:25:00-05:00,304.3,304.48,304.08,304.14,1448
2025-03-03 13:30:00-05:00,304.22,304.33,303.82,303.82,3100
2025-03-03 13:35:00-05:00,303.82,304.38,303.82,304.23,4160
2025-03-03 13:40:00-05:00,304.27,304.55,304.07,304.47,5818
2025-03-03 13:45:00-05:00,304.37,304.74,304.26,304.36,6530
2025-03-03 13:50:00-05:00,304.51,304.85,304.36,304.36,2006
2025-03-03 13:55:00-05:00,304.35,304.35,303.78,303.94,4515
2025-03-03 14:00:00-05:00,303.93,304.11,303.93,304.0,2168
2025-03-03 14:05:00-05:00,304.04,304.54,303.96,304.53,4736
2025-03-03 14:10:00-05:00,304.42,304.72,304.4,304.55,2795
2025-03-03 14:15:00-05:00,304.54,304.77,304.49,304.74,3075
2025-03-03 14:20:00-05:00,304.73,304.73,304.35,304.46,2960
2025-03-03 14:25:00-05:00,304.41,304.48,304.3,304.46,1877
2025-03-03 14:30:00-05:00,304.47,304.81,304.47,304.54,1782
2025-03-03 14:35:00-05:00,304.635,304.635,304.24,304.395,2449
2025-03-03 14:40:00-05:00,304.48,304.66,304.4,304.4,2188
2025-03-03 14:45:00-05:00,304.33,304.37,304.21,304.21,1389
2025-03-03 14:50:00-05:00,304.18,304.31,303.54,303.73,3448
2025-03-03 14:55:00-05:00,303.67,303.95,303.55,303.55,2260
2025-03-03 15:00:00-05:00,303.55,303.55,303.03,303.3,4434
2025-03-03 15:05:00-05:00,303.17,303.29,302.88,303.18,3896
2025-03-03 15:10:00-05:00,303.05,303.16,302.79,302.85,4943
2025-03-03 15:15:00-05:00,302.85,303.105,302.73,302.88,3020
2025-03-03 15:20:00-05:00,302.84,303.32,302.83,303.17,3876
2025-03-03 15:25:00-05:00,303.12,303.385,302.77,302.99,5817
2025-03-03 15:30:00-05:00,302.975,303.12,302.77,303.04,2920
2025-03-03 15:35:00-05:00,303.02,303.075,302.52,302.53,2418
2025-03-03 15:40:00-05:00,302.53,302.73,302.43,302.66,6228
2025-03-03 15:45:00-05:00,302.58,303.61,302.49,303.32,4393
2025-03-03 15:50:00-05:00,303.28,303.67,302.99,303.54,7438
2025-03-03 15:55:00-05:00,303.54,304.35,303.47,304.34,29207
2025-03-04 09:30:00-05:00,306.0,308.5,305.44,308.5,14903
2025-03-04 09:35:00-05:00,308.56,308.75,306.3,306.85,5547
2025-03-04 09:40:00-05:00,306.89,308.7,306.81,308.26,3465
2025-03-04 09:45:00-05:00,308.29,308.75,307.81,308.11,7963
2025-03-04 09:50:00-05:00,308.035,309.42,308.035,309.4,7617
2025-03-04 09:55:00-05:00,309.3,309.45,308.65,309.32,5697
2025-03-04 10:00:00-05:00,309.22,311.17,309.06,311.17,31518
2025-03-04 10:05:00-05:00,311.04,311.5,310.95,311.13,7031
2025-03-04 10:10:00-05:00,311.27,311.45,310.82,311.08,9866
2025-03-04 10:15:00-05:00,310.99,312.0,310.9,312.0,10012
2025-03-04 10:20:00-05:00,312.0,312.39,311.76,312.24,7575
2025-03-04 10:25:00-05:00,312.29,312.8,312.11,312.58,6589
2025-03-04 10:30:00-05:00,312.67,312.91,311.34,311.66,8556
2025-03-04 10:35:00-05:00,311.66,312.56,311.66,312.41,5323
2025-03-04 10:40:00-05:00,312.38,312.85,312.235,312.28,5576
2025-03-04 10:45:00-05:00,312.275,312.33,310.6,311.19,10355
2025-03-04 10:50:00-05:00,311.06,311.12,310.23,311.12,9070
