ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,92.63,93.37,92.45,93.25,23041
2025-03-03 09:35:00-05:00,93.22,93.38,93.15,93.2,15023
2025-03-03 09:40:00-05:00,93.18,93.52,93.15,93.26,10381
2025-03-03 09:45:00-05:00,93.22,93.53,93.22,93.53,10217
2025-03-03 09:50:00-05:00,93.53,94.13,93.52,94.13,29244
2025-03-03 09:55:00-05:00,94.1,94.27,94.07,94.15,17854
2025-03-03 10:00:00-05:00,94.16,94.28,93.93,93.98,41632
2025-03-03 10:05:00-05:00,94.02,94.48,93.98,94.365,11898
2025-03-03 10:10:00-05:00,94.38,94.39,93.83,94.03,12900
2025-03-03 10:15:00-05:00,94.0,94.27,93.99,94.17,13635
2025-03-03 10:20:00-05:00,94.15,94.25,94.14,94.215,12282
2025-03-03 10:25:00-05:00,94.23,94.34,94.16,94.34,8900
2025-03-03 10:30:00-05:00,94.35,94.36,94.14,94.26,9881
2025-03-03 10:35:00-05:00,94.26,94.28,94.17,94.24,8945
2025-03-03 10:40:00-05:00,94.255,94.35,94.18,94.34,12649
2025-03-03 10:45:00-05:00,94.325,94.325,94.2,94.26,12930
2025-03-03 10:50:00-05:00,94.26,94.33,94.22,94.24,10685
2025-03-03 10:55:00-05:00,94.25,94.435,94.25,94.435,9092
2025-03-03 11:00:00-05:00,94.44,94.48,94.39,94.445,12896
2025-03-03 11:05:00-05:00,94.445,94.46,94.31,94.385,10720
2025-03-03 11:10:00-05:00,94.4,94.49,94.37,94.44,6607
2025-03-03 11:15:00-05:00,94.45,94.51,94.35,94.48,6639
2025-03-03 11:20:00-05:00,94.47,94.5,94.39,94.45,5777
2025-03-03 11:25:00-05:00,94.46,94.46,94.26,94.29,6080
2025-03-03 11:30:00-05:00,94.28,94.37,94.18,94.36,6519
2025-03-03 11:35:00-05:00,94.36,94.45,94.26,94.26,4469
2025-03-03 11:40:00-05:00,94.27,94.28,94.16,94.18,5024
2025-03-03 11:45:00-05:00,94.17,94.33,94.165,94.32,7547
2025-03-03 11:50:00-05:00,94.33,94.35,94.22,94.29,5647
2025-03-03 11:55:00-05:00,94.29,94.34,94.245,94.28,5349
2025-03-03 12:00:00-05:00,94.29,94.39,94.25,94.385,7717
2025-03-03 12:05:00-05:00,94.39,94.49,94.35,94.49,3308
2025-03-03 12:10:00-05:00,94.49,94.56,94.49,94.52,4920
2025-03-03 12:15:00-05:00,94.525,94.58,94.5,94.55,4279
2025-03-03 12:20:00-05:00,94.56,94.63,94.54,94.6,3790
2025-03-03 12:25:00-05:00,94.6,94.6,94.48,94.53,4785
2025-03-03 12:30:00-05:00,94.54,94.56,94.515,94.54,2627
2025-03-03 12:35:00-05:00,94.54,94.61,94.53,94.6,4750
2025-03-03 12:40:00-05:00,94.59,94.605,94.54,94.6,3312
2025-03-03 12:45:00-05:00,94.6,94.72,94.58,94.72,3759
2025-03-03 12:50:00-05:00,94.71,94.74,94.595,94.6,7448
2025-03-03 12:55:00-05:00,94.6,94.65,94.525,94.535,17444
2025-03-03 13:00:00-05:00,94.54,94.62,94.49,94.605,6974
2025-03-03 13:05:00-05:00,94.6,94.62,94.53,94.61,4008
2025-03-03 13:10:00-05:00,94.61,94.705,94.59,94.63,8775
2025-03-03 13:15:00-05:00,94.63,94.7,94.61,94.67,7992
2025-03-03 13:20:00-05:00,94.67,94.86,94.64,94.84,14838
2025-03-03 13:25:00-05:00,94.84,94.93,94.62,94.67,9481
2025-03-03 13:30:00-05:00,94.65,94.65,94.29,94.29,14580
2025-03-03 13:35:00-05:00,94.28,94.38,94.22,94.33,7764
2025-03-03 13:40:00-05:00,94.32,94.4,94.31,94.4,4186
2025-03-03 13:45:00-05:00,94.39,94.445,94.32,94.36,14397
2025-03-03 13:50:00-05:00,94.34,94.43,94.34,94.36,4640
2025-03-03 13:55:00-05:00,94.37,94.37,94.1,94.18,10777
2025-03-03 14:00:00-05:00,94.2,94.4,94.14,94.38,8823
2025-03-03 14:05:00-05:00,94.38,94.44,94.33,94.34,4851
2025-03-03 14:10:00-05:00,94.35,94.45,94.34,94.43,6279
2025-03-03 14:15:00-05:00,94.43,94.45,94.27,94.33,5172
2025-03-03 14:20:00-05:00,94.31,94.42,94.3,94.38,12090
2025-03-03 14:25:00-05:00,94.38,94.38,94.055,94.075,9886
2025-03-03 14:30:00-05:00,94.07,94.21,94.05,94.05,12411
2025-03-03 14:35:00-05:00,94.07,94.16,93.9,94.15,19055
2025-03-03 14:40:00-05:00,94.14,94.38,94.13,94.36,9757
2025-03-03 14:45:00-05:00,94.38,94.38,94.21,94.22,4946
2025-03-03 14:50:00-05:00,94.22,94.24,93.92,94.0,9630
2025-03-03 14:55:00-05:00,94.01,94.08,93.95,94.015,10997
2025-03-03 15:00:00-05:00,94.01,94.06,93.86,93.88,9446
2025-03-03 15:05:00-05:00,93.89,93.91,93.79,93.83,10288
2025-03-03 15:10:00-05:00,93.85,93.86,93.69,93.69,16611
2025-03-03 15:15:00-05:00,93.69,93.74,93.59,93.66,16819
2025-03-03 15:20:00-05:00,93.65,93.81,93.61,93.75,22735
2025-03-03 15:25:00-05:00,93.76,93.79,93.555,93.62,12730
2025-03-03 15:30:00-05:00,93.62,93.7,93.55,93.65,15649
2025-03-03 15:35:00-05:00,93.64,93.66,93.47,93.47,13490
2025-03-03 15:40:00-05:00,93.48,93.72,93.41,93.7,25301
2025-03-03 15:45:00-05:00,93.68,93.95,93.68,93.85,23119
2025-03-03 15:50:00-05:00,93.86,94.01,93.79,93.98,29766
2025-03-03 15:55:00-05:00,93.99,94.3,93.99,94.29,51558
2025-03-04 09:30:00-05:00,94.84,95.38,94.67,95.2,22567
2025-03-04 09:35:00-05:00,95.23,95.38,94.92,95.18,25184
2025-03-04 09:40:00-05:00,95.16,95.57,95.01,95.14,16597
2025-03-04 09:45:00-05:00,95.16,95.31,95.09,95.16,26019
2025-03-04 09:50:00-05:00,95.15,95.21,95.0,95.19,10569
2025-03-04 09:55:00-05:00,95.18,95.22,94.63,94.78,21805
2025-03-04 10:00:00-05:00,94.75,95.07,94.63,94.86,28714
2025-03-04 10:05:00-05:00,94.89,95.02,94.21,94.23,20591
