ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,236.95,237.47,236.495,236.81,2521
2025-03-03 09:35:00-05:00,236.875,238.44,236.875,237.44,2715
2025-03-03 09:40:00-05:00,237.65,238.27,237.65,237.91,1262
2025-03-03 09:45:00-05:00,238.03,238.33,237.9,238.03,2446
2025-03-03 09:50:00-05:00,238.2,238.2,237.78,238.07,1890
2025-03-03 09:55:00-05:00,238.17,238.56,238.11,238.2,4979
2025-03-03 10:00:00-05:00,238.05,238.43,237.77,238.39,4389
2025-03-03 10:05:00-05:00,238.3,238.67,238.18,238.59,1650
2025-03-03 10:10:00-05:00,238.575,238.575,237.64,237.835,2317
2025-03-03 10:15:00-05:00,237.63,238.64,237.54,238.435,4070
2025-03-03 10:20:00-05:00,238.39,238.445,237.86,238.115,1745
2025-03-03 10:25:00-05:00,238.115,238.29,238.09,238.25,859
2025-03-03 10:30:00-05:00,238.16,238.36,237.92,238.31,4422
2025-03-03 10:35:00-05:00,238.25,238.75,238.15,238.72,5176
2025-03-03 10:40:00-05:00,238.65,238.97,238.54,238.89,2746
2025-03-03 10:45:00-05:00,238.91,239.0,238.65,238.79,1001
2025-03-03 10:50:00-05:00,238.795,239.24,238.69,239.24,449
2025-03-03 10:55:00-05:00,239.305,239.4,239.05,239.18,1321
2025-03-03 11:00:00-05:00,239.21,239.22,238.88,239.02,1213
2025-03-03 11:05:00-05:00,239.04,239.04,238.7,238.835,1095
2025-03-03 11:10:00-05:00,238.95,239.3,238.95,239.235,1108
2025-03-03 11:15:00-05:00,239.32,239.495,239.24,239.495,3274
2025-03-03 11:20:00-05:00,239.53,239.555,239.39,239.475,411
2025-03-03 11:25:00-05:00,239.51,239.51,239.18,239.21,597
2025-03-03 11:30:00-05:00,239.09,239.09,238.9,238.9,836
2025-03-03 11:35:00-05:00,238.88,239.01,238.56,238.705,1110
2025-03-03 11:40:00-05:00,238.7,238.77,238.29,238.29,371
2025-03-03 11:45:00-05:00,238.47,238.71,238.385,238.67,2143
2025-03-03 11:50:00-05:00,238.64,238.88,238.57,238.84,688
2025-03-03 11:55:00-05:00,238.8,238.9,238.78,238.89,866
2025-03-03 12:00:00-05:00,238.86,239.07,238.82,239.0,1012
2025-03-03 12:05:00-05:00,239.08,239.225,239.06,239.225,774
2025-03-03 12:10:00-05:00,239.27,239.48,239.25,239.36,1296
2025-03-03 12:15:00-05:00,239.465,239.465,239.19,239.19,868
2025-03-03 12:20:00-05:00,239.29,239.52,239.25,239.51,1312
2025-03-03 12:25:00-05:00,239.41,239.44,239.31,239.31,374
2025-03-03 12:30:00-05:00,239.39,239.5,239.09,239.24,2165
2025-03-03 12:35:00-05:00,239.17,239.2,238.93,238.95,1132
2025-03-03 12:40:00-05:00,238.94,239.01,238.73,238.73,776
2025-03-03 12:45:00-05:00,238.74,238.79,238.66,238.68,575
2025-03-03 12:50:00-05:00,238.7,238.97,238.69,238.91,847
2025-03-03 12:55:00-05:00,238.84,238.9,238.62,238.9,5231
2025-03-03 13:00:00-05:00,238.84,239.05,238.73,239.05,2082
2025-03-03 13:05:00-05:00,238.95,239.04,238.75,238.92,1947
2025-03-03 13:10:00-05:00,238.99,239.18,238.91,238.94,3477
2025-03-03 13:15:00-05:00,238.94,239.09,238.86,239.0,420
2025-03-03 13:20:00-05:00,239.0,239.19,238.89,239.11,2971
2025-03-03 13:25:00-05:00,239.01,239.06,238.9,238.9,788
2025-03-03 13:30:00-05:00,239.03,239.19,238.95,238.98,3583
2025-03-03 13:35:00-05:00,238.96,239.41,238.96,239.39,2492
2025-03-03 13:40:00-05:00,239.3,239.54,239.3,239.54,1656
2025-03-03 13:45:00-05:00,239.5,239.71,239.45,239.59,1248
2025-03-03 13:50:00-05:00,239.58,239.74,239.5,239.61,1440
2025-03-03 13:55:00-05:00,239.54,239.54,239.34,239.465,1162
2025-03-03 14:00:00-05:00,239.39,239.65,239.38,239.5,1474
2025-03-03 14:05:00-05:00,239.49,239.49,239.13,239.28,785
2025-03-03 14:10:00-05:00,239.27,239.44,239.26,239.42,811
2025-03-03 14:15:00-05:00,239.49,239.5,239.39,239.39,683
2025-03-03 14:20:00-05:00,239.39,239.48,239.235,239.38,1280
2025-03-03 14:25:00-05:00,239.375,239.375,239.08,239.23,1579
2025-03-03 14:30:00-05:00,239.27,239.42,239.27,239.28,690
2025-03-03 14:35:00-05:00,239.27,239.44,239.185,239.44,1572
2025-03-03 14:40:00-05:00,239.49,239.7,239.49,239.69,1121
2025-03-03 14:45:00-05:00,239.65,239.65,239.41,239.44,826
2025-03-03 14:50:00-05:00,239.44,239.44,238.83,238.94,1486
2025-03-03 14:55:00-05:00,238.92,239.15,238.895,238.99,1883
2025-03-03 15:00:00-05:00,238.91,239.02,238.35,238.425,1478
2025-03-03 15:05:00-05:00,238.35,238.37,238.0,238.27,2917
2025-03-03 15:10:00-05:00,238.3,238.405,238.05,238.405,2416
2025-03-03 15:15:00-05:00,238.425,238.425,238.15,238.28,3586
2025-03-03 15:20:00-05:00,238.28,238.83,238.27,238.8,2468
2025-03-03 15:25:00-05:00,238.71,238.74,238.05,238.06,3861
2025-03-03 15:30:00-05:00,238.2,238.33,238.04,238.22,3873
2025-03-03 15:35:00-05:00,238.25,238.25,237.82,237.94,1991
2025-03-03 15:40:00-05:00,237.92,238.69,237.87,238.64,3433
2025-03-03 15:45:00-05:00,238.7,239.22,238.7,238.99,3228
2025-03-03 15:50:00-05:00,238.91,239.14,238.89,238.93,4300
2025-03-03 15:55:00-05:00,238.98,239.535,238.98,239.44,11256
2025-03-04 09:30:00-05:00,239.75,241.0,239.45,241.0,4538
2025-03-04 09:35:00-05:00,241.0,241.53,239.95,240.68,1872
2025-03-04 09:40:00-05:00,240.58,241.85,240.46,241.18,2640
2025-03-04 09:45:00-05:00,241.4,241.6,240.05,240.05,4225
2025-03-04 09:50:00-05:00,239.8,240.06,239.32,239.54,2689
2025-03-04 09:55:00-05:00,239.56,239.8,238.68,239.53,3228
