ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,55.84,56.44,55.84,56.36,26788
2025-03-03 09:35:00-05:00,56.335,56.66,56.29,56.505,25355
2025-03-03 09:40:00-05:00,56.5,56.61,56.48,56.52,10929
2025-03-03 09:45:00-05:00,56.5,56.61,56.49,56.55,10898
2025-03-03 09:50:00-05:00,56.56,56.63,56.5,56.63,4557
2025-03-03 09:55:00-05:00,56.62,56.77,56.61,56.75,7286
2025-03-03 10:00:00-05:00,56.74,56.76,56.65,56.69,11812
2025-03-03 10:05:00-05:00,56.68,56.72,56.57,56.59,17873
2025-03-03 10:10:00-05:00,56.61,56.62,56.415,56.47,19373
2025-03-03 10:15:00-05:00,56.46,56.565,56.46,56.53,13716
2025-03-03 10:20:00-05:00,56.52,56.53,56.41,56.495,16015
2025-03-03 10:25:00-05:00,56.5,56.62,56.46,56.47,16907
2025-03-03 10:30:00-05:00,56.47,56.47,56.31,56.41,10657
2025-03-03 10:35:00-05:00,56.42,56.465,56.38,56.42,8053
2025-03-03 10:40:00-05:00,56.41,56.5,56.39,56.44,7392
2025-03-03 10:45:00-05:00,56.44,56.54,56.42,56.51,6785
2025-03-03 10:50:00-05:00,56.51,56.55,56.46,56.55,9051
2025-03-03 10:55:00-05:00,56.55,56.59,56.54,56.54,8644
2025-03-03 11:00:00-05:00,56.55,56.63,56.53,56.61,10940
2025-03-03 11:05:00-05:00,56.615,56.63,56.54,56.56,10670
2025-03-03 11:10:00-05:00,56.565,56.69,56.54,56.685,14682
2025-03-03 11:15:00-05:00,56.69,56.83,56.68,56.83,13152
2025-03-03 11:20:00-05:00,56.82,56.82,56.745,56.78,9239
2025-03-03 11:25:00-05:00,56.79,56.79,56.67,56.67,8753
2025-03-03 11:30:00-05:00,56.67,56.68,56.63,56.675,12007
2025-03-03 11:35:00-05:00,56.68,56.735,56.665,56.73,11076
2025-03-03 11:40:00-05:00,56.74,56.74,56.62,56.63,11640
2025-03-03 11:45:00-05:00,56.625,56.68,56.61,56.66,6718
2025-03-03 11:50:00-05:00,56.66,56.68,56.63,56.68,6472
2025-03-03 11:55:00-05:00,56.68,56.7,56.64,56.655,7883
2025-03-03 12:00:00-05:00,56.66,56.78,56.65,56.76,6976
2025-03-03 12:05:00-05:00,56.76,56.765,56.74,56.75,5827
2025-03-03 12:10:00-05:00,56.755,56.785,56.755,56.76,6092
2025-03-03 12:15:00-05:00,56.76,56.81,56.75,56.81,7273
2025-03-03 12:20:00-05:00,56.82,56.93,56.82,56.875,9355
2025-03-03 12:25:00-05:00,56.88,56.9,56.84,56.88,6200
2025-03-03 12:30:00-05:00,56.875,56.89,56.81,56.81,8931
2025-03-03 12:35:00-05:00,56.815,56.87,56.81,56.85,7447
2025-03-03 12:40:00-05:00,56.86,56.885,56.85,56.85,8557
2025-03-03 12:45:00-05:00,56.85,56.92,56.85,56.91,12124
2025-03-03 12:50:00-05:00,56.91,56.92,56.9,56.91,3182
2025-03-03 12:55:00-05:00,56.91,56.93,56.885,56.92,6188
2025-03-03 13:00:00-05:00,56.915,56.95,56.9,56.94,9147
2025-03-03 13:05:00-05:00,56.93,56.94,56.91,56.94,8875
2025-03-03 13:10:00-05:00,56.94,56.99,56.91,56.92,13426
2025-03-03 13:15:00-05:00,56.935,56.98,56.93,56.975,8671
2025-03-03 13:20:00-05:00,56.975,56.985,56.95,56.96,8083
2025-03-03 13:25:00-05:00,56.95,56.97,56.93,56.955,6603
2025-03-03 13:30:00-05:00,56.96,56.975,56.855,56.86,9327
2025-03-03 13:35:00-05:00,56.86,56.88,56.815,56.86,7936
2025-03-03 13:40:00-05:00,56.86,56.93,56.85,56.92,11885
2025-03-03 13:45:00-05:00,56.92,56.92,56.83,56.86,16699
2025-03-03 13:50:00-05:00,56.865,56.91,56.86,56.89,8739
2025-03-03 13:55:00-05:00,56.885,56.885,56.815,56.825,10180
2025-03-03 14:00:00-05:00,56.82,56.835,56.805,56.83,7685
2025-03-03 14:05:00-05:00,56.82,56.82,56.785,56.795,7537
2025-03-03 14:10:00-05:00,56.8,56.845,56.79,56.79,8450
2025-03-03 14:15:00-05:00,56.795,56.81,56.78,56.8,5875
2025-03-03 14:20:00-05:00,56.79,56.805,56.73,56.74,8857
2025-03-03 14:25:00-05:00,56.74,56.79,56.74,56.76,5639
2025-03-03 14:30:00-05:00,56.77,56.835,56.77,56.805,10635
2025-03-03 14:35:00-05:00,56.81,56.835,56.805,56.82,8212
2025-03-03 14:40:00-05:00,56.82,56.85,56.81,56.83,9299
2025-03-03 14:45:00-05:00,56.84,56.89,56.84,56.875,6917
2025-03-03 14:50:00-05:00,56.87,56.905,56.825,56.89,29257
2025-03-03 14:55:00-05:00,56.88,56.925,56.85,56.85,17582
2025-03-03 15:00:00-05:00,56.83,56.895,56.78,56.83,19711
2025-03-03 15:05:00-05:00,56.835,56.94,56.8,56.94,29735
2025-03-03 15:10:00-05:00,56.945,57.025,56.935,57.015,61395
2025-03-03 15:15:00-05:00,57.01,57.09,57.0,57.07,26239
2025-03-03 15:20:00-05:00,57.08,57.15,57.065,57.14,24992
2025-03-03 15:25:00-05:00,57.14,57.16,57.065,57.08,31569
2025-03-03 15:30:00-05:00,57.08,57.27,57.08,57.26,36197
2025-03-03 15:35:00-05:00,57.26,57.275,57.15,57.21,27006
2025-03-03 15:40:00-05:00,57.215,57.39,57.2,57.39,31440
2025-03-03 15:45:00-05:00,57.39,57.49,57.335,57.425,64623
2025-03-03 15:50:00-05:00,57.43,57.48,57.395,57.41,50528
2025-03-03 15:55:00-05:00,57.42,57.475,57.28,57.32,111521
2025-03-04 09:30:00-05:00,57.85,58.58,57.83,58.29,47913
2025-03-04 09:35:00-05:00,58.29,58.34,57.79,57.905,26932
2025-03-04 09:40:00-05:00,57.9,58.17,57.83,58.005,31153
2025-03-04 09:45:00-05:00,58.02,58.06,57.74,57.87,22154
2025-03-04 09:50:00-05:00,57.865,57.92,57.74,57.81,24457
2025-03-04 09:55:00-05:00,57.82,57.83,57.61,57.78,22708
2025-03-04 10:00:00-05:00,57.8,58.03,57.77,57.93,26524
2025-03-04 10:05:00-05:00,57.93,58.06,57.89,57.99,35605
2025-03-04 10:10:00-05:00,58.0,58.1,57.63,57.74,40882
2025-03-04 10:15:00-05:00,57.74,57.96,57.68,57.96,20128
2025-03-04 10:20:00-05:00,57.97,58.21,57.94,58.0,36982
2025-03-04 10:25:00-05:00,58.0,58.08,57.94,57.97,26696
2025-03-04 10:30:00-05:00,57.96,57.99,57.67,57.71,31777
2025-03-04 10:35:00-05:00,57.71,57.78,57.65,57.77,20352
2025-03-04 10:40:00-05:00,57.77,57.84,57.71,57.745,24606
2025-03-04 10:45:00-05:00,57.75,57.81,57.52,57.76,40987
2025-03-04 10:50:00-05:00,57.75,57.75,57.59,57.705,28032
2025-03-04 10:55:00-05:00,57.7,57.84,57.63,57.78,31071
2025-03-04 11:00:00-05:00,57.79,58.005,57.74,57.97,37860
2025-03-04 11:05:00-05:00,57.975,57.98,57.86,57.97,22656
2025-03-04 11:10:00-05:00,57.965,57.97,57.83,57.83,35386
2025-03-04 11:15:00-05:00,57.83,57.88,57.76,57.835,21405
2025-03-04 11:20:00-05:00,57.83,57.83,57.62,57.63,27817
2025-03-04 11:25:00-05:00,57.62,57.67,57.53,57.665,27621
2025-03-04 11:30:00-05:00,57.665,57.665,57.47,57.54,39354
2025-03-04 11:35:00-05:00,57.545,57.565,57.42,57.47,38581
2025-03-04 11:40:00-05:00,57.48,57.545,57.33,57.535,42342
2025-03-04 11:45:00-05:00,57.54,57.67,57.54,57.575,22115
2025-03-04 11:50:00-05:00,57.58,57.635,57.55,57.56,17720
2025-03-04 11:55:00-05:00,57.56,57.56,57.495,57.54,31575
2025-03-04 12:00:00-05:00,57.545,57.695,57.53,57.585,19401
2025-03-04 12:05:00-05:00,57.58,57.645,57.58,57.61,11543
2025-03-04 12:10:00-05:00,57.62,57.67,57.585,57.6,17607
2025-03-04 12:15:00-05:00,57.61,57.625,57.5,57.57,23807
2025-03-04 12:20:00-05:00,57.565,57.57,57.42,57.48,27561
2025-03-04 12:25:00-05:00,57.475,57.48,57.37,57.425,33136
2025-03-04 12:30:00-05:00,57.425,57.52,57.38,57.48,28411
2025-03-04 12:35:00-05:00,57.47,57.47,57.4,57.415,16496
2025-03-04 12:40:00-05:00,57.42,57.425,57.35,57.38,21667
2025-03-04 12:45:00-05:00,57.38,57.405,57.365,57.39,13763
2025-03-04 12:50:00-05:00,57.385,57.4,57.34,57.36,18218
2025-03-04 12:55:00-05:00,57.36,57.395,57.25,57.265,26326
2025-03-04 13:00:00-05:00,57.26,57.295,57.17,57.21,18380
2025-03-04 13:05:00-05:00,57.21,57.31,57.195,57.2,17579
2025-03-04 13:10:00-05:00,57.2,57.33,57.2,57.305,18054
2025-03-04 13:15:00-05:00,57.305,57.355,57.295,57.33,11936
2025-03-04 13:20:00-05:00,57.325,57.325,57.165,57.24,15919
2025-03-04 13:25:00-05:00,57.245,57.245,57.18,57.215,8862
2025-03-04 13:30:00-05:00,57.215,57.24,57.09,57.14,15274
2025-03-04 13:35:00-05:00,57.135,57.16,57.07,57.15,12474
2025-03-04 13:40:00-05:00,57.15,57.2,57.07,57.115,10722
2025-03-04 13:45:00-05:00,57.115,57.115,57.02,57.045,26581
2025-03-04 13:50:00-05:00,57.045,57.105,57.0,57.05,28163
2025-03-04 13:55:00-05:00,57.06,57.085,56.99,57.01,27040
2025-03-04 14:00:00-05:00,57.01,57.17,57.005,57.135,34069
2025-03-04 14:05:00-05:00,57.13,57.19,57.07,57.175,19459
2025-03-04 14:10:00-05:00,57.18,57.2,57.04,57.085,31677
2025-03-04 14:15:00-05:00,57.085,57.125,57.04,57.11,22820
2025-03-04 14:20:00-05:00,57.12,57.125,56.99,57.02,27035
2025-03-04 14:25:00-05:00,57.02,57.03,56.78,56.865,21785
2025-03-04 14:30:00-05:00,56.87,56.9,56.83,56.885,14934
2025-03-04 14:35:00-05:00,56.9,56.945,56.87,56.92,20196
2025-03-04 14:40:00-05:00,56.92,56.935,56.88,56.925,14828
2025-03-04 14:45:00-05:00,56.93,56.975,56.925,56.96,17352
2025-03-04 14:50:00-05:00,56.97,57.02,56.955,56.955,20216
2025-03-04 14:55:00-05:00,56.955,57.005,56.92,56.98,20732
2025-03-04 15:00:00-05:00,56.975,57.01,56.925,56.925,25987
2025-03-04 15:05:00-05:00,56.93,56.955,56.88,56.89,32954
2025-03-04 15:10:00-05:00,56.895,56.915,56.835,56.865,28848
2025-03-04 15:15:00-05:00,56.87,56.965,56.85,56.96,30213
2025-03-04 15:20:00-05:00,56.95,56.97,56.86,56.88,21977
2025-03-04 15:25:00-05:00,56.865,56.935,56.83,56.905,32363
2025-03-04 15:30:00-05:00,56.9,56.9,56.83,56.895,38150
2025-03-04 15:35:00-05:00,56.895,56.9,56.83,56.9,23603
2025-03-04 15:40:00-05:00,56.895,56.895,56.75,56.85,38537
2025-03-04 15:45:00-05:00,56.85,56.89,56.73,56.77,40579
2025-03-04 15:50:00-05:00,56.78,56.815,56.4,56.57,64604
2025-03-04 15:55:00-05:00,56.58,56.58,56.27,56.3,145671
2025-03-05 09:30:00-05:00,56.19,56.36,56.14,56.28,19155
2025-03-05 09:35:00-05:00,56.285,56.6,56.25,56.395,12303
2025-03-05 09:40:00-05:00,56.37,56.37,56.16,56.19,7686
2025-03-05 09:45:00-05:00,56.21,56.35,56.21,56.23,6841
2025-03-05 09:50:00-05:00,56.21,56.23,56.02,56.17,7611
2025-03-05 09:55:00-05:00,56.15,56.26,56.07,56.19,7223
2025-03-05 10:00:00-05:00,56.19,56.35,56.155,56.26,12189
2025-03-05 10:05:00-05:00,56.25,56.27,56.18,56.24,8880
2025-03-05 10:10:00-05:00,56.25,56.28,56.22,56.22,5294
2025-03-05 10:15:00-05:00,56.21,56.24,56.16,56.23,8254
2025-03-05 10:20:00-05:00,56.23,56.25,56.11,56.11,5725
2025-03-05 10:25:00-05:00,56.115,56.13,55.94,55.98,5889
2025-03-05 10:30:00-05:00,55.97,55.98,55.87,55.89,8458
2025-03-05 10:35:00-05:00,55.885,55.97,55.885,55.93,7778
2025-03-05 10:40:00-05:00,55.93,55.97,55.9,55.91,5354
2025-03-05 10:45:00-05:00,55.91,55.95,55.905,55.93,3777
2025-03-05 10:50:00-05:00,55.925,56.0,55.925,55.97,6293
2025-03-05 10:55:00-05:00,55.98,56.03,55.935,56.01,6153
2025-03-05 11:00:00-05:00,56.02,56.05,55.96,56.05,5384
2025-03-05 11:05:00-05:00,56.055,56.055,56.01,56.03,5641
2025-03-05 11:10:00-05:00,56.03,56.12,56.02,56.1,5961
2025-03-05 11:15:00-05:00,56.1,56.11,56.04,56.1,6767
2025-03-05 11:20:00-05:00,56.1,56.14,56.09,56.125,4865
2025-03-05 11:25:00-05:00,56.12,56.12,56.075,56.09,7488
2025-03-05 11:30:00-05:00,56.09,56.1,56.0,56.1,7287
2025-03-05 11:35:00-05:00,56.1,56.145,56.08,56.11,6853
2025-03-05 11:40:00-05:00,56.115,56.145,56.105,56.125,6214
2025-03-05 11:45:00-05:00,56.125,56.145,56.065,56.065,5845
2025-03-05 11:50:00-05:00,56.07,56.09,56.05,56.07,5772
2025-03-05 11:55:00-05:00,56.08,56.15,56.05,56.14,14555
2025-03-05 12:00:00-05:00,56.13,56.22,56.13,56.19,6350
2025-03-05 12:05:00-05:00,56.19,56.22,56.16,56.18,7466
2025-03-05 12:10:00-05:00,56.18,56.18,56.135,56.18,2983
2025-03-05 12:15:00-05:00,56.18,56.225,56.14,56.21,5212
2025-03-05 12:20:00-05:00,56.22,56.25,56.15,56.19,12632
2025-03-05 12:25:00-05:00,56.2,56.24,56.2,56.22,3780
