ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,398.64,398.75,396.17,396.95,554930
2025-03-03 09:35:00-05:00,396.93,397.19,394.38,394.69,94756
2025-03-03 09:40:00-05:00,394.745,396.0,394.74,395.64,80455
2025-03-03 09:45:00-05:00,395.55,396.06,394.62,394.91,67792
2025-03-03 09:50:00-05:00,395.0,395.29,393.87,394.18,52626
2025-03-03 09:55:00-05:00,394.24,394.46,393.04,393.65,70217
2025-03-03 10:00:00-05:00,393.53,393.88,392.11,393.71,80932
2025-03-03 10:05:00-05:00,393.84,393.85,392.4,392.79,52763
2025-03-03 10:10:00-05:00,392.77,394.44,392.68,393.4,34303
2025-03-03 10:15:00-05:00,393.36,393.46,392.88,392.98,27880
2025-03-03 10:20:00-05:00,393.0,394.55,392.99,394.1,48287
2025-03-03 10:25:00-05:00,394.15,394.72,393.8,394.625,33665
2025-03-03 10:30:00-05:00,394.57,395.02,394.17,394.585,43525
2025-03-03 10:35:00-05:00,394.62,394.71,393.62,394.22,44253
2025-03-03 10:40:00-05:00,394.15,395.38,393.6,395.13,38709
2025-03-03 10:45:00-05:00,395.12,395.12,394.09,394.45,16696
2025-03-03 10:50:00-05:00,394.45,395.31,394.41,394.95,19734
2025-03-03 10:55:00-05:00,395.0,395.09,393.91,394.13,22573
2025-03-03 11:00:00-05:00,394.14,395.03,394.14,395.01,18910
2025-03-03 11:05:00-05:00,395.06,395.29,394.46,394.65,16292
2025-03-03 11:10:00-05:00,394.65,395.13,394.27,395.05,19984
2025-03-03 11:15:00-05:00,395.05,395.42,394.76,395.21,18697
2025-03-03 11:20:00-05:00,395.17,395.82,395.09,395.755,35385
2025-03-03 11:25:00-05:00,395.73,395.73,393.77,393.77,28077
2025-03-03 11:30:00-05:00,393.81,394.15,393.55,393.97,30944
2025-03-03 11:35:00-05:00,393.94,394.13,393.07,393.53,24267
2025-03-03 11:40:00-05:00,393.52,393.68,393.14,393.51,17304
2025-03-03 11:45:00-05:00,393.53,394.48,393.44,394.28,19657
2025-03-03 11:50:00-05:00,394.28,394.98,394.24,394.78,20024
2025-03-03 11:55:00-05:00,394.78,395.14,394.6,394.73,21105
2025-03-03 12:00:00-05:00,394.69,394.87,394.49,394.51,18210
2025-03-03 12:05:00-05:00,394.49,394.79,394.3,394.38,19652
2025-03-03 12:10:00-05:00,394.33,394.75,394.33,394.615,19307
2025-03-03 12:15:00-05:00,394.65,395.25,394.41,394.91,22876
2025-03-03 12:20:00-05:00,394.97,395.27,394.81,395.02,16475
2025-03-03 12:25:00-05:00,395.07,395.15,394.8,394.96,21186
2025-03-03 12:30:00-05:00,394.96,395.38,394.83,395.08,17765
2025-03-03 12:35:00-05:00,395.05,395.5,394.85,395.36,13811
2025-03-03 12:40:00-05:00,395.37,395.98,395.28,395.75,21722
2025-03-03 12:45:00-05:00,395.79,395.82,395.18,395.6,25697
2025-03-03 12:50:00-05:00,395.57,395.87,395.08,395.13,25824
2025-03-03 12:55:00-05:00,395.08,395.28,394.435,395.17,27247
2025-03-03 13:00:00-05:00,395.15,395.46,394.815,395.06,32333
2025-03-03 13:05:00-05:00,395.03,395.03,393.6,393.73,31034
2025-03-03 13:10:00-05:00,393.65,394.12,393.36,393.68,32365
2025-03-03 13:15:00-05:00,393.66,394.29,393.66,394.13,32515
2025-03-03 13:20:00-05:00,394.14,394.64,393.67,394.32,22981
2025-03-03 13:25:00-05:00,394.32,394.35,393.03,393.19,30693
2025-03-03 13:30:00-05:00,393.25,393.74,392.73,392.94,38318
2025-03-03 13:35:00-05:00,392.97,393.07,392.17,392.39,37097
2025-03-03 13:40:00-05:00,392.37,392.98,392.35,392.98,33607
2025-03-03 13:45:00-05:00,392.98,394.07,392.61,393.035,47984
2025-03-03 13:50:00-05:00,393.035,393.7,392.87,393.175,21580
2025-03-03 13:55:00-05:00,393.13,393.79,392.75,393.63,27706
2025-03-03 14:00:00-05:00,393.59,394.34,393.45,394.03,20578
2025-03-03 14:05:00-05:00,394.03,394.12,393.61,393.835,21634
2025-03-03 14:10:00-05:00,393.82,394.15,393.57,393.94,15539
2025-03-03 14:15:00-05:00,393.96,393.98,393.19,393.335,19321
2025-03-03 14:20:00-05:00,393.33,393.9,393.32,393.59,23296
2025-03-03 14:25:00-05:00,393.6,393.63,393.24,393.39,15139
