ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,70.13,70.52,70.1,70.4,9248
2025-03-03 09:35:00-05:00,70.39,70.49,70.24,70.41,10129
2025-03-03 09:40:00-05:00,70.37,70.63,70.35,70.44,7447
2025-03-03 09:45:00-05:00,70.42,70.595,70.35,70.47,5330
2025-03-03 09:50:00-05:00,70.48,70.64,70.42,70.64,4724
2025-03-03 09:55:00-05:00,70.6,70.62,70.4,70.48,7951
2025-03-03 10:00:00-05:00,70.46,70.47,70.15,70.44,20710
2025-03-03 10:05:00-05:00,70.44,70.61,70.42,70.59,14476
2025-03-03 10:10:00-05:00,70.59,70.62,70.48,70.565,19617
2025-03-03 10:15:00-05:00,70.565,70.65,70.52,70.6,12946
2025-03-03 10:20:00-05:00,70.59,70.59,70.48,70.53,10306
2025-03-03 10:25:00-05:00,70.53,70.635,70.52,70.61,8617
2025-03-03 10:30:00-05:00,70.61,70.72,70.55,70.7,14502
2025-03-03 10:35:00-05:00,70.7,70.81,70.65,70.79,8998
2025-03-03 10:40:00-05:00,70.78,70.95,70.76,70.95,4481
2025-03-03 10:45:00-05:00,70.98,70.995,70.82,70.835,7325
2025-03-03 10:50:00-05:00,70.84,70.95,70.82,70.95,7896
2025-03-03 10:55:00-05:00,70.95,70.995,70.87,70.88,5750
2025-03-03 11:00:00-05:00,70.89,70.91,70.86,70.9,6976
2025-03-03 11:05:00-05:00,70.9,70.905,70.83,70.84,5549
2025-03-03 11:10:00-05:00,70.85,70.96,70.85,70.92,5199
2025-03-03 11:15:00-05:00,70.92,70.97,70.9,70.97,3562
2025-03-03 11:20:00-05:00,70.96,70.96,70.9,70.95,4758
2025-03-03 11:25:00-05:00,70.94,70.94,70.73,70.73,7103
2025-03-03 11:30:00-05:00,70.74,70.88,70.74,70.88,6139
2025-03-03 11:35:00-05:00,70.87,70.95,70.84,70.93,5584
2025-03-03 11:40:00-05:00,70.94,70.99,70.88,70.9,7626
2025-03-03 11:45:00-05:00,70.895,70.96,70.87,70.96,6639
2025-03-03 11:50:00-05:00,70.96,70.97,70.84,70.92,5699
2025-03-03 11:55:00-05:00,70.93,70.95,70.89,70.9,3679
2025-03-03 12:00:00-05:00,70.91,70.985,70.86,70.94,4603
2025-03-03 12:05:00-05:00,70.94,71.02,70.935,70.98,4582
2025-03-03 12:10:00-05:00,71.0,71.02,70.96,70.99,4405
2025-03-03 12:15:00-05:00,71.0,71.025,70.97,70.995,4070
2025-03-03 12:20:00-05:00,71.0,71.01,70.95,70.95,4771
2025-03-03 12:25:00-05:00,70.95,70.995,70.94,70.94,6686
2025-03-03 12:30:00-05:00,70.94,70.985,70.94,70.985,6957
2025-03-03 12:35:00-05:00,70.99,71.03,70.97,71.02,5329
2025-03-03 12:40:00-05:00,71.02,71.04,71.02,71.04,2892
2025-03-03 12:45:00-05:00,71.05,71.085,71.03,71.06,8265
2025-03-03 12:50:00-05:00,71.065,71.13,71.06,71.09,3609
2025-03-03 12:55:00-05:00,71.09,71.12,71.08,71.115,3699
2025-03-03 13:00:00-05:00,71.1,71.1,71.0,71.0,4590
2025-03-03 13:05:00-05:00,71.01,71.03,70.94,70.98,8752
2025-03-03 13:10:00-05:00,70.98,71.02,70.88,70.94,9137
2025-03-03 13:15:00-05:00,70.95,71.02,70.92,71.0,7959
2025-03-03 13:20:00-05:00,71.0,71.02,70.95,71.01,4648
2025-03-03 13:25:00-05:00,71.0,71.0,70.86,70.88,8724
2025-03-03 13:30:00-05:00,70.87,70.97,70.83,70.92,16736
2025-03-03 13:35:00-05:00,70.92,70.95,70.89,70.91,6828
2025-03-03 13:40:00-05:00,70.91,70.955,70.86,70.94,4241
2025-03-03 13:45:00-05:00,70.94,70.99,70.86,70.88,11355
2025-03-03 13:50:00-05:00,70.9,70.9,70.78,70.8,18228
2025-03-03 13:55:00-05:00,70.8,70.81,70.74,70.8,8762
2025-03-03 14:00:00-05:00,70.79,70.9,70.77,70.9,8209
2025-03-03 14:05:00-05:00,70.9,70.98,70.89,70.96,7448
2025-03-03 14:10:00-05:00,70.96,71.02,70.955,70.98,4463
2025-03-03 14:15:00-05:00,70.99,71.015,70.96,70.96,2789
2025-03-03 14:20:00-05:00,70.965,71.01,70.95,71.005,6067
2025-03-03 14:25:00-05:00,71.0,71.14,71.0,71.14,10405
2025-03-03 14:30:00-05:00,71.14,71.17,71.1,71.16,11109
2025-03-03 14:35:00-05:00,71.17,71.23,71.125,71.23,9152
2025-03-03 14:40:00-05:00,71.23,71.29,71.23,71.27,6293
2025-03-03 14:45:00-05:00,71.27,71.3,71.255,71.26,11523
2025-03-03 14:50:00-05:00,71.27,71.285,71.15,71.2,25317
2025-03-03 14:55:00-05:00,71.215,71.24,71.12,71.12,19418
2025-03-03 15:00:00-05:00,71.11,71.11,70.98,71.09,19902
2025-03-03 15:05:00-05:00,71.09,71.25,71.04,71.16,27444
2025-03-03 15:10:00-05:00,71.16,71.2,71.1,71.15,28402
