ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,123.5,123.7,122.12,122.34,3587577
2025-03-03 09:35:00-05:00,122.34,122.72,120.48,120.61,1600780
2025-03-03 09:40:00-05:00,120.61,120.9,119.58,120.14,2046778
2025-03-03 09:45:00-05:00,120.13,120.93,119.8,120.05,1207515
2025-03-03 09:50:00-05:00,120.06,120.62,119.84,120.0,840590
2025-03-03 09:55:00-05:00,120.02,120.1,118.64,119.0,1454527
2025-03-03 10:00:00-05:00,119.0,119.45,118.41,119.08,1057208
2025-03-03 10:05:00-05:00,119.05,119.53,118.35,118.53,964631
2025-03-03 10:10:00-05:00,118.51,119.1,118.33,118.68,825120
2025-03-03 10:15:00-05:00,118.67,118.785,118.3,118.615,756596
2025-03-03 10:20:00-05:00,118.6,119.92,118.53,119.39,1030768
2025-03-03 10:25:00-05:00,119.38,119.55,118.96,119.51,784104
2025-03-03 10:30:00-05:00,119.515,120.03,119.25,119.66,777076
2025-03-03 10:35:00-05:00,119.63,119.74,118.51,119.14,697340
2025-03-03 10:40:00-05:00,119.145,119.59,118.83,119.55,473913
2025-03-03 10:45:00-05:00,119.53,119.54,118.67,118.89,533671
2025-03-03 10:50:00-05:00,118.89,119.26,118.83,119.18,357240
2025-03-03 10:55:00-05:00,119.18,119.24,118.51,118.61,534280
2025-03-03 11:00:00-05:00,118.61,119.09,118.61,118.9,369246
2025-03-03 11:05:00-05:00,118.88,119.3,118.88,119.15,381706
2025-03-03 11:10:00-05:00,119.16,119.48,118.88,119.27,444144
2025-03-03 11:15:00-05:00,119.27,119.64,119.05,119.48,396821
2025-03-03 11:20:00-05:00,119.48,120.19,119.39,120.03,570561
2025-03-03 11:25:00-05:00,120.02,120.05,119.21,119.21,380135
2025-03-03 11:30:00-05:00,119.215,119.49,118.86,118.905,458482
2025-03-03 11:35:00-05:00,118.9,119.19,118.6,118.8,393234
2025-03-03 11:40:00-05:00,118.82,119.16,118.62,118.745,360840
2025-03-03 11:45:00-05:00,118.74,119.26,118.7,119.145,301872
2025-03-03 11:50:00-05:00,119.14,119.4,119.07,119.25,252601
2025-03-03 11:55:00-05:00,119.26,119.41,118.97,119.01,233641
2025-03-03 12:00:00-05:00,119.01,119.02,118.665,118.8,237753
2025-03-03 12:05:00-05:00,118.8,119.03,118.615,118.63,239148
2025-03-03 12:10:00-05:00,118.63,118.79,118.3,118.66,555584
2025-03-03 12:15:00-05:00,118.66,118.985,118.37,118.82,289703
