ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,151.54,152.68,150.5,152.41,268770
2025-03-03 09:35:00-05:00,152.35,153.71,152.12,153.34,57123
2025-03-03 09:40:00-05:00,153.34,154.46,153.34,154.19,44280
2025-03-03 09:45:00-05:00,154.19,154.44,153.47,153.77,31963
2025-03-03 09:50:00-05:00,153.73,154.0,153.63,153.94,25327
2025-03-03 09:55:00-05:00,153.93,154.33,153.83,154.24,28057
2025-03-03 10:00:00-05:00,154.24,154.34,153.88,153.98,34120
2025-03-03 10:05:00-05:00,153.99,154.49,153.91,154.24,32919
2025-03-03 10:10:00-05:00,154.28,154.43,153.9,154.16,25474
2025-03-03 10:15:00-05:00,154.13,154.4,154.0,154.31,20354
2025-03-03 10:20:00-05:00,154.3,154.315,153.77,153.92,23413
2025-03-03 10:25:00-05:00,153.92,154.25,153.775,153.92,20668
2025-03-03 10:30:00-05:00,153.9,154.17,153.6,154.17,16706
2025-03-03 10:35:00-05:00,154.15,154.53,154.11,154.52,14810
2025-03-03 10:40:00-05:00,154.5,154.5,154.22,154.27,14965
2025-03-03 10:45:00-05:00,154.27,154.545,154.26,154.4,14457
2025-03-03 10:50:00-05:00,154.41,154.58,154.17,154.36,16073
2025-03-03 10:55:00-05:00,154.38,154.63,154.29,154.57,11290
2025-03-03 11:00:00-05:00,154.58,154.88,154.3,154.82,25146
2025-03-03 11:05:00-05:00,154.79,154.9,154.74,154.84,14020
2025-03-03 11:10:00-05:00,154.84,155.05,154.82,154.95,16050
2025-03-03 11:15:00-05:00,154.95,155.22,154.93,155.215,12397
2025-03-03 11:20:00-05:00,155.19,155.32,155.11,155.295,15231
2025-03-03 11:25:00-05:00,155.295,155.32,154.99,155.06,13600
2025-03-03 11:30:00-05:00,155.07,155.21,154.91,155.21,10242
2025-03-03 11:35:00-05:00,155.205,155.21,155.05,155.07,12905
2025-03-03 11:40:00-05:00,155.08,155.25,154.94,154.94,10899
2025-03-03 11:45:00-05:00,154.93,154.98,154.75,154.8,18765
2025-03-03 11:50:00-05:00,154.79,155.18,154.79,155.18,13384
2025-03-03 11:55:00-05:00,155.19,155.24,155.1,155.15,7539
2025-03-03 12:00:00-05:00,155.145,155.3,155.04,155.17,10318
2025-03-03 12:05:00-05:00,155.16,155.16,155.0,155.08,6652
2025-03-03 12:10:00-05:00,155.08,155.25,155.08,155.19,10869
2025-03-03 12:15:00-05:00,155.18,155.42,155.18,155.41,9866
2025-03-03 12:20:00-05:00,155.43,155.63,155.43,155.55,13328
2025-03-03 12:25:00-05:00,155.54,155.67,155.49,155.61,10629
2025-03-03 12:30:00-05:00,155.6,155.7,155.58,155.58,11942
2025-03-03 12:35:00-05:00,155.58,155.64,155.5,155.58,9681
2025-03-03 12:40:00-05:00,155.585,155.63,155.46,155.56,11896
2025-03-03 12:45:00-05:00,155.565,155.69,155.565,155.63,9151
2025-03-03 12:50:00-05:00,155.64,155.77,155.63,155.63,7955
2025-03-03 12:55:00-05:00,155.62,155.75,155.57,155.65,9575
2025-03-03 13:00:00-05:00,155.64,155.73,155.55,155.7,8361
2025-03-03 13:05:00-05:00,155.71,155.77,155.61,155.7,8029
2025-03-03 13:10:00-05:00,155.715,155.85,155.69,155.76,10473
2025-03-03 13:15:00-05:00,155.75,155.79,155.57,155.74,10259
2025-03-03 13:20:00-05:00,155.73,155.79,155.56,155.62,13784
2025-03-03 13:25:00-05:00,155.62,155.82,155.59,155.68,12111
2025-03-03 13:30:00-05:00,155.68,155.72,155.45,155.45,13116
2025-03-03 13:35:00-05:00,155.42,155.52,155.23,155.51,13693
2025-03-03 13:40:00-05:00,155.495,155.61,155.33,155.61,10351
2025-03-03 13:45:00-05:00,155.61,155.63,155.27,155.4,27898
2025-03-03 13:50:00-05:00,155.42,155.51,155.35,155.38,12174
2025-03-03 13:55:00-05:00,155.37,155.37,155.26,155.28,8657
2025-03-03 14:00:00-05:00,155.26,155.27,155.1,155.16,14737
2025-03-03 14:05:00-05:00,155.17,155.22,155.1,155.165,13951
2025-03-03 14:10:00-05:00,155.16,155.36,155.15,155.32,11978
2025-03-03 14:15:00-05:00,155.31,155.42,155.31,155.33,10501
2025-03-03 14:20:00-05:00,155.32,155.34,155.12,155.16,16143
2025-03-03 14:25:00-05:00,155.155,155.18,155.12,155.145,9643
2025-03-03 14:30:00-05:00,155.145,155.36,155.145,155.33,17361
2025-03-03 14:35:00-05:00,155.33,155.38,155.28,155.32,8779
2025-03-03 14:40:00-05:00,155.31,155.51,155.275,155.49,9797
2025-03-03 14:45:00-05:00,155.49,155.49,155.41,155.43,7314
2025-03-03 14:50:00-05:00,155.42,155.44,155.16,155.21,17200
2025-03-03 14:55:00-05:00,155.21,155.44,155.16,155.16,23238
2025-03-03 15:00:00-05:00,155.145,155.5,154.97,155.49,27561
2025-03-03 15:05:00-05:00,155.49,155.51,155.24,155.38,23725
2025-03-03 15:10:00-05:00,155.37,155.43,155.26,155.4,19883
2025-03-03 15:15:00-05:00,155.39,155.535,155.18,155.52,20501
2025-03-03 15:20:00-05:00,155.51,155.98,155.41,155.88,23804
2025-03-03 15:25:00-05:00,155.9,155.92,155.35,155.42,23994
2025-03-03 15:30:00-05:00,155.44,155.48,155.3,155.43,29265
2025-03-03 15:35:00-05:00,155.42,155.51,155.27,155.42,17945
2025-03-03 15:40:00-05:00,155.4,155.86,155.31,155.84,23559
