ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,26.37,26.64,26.35,26.565,52683
2025-03-03 09:35:00-05:00,26.565,26.685,26.52,26.665,71079
2025-03-03 09:40:00-05:00,26.665,26.78,26.66,26.7,88386
2025-03-03 09:45:00-05:00,26.695,26.755,26.65,26.75,53580
2025-03-03 09:50:00-05:00,26.745,26.89,26.715,26.89,62918
2025-03-03 09:55:00-05:00,26.88,26.88,26.8,26.84,46159
2025-03-03 10:00:00-05:00,26.83,26.855,26.8,26.845,59318
2025-03-03 10:05:00-05:00,26.845,26.885,26.83,26.86,69162
2025-03-03 10:10:00-05:00,26.855,26.875,26.795,26.825,101191
2025-03-03 10:15:00-05:00,26.825,26.845,26.8,26.845,60855
2025-03-03 10:20:00-05:00,26.845,26.87,26.815,26.83,83121
2025-03-03 10:25:00-05:00,26.83,26.845,26.81,26.825,37062
2025-03-03 10:30:00-05:00,26.83,26.835,26.785,26.795,42036
2025-03-03 10:35:00-05:00,26.79,26.84,26.78,26.79,52487
2025-03-03 10:40:00-05:00,26.795,26.795,26.715,26.715,56845
2025-03-03 10:45:00-05:00,26.71,26.71,26.535,26.55,119254
2025-03-03 10:50:00-05:00,26.545,26.575,26.42,26.445,175467
2025-03-03 10:55:00-05:00,26.45,26.47,26.385,26.41,112898
2025-03-03 11:00:00-05:00,26.415,26.415,26.23,26.355,134975
2025-03-03 11:05:00-05:00,26.355,26.37,26.155,26.17,96743
2025-03-03 11:10:00-05:00,26.165,26.21,26.13,26.16,96654
2025-03-03 11:15:00-05:00,26.165,26.17,26.095,26.115,84218
2025-03-03 11:20:00-05:00,26.115,26.205,26.115,26.205,86288
2025-03-03 11:25:00-05:00,26.205,26.215,26.165,26.205,52272
2025-03-03 11:30:00-05:00,26.21,26.28,26.21,26.26,48943
2025-03-03 11:35:00-05:00,26.265,26.35,26.26,26.28,51230
2025-03-03 11:40:00-05:00,26.29,26.36,26.285,26.315,37437
2025-03-03 11:45:00-05:00,26.315,26.325,26.275,26.295,15084
2025-03-03 11:50:00-05:00,26.295,26.3,26.265,26.285,20318
2025-03-03 11:55:00-05:00,26.285,26.305,26.285,26.295,13451
2025-03-03 12:00:00-05:00,26.3,26.305,26.28,26.28,21288
2025-03-03 12:05:00-05:00,26.28,26.305,26.28,26.3,15389
2025-03-03 12:10:00-05:00,26.305,26.31,26.26,26.265,19086
2025-03-03 12:15:00-05:00,26.265,26.285,26.25,26.275,23729
2025-03-03 12:20:00-05:00,26.28,26.29,26.265,26.265,15037
2025-03-03 12:25:00-05:00,26.265,26.28,26.255,26.275,16469
2025-03-03 12:30:00-05:00,26.28,26.29,26.265,26.29,11564
2025-03-03 12:35:00-05:00,26.295,26.305,26.285,26.305,17366
2025-03-03 12:40:00-05:00,26.305,26.305,26.26,26.27,21293
2025-03-03 12:45:00-05:00,26.275,26.295,26.265,26.285,19467
2025-03-03 12:50:00-05:00,26.28,26.285,26.265,26.265,12222
2025-03-03 12:55:00-05:00,26.265,26.265,26.22,26.22,23492
2025-03-03 13:00:00-05:00,26.215,26.215,26.175,26.18,26621
2025-03-03 13:05:00-05:00,26.175,26.185,26.16,26.185,18858
2025-03-03 13:10:00-05:00,26.185,26.235,26.185,26.23,20661
2025-03-03 13:15:00-05:00,26.22,26.235,26.205,26.215,28023
2025-03-03 13:20:00-05:00,26.215,26.22,26.195,26.205,15970
2025-03-03 13:25:00-05:00,26.2,26.2,26.15,26.155,17382
2025-03-03 13:30:00-05:00,26.15,26.16,26.12,26.13,24747
2025-03-03 13:35:00-05:00,26.125,26.165,26.12,26.165,20075
2025-03-03 13:40:00-05:00,26.165,26.165,26.13,26.135,13794
2025-03-03 13:45:00-05:00,26.135,26.135,26.08,26.08,45492
2025-03-03 13:50:00-05:00,26.08,26.095,26.065,26.065,13840
2025-03-03 13:55:00-05:00,26.065,26.075,26.045,26.07,29119
2025-03-03 14:00:00-05:00,26.075,26.18,26.075,26.165,30845
2025-03-03 14:05:00-05:00,26.16,26.16,26.1,26.105,33007
2025-03-03 14:10:00-05:00,26.105,26.11,26.095,26.095,31183
2025-03-03 14:15:00-05:00,26.095,26.095,26.08,26.085,17815
2025-03-03 14:20:00-05:00,26.085,26.085,26.07,26.075,17888
2025-03-03 14:25:00-05:00,26.075,26.08,26.07,26.07,16928
2025-03-03 14:30:00-05:00,26.07,26.085,26.065,26.065,22495
2025-03-03 14:35:00-05:00,26.065,26.065,26.045,26.065,22795
2025-03-03 14:40:00-05:00,26.065,26.08,26.055,26.065,30521
2025-03-03 14:45:00-05:00,26.065,26.065,26.035,26.045,31567
2025-03-03 14:50:00-05:00,26.045,26.045,26.015,26.015,32958
2025-03-03 14:55:00-05:00,26.015,26.045,26.015,26.035,63961
2025-03-03 15:00:00-05:00,26.03,26.03,25.995,26.015,61315
2025-03-03 15:05:00-05:00,26.015,26.035,26.005,26.035,19620
2025-03-03 15:10:00-05:00,26.035,26.035,25.975,26.03,59724
2025-03-03 15:15:00-05:00,26.035,26.065,26.015,26.055,28432
2025-03-03 15:20:00-05:00,26.055,26.095,26.055,26.08,32859
2025-03-03 15:25:00-05:00,26.08,26.085,26.03,26.045,31422
2025-03-03 15:30:00-05:00,26.045,26.075,26.045,26.075,38236
