ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,282.22,283.37,282.1,282.92,2496
2025-03-03 09:35:00-05:00,282.85,284.37,282.7,283.905,2949
2025-03-03 09:40:00-05:00,284.05,284.83,283.1,283.15,3006
2025-03-03 09:45:00-05:00,282.705,283.42,282.705,283.33,1449
2025-03-03 09:50:00-05:00,283.42,283.705,282.57,283.28,1487
2025-03-03 09:55:00-05:00,283.68,283.82,283.39,283.72,1917
2025-03-03 10:00:00-05:00,283.62,283.95,282.49,283.0,2817
2025-03-03 10:05:00-05:00,283.2,283.56,282.97,283.45,3404
2025-03-03 10:10:00-05:00,283.37,283.37,282.74,282.88,2334
2025-03-03 10:15:00-05:00,282.83,284.365,282.83,284.365,1898
2025-03-03 10:20:00-05:00,284.52,284.76,283.6,283.65,2713
2025-03-03 10:25:00-05:00,283.78,283.89,283.47,283.47,5235
2025-03-03 10:30:00-05:00,283.48,283.71,283.32,283.56,968
2025-03-03 10:35:00-05:00,283.54,283.89,283.4,283.58,5876
2025-03-03 10:40:00-05:00,283.545,284.11,283.42,284.11,9181
2025-03-03 10:45:00-05:00,284.11,284.165,283.48,283.535,4167
2025-03-03 10:50:00-05:00,283.51,283.65,283.29,283.42,1496
2025-03-03 10:55:00-05:00,283.44,283.71,283.31,283.36,3415
2025-03-03 11:00:00-05:00,283.34,283.61,282.9,283.115,2333
2025-03-03 11:05:00-05:00,283.27,283.35,282.56,282.56,2809
2025-03-03 11:10:00-05:00,282.78,283.17,282.69,283.145,4714
2025-03-03 11:15:00-05:00,283.18,283.34,282.94,283.21,1915
2025-03-03 11:20:00-05:00,283.15,283.5,283.09,283.5,2842
2025-03-03 11:25:00-05:00,283.375,283.57,283.14,283.14,4717
2025-03-03 11:30:00-05:00,283.21,283.38,283.14,283.14,1957
2025-03-03 11:35:00-05:00,283.14,283.41,283.14,283.2,1191
2025-03-03 11:40:00-05:00,283.21,283.28,282.8,282.8,3206
2025-03-03 11:45:00-05:00,282.88,283.19,282.55,283.19,2250
2025-03-03 11:50:00-05:00,283.27,283.275,283.02,283.08,821
2025-03-03 11:55:00-05:00,283.18,283.45,283.07,283.45,3829
2025-03-03 12:00:00-05:00,283.32,283.6,283.27,283.6,2241
2025-03-03 12:05:00-05:00,283.705,283.91,283.64,283.75,6509
2025-03-03 12:10:00-05:00,283.93,284.23,283.74,284.06,4634
2025-03-03 12:15:00-05:00,284.05,284.05,283.67,283.71,2068
2025-03-03 12:20:00-05:00,283.7,284.05,283.42,283.99,2584
2025-03-03 12:25:00-05:00,283.99,284.79,283.88,284.39,2873
2025-03-03 12:30:00-05:00,284.44,284.59,284.44,284.44,297
2025-03-03 12:35:00-05:00,284.39,284.52,284.28,284.52,1791
2025-03-03 12:40:00-05:00,284.62,284.62,284.1,284.34,2604
2025-03-03 12:45:00-05:00,284.37,284.61,284.19,284.61,1636
2025-03-03 12:50:00-05:00,284.46,284.46,284.26,284.26,955
2025-03-03 12:55:00-05:00,284.25,284.71,284.0,284.71,2513
2025-03-03 13:00:00-05:00,284.64,284.82,284.61,284.82,1070
2025-03-03 13:05:00-05:00,284.675,284.72,284.35,284.68,1766
2025-03-03 13:10:00-05:00,284.53,285.12,284.52,284.74,3183
2025-03-03 13:15:00-05:00,284.84,284.99,284.44,284.71,2128
2025-03-03 13:20:00-05:00,284.72,284.78,284.31,284.53,2281
2025-03-03 13:25:00-05:00,284.52,284.61,284.31,284.32,3987
2025-03-03 13:30:00-05:00,284.465,284.68,284.32,284.35,3198
2025-03-03 13:35:00-05:00,284.415,284.75,284.415,284.575,1347
2025-03-03 13:40:00-05:00,284.57,285.01,284.44,285.01,2313
2025-03-03 13:45:00-05:00,284.91,285.03,284.47,284.73,3639
2025-03-03 13:50:00-05:00,284.68,284.89,284.36,284.46,2272
2025-03-03 13:55:00-05:00,284.45,284.7,284.26,284.665,1755
2025-03-03 14:00:00-05:00,284.54,284.85,284.33,284.7,2027
2025-03-03 14:05:00-05:00,284.74,284.74,284.45,284.48,2685
2025-03-03 14:10:00-05:00,284.5,284.72,284.37,284.49,1782
2025-03-03 14:15:00-05:00,284.49,284.63,284.35,284.41,1488
2025-03-03 14:20:00-05:00,284.4,284.53,284.17,284.25,2415
2025-03-03 14:25:00-05:00,284.16,284.23,284.01,284.22,1981
2025-03-03 14:30:00-05:00,284.06,284.71,284.05,284.45,3490
2025-03-03 14:35:00-05:00,284.51,284.88,284.38,284.82,2243
2025-03-03 14:40:00-05:00,284.875,285.07,284.82,284.9,1049
2025-03-03 14:45:00-05:00,284.77,284.77,284.49,284.75,2056
2025-03-03 14:50:00-05:00,284.745,284.93,284.19,284.44,13033
2025-03-03 14:55:00-05:00,284.32,284.9,284.2,284.49,8330
2025-03-03 15:00:00-05:00,284.43,284.58,283.97,284.14,9608
2025-03-03 15:05:00-05:00,284.11,284.38,283.89,284.38,3856
2025-03-03 15:10:00-05:00,284.25,284.32,283.59,283.97,6093
2025-03-03 15:15:00-05:00,284.02,284.42,283.97,284.42,6238
2025-03-03 15:20:00-05:00,284.25,285.19,284.21,284.91,7499
2025-03-03 15:25:00-05:00,284.81,284.87,283.88,283.88,5600
2025-03-03 15:30:00-05:00,283.99,284.05,283.66,283.73,9097
2025-03-03 15:35:00-05:00,283.805,284.08,283.43,283.85,6353
2025-03-03 15:40:00-05:00,283.93,284.89,283.86,284.76,5609
2025-03-03 15:45:00-05:00,284.71,285.23,284.59,284.96,5456
2025-03-03 15:50:00-05:00,284.97,284.98,284.51,284.96,10806
2025-03-03 15:55:00-05:00,285.09,285.28,284.85,285.28,18358
2025-03-04 09:30:00-05:00,285.95,286.83,284.71,285.675,2414
2025-03-04 09:35:00-05:00,286.18,286.18,284.47,286.03,2203
2025-03-04 09:40:00-05:00,285.695,287.35,285.62,286.37,8026
2025-03-04 09:45:00-05:00,286.6,286.72,285.66,285.91,4544
2025-03-04 09:50:00-05:00,285.88,286.2,284.54,284.7,3512
2025-03-04 09:55:00-05:00,284.4,284.5,283.5,284.48,2411
2025-03-04 10:00:00-05:00,284.26,285.39,284.02,285.28,8366
2025-03-04 10:05:00-05:00,285.28,285.58,284.39,284.55,5716
2025-03-04 10:10:00-05:00,284.51,284.85,284.13,284.27,4919
2025-03-04 10:15:00-05:00,284.26,284.27,282.7,282.87,11881
2025-03-04 10:20:00-05:00,283.005,283.505,282.22,283.31,5375
2025-03-04 10:25:00-05:00,283.18,283.72,283.15,283.5,2394
2025-03-04 10:30:00-05:00,283.57,284.07,283.48,283.74,3792
2025-03-04 10:35:00-05:00,283.88,283.95,283.32,283.32,8167
2025-03-04 10:40:00-05:00,283.42,283.465,282.96,283.42,2349
2025-03-04 10:45:00-05:00,283.34,283.67,282.85,283.39,7674
2025-03-04 10:50:00-05:00,283.39,283.51,282.71,283.27,2897
2025-03-04 10:55:00-05:00,283.41,284.09,283.31,283.69,2763
2025-03-04 11:00:00-05:00,283.83,284.01,283.44,283.86,2811
2025-03-04 11:05:00-05:00,283.88,284.74,283.88,284.255,3487
2025-03-04 11:10:00-05:00,284.37,285.38,284.37,285.23,5271
2025-03-04 11:15:00-05:00,285.27,285.52,284.86,284.99,4777
2025-03-04 11:20:00-05:00,285.07,285.07,284.15,284.28,3127
2025-03-04 11:25:00-05:00,284.22,284.49,284.0,284.44,2700
2025-03-04 11:30:00-05:00,284.53,284.76,284.21,284.38,3067
2025-03-04 11:35:00-05:00,284.46,284.92,284.35,284.38,1292
2025-03-04 11:40:00-05:00,284.67,285.0,284.67,285.0,1895
2025-03-04 11:45:00-05:00,285.01,285.17,284.56,284.91,4554
2025-03-04 11:50:00-05:00,284.85,284.89,284.48,284.655,1087
2025-03-04 11:55:00-05:00,284.81,284.89,284.69,284.69,750
2025-03-04 12:00:00-05:00,284.66,285.81,284.53,285.72,4999
2025-03-04 12:05:00-05:00,285.72,285.86,285.23,285.23,3709
2025-03-04 12:10:00-05:00,285.36,285.98,285.36,285.77,4341
2025-03-04 12:15:00-05:00,285.835,286.08,285.835,285.97,2813
2025-03-04 12:20:00-05:00,285.93,285.93,285.51,285.84,1875
2025-03-04 12:25:00-05:00,285.87,285.93,285.48,285.505,2374
2025-03-04 12:30:00-05:00,285.51,285.88,285.1,285.68,4420
2025-03-04 12:35:00-05:00,285.53,285.695,285.41,285.5,2953
2025-03-04 12:40:00-05:00,285.57,285.66,285.21,285.38,4831
2025-03-04 12:45:00-05:00,285.38,285.38,284.78,284.845,2524
2025-03-04 12:50:00-05:00,284.6,284.94,284.05,284.76,4253
2025-03-04 12:55:00-05:00,284.77,284.99,284.37,284.69,4501
2025-03-04 13:00:00-05:00,284.71,284.75,284.37,284.46,4309
2025-03-04 13:05:00-05:00,284.47,285.03,284.3,284.94,1752
2025-03-04 13:10:00-05:00,284.93,285.19,284.81,285.12,1489
2025-03-04 13:15:00-05:00,285.06,285.18,284.59,285.07,2100
2025-03-04 13:20:00-05:00,284.92,284.92,284.34,284.4,3624
2025-03-04 13:25:00-05:00,284.3,284.3,283.765,283.89,2063
2025-03-04 13:30:00-05:00,283.825,284.0,283.65,283.84,1631
2025-03-04 13:35:00-05:00,283.85,284.01,283.61,283.92,468
2025-03-04 13:40:00-05:00,284.01,284.18,283.86,284.02,563
2025-03-04 13:45:00-05:00,284.18,284.46,283.98,284.35,4540
2025-03-04 13:50:00-05:00,284.24,284.28,283.98,283.98,4082
2025-03-04 13:55:00-05:00,283.95,284.15,283.83,283.89,1313
2025-03-04 14:00:00-05:00,283.98,284.67,283.93,284.57,727
2025-03-04 14:05:00-05:00,284.7,284.76,284.37,284.71,2783
2025-03-04 14:10:00-05:00,284.71,284.72,284.35,284.55,2062
2025-03-04 14:15:00-05:00,284.56,284.86,284.45,284.65,2048
2025-03-04 14:20:00-05:00,284.58,285.3,284.45,284.91,1921
2025-03-04 14:25:00-05:00,284.91,284.95,283.88,283.94,2014
2025-03-04 14:30:00-05:00,284.01,284.06,283.59,283.83,1056
2025-03-04 14:35:00-05:00,283.93,283.98,283.75,283.98,2257
2025-03-04 14:40:00-05:00,283.98,284.17,283.54,283.65,1849
2025-03-04 14:45:00-05:00,283.705,284.22,283.705,284.12,919
2025-03-04 14:50:00-05:00,284.17,284.46,284.04,284.22,1324
2025-03-04 14:55:00-05:00,284.2,284.48,284.2,284.47,683
2025-03-04 15:00:00-05:00,284.49,284.54,283.89,283.89,1374
2025-03-04 15:05:00-05:00,283.87,284.13,283.76,284.04,1791
2025-03-04 15:10:00-05:00,283.95,284.61,283.89,284.4,5088
2025-03-04 15:15:00-05:00,284.4,284.78,284.4,284.61,1944
2025-03-04 15:20:00-05:00,284.63,285.38,284.62,285.25,2217
2025-03-04 15:25:00-05:00,285.255,285.255,284.61,284.655,6885
2025-03-04 15:30:00-05:00,284.67,284.7,282.97,283.23,15237
2025-03-04 15:35:00-05:00,283.22,283.61,283.05,283.61,3759
2025-03-04 15:40:00-05:00,283.63,283.84,283.23,283.84,4433
2025-03-04 15:45:00-05:00,283.87,283.87,283.03,283.21,4354
2025-03-04 15:50:00-05:00,283.04,283.225,281.71,283.215,9165
2025-03-04 15:55:00-05:00,283.23,283.43,282.81,283.17,37257
2025-03-05 09:30:00-05:00,281.1,283.01,280.88,281.42,1773
2025-03-05 09:35:00-05:00,281.41,283.25,281.27,283.055,3802
2025-03-05 09:40:00-05:00,283.07,283.325,281.8,282.18,4359
2025-03-05 09:45:00-05:00,282.11,282.63,281.72,281.72,2296
2025-03-05 09:50:00-05:00,281.69,282.14,281.21,281.46,1556
2025-03-05 09:55:00-05:00,281.38,281.76,281.25,281.39,995
2025-03-05 10:00:00-05:00,281.7,282.11,281.33,281.84,2777
2025-03-05 10:05:00-05:00,282.04,282.72,281.98,282.53,2207
2025-03-05 10:10:00-05:00,282.48,282.71,282.15,282.45,1652
2025-03-05 10:15:00-05:00,282.36,282.69,281.86,282.08,2187
2025-03-05 10:20:00-05:00,281.94,282.37,281.76,281.85,1840
2025-03-05 10:25:00-05:00,281.825,281.88,281.12,281.48,3048
2025-03-05 10:30:00-05:00,281.29,281.7,281.23,281.61,2383
2025-03-05 10:35:00-05:00,281.59,282.12,281.59,281.9,1779
2025-03-05 10:40:00-05:00,281.9,282.23,281.65,281.65,1158
2025-03-05 10:45:00-05:00,281.84,281.925,281.39,281.66,764
2025-03-05 10:50:00-05:00,281.615,281.615,281.13,281.34,3709
2025-03-05 10:55:00-05:00,281.34,281.43,281.08,281.155,2530
2025-03-05 11:00:00-05:00,281.18,281.28,280.12,280.43,3657
2025-03-05 11:05:00-05:00,280.46,280.54,279.69,279.69,6048
2025-03-05 11:10:00-05:00,279.71,279.91,279.18,279.72,4046
2025-03-05 11:15:00-05:00,279.77,279.78,279.44,279.57,3792
2025-03-05 11:20:00-05:00,279.57,280.0,279.57,279.82,4460
2025-03-05 11:25:00-05:00,279.8,280.08,279.55,280.02,3412
2025-03-05 11:30:00-05:00,279.98,280.51,279.91,280.1,2504
2025-03-05 11:35:00-05:00,280.06,280.47,280.04,280.38,1899
2025-03-05 11:40:00-05:00,280.3,280.46,279.97,280.08,438
2025-03-05 11:45:00-05:00,280.15,280.27,279.95,280.03,1446
2025-03-05 11:50:00-05:00,279.94,280.26,279.91,280.21,2483
2025-03-05 11:55:00-05:00,280.24,281.1,279.85,280.685,4781
2025-03-05 12:00:00-05:00,280.77,281.41,280.77,280.98,1930
2025-03-05 12:05:00-05:00,280.98,281.38,280.98,281.27,2035
2025-03-05 12:10:00-05:00,281.295,281.44,281.17,281.27,1536
2025-03-05 12:15:00-05:00,281.32,281.42,281.18,281.18,573
2025-03-05 12:20:00-05:00,281.31,281.74,281.31,281.66,1636
2025-03-05 12:25:00-05:00,281.75,282.27,281.75,282.27,1032
2025-03-05 12:30:00-05:00,282.29,282.29,282.12,282.21,1397
2025-03-05 12:35:00-05:00,282.16,282.17,281.93,282.17,1163
2025-03-05 12:40:00-05:00,282.12,282.12,281.77,281.79,637
2025-03-05 12:45:00-05:00,281.86,282.25,281.86,282.16,1501
2025-03-05 12:50:00-05:00,282.18,282.39,282.13,282.19,1645
2025-03-05 12:55:00-05:00,282.2,282.24,281.99,282.1,843
2025-03-05 13:00:00-05:00,282.2,282.43,282.01,282.03,1259
2025-03-05 13:05:00-05:00,282.03,282.42,281.44,281.44,3444
2025-03-05 13:10:00-05:00,281.47,281.78,281.35,281.35,2466
2025-03-05 13:15:00-05:00,281.47,281.55,281.27,281.36,1949
2025-03-05 13:20:00-05:00,281.36,281.49,281.29,281.44,443
2025-03-05 13:25:00-05:00,281.51,281.62,281.16,281.16,3001
2025-03-05 13:30:00-05:00,281.22,281.22,280.73,280.93,2598
2025-03-05 13:35:00-05:00,280.93,281.05,280.67,281.01,1616
2025-03-05 13:40:00-05:00,280.98,281.08,280.73,281.0,1645
2025-03-05 13:45:00-05:00,281.01,281.5,281.01,281.5,1532
2025-03-05 13:50:00-05:00,281.55,281.82,281.53,281.62,1627
2025-03-05 13:55:00-05:00,281.62,281.97,281.49,281.94,1481
2025-03-05 14:00:00-05:00,281.88,282.08,281.69,282.01,1137
2025-03-05 14:05:00-05:00,281.99,282.39,281.97,282.35,1548
2025-03-05 14:10:00-05:00,282.375,282.38,282.1,282.36,1034
2025-03-05 14:15:00-05:00,282.38,282.49,281.68,281.8,1496
2025-03-05 14:20:00-05:00,281.61,282.12,281.54,282.12,1146
2025-03-05 14:25:00-05:00,282.06,282.18,281.92,281.95,3243
