ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,173.58,174.75,173.39,174.27,13292
2025-03-03 09:35:00-05:00,174.28,175.32,173.97,175.26,13159
2025-03-03 09:40:00-05:00,175.28,175.8,175.27,175.6,8454
2025-03-03 09:45:00-05:00,175.68,175.87,175.28,175.51,7352
2025-03-03 09:50:00-05:00,175.6,175.9,175.36,175.87,6495
2025-03-03 09:55:00-05:00,175.83,176.27,175.82,176.06,11306
2025-03-03 10:00:00-05:00,176.04,176.23,175.65,175.71,14395
2025-03-03 10:05:00-05:00,175.66,176.0,175.39,175.53,8401
2025-03-03 10:10:00-05:00,175.61,175.63,174.94,175.165,7891
2025-03-03 10:15:00-05:00,175.11,175.58,174.94,175.38,5086
2025-03-03 10:20:00-05:00,175.4,175.44,174.89,175.04,4677
2025-03-03 10:25:00-05:00,175.0,175.38,174.94,175.09,5365
2025-03-03 10:30:00-05:00,175.07,175.21,174.8,175.15,7335
2025-03-03 10:35:00-05:00,175.11,175.45,175.1,175.38,4368
2025-03-03 10:40:00-05:00,175.34,175.46,175.23,175.37,5158
2025-03-03 10:45:00-05:00,175.37,175.42,175.22,175.22,3145
2025-03-03 10:50:00-05:00,175.21,175.39,174.94,175.08,4064
2025-03-03 10:55:00-05:00,175.13,175.27,175.06,175.26,3699
2025-03-03 11:00:00-05:00,175.235,175.25,174.88,175.24,5877
2025-03-03 11:05:00-05:00,175.24,175.29,175.06,175.17,3541
2025-03-03 11:10:00-05:00,175.18,175.42,175.18,175.29,4632
2025-03-03 11:15:00-05:00,175.27,175.47,175.27,175.425,4585
2025-03-03 11:20:00-05:00,175.4,175.41,175.22,175.405,4944
2025-03-03 11:25:00-05:00,175.38,175.38,174.94,175.0,4161
2025-03-03 11:30:00-05:00,174.94,175.08,174.82,175.06,6702
2025-03-03 11:35:00-05:00,175.04,175.08,174.92,174.95,3287
2025-03-03 11:40:00-05:00,174.96,175.0,174.82,174.82,5010
2025-03-03 11:45:00-05:00,174.8,174.91,174.76,174.87,2623
2025-03-03 11:50:00-05:00,174.88,174.97,174.83,174.97,3352
2025-03-03 11:55:00-05:00,174.98,175.13,174.97,175.05,2800
2025-03-03 12:00:00-05:00,175.06,175.145,174.91,175.065,2349
2025-03-03 12:05:00-05:00,175.07,175.09,175.0,175.09,3175
2025-03-03 12:10:00-05:00,175.1,175.18,174.99,174.99,3975
2025-03-03 12:15:00-05:00,174.98,175.04,174.88,174.93,10772
2025-03-03 12:20:00-05:00,174.97,175.08,174.87,174.91,5406
2025-03-03 12:25:00-05:00,174.885,174.97,174.8,174.9,6431
