ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,192.405,193.065,192.405,193.065,553
2025-03-03 09:35:00-05:00,193.08,194.13,193.08,194.01,1091
2025-03-03 09:40:00-05:00,194.04,194.21,193.64,193.64,299
2025-03-03 09:45:00-05:00,193.54,194.155,193.3,193.75,3144
2025-03-03 09:50:00-05:00,193.78,193.92,193.59,193.89,686
2025-03-03 09:55:00-05:00,193.785,194.02,193.67,193.68,1910
2025-03-03 10:00:00-05:00,193.57,193.6,192.57,193.6,1832
2025-03-03 10:05:00-05:00,193.52,193.65,193.27,193.3,581
2025-03-03 10:10:00-05:00,193.2,193.77,193.135,193.22,872
2025-03-03 10:15:00-05:00,193.4,193.59,193.01,193.13,833
2025-03-03 10:20:00-05:00,193.22,193.62,193.22,193.57,697
2025-03-03 10:25:00-05:00,193.605,193.64,193.27,193.64,795
2025-03-03 10:30:00-05:00,193.65,193.84,193.39,193.53,1259
2025-03-03 10:35:00-05:00,193.535,193.77,193.42,193.6,1047
2025-03-03 10:40:00-05:00,193.52,194.14,193.52,194.11,1412
2025-03-03 10:45:00-05:00,194.16,194.16,193.51,193.55,2404
2025-03-03 10:50:00-05:00,193.67,193.915,193.61,193.915,1286
2025-03-03 10:55:00-05:00,193.9,193.9,193.31,193.44,2571
2025-03-03 11:00:00-05:00,193.5,193.74,193.33,193.475,1480
2025-03-03 11:05:00-05:00,193.57,193.62,193.31,193.43,767
2025-03-03 11:10:00-05:00,193.43,193.52,193.01,193.375,1119
2025-03-03 11:15:00-05:00,193.32,193.405,193.19,193.235,415
2025-03-03 11:20:00-05:00,193.24,193.33,193.01,193.01,826
2025-03-03 11:25:00-05:00,193.08,193.08,192.52,192.52,1111
2025-03-03 11:30:00-05:00,192.59,192.7,192.25,192.27,2033
2025-03-03 11:35:00-05:00,192.37,192.44,192.18,192.18,650
2025-03-03 11:40:00-05:00,192.24,192.3,191.88,191.88,709
