ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,158.99,159.34,158.13,158.31,124262
2025-03-03 09:35:00-05:00,158.41,158.59,157.4,157.88,17854
2025-03-03 09:40:00-05:00,157.86,158.08,157.64,157.95,37371
2025-03-03 09:45:00-05:00,157.89,158.49,157.67,158.28,29149
2025-03-03 09:50:00-05:00,158.18,158.54,158.12,158.21,24894
2025-03-03 09:55:00-05:00,158.25,158.39,157.55,157.77,24402
2025-03-03 10:00:00-05:00,157.71,158.35,156.88,158.23,40597
2025-03-03 10:05:00-05:00,158.28,158.53,157.53,157.53,23440
2025-03-03 10:10:00-05:00,157.5,158.15,157.46,157.62,20762
2025-03-03 10:15:00-05:00,157.54,157.67,157.26,157.62,12274
2025-03-03 10:20:00-05:00,157.6,158.84,157.6,158.48,14520
2025-03-03 10:25:00-05:00,158.58,159.72,158.56,159.72,17673
2025-03-03 10:30:00-05:00,159.68,160.07,159.6,159.84,23763
2025-03-03 10:35:00-05:00,159.75,159.75,158.91,159.33,18301
2025-03-03 10:40:00-05:00,159.3,159.83,159.12,159.81,11969
2025-03-03 10:45:00-05:00,159.83,159.83,159.02,159.25,14064
2025-03-03 10:50:00-05:00,159.29,159.56,159.11,159.46,13122
2025-03-03 10:55:00-05:00,159.475,159.48,159.1,159.1,7682
2025-03-03 11:00:00-05:00,159.2,159.69,159.19,159.32,18723
2025-03-03 11:05:00-05:00,159.38,159.51,158.91,158.96,16293
2025-03-03 11:10:00-05:00,158.99,159.14,158.53,158.76,11783
2025-03-03 11:15:00-05:00,158.83,158.88,158.4,158.82,16698
2025-03-03 11:20:00-05:00,158.845,159.43,158.79,159.355,11301
2025-03-03 11:25:00-05:00,159.32,159.33,158.38,158.45,10854
2025-03-03 11:30:00-05:00,158.53,158.56,158.24,158.26,18314
2025-03-03 11:35:00-05:00,158.3,158.48,157.98,158.16,8328
2025-03-03 11:40:00-05:00,158.17,158.21,157.72,157.9,14979
2025-03-03 11:45:00-05:00,157.895,158.45,157.895,158.44,11095
2025-03-03 11:50:00-05:00,158.48,158.82,158.48,158.76,12718
2025-03-03 11:55:00-05:00,158.81,159.0,158.76,158.8,10347
2025-03-03 12:00:00-05:00,158.79,158.86,158.65,158.81,8030
2025-03-03 12:05:00-05:00,158.805,159.115,158.8,158.995,7375
2025-03-03 12:10:00-05:00,159.04,159.05,158.81,158.87,7779
2025-03-03 12:15:00-05:00,158.87,159.05,158.7,158.97,9358
2025-03-03 12:20:00-05:00,159.0,159.06,158.92,158.97,8341
2025-03-03 12:25:00-05:00,158.97,159.05,158.66,158.86,6831
2025-03-03 12:30:00-05:00,158.885,158.93,158.61,158.61,8798
2025-03-03 12:35:00-05:00,158.68,158.7,158.38,158.59,5661
2025-03-03 12:40:00-05:00,158.59,158.95,158.55,158.74,9172
2025-03-03 12:45:00-05:00,158.69,158.69,158.26,158.48,7262
2025-03-03 12:50:00-05:00,158.45,158.49,158.07,158.1,8803
2025-03-03 12:55:00-05:00,158.07,158.14,157.69,157.86,7049
2025-03-03 13:00:00-05:00,157.82,157.86,157.34,157.41,14210
2025-03-03 13:05:00-05:00,157.4,157.42,156.72,156.76,22000
2025-03-03 13:10:00-05:00,156.805,156.805,156.34,156.48,17696
2025-03-03 13:15:00-05:00,156.49,157.0,156.43,156.83,10892
2025-03-03 13:20:00-05:00,156.82,157.04,156.6,156.9,9852
2025-03-03 13:25:00-05:00,156.9,156.9,156.18,156.25,10978
2025-03-03 13:30:00-05:00,156.25,156.46,155.93,156.03,15062
2025-03-03 13:35:00-05:00,156.07,156.3,155.66,155.7,15842
2025-03-03 13:40:00-05:00,155.68,156.14,155.64,156.01,12914
2025-03-03 13:45:00-05:00,156.01,156.96,155.88,156.4,18754
2025-03-03 13:50:00-05:00,156.455,156.71,156.295,156.45,16290
2025-03-03 13:55:00-05:00,156.4,156.66,156.34,156.66,11836
2025-03-03 14:00:00-05:00,156.58,156.96,156.56,156.76,12701
2025-03-03 14:05:00-05:00,156.77,156.85,156.58,156.72,10327
2025-03-03 14:10:00-05:00,156.71,156.8,156.52,156.55,16236
2025-03-03 14:15:00-05:00,156.62,156.65,156.17,156.23,9247
2025-03-03 14:20:00-05:00,156.3,156.57,156.28,156.5,8642
2025-03-03 14:25:00-05:00,156.515,156.515,156.255,156.35,8836
2025-03-03 14:30:00-05:00,156.365,156.85,156.365,156.72,15872
2025-03-03 14:35:00-05:00,156.7,156.81,156.41,156.725,13984
2025-03-03 14:40:00-05:00,156.725,157.27,156.725,157.14,14829
2025-03-03 14:45:00-05:00,157.05,157.07,156.34,156.39,11785
2025-03-03 14:50:00-05:00,156.43,156.56,155.36,155.62,21214
2025-03-03 14:55:00-05:00,155.62,155.78,155.2,155.28,28856
2025-03-03 15:00:00-05:00,155.275,155.275,154.44,154.63,25139
2025-03-03 15:05:00-05:00,154.59,154.89,154.05,154.065,23368
2025-03-03 15:10:00-05:00,154.09,154.23,153.35,153.71,32168
2025-03-03 15:15:00-05:00,153.73,154.1,153.46,153.46,34150
2025-03-03 15:20:00-05:00,153.51,153.61,152.71,152.81,38507
2025-03-03 15:25:00-05:00,152.87,153.1,152.71,152.79,24509
2025-03-03 15:30:00-05:00,152.8,153.42,152.77,152.97,29406
2025-03-03 15:35:00-05:00,152.97,153.15,152.69,152.81,31758
2025-03-03 15:40:00-05:00,152.85,152.94,152.51,152.7,37630
2025-03-03 15:45:00-05:00,152.74,153.66,152.74,153.4,42752
2025-03-03 15:50:00-05:00,153.37,153.79,153.11,153.58,82485
2025-03-03 15:55:00-05:00,153.66,153.7,153.0,153.66,508697
2025-03-04 09:30:00-05:00,155.27,155.41,153.5,154.44,165002
2025-03-04 09:35:00-05:00,154.43,155.85,154.01,154.8,31959
2025-03-04 09:40:00-05:00,154.815,155.21,152.8,153.58,59541
2025-03-04 09:45:00-05:00,153.63,154.87,153.22,153.94,35293
2025-03-04 09:50:00-05:00,154.01,154.08,153.27,153.79,24272
2025-03-04 09:55:00-05:00,153.91,154.27,153.0,153.0,39419
2025-03-04 10:00:00-05:00,152.97,152.97,151.82,152.16,63821
2025-03-04 10:05:00-05:00,152.23,152.37,151.365,151.69,40117
2025-03-04 10:10:00-05:00,151.72,152.64,151.48,152.21,30071
2025-03-04 10:15:00-05:00,152.11,152.3,151.6,151.81,27357
2025-03-04 10:20:00-05:00,151.82,152.56,151.705,152.32,33777
2025-03-04 10:25:00-05:00,152.24,152.8,152.0,152.455,38171
2025-03-04 10:30:00-05:00,152.38,152.9,152.23,152.69,28501
2025-03-04 10:35:00-05:00,152.62,152.79,151.91,152.065,26488
2025-03-04 10:40:00-05:00,152.01,152.5,151.81,152.43,25734
2025-03-04 10:45:00-05:00,152.39,152.77,152.02,152.48,31228
2025-03-04 10:50:00-05:00,152.545,152.67,152.09,152.3,17553
2025-03-04 10:55:00-05:00,152.27,152.6,152.18,152.44,15660
2025-03-04 11:00:00-05:00,152.42,152.74,151.94,152.09,14285
2025-03-04 11:05:00-05:00,152.15,152.26,151.56,151.64,12049
2025-03-04 11:10:00-05:00,151.76,152.48,151.6,152.48,16150
2025-03-04 11:15:00-05:00,152.36,152.61,151.87,151.87,13894
2025-03-04 11:20:00-05:00,151.96,152.4,151.91,152.06,15970
2025-03-04 11:25:00-05:00,151.97,152.04,151.69,151.95,22959
2025-03-04 11:30:00-05:00,151.93,152.41,151.93,152.2,20020
2025-03-04 11:35:00-05:00,152.18,152.71,152.13,152.4,21448
2025-03-04 11:40:00-05:00,152.45,152.8,152.45,152.61,17802
2025-03-04 11:45:00-05:00,152.64,153.02,152.56,152.96,16621
2025-03-04 11:50:00-05:00,152.94,153.2,152.74,153.08,8988
2025-03-04 11:55:00-05:00,153.03,153.68,152.99,153.3,10972
2025-03-04 12:00:00-05:00,153.32,153.48,153.0,153.37,9712
2025-03-04 12:05:00-05:00,153.37,153.49,153.07,153.32,6780
2025-03-04 12:10:00-05:00,153.27,153.6,153.24,153.32,8536
2025-03-04 12:15:00-05:00,153.35,153.55,153.28,153.46,9169
2025-03-04 12:20:00-05:00,153.46,153.9,153.34,153.73,23591
2025-03-04 12:25:00-05:00,153.765,154.58,153.765,154.19,15120
2025-03-04 12:30:00-05:00,154.16,154.26,153.8,154.11,10725
2025-03-04 12:35:00-05:00,154.11,154.75,154.1,154.62,13469
2025-03-04 12:40:00-05:00,154.56,154.81,154.26,154.48,14207
2025-03-04 12:45:00-05:00,154.46,154.94,154.45,154.72,17835
2025-03-04 12:50:00-05:00,154.68,154.68,154.18,154.39,11369
2025-03-04 12:55:00-05:00,154.425,154.51,154.07,154.205,10667
