ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,702.06,704.02,699.74,701.795,5304
2025-03-03 09:35:00-05:00,701.715,701.715,697.06,698.57,1084
2025-03-03 09:40:00-05:00,698.76,699.33,696.62,699.33,3474
2025-03-03 09:45:00-05:00,698.28,698.71,696.3,697.13,770
2025-03-03 09:50:00-05:00,697.14,698.39,695.36,698.39,1813
2025-03-03 09:55:00-05:00,698.255,698.255,696.02,697.49,598
2025-03-03 10:00:00-05:00,696.6,696.81,694.54,695.8,2826
2025-03-03 10:05:00-05:00,695.86,696.78,694.36,695.2,2593
2025-03-03 10:10:00-05:00,694.49,694.49,690.42,691.06,1273
2025-03-03 10:15:00-05:00,690.57,691.13,688.98,688.98,1605
2025-03-03 10:20:00-05:00,689.59,689.59,686.56,687.33,3247
2025-03-03 10:25:00-05:00,687.46,688.32,687.13,687.13,408
2025-03-03 10:30:00-05:00,687.69,688.09,684.11,686.75,3166
2025-03-03 10:35:00-05:00,687.02,687.865,686.89,687.865,332
2025-03-03 10:40:00-05:00,687.52,687.865,687.02,687.76,518
2025-03-03 10:45:00-05:00,687.58,687.735,686.21,687.005,1670
2025-03-03 10:50:00-05:00,687.36,688.48,686.37,686.785,1646
2025-03-03 10:55:00-05:00,686.37,687.12,686.05,686.71,637
2025-03-03 11:00:00-05:00,686.76,687.76,686.01,687.62,332
2025-03-03 11:05:00-05:00,687.6,687.62,686.17,686.67,1584
2025-03-03 11:10:00-05:00,686.63,687.79,685.89,686.55,3026
2025-03-03 11:15:00-05:00,686.4,686.4,685.69,686.27,469
2025-03-03 11:20:00-05:00,686.27,687.3,685.85,685.85,1595
2025-03-03 11:25:00-05:00,686.05,686.69,685.86,686.0,696
2025-03-03 11:30:00-05:00,686.54,687.55,685.5,686.195,2385
2025-03-03 11:35:00-05:00,685.71,686.52,685.64,685.64,249
2025-03-03 11:40:00-05:00,686.255,686.63,685.61,685.65,393
