ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,41.95,42.18,41.66,41.86,45658
2025-03-03 09:35:00-05:00,41.85,41.85,41.64,41.65,17893
2025-03-03 09:40:00-05:00,41.68,41.71,41.505,41.63,29038
2025-03-03 09:45:00-05:00,41.62,41.68,41.45,41.45,20317
2025-03-03 09:50:00-05:00,41.46,41.605,41.46,41.56,14982
2025-03-03 09:55:00-05:00,41.555,41.59,41.41,41.45,21734
2025-03-03 10:00:00-05:00,41.41,41.41,41.17,41.26,34462
2025-03-03 10:05:00-05:00,41.27,41.32,41.19,41.29,14581
2025-03-03 10:10:00-05:00,41.28,41.4,41.15,41.15,15962
2025-03-03 10:15:00-05:00,41.14,41.29,41.1,41.27,14347
2025-03-03 10:20:00-05:00,41.26,41.33,41.24,41.26,15844
2025-03-03 10:25:00-05:00,41.26,41.365,41.23,41.28,17773
2025-03-03 10:30:00-05:00,41.27,41.345,41.225,41.33,19172
2025-03-03 10:35:00-05:00,41.335,41.335,41.225,41.29,17096
2025-03-03 10:40:00-05:00,41.295,41.42,41.29,41.41,29005
2025-03-03 10:45:00-05:00,41.405,41.44,41.28,41.29,17094
2025-03-03 10:50:00-05:00,41.3,41.48,41.3,41.48,13252
2025-03-03 10:55:00-05:00,41.5,41.54,41.4,41.415,18854
2025-03-03 11:00:00-05:00,41.415,41.55,41.415,41.55,18654
2025-03-03 11:05:00-05:00,41.54,41.54,41.39,41.39,13377
2025-03-03 11:10:00-05:00,41.385,41.46,41.335,41.46,13389
2025-03-03 11:15:00-05:00,41.47,41.475,41.35,41.43,15042
2025-03-03 11:20:00-05:00,41.42,41.445,41.4,41.445,16300
2025-03-03 11:25:00-05:00,41.445,41.485,41.38,41.405,23218
2025-03-03 11:30:00-05:00,41.405,41.405,41.335,41.375,33262
2025-03-03 11:35:00-05:00,41.37,41.395,41.335,41.375,20446
2025-03-03 11:40:00-05:00,41.37,41.395,41.3,41.31,16406
2025-03-03 11:45:00-05:00,41.32,41.48,41.32,41.48,21866
2025-03-03 11:50:00-05:00,41.48,41.505,41.45,41.485,22360
2025-03-03 11:55:00-05:00,41.48,41.51,41.445,41.485,18150
2025-03-03 12:00:00-05:00,41.48,41.53,41.425,41.52,18643
