ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,534.2,536.48,533.35,535.77,1575
2025-03-03 09:35:00-05:00,535.89,537.24,535.89,536.31,2183
2025-03-03 09:40:00-05:00,536.87,537.46,535.87,535.87,1868
2025-03-03 09:45:00-05:00,536.01,537.355,535.36,536.59,1665
2025-03-03 09:50:00-05:00,536.585,536.705,535.3,535.875,514
2025-03-03 09:55:00-05:00,535.8,536.41,535.39,535.95,1880
2025-03-03 10:00:00-05:00,535.92,535.92,533.46,534.85,1543
2025-03-03 10:05:00-05:00,535.03,535.65,534.86,534.86,607
2025-03-03 10:10:00-05:00,534.87,535.32,534.79,534.79,545
2025-03-03 10:15:00-05:00,534.68,534.84,533.96,534.6,1798
2025-03-03 10:20:00-05:00,534.6,535.32,534.6,534.92,963
2025-03-03 10:25:00-05:00,535.04,535.52,534.97,535.31,388
2025-03-03 10:30:00-05:00,535.44,535.505,535.03,535.3,797
2025-03-03 10:35:00-05:00,535.42,535.54,534.88,535.54,807
2025-03-03 10:40:00-05:00,535.3,536.42,535.1,536.315,1021
2025-03-03 10:45:00-05:00,536.12,536.24,534.72,534.74,1367
2025-03-03 10:50:00-05:00,534.92,534.995,534.53,534.74,491
2025-03-03 10:55:00-05:00,534.74,534.85,533.73,533.73,910
2025-03-03 11:00:00-05:00,534.03,534.61,534.03,534.515,915
2025-03-03 11:05:00-05:00,534.65,535.22,534.65,534.9,1528
2025-03-03 11:10:00-05:00,535.07,535.57,534.82,535.57,1528
2025-03-03 11:15:00-05:00,535.57,535.98,534.85,535.58,733
2025-03-03 11:20:00-05:00,535.64,536.2,535.64,536.19,482
2025-03-03 11:25:00-05:00,536.0,536.0,534.63,535.04,848
2025-03-03 11:30:00-05:00,534.83,535.32,534.83,534.97,1109
2025-03-03 11:35:00-05:00,534.97,535.07,534.55,534.55,512
2025-03-03 11:40:00-05:00,534.42,534.54,533.9,534.29,435
2025-03-03 11:45:00-05:00,534.34,534.84,534.22,534.84,415
2025-03-03 11:50:00-05:00,534.76,535.595,534.76,535.16,891
2025-03-03 11:55:00-05:00,535.21,535.5,534.99,535.12,469
2025-03-03 12:00:00-05:00,535.13,535.5,534.99,535.04,1512
2025-03-03 12:05:00-05:00,535.47,535.85,535.47,535.59,479
2025-03-03 12:10:00-05:00,535.89,536.03,535.52,535.52,638
2025-03-03 12:15:00-05:00,535.57,536.19,535.57,536.19,1193
2025-03-03 12:20:00-05:00,536.2,536.68,536.03,536.21,3129
2025-03-03 12:25:00-05:00,536.02,536.18,535.81,535.98,255
2025-03-03 12:30:00-05:00,536.07,536.22,535.84,535.9,478
2025-03-03 12:35:00-05:00,536.03,536.03,535.64,535.66,281
2025-03-03 12:40:00-05:00,535.84,535.94,535.5,535.77,281
2025-03-03 12:45:00-05:00,535.53,535.8,535.115,535.58,2310
2025-03-03 12:50:00-05:00,535.58,536.09,535.44,535.44,1605
2025-03-03 12:55:00-05:00,535.31,535.47,535.07,535.47,215
2025-03-03 13:00:00-05:00,535.34,535.35,535.0,535.295,520
2025-03-03 13:05:00-05:00,535.01,535.03,534.76,535.03,186
2025-03-03 13:10:00-05:00,534.86,535.43,534.76,534.985,4372
2025-03-03 13:15:00-05:00,535.07,535.2,534.99,534.995,212
2025-03-03 13:20:00-05:00,534.995,534.995,534.2,534.85,1209
2025-03-03 13:25:00-05:00,534.55,534.55,533.49,533.66,883
2025-03-03 13:30:00-05:00,533.74,533.96,533.0,533.19,1967
2025-03-03 13:35:00-05:00,533.19,533.43,532.92,532.92,918
2025-03-03 13:40:00-05:00,533.16,534.06,533.16,533.895,1483
2025-03-03 13:45:00-05:00,533.76,534.64,533.54,533.965,2434
2025-03-03 13:50:00-05:00,533.96,534.47,533.49,533.575,1422
2025-03-03 13:55:00-05:00,533.57,533.82,533.35,533.67,644
2025-03-03 14:00:00-05:00,533.48,534.4,533.48,534.23,527
2025-03-03 14:05:00-05:00,534.17,534.17,533.83,533.98,721
2025-03-03 14:10:00-05:00,533.93,534.15,533.9,534.03,147
2025-03-03 14:15:00-05:00,534.03,534.03,533.21,533.68,1610
2025-03-03 14:20:00-05:00,533.57,534.15,533.57,533.84,1026
2025-03-03 14:25:00-05:00,533.66,533.66,533.34,533.45,233
2025-03-03 14:30:00-05:00,533.37,534.35,533.14,533.86,1306
2025-03-03 14:35:00-05:00,534.045,534.28,533.49,534.28,483
2025-03-03 14:40:00-05:00,534.31,534.6,534.23,534.45,1417
2025-03-03 14:45:00-05:00,534.455,534.455,533.57,533.57,848
2025-03-03 14:50:00-05:00,533.94,533.94,532.25,532.49,1913
2025-03-03 14:55:00-05:00,532.55,533.21,531.62,531.62,1323
2025-03-03 15:00:00-05:00,531.53,531.61,530.19,530.46,1853
2025-03-03 15:05:00-05:00,530.32,530.61,529.52,529.89,1404
2025-03-03 15:10:00-05:00,529.81,529.97,528.8,529.23,2335
2025-03-03 15:15:00-05:00,529.145,529.61,528.5,528.5,3122
2025-03-03 15:20:00-05:00,528.5,529.12,528.24,528.49,2471
2025-03-03 15:25:00-05:00,528.46,528.76,527.17,527.485,911
2025-03-03 15:30:00-05:00,527.86,528.91,527.86,528.13,2336
2025-03-03 15:35:00-05:00,528.05,528.31,527.45,527.64,1591
2025-03-03 15:40:00-05:00,527.54,528.62,527.39,528.43,3545
2025-03-03 15:45:00-05:00,528.3,529.93,528.19,529.38,1949
2025-03-03 15:50:00-05:00,529.46,530.11,528.87,529.25,4421
2025-03-03 15:55:00-05:00,529.25,529.91,528.5,529.19,11116
2025-03-04 09:30:00-05:00,528.5,530.0,524.41,524.5,2651
2025-03-04 09:35:00-05:00,525.02,527.28,524.64,526.385,2242
2025-03-04 09:40:00-05:00,525.91,527.03,523.64,523.64,1913
2025-03-04 09:45:00-05:00,524.15,524.76,523.42,524.4,3419
2025-03-04 09:50:00-05:00,524.4,525.46,523.81,525.07,3379
2025-03-04 09:55:00-05:00,524.965,525.17,523.0,523.69,4272
2025-03-04 10:00:00-05:00,523.68,523.88,522.4,522.7,3563
2025-03-04 10:05:00-05:00,522.665,523.08,521.85,522.24,1611
2025-03-04 10:10:00-05:00,522.0,522.0,520.42,520.68,1820
2025-03-04 10:15:00-05:00,520.99,520.99,518.235,518.27,1140
2025-03-04 10:20:00-05:00,518.17,519.25,518.17,518.67,2339
2025-03-04 10:25:00-05:00,518.98,519.9,518.6,519.6,3239
2025-03-04 10:30:00-05:00,519.53,520.3,519.15,519.57,1900
2025-03-04 10:35:00-05:00,519.73,520.76,519.73,519.74,980
2025-03-04 10:40:00-05:00,519.74,519.74,518.42,518.88,730
2025-03-04 10:45:00-05:00,518.8,518.8,517.39,518.27,1096
2025-03-04 10:50:00-05:00,518.235,518.235,516.76,517.25,586
2025-03-04 10:55:00-05:00,517.36,517.36,516.48,516.89,432
2025-03-04 11:00:00-05:00,516.91,518.46,516.665,517.93,604
2025-03-04 11:05:00-05:00,517.56,518.08,517.14,517.19,569
2025-03-04 11:10:00-05:00,517.38,519.07,517.38,519.07,954
2025-03-04 11:15:00-05:00,518.7,519.6,517.605,517.77,606
2025-03-04 11:20:00-05:00,517.54,517.83,516.62,516.62,430
2025-03-04 11:25:00-05:00,516.69,516.69,515.46,516.28,2229
2025-03-04 11:30:00-05:00,516.41,516.93,515.65,516.17,1712
2025-03-04 11:35:00-05:00,515.87,516.89,515.82,515.94,525
2025-03-04 11:40:00-05:00,516.325,517.66,516.325,517.61,1017
2025-03-04 11:45:00-05:00,517.61,518.48,517.61,518.48,763
2025-03-04 11:50:00-05:00,518.52,518.76,517.84,518.76,343
2025-03-04 11:55:00-05:00,518.45,518.72,518.35,518.46,294
2025-03-04 12:00:00-05:00,518.46,518.95,517.87,518.6,1422
2025-03-04 12:05:00-05:00,518.7,518.7,517.46,517.46,428
2025-03-04 12:10:00-05:00,517.58,518.41,517.58,518.17,2537
2025-03-04 12:15:00-05:00,518.17,518.28,517.84,518.28,242
2025-03-04 12:20:00-05:00,518.155,518.68,517.96,518.01,555
2025-03-04 12:25:00-05:00,518.48,519.15,518.37,518.5,1095
2025-03-04 12:30:00-05:00,518.47,519.13,518.01,518.61,510
2025-03-04 12:35:00-05:00,519.01,519.07,518.24,518.91,183
2025-03-04 12:40:00-05:00,518.56,518.85,518.0,518.8,975
2025-03-04 12:45:00-05:00,518.37,519.05,517.79,518.15,1255
2025-03-04 12:50:00-05:00,517.95,518.095,517.11,517.66,981
2025-03-04 12:55:00-05:00,518.005,518.31,517.66,517.95,335
2025-03-04 13:00:00-05:00,518.19,519.03,518.19,518.55,603
2025-03-04 13:05:00-05:00,518.42,519.56,518.36,519.42,771
2025-03-04 13:10:00-05:00,519.365,520.19,519.365,519.91,320
2025-03-04 13:15:00-05:00,519.88,519.92,519.34,519.81,609
