ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,532.43,532.43,522.42,522.42,8493
2025-03-03 09:35:00-05:00,522.255,523.07,520.36,522.9,4819
2025-03-03 09:40:00-05:00,523.07,527.73,523.07,526.97,7555
2025-03-03 09:45:00-05:00,527.01,527.48,525.0,525.56,3376
2025-03-03 09:50:00-05:00,525.665,528.86,525.45,528.86,3044
2025-03-03 09:55:00-05:00,528.86,528.92,526.88,527.265,4147
2025-03-03 10:00:00-05:00,527.26,527.26,525.49,525.495,6276
2025-03-03 10:05:00-05:00,525.4,527.32,525.1,526.47,3250
2025-03-03 10:10:00-05:00,526.33,526.97,525.41,525.77,1581
2025-03-03 10:15:00-05:00,525.59,525.59,523.29,525.21,4243
2025-03-03 10:20:00-05:00,525.25,525.25,524.25,524.965,723
2025-03-03 10:25:00-05:00,525.31,526.06,525.12,525.71,2673
2025-03-03 10:30:00-05:00,525.74,525.77,524.0,524.34,1957
2025-03-03 10:35:00-05:00,524.09,525.35,524.0,525.24,2534
2025-03-03 10:40:00-05:00,525.1,526.17,524.85,526.17,934
2025-03-03 10:45:00-05:00,525.89,526.225,524.53,525.55,4616
2025-03-03 10:50:00-05:00,525.57,525.74,524.86,525.5,2131
2025-03-03 10:55:00-05:00,525.59,525.66,524.88,525.235,3188
2025-03-03 11:00:00-05:00,525.38,526.32,525.15,525.81,2424
2025-03-03 11:05:00-05:00,526.22,526.26,525.24,525.61,2413
2025-03-03 11:10:00-05:00,525.65,525.87,524.17,524.17,2337
2025-03-03 11:15:00-05:00,524.525,525.09,523.93,525.015,3168
2025-03-03 11:20:00-05:00,525.045,525.99,525.045,525.34,3971
2025-03-03 11:25:00-05:00,525.73,525.79,524.52,524.52,1768
2025-03-03 11:30:00-05:00,524.67,524.94,524.36,524.43,2614
2025-03-03 11:35:00-05:00,524.3,524.71,523.61,524.005,1811
2025-03-03 11:40:00-05:00,524.36,525.07,524.36,524.79,1105
2025-03-03 11:45:00-05:00,524.62,525.34,524.61,524.99,2474
2025-03-03 11:50:00-05:00,525.25,525.25,524.62,525.11,2483
2025-03-03 11:55:00-05:00,525.17,525.27,524.85,524.88,1347
2025-03-03 12:00:00-05:00,524.85,525.35,524.75,525.145,2123
