ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,269.29,273.33,269.28,273.03,112681
2025-03-03 09:35:00-05:00,273.03,274.34,272.93,273.11,21066
2025-03-03 09:40:00-05:00,273.17,274.17,273.17,273.73,12312
2025-03-03 09:45:00-05:00,273.89,274.55,272.96,273.92,19288
2025-03-03 09:50:00-05:00,274.06,274.49,273.28,274.3,20615
2025-03-03 09:55:00-05:00,274.335,274.335,273.51,273.85,11908
2025-03-03 10:00:00-05:00,273.64,274.19,273.0,274.03,14391
2025-03-03 10:05:00-05:00,273.97,274.32,273.68,273.68,10260
2025-03-03 10:10:00-05:00,273.78,274.05,273.3,273.97,10563
2025-03-03 10:15:00-05:00,273.995,274.69,273.69,274.69,15628
2025-03-03 10:20:00-05:00,274.72,274.81,274.09,274.54,13145
2025-03-03 10:25:00-05:00,274.52,275.48,274.52,275.12,27906
2025-03-03 10:30:00-05:00,275.1,275.21,274.62,275.11,11901
2025-03-03 10:35:00-05:00,275.12,275.36,274.75,275.245,8126
2025-03-03 10:40:00-05:00,275.15,275.74,274.97,275.65,7698
2025-03-03 10:45:00-05:00,275.58,275.58,274.13,274.18,10466
2025-03-03 10:50:00-05:00,274.29,274.505,274.16,274.445,7512
2025-03-03 10:55:00-05:00,274.46,274.65,274.07,274.22,10124
2025-03-03 11:00:00-05:00,274.28,274.7,274.24,274.645,9406
2025-03-03 11:05:00-05:00,274.54,274.71,274.23,274.32,4701
2025-03-03 11:10:00-05:00,274.33,274.92,274.33,274.81,7963
2025-03-03 11:15:00-05:00,274.87,275.42,274.76,275.36,12998
2025-03-03 11:20:00-05:00,275.36,275.52,275.26,275.465,11483
2025-03-03 11:25:00-05:00,275.44,275.44,274.68,274.71,12051
2025-03-03 11:30:00-05:00,274.795,274.795,273.82,273.87,6313
2025-03-03 11:35:00-05:00,273.84,274.2,273.5,273.66,9467
2025-03-03 11:40:00-05:00,273.72,273.96,273.62,273.65,7772
2025-03-03 11:45:00-05:00,273.7,273.72,273.49,273.665,7517
2025-03-03 11:50:00-05:00,273.665,274.26,273.665,274.25,8173
2025-03-03 11:55:00-05:00,274.25,274.45,274.18,274.29,4275
2025-03-03 12:00:00-05:00,274.29,274.69,274.29,274.635,4469
2025-03-03 12:05:00-05:00,274.64,274.83,274.57,274.64,7163
2025-03-03 12:10:00-05:00,274.69,274.87,274.35,274.4,4670
2025-03-03 12:15:00-05:00,274.35,274.8,274.2,274.8,9178
2025-03-03 12:20:00-05:00,274.84,274.98,274.72,274.87,4331
