ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,199.01,200.23,197.255,197.7,64675
2025-03-03 09:35:00-05:00,197.76,198.78,197.62,198.47,17680
2025-03-03 09:40:00-05:00,198.48,198.56,197.32,197.6,16123
2025-03-03 09:45:00-05:00,197.5,197.6,196.81,197.33,12831
2025-03-03 09:50:00-05:00,197.29,198.13,197.19,197.93,14760
2025-03-03 09:55:00-05:00,197.98,198.27,197.23,197.53,20042
2025-03-03 10:00:00-05:00,197.41,198.59,196.73,198.59,19560
2025-03-03 10:05:00-05:00,198.47,198.835,197.79,197.79,8656
2025-03-03 10:10:00-05:00,197.68,198.21,197.39,197.5,9962
2025-03-03 10:15:00-05:00,197.42,197.49,197.04,197.4,9647
2025-03-03 10:20:00-05:00,197.45,198.25,197.45,198.04,7315
2025-03-03 10:25:00-05:00,198.03,199.26,198.0,199.26,8927
2025-03-03 10:30:00-05:00,199.29,199.71,198.96,199.19,15638
2025-03-03 10:35:00-05:00,199.11,199.11,198.52,198.99,7781
2025-03-03 10:40:00-05:00,198.87,199.67,198.84,199.63,7182
2025-03-03 10:45:00-05:00,199.575,199.64,198.695,198.95,6601
2025-03-03 10:50:00-05:00,198.96,199.25,198.7,199.11,5122
2025-03-03 10:55:00-05:00,199.15,199.18,198.65,198.865,4289
2025-03-03 11:00:00-05:00,198.93,199.47,198.93,199.155,7725
2025-03-03 11:05:00-05:00,199.21,199.49,198.75,198.87,7526
2025-03-03 11:10:00-05:00,198.88,198.93,198.29,198.51,7439
2025-03-03 11:15:00-05:00,198.54,198.73,198.35,198.72,4508
2025-03-03 11:20:00-05:00,198.71,199.31,198.67,199.2,7217
2025-03-03 11:25:00-05:00,199.13,199.135,198.48,198.56,5108
2025-03-03 11:30:00-05:00,198.63,198.72,198.34,198.34,6549
2025-03-03 11:35:00-05:00,198.33,198.46,197.93,198.11,3173
2025-03-03 11:40:00-05:00,198.075,198.19,197.78,197.96,5043
2025-03-03 11:45:00-05:00,197.97,198.48,197.97,198.42,5052
2025-03-03 11:50:00-05:00,198.42,198.77,198.42,198.76,4913
2025-03-03 11:55:00-05:00,198.76,199.15,198.67,199.04,8905
2025-03-03 12:00:00-05:00,198.985,199.06,198.83,198.88,6166
2025-03-03 12:05:00-05:00,198.83,199.36,198.82,199.36,8034
2025-03-03 12:10:00-05:00,199.36,199.54,199.36,199.54,5348
2025-03-03 12:15:00-05:00,199.51,199.79,199.43,199.74,6890
2025-03-03 12:20:00-05:00,199.78,199.85,199.69,199.85,5131
2025-03-03 12:25:00-05:00,199.86,199.87,199.57,199.76,5925
2025-03-03 12:30:00-05:00,199.705,199.835,199.39,199.46,3956
2025-03-03 12:35:00-05:00,199.47,199.49,199.08,199.32,4430
2025-03-03 12:40:00-05:00,199.35,199.68,199.34,199.34,6684
2025-03-03 12:45:00-05:00,199.31,199.31,199.09,199.165,4386
2025-03-03 12:50:00-05:00,199.13,199.34,198.92,198.94,4950
2025-03-03 12:55:00-05:00,198.91,198.98,198.44,198.54,6510
2025-03-03 13:00:00-05:00,198.49,198.49,198.07,198.08,6247
2025-03-03 13:05:00-05:00,198.07,198.07,197.58,197.675,4180
2025-03-03 13:10:00-05:00,197.64,197.69,197.3,197.36,9737
2025-03-03 13:15:00-05:00,197.395,197.67,197.32,197.465,11280
2025-03-03 13:20:00-05:00,197.47,197.86,197.3,197.69,8857
2025-03-03 13:25:00-05:00,197.64,197.68,197.13,197.3,5684
2025-03-03 13:30:00-05:00,197.27,197.48,197.07,197.18,8001
2025-03-03 13:35:00-05:00,197.18,197.49,197.11,197.15,9124
2025-03-03 13:40:00-05:00,197.1,197.5,197.09,197.37,5477
2025-03-03 13:45:00-05:00,197.31,198.47,197.26,197.87,20396
2025-03-03 13:50:00-05:00,197.84,198.3,197.82,197.96,11245
2025-03-03 13:55:00-05:00,197.895,198.23,197.86,198.1,10032
2025-03-03 14:00:00-05:00,198.01,198.35,197.985,198.22,12835
2025-03-03 14:05:00-05:00,198.25,198.27,197.87,197.9,9685
2025-03-03 14:10:00-05:00,197.94,198.12,197.82,197.89,6949
2025-03-03 14:15:00-05:00,197.91,197.95,197.38,197.5,3938
2025-03-03 14:20:00-05:00,197.5,197.97,197.5,197.97,4870
2025-03-03 14:25:00-05:00,197.93,197.99,197.53,197.73,4902
2025-03-03 14:30:00-05:00,197.69,198.19,197.68,198.06,10799
2025-03-03 14:35:00-05:00,198.03,198.2,197.83,198.1,5410
2025-03-03 14:40:00-05:00,198.17,198.83,198.17,198.62,8333
2025-03-03 14:45:00-05:00,198.55,198.6,197.81,197.81,3978
2025-03-03 14:50:00-05:00,197.85,197.91,196.66,196.82,11096
