ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,27.26,27.55,27.19,27.43,133844
2025-03-03 09:35:00-05:00,27.435,27.625,27.435,27.625,71829
2025-03-03 09:40:00-05:00,27.625,27.625,27.55,27.555,91593
2025-03-03 09:45:00-05:00,27.555,27.645,27.51,27.64,101687
2025-03-03 09:50:00-05:00,27.64,27.67,27.575,27.67,65998
2025-03-03 09:55:00-05:00,27.665,27.8,27.645,27.79,136692
2025-03-03 10:00:00-05:00,27.795,27.835,27.75,27.78,172206
2025-03-03 10:05:00-05:00,27.77,27.855,27.77,27.815,88646
2025-03-03 10:10:00-05:00,27.82,27.825,27.78,27.785,57284
2025-03-03 10:15:00-05:00,27.785,27.825,27.78,27.82,50289
2025-03-03 10:20:00-05:00,27.815,27.815,27.765,27.785,46118
2025-03-03 10:25:00-05:00,27.79,27.825,27.755,27.765,30959
2025-03-03 10:30:00-05:00,27.76,27.77,27.705,27.765,31879
2025-03-03 10:35:00-05:00,27.765,27.795,27.76,27.76,35639
2025-03-03 10:40:00-05:00,27.755,27.82,27.755,27.805,44412
2025-03-03 10:45:00-05:00,27.805,27.815,27.785,27.805,27730
2025-03-03 10:50:00-05:00,27.805,27.815,27.775,27.785,29261
2025-03-03 10:55:00-05:00,27.785,27.795,27.78,27.78,26200
2025-03-03 11:00:00-05:00,27.785,27.815,27.765,27.815,39726
2025-03-03 11:05:00-05:00,27.815,27.835,27.8,27.815,56303
2025-03-03 11:10:00-05:00,27.82,27.83,27.805,27.815,48671
2025-03-03 11:15:00-05:00,27.815,27.815,27.785,27.795,30485
2025-03-03 11:20:00-05:00,27.795,27.805,27.785,27.785,26432
2025-03-03 11:25:00-05:00,27.785,27.785,27.715,27.72,27221
2025-03-03 11:30:00-05:00,27.725,27.735,27.71,27.725,36577
2025-03-03 11:35:00-05:00,27.725,27.725,27.705,27.705,21812
2025-03-03 11:40:00-05:00,27.705,27.715,27.69,27.7,28894
2025-03-03 11:45:00-05:00,27.69,27.705,27.64,27.645,71271
2025-03-03 11:50:00-05:00,27.645,27.675,27.645,27.675,25145
2025-03-03 11:55:00-05:00,27.675,27.715,27.675,27.705,26153
2025-03-03 12:00:00-05:00,27.705,27.735,27.705,27.735,25704
2025-03-03 12:05:00-05:00,27.735,27.755,27.735,27.745,14164
2025-03-03 12:10:00-05:00,27.745,27.76,27.735,27.735,14346
2025-03-03 12:15:00-05:00,27.735,27.745,27.725,27.745,10582
2025-03-03 12:20:00-05:00,27.75,27.795,27.75,27.795,31310
2025-03-03 12:25:00-05:00,27.795,27.8,27.795,27.795,37275
2025-03-03 12:30:00-05:00,27.795,27.795,27.785,27.795,18622
2025-03-03 12:35:00-05:00,27.795,27.805,27.79,27.795,27293
2025-03-03 12:40:00-05:00,27.795,27.825,27.785,27.825,21036
2025-03-03 12:45:00-05:00,27.83,27.835,27.805,27.805,33306
2025-03-03 12:50:00-05:00,27.805,27.82,27.785,27.785,22358
2025-03-03 12:55:00-05:00,27.785,27.795,27.775,27.775,17320
2025-03-03 13:00:00-05:00,27.775,27.775,27.755,27.775,25537
2025-03-03 13:05:00-05:00,27.775,27.775,27.75,27.75,11696
2025-03-03 13:10:00-05:00,27.74,27.755,27.715,27.73,29943
2025-03-03 13:15:00-05:00,27.735,27.745,27.715,27.725,20324
2025-03-03 13:20:00-05:00,27.725,27.725,27.695,27.695,17415
2025-03-03 13:25:00-05:00,27.695,27.695,27.675,27.68,14410
2025-03-03 13:30:00-05:00,27.685,27.7,27.665,27.665,29433
2025-03-03 13:35:00-05:00,27.665,27.685,27.665,27.68,10801
2025-03-03 13:40:00-05:00,27.68,27.705,27.68,27.705,22546
2025-03-03 13:45:00-05:00,27.705,27.705,27.62,27.63,45571
2025-03-03 13:50:00-05:00,27.625,27.655,27.62,27.655,24509
2025-03-03 13:55:00-05:00,27.655,27.655,27.6,27.6,35090
2025-03-03 14:00:00-05:00,27.605,27.655,27.605,27.645,21820
2025-03-03 14:05:00-05:00,27.645,27.65,27.62,27.625,12444
2025-03-03 14:10:00-05:00,27.62,27.645,27.615,27.635,28684
2025-03-03 14:15:00-05:00,27.635,27.655,27.61,27.615,24282
2025-03-03 14:20:00-05:00,27.615,27.615,27.605,27.615,5997
2025-03-03 14:25:00-05:00,27.615,27.625,27.6,27.615,26966
2025-03-03 14:30:00-05:00,27.62,27.655,27.62,27.64,17393
2025-03-03 14:35:00-05:00,27.64,27.655,27.635,27.65,23430
2025-03-03 14:40:00-05:00,27.655,27.66,27.635,27.635,30042
2025-03-03 14:45:00-05:00,27.63,27.645,27.6,27.605,25213
2025-03-03 14:50:00-05:00,27.605,27.605,27.585,27.595,26577
2025-03-03 14:55:00-05:00,27.6,27.62,27.595,27.615,23688
2025-03-03 15:00:00-05:00,27.61,27.625,27.58,27.6,39216
2025-03-03 15:05:00-05:00,27.605,27.605,27.585,27.6,30929
2025-03-03 15:10:00-05:00,27.6,27.6,27.57,27.57,20358
2025-03-03 15:15:00-05:00,27.57,27.595,27.56,27.595,39631
2025-03-03 15:20:00-05:00,27.595,27.615,27.585,27.615,19685
2025-03-03 15:25:00-05:00,27.615,27.62,27.555,27.56,34224
2025-03-03 15:30:00-05:00,27.56,27.585,27.545,27.575,37138
2025-03-03 15:35:00-05:00,27.575,27.575,27.555,27.56,25569
2025-03-03 15:40:00-05:00,27.56,27.6,27.555,27.595,37300
2025-03-03 15:45:00-05:00,27.595,27.67,27.59,27.645,71063
2025-03-03 15:50:00-05:00,27.65,27.68,27.65,27.675,63165
2025-03-03 15:55:00-05:00,27.675,27.74,27.675,27.73,210161
2025-03-04 09:30:00-05:00,27.7,27.92,27.655,27.68,215308
2025-03-04 09:35:00-05:00,27.68,27.72,27.51,27.57,140106
2025-03-04 09:40:00-05:00,27.575,27.765,27.575,27.735,90677
2025-03-04 09:45:00-05:00,27.74,27.815,27.71,27.76,67005
2025-03-04 09:50:00-05:00,27.765,27.84,27.75,27.825,33231
2025-03-04 09:55:00-05:00,27.82,27.845,27.765,27.825,56043
2025-03-04 10:00:00-05:00,27.825,27.945,27.79,27.87,139636
2025-03-04 10:05:00-05:00,27.87,27.915,27.85,27.855,54538
2025-03-04 10:10:00-05:00,27.86,27.875,27.785,27.82,106176
2025-03-04 10:15:00-05:00,27.83,27.93,27.83,27.925,60741
2025-03-04 10:20:00-05:00,27.93,27.935,27.9,27.915,58893
2025-03-04 10:25:00-05:00,27.92,27.97,27.92,27.945,78979
2025-03-04 10:30:00-05:00,27.94,27.95,27.885,27.89,94443
2025-03-04 10:35:00-05:00,27.895,27.925,27.85,27.925,41468
2025-03-04 10:40:00-05:00,27.92,27.92,27.85,27.885,33285
2025-03-04 10:45:00-05:00,27.89,27.895,27.83,27.87,66043
2025-03-04 10:50:00-05:00,27.87,27.875,27.84,27.875,51281
2025-03-04 10:55:00-05:00,27.875,27.9,27.82,27.87,114679
2025-03-04 11:00:00-05:00,27.875,27.875,27.8,27.8,67025
2025-03-04 11:05:00-05:00,27.79,27.79,27.64,27.64,187317
2025-03-04 11:10:00-05:00,27.64,27.65,27.2,27.205,586207
2025-03-04 11:15:00-05:00,27.205,27.33,27.06,27.08,466430
2025-03-04 11:20:00-05:00,27.08,27.16,26.7,26.83,362865
2025-03-04 11:25:00-05:00,26.83,26.99,26.75,26.965,263729
2025-03-04 11:30:00-05:00,26.96,27.095,26.855,26.86,168914
2025-03-04 11:35:00-05:00,26.87,26.94,26.755,26.785,163649
2025-03-04 11:40:00-05:00,26.79,26.835,26.685,26.7,150031
2025-03-04 11:45:00-05:00,26.7,26.86,26.67,26.77,187634
2025-03-04 11:50:00-05:00,26.76,26.81,26.705,26.715,99826
2025-03-04 11:55:00-05:00,26.71,26.75,26.615,26.67,90257
2025-03-04 12:00:00-05:00,26.66,26.71,26.625,26.63,102377
2025-03-04 12:05:00-05:00,26.625,26.645,26.555,26.625,103707
2025-03-04 12:10:00-05:00,26.63,26.735,26.62,26.725,51075
2025-03-04 12:15:00-05:00,26.73,26.755,26.665,26.72,85334
2025-03-04 12:20:00-05:00,26.715,26.735,26.645,26.725,79549
2025-03-04 12:25:00-05:00,26.725,26.75,26.6,26.675,96356
2025-03-04 12:30:00-05:00,26.68,26.71,26.65,26.67,94629
2025-03-04 12:35:00-05:00,26.68,26.685,26.58,26.59,124755
2025-03-04 12:40:00-05:00,26.595,26.6,26.44,26.495,177892
2025-03-04 12:45:00-05:00,26.49,26.49,26.405,26.49,121178
2025-03-04 12:50:00-05:00,26.48,26.485,26.375,26.485,100615
2025-03-04 12:55:00-05:00,26.485,26.52,26.46,26.485,154063
2025-03-04 13:00:00-05:00,26.49,26.52,26.46,26.515,122881
2025-03-04 13:05:00-05:00,26.51,26.51,26.46,26.485,128203
2025-03-04 13:10:00-05:00,26.485,26.505,26.41,26.445,138131
2025-03-04 13:15:00-05:00,26.44,26.445,26.375,26.385,149857
2025-03-04 13:20:00-05:00,26.385,26.395,26.275,26.315,149297
2025-03-04 13:25:00-05:00,26.315,26.34,26.265,26.275,139136
2025-03-04 13:30:00-05:00,26.275,26.305,26.185,26.25,218194
2025-03-04 13:35:00-05:00,26.255,26.295,26.19,26.21,126990
2025-03-04 13:40:00-05:00,26.205,26.285,26.19,26.255,94741
2025-03-04 13:45:00-05:00,26.255,26.275,26.21,26.25,77403
2025-03-04 13:50:00-05:00,26.255,26.255,26.145,26.18,60940
2025-03-04 13:55:00-05:00,26.19,26.275,26.175,26.265,72810
2025-03-04 14:00:00-05:00,26.265,26.31,26.245,26.305,101083
2025-03-04 14:05:00-05:00,26.305,26.35,26.305,26.325,50025
2025-03-04 14:10:00-05:00,26.325,26.35,26.295,26.345,64764
2025-03-04 14:15:00-05:00,26.345,26.355,26.31,26.315,86910
2025-03-04 14:20:00-05:00,26.315,26.365,26.315,26.335,74962
2025-03-04 14:25:00-05:00,26.335,26.36,26.205,26.255,101903
2025-03-04 14:30:00-05:00,26.26,26.29,26.255,26.255,29983
2025-03-04 14:35:00-05:00,26.255,26.295,26.255,26.285,106927
2025-03-04 14:40:00-05:00,26.28,26.3,26.205,26.225,183579
2025-03-04 14:45:00-05:00,26.225,26.43,26.22,26.43,119518
2025-03-04 14:50:00-05:00,26.43,26.455,26.34,26.365,199312
2025-03-04 14:55:00-05:00,26.365,26.42,26.355,26.415,103015
2025-03-04 15:00:00-05:00,26.42,26.44,26.35,26.365,167661
