ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,248.515,248.66,247.69,248.66,2744
2025-03-03 09:35:00-05:00,248.61,249.43,248.37,249.2,2707
2025-03-03 09:40:00-05:00,249.365,249.68,249.01,249.39,2316
2025-03-03 09:45:00-05:00,249.47,249.7,248.39,248.42,7637
2025-03-03 09:50:00-05:00,248.39,249.28,248.3,249.28,2175
2025-03-03 09:55:00-05:00,249.215,249.23,248.28,248.31,1736
2025-03-03 10:00:00-05:00,248.32,248.32,247.1,247.83,6093
2025-03-03 10:05:00-05:00,247.69,247.77,247.37,247.43,2891
2025-03-03 10:10:00-05:00,247.4,247.42,246.88,246.88,3188
2025-03-03 10:15:00-05:00,246.83,247.02,246.61,246.79,7063
2025-03-03 10:20:00-05:00,246.78,246.98,246.53,246.66,2165
2025-03-03 10:25:00-05:00,246.74,246.93,246.49,246.69,1842
2025-03-03 10:30:00-05:00,246.69,247.31,246.57,247.29,2547
2025-03-03 10:35:00-05:00,247.35,247.85,247.18,247.69,2386
2025-03-03 10:40:00-05:00,247.62,248.24,247.62,248.24,1162
2025-03-03 10:45:00-05:00,248.185,248.23,247.73,247.73,1819
2025-03-03 10:50:00-05:00,247.7,247.75,247.58,247.68,1236
2025-03-03 10:55:00-05:00,247.66,247.67,247.16,247.16,2277
2025-03-03 11:00:00-05:00,247.215,247.45,247.04,247.45,2094
2025-03-03 11:05:00-05:00,247.5,247.5,247.22,247.22,793
2025-03-03 11:10:00-05:00,247.265,247.44,247.17,247.37,297
2025-03-03 11:15:00-05:00,247.23,247.23,247.03,247.18,1200
2025-03-03 11:20:00-05:00,247.14,247.26,246.96,247.21,1077
2025-03-03 11:25:00-05:00,247.14,247.14,246.68,246.68,1263
2025-03-03 11:30:00-05:00,246.62,246.86,246.32,246.79,4655
2025-03-03 11:35:00-05:00,246.73,246.88,246.56,246.64,1338
2025-03-03 11:40:00-05:00,246.63,246.92,246.57,246.87,2177
2025-03-03 11:45:00-05:00,246.88,247.2,246.88,247.2,1312
2025-03-03 11:50:00-05:00,247.24,247.63,247.15,247.57,1063
2025-03-03 11:55:00-05:00,247.57,247.65,247.47,247.47,1392
2025-03-03 12:00:00-05:00,247.43,247.74,247.33,247.64,1471
2025-03-03 12:05:00-05:00,247.72,247.77,247.4,247.43,1574
2025-03-03 12:10:00-05:00,247.48,248.05,247.48,248.02,2792
2025-03-03 12:15:00-05:00,248.06,248.15,247.9,248.05,2204
2025-03-03 12:20:00-05:00,248.09,248.12,247.99,248.03,1485
2025-03-03 12:25:00-05:00,248.0,248.22,248.0,248.17,1645
2025-03-03 12:30:00-05:00,248.2,248.2,248.01,248.05,3002
2025-03-03 12:35:00-05:00,248.04,248.08,247.86,248.08,1716
2025-03-03 12:40:00-05:00,248.045,248.15,248.0,248.09,2325
2025-03-03 12:45:00-05:00,248.02,248.02,247.83,247.83,2084
2025-03-03 12:50:00-05:00,247.87,247.885,247.64,247.64,549
2025-03-03 12:55:00-05:00,247.59,247.59,247.32,247.49,1526
2025-03-03 13:00:00-05:00,247.38,247.42,247.28,247.42,484
2025-03-03 13:05:00-05:00,247.27,247.43,247.0,247.43,3430
2025-03-03 13:10:00-05:00,247.37,247.57,247.25,247.25,1651
2025-03-03 13:15:00-05:00,247.24,247.58,247.24,247.51,3504
2025-03-03 13:20:00-05:00,247.39,247.68,247.36,247.68,3434
2025-03-03 13:25:00-05:00,247.61,247.61,247.07,247.26,4185
2025-03-03 13:30:00-05:00,247.22,247.42,246.86,246.86,1150
2025-03-03 13:35:00-05:00,246.84,247.04,246.76,246.79,946
2025-03-03 13:40:00-05:00,246.81,247.02,246.75,246.78,2378
2025-03-03 13:45:00-05:00,246.73,247.19,246.53,246.54,6774
2025-03-03 13:50:00-05:00,246.56,246.84,246.41,246.41,3008
2025-03-03 13:55:00-05:00,246.33,246.44,246.06,246.36,1429
2025-03-03 14:00:00-05:00,246.29,246.66,246.29,246.52,1069
2025-03-03 14:05:00-05:00,246.53,246.53,246.32,246.43,1034
2025-03-03 14:10:00-05:00,246.425,246.56,246.3,246.3,1115
2025-03-03 14:15:00-05:00,246.38,246.41,246.24,246.29,1703
2025-03-03 14:20:00-05:00,246.31,246.39,246.13,246.15,2108
2025-03-03 14:25:00-05:00,246.14,246.17,246.0,246.055,1893
2025-03-03 14:30:00-05:00,246.09,247.07,246.09,246.96,4329
2025-03-03 14:35:00-05:00,247.04,247.11,246.77,247.1,1542
2025-03-03 14:40:00-05:00,247.16,247.43,247.09,247.43,4570
2025-03-03 14:45:00-05:00,247.335,247.335,247.09,247.13,2893
2025-03-03 14:50:00-05:00,247.18,247.28,246.34,246.63,3115
2025-03-03 14:55:00-05:00,246.52,246.87,246.19,246.19,3814
2025-03-03 15:00:00-05:00,246.0,246.0,245.14,245.21,2284
2025-03-03 15:05:00-05:00,245.21,245.28,244.59,244.77,5041
2025-03-03 15:10:00-05:00,244.79,244.94,244.55,244.79,6524
2025-03-03 15:15:00-05:00,244.77,245.25,244.71,244.885,6311
2025-03-03 15:20:00-05:00,244.84,245.33,244.84,245.12,5263
2025-03-03 15:25:00-05:00,245.16,245.29,244.45,244.6,7183
2025-03-03 15:30:00-05:00,244.655,245.03,244.57,244.7,7989
2025-03-03 15:35:00-05:00,244.715,244.76,244.08,244.08,10944
2025-03-03 15:40:00-05:00,244.06,244.71,243.79,244.53,8581
2025-03-03 15:45:00-05:00,244.51,245.62,244.38,245.415,6583
2025-03-03 15:50:00-05:00,245.48,245.74,245.13,245.32,9883
2025-03-03 15:55:00-05:00,245.33,245.8,245.21,245.8,15480
2025-03-04 09:30:00-05:00,243.085,244.07,242.35,242.915,6773
2025-03-04 09:35:00-05:00,243.07,243.6,242.35,243.29,4306
2025-03-04 09:40:00-05:00,243.18,243.58,242.84,242.84,5567
2025-03-04 09:45:00-05:00,242.95,242.95,242.44,242.83,7581
2025-03-04 09:50:00-05:00,242.72,243.43,242.46,243.33,7694
2025-03-04 09:55:00-05:00,243.38,243.49,243.14,243.34,3592
2025-03-04 10:00:00-05:00,243.18,243.35,242.57,242.86,7306
2025-03-04 10:05:00-05:00,243.01,243.09,242.14,242.18,5705
2025-03-04 10:10:00-05:00,242.23,242.4,241.96,242.35,2936
2025-03-04 10:15:00-05:00,242.36,242.73,242.06,242.07,6058
2025-03-04 10:20:00-05:00,242.2,242.66,242.1,242.66,8104
2025-03-04 10:25:00-05:00,242.73,243.04,242.39,242.82,11084
2025-03-04 10:30:00-05:00,242.97,243.23,242.8,243.02,5907
2025-03-04 10:35:00-05:00,243.15,243.465,242.8,243.23,2787
2025-03-04 10:40:00-05:00,243.02,243.18,242.725,242.81,2977
2025-03-04 10:45:00-05:00,242.68,242.68,242.0,242.23,3894
2025-03-04 10:50:00-05:00,242.17,242.19,241.63,242.19,3507
2025-03-04 10:55:00-05:00,242.095,242.35,241.94,241.94,3884
2025-03-04 11:00:00-05:00,241.93,242.13,241.64,241.64,3028
2025-03-04 11:05:00-05:00,241.57,241.58,241.14,241.23,3870
2025-03-04 11:10:00-05:00,241.23,242.09,241.215,242.09,4026
2025-03-04 11:15:00-05:00,242.0,242.2,241.79,242.13,3613
2025-03-04 11:20:00-05:00,242.13,242.2,241.74,241.74,2956
2025-03-04 11:25:00-05:00,241.56,241.63,241.3,241.56,9554
2025-03-04 11:30:00-05:00,241.57,241.57,241.23,241.23,7766
2025-03-04 11:35:00-05:00,241.19,241.49,240.97,241.12,2000
2025-03-04 11:40:00-05:00,241.12,241.96,241.12,241.96,7331
2025-03-04 11:45:00-05:00,241.85,241.85,241.27,241.57,2275
2025-03-04 11:50:00-05:00,241.66,241.67,241.36,241.43,1916
