ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,47.2,47.2,47.015,47.16,6228
2025-03-03 09:35:00-05:00,47.17,47.31,47.14,47.25,11372
2025-03-03 09:40:00-05:00,47.27,47.36,47.145,47.16,5014
2025-03-03 09:45:00-05:00,47.17,47.23,47.115,47.175,11878
2025-03-03 09:50:00-05:00,47.19,47.29,47.19,47.27,4704
2025-03-03 09:55:00-05:00,47.27,47.28,47.08,47.14,23932
2025-03-03 10:00:00-05:00,47.13,47.18,46.96,47.17,13968
2025-03-03 10:05:00-05:00,47.18,47.18,47.08,47.08,5134
2025-03-03 10:10:00-05:00,47.07,47.15,47.03,47.03,3826
2025-03-03 10:15:00-05:00,47.02,47.09,46.975,47.03,9582
2025-03-03 10:20:00-05:00,47.02,47.165,47.01,47.1,7177
2025-03-03 10:25:00-05:00,47.09,47.125,47.07,47.12,7213
2025-03-03 10:30:00-05:00,47.12,47.16,47.08,47.09,24392
2025-03-03 10:35:00-05:00,47.09,47.12,47.02,47.05,9346
2025-03-03 10:40:00-05:00,47.04,47.235,47.02,47.23,14037
2025-03-03 10:45:00-05:00,47.23,47.23,47.04,47.05,13199
2025-03-03 10:50:00-05:00,47.06,47.125,47.035,47.11,8930
2025-03-03 10:55:00-05:00,47.11,47.13,46.935,46.955,11668
2025-03-03 11:00:00-05:00,46.96,47.04,46.96,47.03,14198
2025-03-03 11:05:00-05:00,47.03,47.05,47.0,47.03,11844
2025-03-03 11:10:00-05:00,47.03,47.06,46.94,47.01,16725
2025-03-03 11:15:00-05:00,47.01,47.06,47.005,47.04,12305
2025-03-03 11:20:00-05:00,47.045,47.06,47.02,47.03,11465
2025-03-03 11:25:00-05:00,47.035,47.035,46.86,46.86,16094
2025-03-03 11:30:00-05:00,46.865,46.895,46.815,46.815,14470
2025-03-03 11:35:00-05:00,46.815,46.85,46.745,46.745,17566
2025-03-03 11:40:00-05:00,46.75,46.755,46.665,46.7,24536
2025-03-03 11:45:00-05:00,46.7,46.84,46.7,46.83,27096
2025-03-03 11:50:00-05:00,46.83,46.935,46.82,46.925,18643
2025-03-03 11:55:00-05:00,46.925,46.93,46.83,46.93,12226
2025-03-03 12:00:00-05:00,46.92,46.935,46.86,46.925,12325
2025-03-03 12:05:00-05:00,46.93,46.99,46.93,46.975,10249
2025-03-03 12:10:00-05:00,46.975,47.025,46.975,46.995,6192
2025-03-03 12:15:00-05:00,46.995,47.02,46.985,47.015,6852
2025-03-03 12:20:00-05:00,47.02,47.125,47.02,47.09,16202
2025-03-03 12:25:00-05:00,47.1,47.11,47.06,47.07,12444
2025-03-03 12:30:00-05:00,47.08,47.135,47.05,47.095,7626
2025-03-03 12:35:00-05:00,47.1,47.105,47.07,47.085,5928
2025-03-03 12:40:00-05:00,47.09,47.125,47.05,47.09,15074
2025-03-03 12:45:00-05:00,47.095,47.125,47.075,47.105,12639
2025-03-03 12:50:00-05:00,47.105,47.115,47.015,47.015,6491
