ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,477.82,484.12,477.72,483.84,27298
2025-03-03 09:35:00-05:00,483.77,486.3,482.81,485.17,8764
2025-03-03 09:40:00-05:00,485.495,487.02,485.46,485.99,2856
2025-03-03 09:45:00-05:00,485.48,485.6,482.91,483.69,7709
2025-03-03 09:50:00-05:00,483.64,485.16,483.0,485.16,1767
2025-03-03 09:55:00-05:00,485.185,485.27,483.34,484.1,3976
2025-03-03 10:00:00-05:00,483.71,484.23,482.98,483.345,4071
2025-03-03 10:05:00-05:00,483.14,484.41,482.81,482.81,3922
2025-03-03 10:10:00-05:00,482.76,484.305,482.56,484.015,1826
2025-03-03 10:15:00-05:00,483.88,483.98,483.0,483.51,1981
2025-03-03 10:20:00-05:00,484.0,485.31,484.0,485.05,3342
2025-03-03 10:25:00-05:00,485.08,485.17,484.15,484.38,3763
2025-03-03 10:30:00-05:00,484.54,484.91,483.625,483.625,1129
2025-03-03 10:35:00-05:00,483.61,484.3,483.61,484.2,1278
2025-03-03 10:40:00-05:00,484.3,484.89,484.3,484.35,1166
2025-03-03 10:45:00-05:00,484.64,484.68,483.82,483.985,3418
2025-03-03 10:50:00-05:00,483.96,484.48,483.94,484.32,2065
2025-03-03 10:55:00-05:00,484.41,485.005,483.33,483.77,2773
2025-03-03 11:00:00-05:00,483.74,483.92,482.45,483.42,2618
2025-03-03 11:05:00-05:00,483.19,483.79,483.11,483.67,1154
2025-03-03 11:10:00-05:00,483.74,484.66,483.58,484.28,1919
2025-03-03 11:15:00-05:00,484.26,484.85,484.12,484.25,1604
2025-03-03 11:20:00-05:00,484.46,486.5,484.315,486.49,4249
2025-03-03 11:25:00-05:00,486.39,487.5,485.7,485.7,5238
2025-03-03 11:30:00-05:00,485.93,486.475,485.67,486.01,1282
2025-03-03 11:35:00-05:00,486.0,486.2,485.56,485.89,1546
2025-03-03 11:40:00-05:00,486.02,486.02,485.19,485.23,1593
2025-03-03 11:45:00-05:00,485.28,487.32,485.2,487.235,1457
2025-03-03 11:50:00-05:00,487.06,487.82,486.955,487.18,2515
2025-03-03 11:55:00-05:00,487.41,487.57,487.06,487.255,1143
2025-03-03 12:00:00-05:00,487.38,487.38,486.67,486.82,1807
2025-03-03 12:05:00-05:00,486.66,487.0,486.49,486.775,457
2025-03-03 12:10:00-05:00,486.97,487.98,486.84,487.6,1919
2025-03-03 12:15:00-05:00,487.64,488.56,487.64,488.56,1518
2025-03-03 12:20:00-05:00,488.48,489.08,488.42,488.64,2451
2025-03-03 12:25:00-05:00,488.795,488.795,487.78,487.92,2639
2025-03-03 12:30:00-05:00,488.1,488.14,487.67,487.915,472
2025-03-03 12:35:00-05:00,487.83,488.93,487.82,488.6,4417
2025-03-03 12:40:00-05:00,488.7,489.24,488.3,488.87,2019
2025-03-03 12:45:00-05:00,488.86,489.64,488.76,489.6,595
2025-03-03 12:50:00-05:00,489.4,490.11,489.19,489.52,3394
2025-03-03 12:55:00-05:00,489.41,489.98,489.31,489.67,1816
2025-03-03 13:00:00-05:00,489.59,489.62,488.79,489.08,2174
2025-03-03 13:05:00-05:00,488.88,489.1,488.06,488.7,4332
2025-03-03 13:10:00-05:00,488.66,489.265,488.34,488.585,697
2025-03-03 13:15:00-05:00,488.6,488.78,487.97,488.31,775
2025-03-03 13:20:00-05:00,488.295,489.14,488.25,488.8,3370
2025-03-03 13:25:00-05:00,488.59,490.27,488.45,490.21,4199
2025-03-03 13:30:00-05:00,490.045,490.48,489.67,489.84,5255
2025-03-03 13:35:00-05:00,489.9,490.59,489.8,489.91,2976
2025-03-03 13:40:00-05:00,489.96,490.7,489.92,490.18,4448
2025-03-03 13:45:00-05:00,490.18,490.22,488.86,489.16,5637
2025-03-03 13:50:00-05:00,489.1,489.51,488.85,488.85,1131
2025-03-03 13:55:00-05:00,488.82,489.35,488.75,489.23,2507
2025-03-03 14:00:00-05:00,489.1,489.72,489.1,489.27,2091
2025-03-03 14:05:00-05:00,489.11,489.56,488.88,489.165,3910
2025-03-03 14:10:00-05:00,489.2,489.77,489.03,489.53,2507
2025-03-03 14:15:00-05:00,489.65,489.79,489.43,489.48,1979
