ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,42.96,43.23,42.95,43.13,28400
2025-03-03 09:35:00-05:00,43.13,43.54,43.13,43.52,30349
2025-03-03 09:40:00-05:00,43.53,43.585,43.46,43.48,34167
2025-03-03 09:45:00-05:00,43.49,43.58,43.455,43.57,21514
2025-03-03 09:50:00-05:00,43.57,43.695,43.54,43.69,25969
2025-03-03 09:55:00-05:00,43.69,43.8,43.66,43.8,32390
2025-03-03 10:00:00-05:00,43.79,43.795,43.69,43.755,36865
2025-03-03 10:05:00-05:00,43.74,43.75,43.665,43.72,24432
2025-03-03 10:10:00-05:00,43.725,43.74,43.635,43.66,16700
2025-03-03 10:15:00-05:00,43.665,43.68,43.615,43.65,17135
2025-03-03 10:20:00-05:00,43.645,43.645,43.545,43.57,13821
2025-03-03 10:25:00-05:00,43.575,43.66,43.53,43.545,9414
2025-03-03 10:30:00-05:00,43.54,43.565,43.455,43.565,16617
2025-03-03 10:35:00-05:00,43.565,43.605,43.545,43.58,16869
2025-03-03 10:40:00-05:00,43.565,43.615,43.555,43.58,13209
2025-03-03 10:45:00-05:00,43.575,43.625,43.565,43.595,13703
2025-03-03 10:50:00-05:00,43.595,43.615,43.52,43.545,14796
2025-03-03 10:55:00-05:00,43.55,43.595,43.545,43.57,20139
2025-03-03 11:00:00-05:00,43.57,43.625,43.515,43.62,28052
2025-03-03 11:05:00-05:00,43.615,43.615,43.53,43.545,10138
2025-03-03 11:10:00-05:00,43.545,43.595,43.545,43.58,20128
2025-03-03 11:15:00-05:00,43.585,43.585,43.55,43.575,10278
2025-03-03 11:20:00-05:00,43.575,43.575,43.535,43.555,12691
2025-03-03 11:25:00-05:00,43.55,43.555,43.435,43.445,18981
2025-03-03 11:30:00-05:00,43.445,43.46,43.415,43.45,19459
2025-03-03 11:35:00-05:00,43.45,43.455,43.425,43.43,6143
2025-03-03 11:40:00-05:00,43.435,43.45,43.395,43.395,8273
2025-03-03 11:45:00-05:00,43.39,43.39,43.365,43.365,8406
