ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,78.86,78.86,78.47,78.57,7505
2025-03-03 09:35:00-05:00,78.6,78.84,78.5,78.66,52514
2025-03-03 09:40:00-05:00,78.665,78.95,78.49,78.55,15970
2025-03-03 09:45:00-05:00,78.55,78.63,78.38,78.38,21270
2025-03-03 09:50:00-05:00,78.385,78.48,78.245,78.44,12299
2025-03-03 09:55:00-05:00,78.41,78.47,78.1,78.3,16941
2025-03-03 10:00:00-05:00,78.26,78.56,77.91,78.5,33755
2025-03-03 10:05:00-05:00,78.52,78.56,78.36,78.36,7359
2025-03-03 10:10:00-05:00,78.32,78.58,78.245,78.44,14976
2025-03-03 10:15:00-05:00,78.44,78.6,78.42,78.54,21860
2025-03-03 10:20:00-05:00,78.54,78.88,78.52,78.815,15244
2025-03-03 10:25:00-05:00,78.81,78.87,78.67,78.69,15371
2025-03-03 10:30:00-05:00,78.67,78.85,78.63,78.8,18144
2025-03-03 10:35:00-05:00,78.79,78.85,78.63,78.68,8121
2025-03-03 10:40:00-05:00,78.685,78.98,78.66,78.97,10178
2025-03-03 10:45:00-05:00,78.96,78.97,78.7,78.77,7502
2025-03-03 10:50:00-05:00,78.78,78.9,78.71,78.85,9973
2025-03-03 10:55:00-05:00,78.86,78.88,78.62,78.65,8848
2025-03-03 11:00:00-05:00,78.67,78.88,78.67,78.72,8961
2025-03-03 11:05:00-05:00,78.73,78.73,78.54,78.59,13806
2025-03-03 11:10:00-05:00,78.6,78.65,78.47,78.6,14925
2025-03-03 11:15:00-05:00,78.6,78.68,78.59,78.64,11641
2025-03-03 11:20:00-05:00,78.64,78.66,78.545,78.55,9316
2025-03-03 11:25:00-05:00,78.54,78.55,78.39,78.45,9029
2025-03-03 11:30:00-05:00,78.46,78.54,78.43,78.47,14361
2025-03-03 11:35:00-05:00,78.47,78.52,78.29,78.32,9181
2025-03-03 11:40:00-05:00,78.31,78.31,78.03,78.08,27786
2025-03-03 11:45:00-05:00,78.08,78.41,78.08,78.4,26000
2025-03-03 11:50:00-05:00,78.39,78.43,78.29,78.3,23235
2025-03-03 11:55:00-05:00,78.3,78.46,78.27,78.44,14705
2025-03-03 12:00:00-05:00,78.435,78.65,78.34,78.61,57841
2025-03-03 12:05:00-05:00,78.61,78.69,78.585,78.61,12155
2025-03-03 12:10:00-05:00,78.61,78.68,78.6,78.6,15023
2025-03-03 12:15:00-05:00,78.605,78.68,78.58,78.66,9707
2025-03-03 12:20:00-05:00,78.67,78.72,78.51,78.55,15244
2025-03-03 12:25:00-05:00,78.56,78.63,78.48,78.52,11472
