ts_event,Open,High,Low,Close,Volume
2025-03-03 09:30:00-05:00,97.96,98.78,97.88,98.66,70641
2025-03-03 09:35:00-05:00,98.69,99.22,98.61,99.03,49059
2025-03-03 09:40:00-05:00,99.01,99.22,99.0,99.13,34289
2025-03-03 09:45:00-05:00,99.14,99.44,99.14,99.34,44577
2025-03-03 09:50:00-05:00,99.33,99.44,99.12,99.21,48913
2025-03-03 09:55:00-05:00,99.21,99.49,99.14,99.47,47277
2025-03-03 10:00:00-05:00,99.43,99.44,98.96,99.43,66232
2025-03-03 10:05:00-05:00,99.44,99.47,99.03,99.04,37328
2025-03-03 10:10:00-05:00,99.05,99.17,98.875,98.96,36131
2025-03-03 10:15:00-05:00,98.97,99.03,98.93,98.99,27722
2025-03-03 10:20:00-05:00,98.99,99.03,98.84,98.925,30325
2025-03-03 10:25:00-05:00,98.925,99.0,98.81,98.89,22880
2025-03-03 10:30:00-05:00,98.9,98.91,98.62,98.68,31725
2025-03-03 10:35:00-05:00,98.685,98.745,98.61,98.66,20946
2025-03-03 10:40:00-05:00,98.66,98.78,98.61,98.77,16306
2025-03-03 10:45:00-05:00,98.77,98.77,98.38,98.38,27002
2025-03-03 10:50:00-05:00,98.39,98.505,98.34,98.42,23187
2025-03-03 10:55:00-05:00,98.42,98.46,98.05,98.13,54644
2025-03-03 11:00:00-05:00,98.15,98.28,98.1,98.22,20550
2025-03-03 11:05:00-05:00,98.22,98.31,98.18,98.27,20706
2025-03-03 11:10:00-05:00,98.28,98.34,98.16,98.26,18281
2025-03-03 11:15:00-05:00,98.26,98.48,98.245,98.46,20652
2025-03-03 11:20:00-05:00,98.455,98.46,98.315,98.36,17401
2025-03-03 11:25:00-05:00,98.34,98.35,98.15,98.155,23198
2025-03-03 11:30:00-05:00,98.16,98.18,97.99,98.01,20319
2025-03-03 11:35:00-05:00,98.02,98.05,97.92,97.96,17404
2025-03-03 11:40:00-05:00,97.96,97.99,97.855,97.855,15168
2025-03-03 11:45:00-05:00,97.855,97.895,97.795,97.835,27538
2025-03-03 11:50:00-05:00,97.83,98.0,97.805,97.99,29405
2025-03-03 11:55:00-05:00,97.99,98.11,97.99,98.02,28578
2025-03-03 12:00:00-05:00,98.01,98.035,97.93,98.0,26006
2025-03-03 12:05:00-05:00,97.99,98.045,97.91,97.96,22812
2025-03-03 12:10:00-05:00,97.955,98.03,97.94,97.99,12969
2025-03-03 12:15:00-05:00,98.0,98.11,97.93,98.07,15845
2025-03-03 12:20:00-05:00,98.08,98.19,98.08,98.18,14956
2025-03-03 12:25:00-05:00,98.18,98.21,98.09,98.14,16853
2025-03-03 12:30:00-05:00,98.125,98.27,98.12,98.195,17859
2025-03-03 12:35:00-05:00,98.195,98.315,98.18,98.3,13851
2025-03-03 12:40:00-05:00,98.31,98.38,98.29,98.335,16248
2025-03-03 12:45:00-05:00,98.33,98.33,98.165,98.175,15683
2025-03-03 12:50:00-05:00,98.175,98.23,98.14,98.145,12980
2025-03-03 12:55:00-05:00,98.14,98.15,97.975,98.03,23897
2025-03-03 13:00:00-05:00,98.03,98.08,97.96,98.0,20770
2025-03-03 13:05:00-05:00,98.0,98.0,97.89,97.94,22006
2025-03-03 13:10:00-05:00,97.94,98.06,97.91,97.97,20778
2025-03-03 13:15:00-05:00,97.975,98.01,97.84,97.9,33433
2025-03-03 13:20:00-05:00,97.9,98.0,97.89,97.96,17907
2025-03-03 13:25:00-05:00,97.96,97.99,97.83,97.85,18157
2025-03-03 13:30:00-05:00,97.84,97.95,97.78,97.82,35442
2025-03-03 13:35:00-05:00,97.81,97.95,97.81,97.93,17851
2025-03-03 13:40:00-05:00,97.94,98.02,97.93,98.02,17356
2025-03-03 13:45:00-05:00,98.01,98.11,97.935,98.0,34931
2025-03-03 13:50:00-05:00,98.0,98.18,97.985,98.095,24938
2025-03-03 13:55:00-05:00,98.09,98.11,97.98,98.05,23665
2025-03-03 14:00:00-05:00,98.04,98.09,97.91,97.92,33083
2025-03-03 14:05:00-05:00,97.92,97.94,97.81,97.91,19889
