timestamp	hash	score	sharpe	max_dd	parity	pos_folds	trades	instruments	description
2026-04-06 17:42:15	ddbd49a2	-99.0000	+1.1757	-23.9%	1.6039	93%	11	QQQ,SPY	Baseline: stacking on QQQ+SPY (Phase 1B best)
2026-04-06 17:43:18	ddbd49a2	1.7887	+1.2726	-18.9%	1.7389	93%	10	QQQ,SPY	Baseline: stacking on QQQ+SPY (Phase 1B best)
2026-04-06 17:56:41	ddbd49a2	1.7887	+1.2726	-18.9%	1.7441	93%	10	QQQ,SPY	Baseline: stacking on QQQ+SPY (Phase 1B best)
2026-04-06 17:59:11	7f944bd1	1.4890	+1.0308	-24.2%	1.3959	93%	16	QQQ,SPY	Exp1: signal_threshold 0.55
2026-04-06 18:01:38	8db4f54b	1.3035	+0.8878	-18.9%	1.3241	69%	8	QQQ,SPY	Exp2: signal_threshold 0.65
2026-04-06 21:33:12	f31401f5	1.6668	+1.1757	-23.9%	1.5423	93%	11	QQQ,SPY	Exp3: max_depth 3
2026-04-06 21:34:26	563ed40d	1.7762	+1.2601	-18.9%	1.7221	93%	10	QQQ,SPY	Exp4: max_depth 5
2026-04-06 21:35:06	75881231	1.7887	+1.2726	-18.9%	1.7553	93%	10	QQQ,SPY	Exp5: n_estimators 200
2026-04-06 21:35:40	c536651d	1.7951	+1.2790	-18.9%	1.7645	93%	10	QQQ,SPY	Exp6: n_estimators 400
2026-04-06 21:36:22	3a17d6e9	1.6102	+1.1304	-26.2%	1.5402	93%	12	QQQ,SPY	Exp7: n_estimators 500
2026-04-06 21:36:57	46311f64	1.7887	+1.2726	-18.9%	1.7605	93%	10	QQQ,SPY	Exp8: learning_rate 0.01
2026-04-06 21:37:49	a2746b45	1.6102	+1.1304	-26.2%	1.5402	93%	12	QQQ,SPY	Exp9: add wider RSI 35/65 label option
2026-04-06 21:38:34	b2570450	1.7815	+1.2654	-18.9%	1.7502	93%	12	QQQ,SPY	Exp10: add confirm_bars=5 label option
2026-04-06 21:39:09	f3f7b71c	1.7887	+1.2726	-18.9%	1.7605	93%	10	QQQ,SPY	Exp11: add confirm_bars=20 label option
2026-04-06 21:39:52	3f0f8f28	0.8552	+0.7121	-35.3%	0.6804	70%	16	QQQ,SPY,GLD	Exp12: add GLD as third instrument
2026-04-06 21:40:27	6c98c52f	1.7887	+1.2726	-18.9%	1.7531	93%	10	QQQ,SPY	Exp13: lstm_hidden=64
2026-04-06 21:41:45	3ea52f5c	2.1884	+1.6880	-18.5%	3.0253	84%	19	QQQ,SPY	Exp14: oos_months=3
2026-04-06 21:42:50	250c466d	-99.0000	+1.4951	-18.9%	2.3283	86%	27	QQQ,SPY	Exp15: oos_months=2
2026-04-06 21:43:19	05c46c42	0.7338	+0.5573	-11.6%	0.6718	38%	5	QQQ,SPY	Exp16: is_years=1.5 oos_months=3
2026-04-06 21:45:24	7164ed4a	-99.0000	+0.3514	-64.4%	0.5301	66%	57	QQQ,SPY	Exp17: is_years=3 oos_months=3
2026-04-06 21:46:08	ffeda5be	2.0306	+1.5468	-18.5%	2.7765	76%	19	QQQ,SPY	Exp18: threshold=0.55 oos3
2026-04-06 21:46:51	13d8d6e0	1.6245	+1.1894	-18.5%	2.0405	51%	14	QQQ,SPY	Exp19: threshold=0.65 oos3
2026-04-06 21:47:35	9b83f353	2.1825	+1.6820	-18.5%	2.9457	84%	19	QQQ,SPY	Exp20: cost_bps=1.5 oos3
2026-04-06 21:48:12	bcc84740	2.0921	+1.6084	-18.5%	2.9323	76%	18	QQQ,SPY	Exp21: n_nested_folds=2 oos3
2026-04-06 21:49:20	a3589bae	2.1485	+1.6481	-18.5%	2.8234	84%	19	QQQ,SPY	Exp22: n_nested_folds=5 oos3
2026-04-06 21:50:09	f97e865b	2.0306	+1.5468	-18.5%	2.7409	76%	19	QQQ,SPY	Exp23: lookback=15 oos3
2026-04-06 21:51:02	acf0e280	2.0921	+1.6084	-18.5%	3.0083	76%	18	QQQ,SPY	Exp24: lookback=30 oos3
2026-04-06 21:51:52	c582a84f	2.1690	+1.6685	-18.5%	2.9698	84%	19	QQQ,SPY	Exp25: lstm_epochs=50 oos3
2026-04-06 21:52:43	f8f86ab2	2.1054	+1.6508	-20.9%	3.2572	67%	20	QQQ,SPY,TQQQ	Exp26: add TQQQ oos3
2026-04-06 21:53:12	e0c6a140	-99.0000	+0.4387	-22.5%	2.4031	47%	43	QQQ,SPY	Exp27: xgboost strategy oos3
2026-04-06 21:53:59	f894f8b4	1.7723	+1.2887	-18.8%	1.8517	76%	13	QQQ,SPY	Exp28: oos_months=4
2026-04-06 21:54:45	45198b34	2.1565	+1.6561	-18.5%	2.8897	84%	19	QQQ,SPY	Exp29: subsample=0.7 oos3
2026-04-06 21:55:30	ae50c6a9	2.1815	+1.6810	-18.5%	2.9224	84%	19	QQQ,SPY	Exp30: colsample_bytree=0.5 oos3
2026-04-06 21:56:12	69b61623	2.0306	+1.5468	-18.5%	2.7947	76%	19	QQQ,SPY	Exp31: colsample_bytree=0.8 oos3
2026-04-06 21:57:02	a10c0483	2.3634	+1.8442	-14.5%	2.5433	85%	13	QQQ	Exp32: QQQ only oos3
2026-04-06 21:57:36	cf61c61d	2.3634	+1.8442	-14.5%	2.5433	85%	13	QQQ	Exp33: QQQ only threshold=0.55 oos3
2026-04-06 21:58:12	dcebe147	1.7946	+1.3369	-11.6%	1.9152	54%	9	QQQ	Exp34: QQQ threshold=0.70 oos3
2026-04-06 21:58:45	7ff61b4f	2.3634	+1.8442	-14.5%	2.5433	85%	13	QQQ	Exp35: QQQ lstm_hidden=16 oos3
2026-04-06 22:00:42	70117e94	0.4131	+0.4244	-55.3%	0.5430	64%	27	QQQ	Exp36: QQQ is_years=3 oos3
2026-04-06 22:01:18	9e22c400	2.5199	+1.9853	-14.5%	4.0410	92%	19	QQQ,IWB	Exp37: QQQ+IWB oos3
2026-04-06 22:01:45	a9bd508d	2.6763	+2.1263	-10.3%	5.5387	100%	6	IWB	Exp38: IWB only oos3
2026-04-06 22:02:30	aafb802b	2.8815	+2.3565	-10.4%	7.4515	88%	8	IWB	Exp39: IWB oos_months=2
